POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
VBG	get	Getting
IN	on	on
DT	the	the
NN	map	Map
DT	a	A
NN	case	Case
NN	study	Study
IN	in	in
NNP	Digital	Digital
NNP	Pedagogy	Pedagogy
CC	and	and
JJ	undergraduate	Undergraduate
VBG	crowdsource	Crowdsourcing
NNP	Shannon	Shannon
NNP	Kelley	Kelley
JJ	lt	lt
NN	skelley_at_fairfield_dot_edu	skelley_at_fairfield_dot_edu
NN	gt	gt
NNP	Fairfield	Fairfield
NNP	University	University
NN	abstract	Abstract
DT	this	This
NN	case	case
NN	study	study
VBZ	describe	describes
PRP$	my	my
NN	experience	experience
VBG	implement	implementing
DT	a	a
NNP	digital	digital
VBG	write	writing
NN	assignment	assignment
IN	in	in
DT	a	a
JJ	traditional	traditional
JJ	undergraduate	undergraduate
NN	literature	literature
NN	classroom	classroom
IN	at	at
NNP	Fairfield	Fairfield
NNP	University	University
IN	while	while
IN	in	in
DT	a	a
JJ	pedagogical	pedagogical
NN	partnership	partnership
IN	with	with
DT	the	The
NN	map	Map
IN	of	of
JJ	early	Early
JJ	modern	Modern
NNP	London	London
DT	a	an
NN	award	award
VBG	win	winning
NN	peer	peer
VBN	review	reviewed
NNP	digital	digital
NNS	humanities	humanities
VBG	map	mapping
NN	project	project
VBD	house	housed
IN	at	at
DT	the	the
NNP	University	University
IN	of	of
NNP	Victoria	Victoria
NNP	I	I
VBP	argue	argue
IN	that	that
VBG	crowdsource	crowdsourcing
NNS	opportunity	opportunities
MD	can	can
VB	offer	offer
DT	a	a
NN	way	way
IN	for	for
NN	faculty	faculty
IN	at	at
JJ	small	small
JJ	liberal	liberal
NNS	art	arts
NNS	college	colleges
CC	and	and
NNS	university	universities
TO	to	to
VB	increase	increase
NNP	digital	digital
NN	literacy	literacy
IN	among	among
PRP$	they	their
NNS	student	students
PRP	I	I
VBP	suggest	suggest
IN	that	that
JJ	such	such
NNS	assignment	assignments
VB	be	be
VBN	frame	framed
IN	with	with
VBG	support	supporting
JJ	undergraduate	undergraduate
NN	coursework	coursework
PRP	I	I
RB	then	then
VBP	offer	offer
DT	a	a
NN	series	series
IN	of	of
JJ	preparatory	preparatory
NNS	step	steps
CC	and	and
NNS	suggestion	suggestions
IN	on	on
WRB	how	how
TO	to	to
VB	modify	modify
DT	a	an
VBG	exist	existing
NN	course	course
IN	in	in
NNS	way	ways
WDT	that	that
VBP	meet	meet
NN	student	student
VBG	learn	learning
NNS	outcome	outcomes
VBG	pertain	pertaining
TO	to	to
NNP	digital	digital
NN	literacy	literacy
PRP	I	I
NN	introduction	Introduction
CD	1	1
WRB	when	When
NNS	undergraduate	undergraduates
VBP	add	add
TO	to	to
DT	a	an
VBG	exist	existing
NNP	digital	digital
NNS	humanities	humanities
NN	project	project
VBP	do	do
PRP	they	they
VB	advance	advance
PRP$	they	their
JJ	own	own
NNP	digital	digital
NN	literacy	literacy
DT	the	The
NN	answer	answer
TO	to	to
DT	this	this
NN	question	question
VBZ	be	is
RB	not	not
RB	always	always
JJ	straightforward	straightforward
DT	the	The
VBG	follow	following
NN	case	case
NN	study	study
VBZ	offer	offers
NN	advice	advice
NN	course	course
NN	design	design
NNS	idea	ideas
CC	and	and
NN	sample	sample
NNS	project	projects
IN	for	for
NN	faculty	faculty
IN	at	at
JJ	small	small
JJ	liberal	liberal
NNS	art	arts
NNS	college	colleges
WP	who	who
VBP	be	are
JJ	new	new
TO	to	to
NNP	digital	digital
NNS	humanities	humanities
CC	but	but
WP	who	who
VBP	wish	wish
TO	to	to
VB	participate	participate
IN	in	in
VBG	crowdsource	crowdsourcing
PRP	it	It
VBZ	provide	provides
DT	a	an
NN	overview	overview
IN	of	of
NNP	digital	digital
NNP	pedagogy	pedagogy
IN	with	with
JJ	special	special
NN	attention	attention
IN	on	on
JJ	early	early
JJ	modern	modern
NNS	study	studies
CC	and	and
PRP$	its	its
NN	relationship	relationship
TO	to	to
JJ	traditional	traditional
JJ	english	English
NN	classroom	classroom
NN	instruction	instruction
VBG	argue	arguing
IN	that	that
EX	there	there
VBZ	be	is
DT	a	a
VBG	grow	growing
NN	need	need
IN	for	for
NNP	digital	digital
NN	literacy	literacy
IN	among	among
NNS	undergraduate	undergraduates
CC	and	and
JJ	encouraging	encouraging
VBG	exist	existing
NNS	opportunity	opportunities
TO	to	to
NN	partner	partner
IN	with	with
JJ	doctoral	doctoral
CC	and	and
NN	research	research
NNS	university	universities
PRP	I	I
VBP	argue	argue
IN	that	that
DT	these	these
NNS	partnership	partnerships
VBP	work	work
RB	best	best
WRB	when	when
VBG	crowdsource	crowdsourcing
NNS	participant	participants
VB	engage	engage
IN	in	in
JJ	intentional	intentional
NN	reflection	reflection
IN	throughout	throughout
DT	the	the
NN	semester	semester
VBP	produce	produce
JJR	more	more
IN	than	than
CD	one	one
JJ	multimodal	multimodal
NN	text	text
CC	and	and
IN	for	for
JJ	spatial	spatial
NNS	humanities	humanities
CC	and	and
JJ	digital	digital
NN	mapping	mapping
NNS	project	projects
VBP	theorize	theorize
VBG	mapmake	mapmaking
IN	with	with
JJ	secondary	secondary
NNS	reading	readings
CC	and	and
NNS	activity	activities
PRP	I	I
VBP	present	present
PRP$	my	my
JJ	own	own
NN	experience	experience
IN	at	at
NNP	Fairfield	Fairfield
NNP	University	University
WRB	where	where
PRP$	my	my
NNS	student	students
CC	and	and
PRP	I	I
VBD	contribute	contributed
NNP	digital	digital
VBN	bear	born
