POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	home	Home
NN	calendar	Calendar
CC	and	and
NN	news	News
NN	calendar	Calendar
CC	and	and
NN	news	News
NN	faculty	Faculty
NN	news	News
NNS	alumnus	Alumni
NN	news	News
JJ	interdisciplinary	Interdisciplinary
NNS	activity	Activities
JJ	undergraduate	Undergraduate
JJ	undergraduate	Undergraduate
WRB	why	Why
JJ	major	Major
IN	in	in
NN	history	History
NNS	alumnus	Alumni
VBP	speak	Speak
JJ	major	Major
CC	and	and
JJ	minor	Minor
NN	law	Law
NN	history	History
CC	and	and
NN	society	Society
NN	fall	Fall
CD	2018	2018
NNS	course	Courses
NN	spring	Spring
CD	2019	2019
NNS	course	Courses
NN	summer	Summer
CD	2018	2018
NNS	course	Courses
NNP	Gertrude	Gertrude
NNP	Casebier	Casebier
NNP	Grant	Grant
NNS	honor	Honors
NN	program	Program
CD	4	4
CD	1	1
VBN	combine	Combined
NN	ba	BA
NNP	MA	MA
NNP	Dewey	Dewey
NNP	Grantham	Grantham
CC	and	and
NNP	Prize	Prize
NNS	award	Awards
NN	phi	Phi
NN	alpha	Alpha
NNP	Theta	Theta
NNP	Vanderbilt	Vanderbilt
JJ	historical	Historical
NN	review	Review
JJ	special	Special
NNS	program	Programs
NN	history	History
NNS	major	Majors
IN	in	in
DT	the	the
NN	job	Job
NN	market	Market
NN	graduate	Graduate
NN	program	Program
NN	overview	Overview
NN	application	Application
JJ	financial	Financial
NN	aid	Aid
NN	graduate	Graduate
NN	catalog	Catalog
NN	fall	Fall
CD	2018	2018
NNS	course	Courses
NN	spring	Spring
CD	2019	2019
NNS	course	Courses
VBP	graduate	Graduate
NNP	Student	Student
NNP	News	News
NNP	Graduate	Graduate
NN	history	History
NN	association	Association
NN	gha	GHA
NN	career	Career
NNS	service	Services
NNS	resource	Resources
CC	and	and
JJ	related	Related
NNS	page	Pages
VBG	fund	Funding
IN	for	for
NN	travel	Travel
NNS	people	People
NN	faculty	Faculty
NN	faculty	Faculty
NN	specialty	Specialty
NN	list	List
NN	graduate	Graduate
NNS	student	Students
VBG	visit	Visiting
NNS	scholar	Scholars
CC	and	and
NNS	lecturer	Lecturers
JJ	emeritus	Emeritus
NN	faculty	Faculty
JJ	recent	Recent
NNS	phd	PhDs
IN	in	in
NN	history	History
NNP	Vanderbilt	Vanderbilt
NN	history	History
NN	seminar	Seminar
NNP	Vanderbilt	Vanderbilt
NN	history	History
NN	seminar	Seminar
JJ	main	Main
NN	page	Page
NN	2017 2018 2016 2017	2017 2018 2016 2017
CD	2015 2016 2014 2015	2015 2016 2014 2015
CD	2013 2014 2012 2013	2013 2014 2012 2013
NN	2011 2012 2010 2011	2011 2012 2010 2011
CD	2009 2010 2008 2009	2009 2010 2008 2009
NNP	Byrn	Byrn
VB	lecture	Lecture
JJ	legal	Legal
NN	history	History
NN	colloquium	Colloquium
JJ	legal	Legal
NN	history	History
NN	colloquium	Colloquium
CD	2016	2016
CD	2017	2017
NN	contact	Contact
NNP	Us	Us
NNP	Department	Department
IN	of	of
NN	history	History
NN	image	image
NN	department	Department
IN	of	of
NN	history	History
NNP	Jane	Jane
NNP	Landers	Landers
NNP	Gertrude	Gertrude
NNP	Conaway	Conaway
NNP	Vanderbilt	Vanderbilt
NN	professor	Professor
IN	of	of
NN	history	History
NNP	Jane	Jane
NNP	Landers	Landers
VBZ	be	is
DT	a	an
NN	historian	historian
IN	of	of
NNP	Colonial	Colonial
NNP	Latin	Latin
NNP	America	America
CC	and	and
DT	the	the
NNP	Atlantic	Atlantic
NNP	World	World
VBG	specialize	specializing
IN	in	in
DT	the	the
NN	history	history
IN	of	of
NNPS	Africans	Africans
CC	and	and
PRP$	they	their
NNS	descendant	descendants
IN	in	in
DT	those	those
NNS	world	worlds
PRP	she	She
VBZ	be	is
DT	the	the
NN	author	author
IN	of	of
NNP	Atlantic	Atlantic
NNPS	Creoles	Creoles
IN	in	in
DT	the	the
NN	age	Age
IN	of	of
NNS	revolution	Revolutions
NNP	Cambridge	Cambridge
NNP	Mass	Mass
CD	2010	2010
WDT	which	which
VBD	be	was
VBN	award	awarded
DT	the	the
NNP	Rembert	Rembert
NNP	Patrick	Patrick
NN	book	Book
NN	award	Award
CC	and	and
JJ	honorary	honorary
NN	mention	mention
IN	for	for
DT	the	the
NN	conference	Conference
IN	on	on
JJ	latin	Latin
JJ	american	American
NN	history	History
NNS	s	s
CD	2011	2011
NNP	Bolton	Bolton
NNP	Johnson	Johnson
NNP	Prize	Prize
PRP$	she	Her
JJ	first	first
NN	monograph	monograph
JJ	black	Black
NN	society	Society
IN	in	in
JJ	spanish	Spanish
NNP	Florida	Florida
NN	urbana	Urbana
NN	1999 2001 2002 2005	1999 2001 2002 2005
VBD	be	was
VBN	award	awarded
DT	the	the
NNP	Frances	Frances
NNP	B	B
NNP	Simkins	Simkins
NNP	Prize	Prize
IN	for	for
JJ	distinguished	Distinguished
JJ	first	First
NN	book	Book
IN	in	in
JJ	southern	Southern
NN	history	History
CC	and	and
VBD	be	was
DT	a	a
NN	choice	CHOICE
JJ	outstanding	Outstanding
JJ	academic	Academic
NN	title	Title
NNP	Landers	Landers
NNP	co	co
VBD	author	authored
DT	the	the
NN	college	college
NN	textbook	textbook
DT	the	The
NNP	Atlantic	Atlantic
NNP	World	World
DT	a	A
NN	history	History
CD	1400	1400
CD	1888	1888
NNP	Harlan	Harlan
NNP	Davidson	Davidson
CD	2007	2007
CC	and	and
VBN	edit	edited
NN	slavery	Slavery
CC	and	and
NN	abolition	Abolition
IN	in	in
DT	the	the
NNP	Atlantic	Atlantic
NNP	World	World
JJ	new	New
NNS	source	Sources
CC	and	and
JJ	new	New
NNS	finding	Findings
NNP	Oxfordshire	Oxfordshire
NNP	England	England
CD	2017	2017
JJ	colonial	Colonial
NNS	plantation	Plantations
CC	and	and
NN	economy	Economy
IN	in	in
NNP	Florida	Florida
NNP	Gainesville	Gainesville
CD	2000	2000
CD	2001	2001
CC	and	and
IN	against	Against
DT	the	the
NNS	odds	Odds
JJ	free	Free
NNS	black	Blacks
IN	in	in
DT	the	the
NN	slave	Slave
NNS	society	Societies
IN	of	of
DT	the	the
NNPS	Americas	Americas
NNP	London	London
CD	1996	1996
PRP	she	She
RB	also	also
NNP	co	co
VBD	edit	edited
NNS	slave	Slaves
NNS	subject	Subjects
CC	and	and
NNS	subversive	Subversives
NNS	black	Blacks
IN	in	in
JJ	colonial	Colonial
NNP	Latin	Latin
NNP	America	America
NNP	Albuquerque	Albuquerque
CD	2006	2006
CC	and	and
DT	the	The
JJ	african	African
JJ	american	American
NN	heritage	Heritage
IN	of	of
NNP	Florida	Florida
NNP	Gainesville	Gainesville
CD	1995	1995
WDT	which	which
VBD	win	won
DT	the	the
NNP	Rembert	Rembert
NNP	Patrick	Patrick
NN	book	Book
NN	award	Award
CC	and	and
DT	a	a
NN	commendation	commendation
IN	from	from
DT	the	the
NNP	American	American
NNP	Society	Society
IN	for	for
NN	state	State
CC	and	and
JJ	local	Local
NN	history	History
NNP	Landers	Landers
CD	2015	2015
NNP	Nathan	Nathan
PRP	I	I
NNP	Huggins	Huggins
VBZ	lecture	Lectures
DT	a	A
NN	view	View
IN	from	from
DT	the	the
JJ	other	Other
NN	side	Side
DT	the	The
NNP	Saint	Saint
NNP	Domingue	Domingue
NNP	Revolution	Revolution
IN	through	through
NNP	Spanish	Spanish
NNS	source	Sources
VBN	deliver	delivered
IN	at	at
DT	the	the
NNP	Hutchins	Hutchins
NNP	Center	Center
IN	for	for
NNP	African	African
NN	amp	amp
JJ	african	African
JJ	american	American
NN	research	Research
NNP	Harvard	Harvard
NNP	University	University
MD	will	will
VB	be	be
PRP$	she	her
JJ	next	next
NN	publication	publication
NN	link	Link
TO	to	to
JJ	first	first
NN	lecture	lecture
RB	here	here
VBP	link	Link
TO	to	to
JJ	second	second
NN	lecture	lecture
RB	here	here
VBP	link	Link
TO	to	to
JJ	third	third
NN	lecture	lecture
RB	here	here
PRP	she	She
VBZ	have	has
VBN	publish	published
NNS	essay	essays
IN	in	in
DT	the	The
JJ	american	American
JJ	historical	Historical
NN	review	Review
NN	slavery	Slavery
CC	and	and
NN	abolition	Abolition
DT	the	The
JJ	new	New
NNP	West	West
NNP	Indian	Indian
NNP	Guide	Guide
DT	the	The
NNP	Americas	Americas
NNP	Colonial	Colonial
NNP	Latin	Latin
NNP	American	American
JJ	historical	Historical
NN	review	Review
DT	the	The
NNP	Journal	Journal
IN	of	of
NNP	African	African
NNP	American	American
NN	history	History
CC	and	and
DT	a	a
NN	variety	variety
IN	of	of
NNS	anthology	anthologies
CC	and	and
VBN	edit	edited
NNS	volume	volumes
NNS	lander	Landers
VBD	be	was
VBN	award	awarded
NNS	fellowship	fellowships
IN	from	from
DT	the	the
NNP	John	John
NNP	Simon	Simon
NNP	Guggenheim	Guggenheim
NNP	Memorial	Memorial
NNP	Foundation	Foundation
CC	and	and
DT	the	the
NNP	American	American
NNP	Council	Council
IN	for	for
VBN	learn	Learned
NNS	society	Societies
IN	for	for
DT	another	another
NN	project	project
IN	in	in
NN	progress	progress
JJ	african	African
NNS	kingdom	Kingdoms
JJ	black	Black
NNS	republic	Republics
CC	and	and
JJ	free	Free
JJ	black	Black
NNS	town	Towns
IN	across	across
DT	the	the
NNP	Iberian	Iberian
NNP	Atlantic	Atlantic
PRP$	she	Her
NN	research	research
VBZ	have	has
RB	also	also
VBN	be	been
VBN	support	supported
IN	by	by
NNS	grant	grants
IN	from	from
DT	the	the
JJ	national	National
NN	endowment	Endowment
IN	for	for
DT	the	the
NNS	humanities	Humanities
DT	the	the
NNP	Andrew	Andrew
NNP	W	W
NNP	Mellon	Mellon
NNP	Foundation	Foundation
DT	the	the
NN	conference	Conference
IN	on	on
JJ	latin	Latin
JJ	american	American
NN	history	History
NNP	Vanderbilt	Vanderbilt
NNP	University	University
DT	the	the
NNP	Gilder	Gilder
NNP	Lehrman	Lehrman
NNP	Center	Center
IN	for	for
DT	the	the
NN	study	Study
IN	of	of
NN	slavery	Slavery
NN	resistance	Resistance
