POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
DT	all	All
CC	and	and
DT	each	Each
DT	a	A
NNP	Socio	Socio
NNP	Technical	Technical
NNP	Review	Review
IN	of	of
DT	the	the
NNP	Europeana	Europeana
NNP	Project	Project
NNP	Rhiannon	Rhiannon
NNP	Stephanie	Stephanie
NNP	Bettivia	Bettivia
NN	lt	lt
NN	rbettivi_at_illinois_dot_edu	Rbettivi_at_illinois_dot_edu
NN	gt	gt
NN	university	University
IN	of	of
NNP	Illinois	Illinois
NNP	Urbana	Urbana
NNP	Champaign	Champaign
NNP	Elizabeth	Elizabeth
NNP	Stainforth	Stainforth
JJ	lt	lt
NN	e_dot_m_dot_stainforth_at_leeds_dot_ac_dot_uk	e_dot_m_dot_stainforth_at_leeds_dot_ac_dot_uk
NN	gt	gt
NN	university	University
IN	of	of
NNP	Leeds	Leeds
NN	abstract	Abstract
NNP	Digital	Digital
NNP	technologies	technologies
VBP	offer	offer
NNS	opportunity	opportunities
IN	for	for
NN	engagement	engagement
IN	with	with
JJ	cultural	cultural
NNP	heritage	heritage
NNS	resource	resources
IN	through	through
DT	the	the
NN	development	development
IN	of	of
JJ	online	online
NNS	platform	platforms
CC	and	and
NNS	database	databases
RB	however	However
NNS	question	questions
VBP	have	have
VBN	be	been
VBN	raise	raised
IN	about	about
IN	whether	whether
DT	this	this
NN	type	type
IN	of	of
NN	engagement	engagement
VBZ	be	is
RB	structurally	structurally
JJ	open	open
CC	or	or
JJ	bounded	bounded
IN	by	by
JJ	pre	pre
VBG	exist	existing
JJ	institutional	institutional
NNS	framework	frameworks
NNP	Michel	Michel
NNP	Foucault	Foucault
NNS	s	s
RB	later	later
VBP	work	work
IN	on	on
NN	governmentality	governmentality
VBZ	speak	speaks
TO	to	to
DT	this	this
NN	concern	concern
CC	and	and
VBZ	identify	identifies
IN	in	in
NNS	mode	modes
IN	of	of
NN	government	government
DT	the	the
RB	mutually	mutually
VBG	reinforce	reinforcing
NN	relation	relation
IN	of	of
DT	all	all
CC	and	and
DT	each	each
TO	to	to
VB	develop	develop
DT	those	those
NNS	element	elements
JJ	constitutive	constitutive
IN	of	of
NNS	individual	individuals
VBZ	live	lives
IN	in	in
JJ	such	such
DT	a	a
NN	way	way
IN	that	that
PRP$	they	their
NN	development	development
RB	also	also
VBZ	foster	fosters
IN	that	that
IN	of	of
DT	the	the
NN	strength	strength
IN	of	of
DT	the	the
NN	state	state
NNP	Foucault	Foucault
CD	1979	1979
NNP	2000a	2000a
DT	this	This
NN	article	article
VBZ	take	takes
JJ	foucault	Foucault
NNS	s	s
NN	insight	insight
IN	as	as
DT	a	a
NN	point	point
IN	of	of
NN	departure	departure
IN	for	for
VBG	think	thinking
IN	about	about
WRB	how	how
JJ	digital	digital
NNS	technology	technologies
VBP	be	are
VBG	mediate	mediating
CC	and	and
VBG	structure	structuring
DT	the	the
NNS	relationship	relationships
IN	between	between
NNS	individual	individuals
CC	and	and
NNS	organization	organizations
VBG	use	using
DT	the	the
NNP	European	European
NNP	Commission	Commission
VBD	fund	funded
NNP	Europeana	Europeana
NNP	project	project
IN	as	as
DT	a	a
NN	case	case
NN	study	study
NNP	Europeana	Europeana
VBZ	be	is
DT	the	the
NN	embodiment	embodiment
IN	of	of
DT	all	all
CC	and	and
DT	each	each
IN	as	as
DT	a	a
NN	technique	technique
IN	of	of
NN	government	government
PRP	it	it
VBZ	function	functions
IN	by	by
VBG	foster	fostering
DT	the	the
NNS	contribution	contributions
IN	of	of
NNS	individual	individuals
CC	and	and
JJ	national	national
NNS	audience	audiences
IN	in	in
DT	a	a
NN	way	way
IN	that	that
VBZ	celebrate	celebrates
PRP$	they	their
NN	diversity	diversity
IN	while	while
RB	also	also
VBG	engage	engaging
IN	in	in
DT	a	a
NN	project	project
TO	to	to
RB	systematically	systematically
VB	standardize	standardize
CC	and	and
VB	unify	unify
NN	examination	Examination
IN	of	of
DT	the	the
JJ	technical	technical
NNS	element	elements
IN	of	of
NNP	Europeana	Europeana
VBZ	reveal	reveals
DT	the	the
JJ	political	political
NNS	imperative	imperatives
JJ	implicit	implicit
IN	in	in
PRP$	its	its
JJ	technical	technical
NNS	operation	operations
CC	and	and
WRB	how	how
DT	the	the
NNS	parameter	parameters
IN	for	for
NN	audience	audience
NN	participation	participation
VBP	be	are
RB	subsequently	subsequently
VBN	define	defined
IN	in	In
DT	this	this
NN	article	article
PRP	we	we
VBP	examine	examine
DT	the	the
NNS	audience	audiences
RB	explicitly	explicitly
CC	and	and
RB	implicitly	implicitly
VBN	delimit	delimited
IN	by	by
NNP	Europeana	Europeana
CC	and	and
RB	then	then
VBP	analyze	analyze
PRP	they	them
IN	in	in
NN	relation	relation
TO	to	to
DT	the	the
NN	project	project
NNS	s	s
NN	development	development
IN	of	of
DT	the	the
NNP	European	European
NNP	Data	Data
NN	model	Model
NN	edm	EDM
IN	for	for
DT	the	the
NN	interchange	interchange
IN	of	of
NNP	metadata	metadata
IN	about	about
NNP	cultural	cultural
NNP	heritage	heritage
NNS	object	objects
DT	the	The
NN	article	article
VBZ	conclude	concludes
IN	that	that
DT	a	a
NN	lack	lack
IN	of	of
JJ	explicit	explicit
NNS	definition	definitions
IN	about	about
NNS	audience	audiences
WDT	what	what
NNP	Europeana	Europeana
VBZ	be	is
CC	and	and
WRB	how	how
PRP$	its	its
JJ	various	various
NNS	part	parts
VBP	work	work
IN	in	in
NN	concert	concert
VBP	constitute	constitute
