POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
DT	the	The
JJ	new	New
NNP	Itinerancy	Itinerancy
NNP	Digital	Digital
NNP	Pedagogy	Pedagogy
CC	and	and
DT	the	the
NN	adjunct	Adjunct
NN	instructor	Instructor
IN	in	in
DT	the	the
JJ	modern	Modern
NN	academy	Academy
NNP	Andrew	Andrew
NNP	Bretz	Bretz
JJ	lt	lt
NN	abretz_at_wlu_dot_ca	abretz_at_wlu_dot_ca
NN	gt	gt
NNP	Wilfrid	Wilfrid
NNP	Laurier	Laurier
NNP	University	University
NN	abstract	Abstract
IN	in	In
DT	the	the
NN	fall	Fall
IN	of	of
CD	2015	2015
PRP	I	I
VBD	be	was
VBN	hire	hired
IN	as	as
NN	contract	contract
JJ	academic	academic
NN	staff	staff
IN	at	at
NNP	Wilfrid	Wilfrid
NNP	Laurier	Laurier
NNP	University	University
NNP	s	s
NNP	Department	Department
IN	of	of
NNP	English	English
CC	and	and
NN	film	Film
NNS	study	Studies
TO	to	to
VB	teach	teach
DT	the	the
NN	foundation	foundation
NN	course	course
NN	en245	EN245
DT	the	The
NNP	English	English
JJ	literary	Literary
NN	tradition	Tradition
NNS	beginning	Beginnings
TO	to	to
CD	1660	1660
IN	for	for
DT	the	the
JJ	first	first
NN	time	time
IN	as	as
DT	a	a
NN	course	course
IN	with	with
DT	a	a
JJ	heavy	heavy
NN	dh	DH
NN	component	component
PRP$	my	My
NN	paper	paper
VBZ	be	is
DT	a	a
NN	case	case
NN	study	study
VBG	investigate	investigating
DT	the	the
NNS	challenge	challenges
IN	of	of
VBG	create	creating
CC	and	and
VBG	deliver	delivering
DT	a	a
RB	partially	partially
JJ	online	online
NN	course	course
IN	in	in
DT	a	a
NNP	university	university
NN	environment	environment
WRB	where	where
DT	the	the
NN	majority	majority
IN	of	of
NN	teaching	teaching
VBZ	be	is
VBN	do	done
IN	by	by
JJ	sessional	sessional
NNS	instructor	instructors
WP$	whose	whose
NN	labour	labour
VBZ	be	is
RB	systemically	systemically
VBN	marginalize	marginalized
IN	by	by
NN	administration	administration
JJ	sessional	Sessional
NNS	instructor	instructors
CC	or	or
JJ	educational	educational
NNS	entrepreneur	entrepreneurs
VBP	have	have
RB	even	even
RBR	more	more
JJ	limited	limited
NNS	resource	resources
IN	in	in
NNS	term	terms
IN	of	of
NN	time	time
NN	access	access
TO	to	to
JJ	technical	technical
NN	support	support
CC	and	and
NN	access	access
TO	to	to
NN	administration	administration
IN	than	than
NN	tenure	tenure
NN	track	track
NN	faculty	faculty
RB	however	however
JJ	open	open
NN	access	access
JJ	educational	educational
NNS	tool	tools
VBN	aren	aren
NN	t	t
VBG	serve	serving
RB	merely	merely
TO	to	to
VB	level	level
DT	the	the
NN	playing	playing
NN	field	field
CC	but	but
VBP	reshape	reshape
PRP	it	it
RB	altogether	altogether
IN	as	as
JJ	technical	technical
NN	support	support
CC	and	and
NN	access	access
TO	to	to
JJ	administrative	administrative
NN	support	support
VB	cease	cease
TO	to	to
VB	matter	matter
IN	in	in
DT	the	the
NN	delivery	delivery
IN	of	of
DT	a	an
JJ	educational	educational
NN	product	product
NN	today	Today
JJ	many	many
IN	of	of
DT	the	the
NNS	tool	tools
WDT	that	that
VBP	be	are
JJ	sufficient	sufficient
IN	for	for
DT	the	the
NN	creation	creation
IN	of	of
DT	a	a
JJ	successful	successful
NN	online	online
CC	or	or
RB	partially	partially
JJ	online	online
NN	course	course
IN	whether	whether
NN	generalist	generalist
NN	itunesu	iTunesU
NN	zotero	Zotero
NNP	YouTube	YouTube
CC	or	or
NN	specialist	specialist
NNP	Google	Google
NNP	NGram	NGram
DT	the	the
NNP	University	University
IN	of	of
NNP	Victoria	Victoria
NNP	s	s
NN	map	Map
IN	of	of
JJ	early	Early
JJ	modern	Modern
NNP	London	London
NNP	Internet	Internet
NNP	Shakespeare	Shakespeare
NNS	edition	Editions
VBP	be	are
RB	freely	freely
JJ	available	available
TO	to	to
NNS	instructor	instructors
JJ	such	Such
RB	freely	freely
JJ	available	available
NNS	tool	tools
VBP	problematize	problematize
DT	the	the
NN	relationship	relationship
IN	between	between
DT	the	the
NN	instructor	instructor
CC	and	and
DT	the	the
NNP	university	university
RB	insofar	insofar
IN	as	as
NNS	university	universities
VBP	tend	tend
TO	to	to
VB	use	use
JJ	proprietary	proprietary
NNS	system	systems
NN	e	e
NN	g	g
NN	desire2learn	Desire2Learn
IN	for	for
NN	everything	everything
VBG	include	including
NNS	datum	data
NN	management	management
NN	presentation	presentation
NN	communication	communication
CC	and	and
NN	gradebook	gradebook
NN	integration	integration
IN	with	with
DT	the	the
NN	registrar	registrar
NNS	s	s
NN	office	office
NNS	university	Universities
IN	in	in
VBG	insist	insisting
IN	on	on
VBG	use	using
DT	these	these
JJ	universal	universal
JJ	proprietary	proprietary
NNS	system	systems
IN	for	for
DT	every	every
NN	aspect	aspect
IN	of	of
NN	course	course
NN	delivery	delivery
VBP	exacerbate	exacerbate
DT	the	the
NN	disenfranchisement	disenfranchisement
IN	of	of
JJ	sessional	sessional
NNS	instructor	instructors
IN	as	as
NN	access	access
TO	to	to
DT	the	the
NN	support	support
VBN	require	required
TO	to	to
VB	become	become
NNS	expert	experts
IN	in	in
DT	these	these
NNS	tool	tools
VBZ	be	is
VBN	limit	limited
CC	and	and
VBN	take	taken
RP	on	on
IN	at	at
DT	the	the
NN	instructor	instructor
NNS	s	s
VBD	cost	cost
DT	a	A
