POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	content	content
NN	image	image
NN	menu	Menu
NN	share	Share
PRP$	you	your
NN	work	work
NN	use	Use
NN	amp	amp
NN	remix	remix
WDT	what	What
PRP	we	we
VBP	do	do
NN	blog	Blog
JJ	global	Global
NN	affiliate	Affiliate
NN	network	Network
VB	search	Search
DT	the	the
NNPS	Commons	Commons
NN	share	Share
PRP$	you	your
NN	work	work
NN	use	Use
NN	amp	amp
NN	remix	remix
WDT	what	What
PRP	we	we
VBP	do	do
NN	blog	Blog
JJ	global	Global
NN	affiliate	Affiliate
NN	network	Network
VB	search	Search
DT	the	the
NNPS	Commons	Commons
NN	contact	Contact
NNP	Facebook	Facebook
NNP	Twitter	Twitter
NNP	Mail	Mail
VB	help	Help
PRP	we	us
VB	build	build
DT	a	a
JJ	vibrant	vibrant
JJ	collaborative	collaborative
JJ	global	global
NNPS	commons	commons
VBP	donate	Donate
RB	now	Now
NN	image	image
NN	cc	cc
NN	logo	logo
JJ	creative	Creative
NNPS	Commons	Commons
JJ	creative	Creative
NNP	Commons	Commons
NN	license	License
NN	deed	Deed
NN	image	image
NN	cc	cc
NN	logo	logo
NN	image	image
NN	image	image
NN	attribution	Attribution
JJ	sharealike	ShareAlike
CD	3	3
CD	0	0
JJ	unported	Unported
NN	cc	CC
IN	by	BY
NNP	SA	SA
CD	3	3
CD	0	0
DT	this	This
VBZ	be	is
DT	a	a
JJ	human	human
JJ	readable	readable
NN	summary	summary
IN	of	of
CC	and	and
RB	not	not
DT	a	a
NN	substitute	substitute
IN	for	for
DT	the	the
NN	license	license
NN	disclaimer	Disclaimer
PRP	you	You
VBP	be	are
JJ	free	free
TO	to	to
VB	share	Share
NN	copy	copy
CC	and	and
VB	redistribute	redistribute
DT	the	the
NN	material	material
IN	in	in
DT	any	any
NN	medium	medium
CC	or	or
NN	format	format
VBP	adapt	Adapt
NN	remix	remix
VB	transform	transform
CC	and	and
VB	build	build
IN	upon	upon
DT	the	the
NN	material	material
IN	for	for
DT	any	any
NN	purpose	purpose
RB	even	even
RB	commercially	commercially
NN	image	image
DT	this	This
NN	license	license
VBZ	be	is
JJ	acceptable	acceptable
IN	for	for
JJ	free	Free
JJ	cultural	Cultural
NNS	work	Works
NN	image	image
DT	the	The
NN	licensor	licensor
MD	can	can
RB	not	not
VB	revoke	revoke
DT	these	these
NNS	freedom	freedoms
RB	as	as
RB	long	long
IN	as	as
PRP	you	you
VBP	follow	follow
DT	the	the
NN	license	license
NNS	term	terms
IN	under	Under
DT	the	the
VBG	follow	following
NNS	term	terms
NN	attribution	Attribution
PRP	you	You
MD	must	must
VB	give	give
JJ	appropriate	appropriate
NN	credit	credit
VBP	provide	provide
DT	a	a
NN	link	link
TO	to	to
DT	the	the
NN	license	license
CC	and	and
VBP	indicate	indicate
IN	if	if
NNS	change	changes
VBD	be	were
VBN	make	made
PRP	you	You
MD	may	may
VB	do	do
RB	so	so
IN	in	in
DT	any	any
JJ	reasonable	reasonable
NN	manner	manner
CC	but	but
RB	not	not
IN	in	in
DT	any	any
NN	way	way
IN	that	that
VBZ	suggest	suggests
DT	the	the
NN	licensor	licensor
VBZ	endorse	endorses
PRP	you	you
CC	or	or
PRP$	you	your
NN	use	use
NN	attribute	Attribute
DT	this	this
NN	work	work
NN	image	image
NN	information	Information
JJ	sharealike	ShareAlike
IN	if	If
PRP	you	you
VBP	remix	remix
VB	transform	transform
CC	or	or
VB	build	build
IN	upon	upon
DT	the	the
NN	material	material
PRP	you	you
MD	must	must
VB	distribute	distribute
PRP$	you	your
NNS	contribution	contributions
IN	under	under
DT	the	the
JJ	same	same
NN	license	license
IN	as	as
DT	the	the
JJ	original	original
DT	no	No
JJ	additional	additional
NNS	restriction	restrictions
PRP	you	You
MD	may	may
RB	not	not
VB	apply	apply
JJ	legal	legal
NNS	term	terms
CC	or	or
JJ	technological	technological
NNS	measure	measures
WDT	that	that
RB	legally	legally
VBP	restrict	restrict
NNS	other	others
IN	from	from
VBG	do	doing
NN	anything	anything
DT	the	the
NN	license	license
VBZ	permit	permits
NNS	notice	Notices
PRP	you	You
VBP	do	do
RB	not	not
VB	have	have
TO	to	to
VB	comply	comply
IN	with	with
DT	the	the
NN	license	license
IN	for	for
NNS	element	elements
IN	of	of
DT	the	the
NN	material	material
IN	in	in
DT	the	the
JJ	public	public
NN	domain	domain
CC	or	or
WRB	where	where
PRP$	you	your
NN	use	use
VBZ	be	is
VBN	permit	permitted
IN	by	by
DT	a	an
JJ	applicable	applicable
NN	exception	exception
CC	or	or
NN	limitation	limitation
DT	no	No
NNS	warranty	warranties
VBP	be	are
VBN	give	given
DT	the	The
NN	license	license
MD	may	may
RB	not	not
VB	give	give
PRP	you	you
DT	all	all
IN	of	of
DT	the	the
NNS	permission	permissions
JJ	necessary	necessary
IN	for	for
PRP$	you	your
VBN	intend	intended
NN	use	use
IN	for	For
NN	example	example
JJ	other	other
NNS	rights	rights
JJ	such	such
IN	as	as
NN	publicity	publicity
NN	privacy	privacy
CC	or	or
JJ	moral	moral
NNS	rights	rights
MD	may	may
VB	limit	limit
WRB	how	how
PRP	you	you
VBP	use	use
DT	the	the
NN	material	material
VB	learn	Learn
JJR	more	more
IN	about	about
NN	cc	CC
NN	licensing	licensing
CC	or	or
VB	use	use
DT	the	the
NN	license	license
IN	for	for
PRP$	you	your
JJ	own	own
NN	material	material
NN	image	image
DT	this	This
NN	content	content
VBZ	be	is
RB	freely	freely
JJ	available	available
IN	under	under
JJ	simple	simple
JJ	legal	legal
NNS	term	terms
IN	because	because
IN	of	of
JJ	creative	Creative
NNP	Commons	Commons
DT	a	a
JJ	non	non
NN	profit	profit
WDT	that	that
VBZ	survive	survives
IN	on	on
NNS	donation	donations
IN	if	If
PRP	you	you
VBP	love	love
DT	this	this
NN	content	content
CC	and	and
NN	love	love
IN	that	that
PRP	it	it
VBZ	be	s
JJ	free	free
IN	for	for
NN	everyone	everyone
VB	please	please
VB	consider	consider
DT	a	a
NN	donation	donation
TO	to	to
VB	support	support
PRP$	we	our
NN	work	work
VB	make	Make
DT	a	a
NN	donation	Donation
DT	this	This
NN	page	page
VBZ	be	is
JJ	available	available
IN	in	in
DT	the	the
VBG	follow	following
NNS	language	languages
JJ	bahasa	Bahasa
NNP	Indonesia	Indonesia
NNP	Bahasa	Bahasa
NNP	Malaysia	Malaysia
NNP	Castellano	Castellano
NNP	Castellano	Castellano
NNP	Espa	Espa
DT	a	a
JJ	catal	Catal
NNP	Dansk	Dansk
NNP	Deutsch	Deutsch
NNP	English	English
JJ	esperanto	Esperanto
NNP	fran	fran
NNP	ais	ais
NNP	Galego	Galego
NNP	hrvatski	hrvatski
NNP	Italiano	Italiano
NNP	Latviski	Latviski
NNP	Lietuvi	Lietuvi
NNP	Magyar	Magyar
NNP	Nederlands	Nederlands
NNP	norsk	norsk
NNP	polski	polski
NNP	Portugu	Portugu
NNP	s	s
NNP	Portugu	Portugu
NNP	s	s
NNP	BR	BR
NNP	rom	rom
NNP	n	n
NNP	Sloven	Sloven
NNP	ina	ina
NNP	suomeksi	suomeksi
NNP	svenska	svenska
NN	t	T
NN	rk	rk
NN	e	e
NN	slenska	slenska
NN	e	e
NNP	tina	tina
NN	image	image
DT	this	This
NN	content	content
VBZ	be	is
RB	freely	freely
JJ	available	available
IN	under	under
JJ	simple	simple
JJ	legal	legal
NNS	term	terms
IN	because	because
IN	of	of
JJ	creative	Creative
NNP	Commons	Commons
DT	a	a
JJ	non	non
NN	profit	profit
WDT	that	that
VBZ	survive	survives
IN	on	on
NNS	donation	donations
IN	if	If
PRP	you	you
VBP	love	love
DT	this	this
NN	content	content
CC	and	and
NN	love	love
IN	that	that
PRP	it	it
VBZ	be	s
JJ	free	free
IN	for	for
NN	everyone	everyone
VB	please	please
VB	consider	consider
DT	a	a
NN	donation	donation
TO	to	to
VB	support	support
PRP$	we	our
NN	work	work
WRB	when	When
PRP	you	you
VBP	share	share
NN	everyone	everyone
VBZ	win	wins
VB	contribute	Contribute
NN	today	today
TO	to	to
JJ	creative	Creative
NNP	Commons	Commons
CD	100	100
CD	50	50
CD	25	25
CD	5	5
NN	image	image
NN	cc	cc
NN	logo	logo
JJ	white	white
NN	contact	Contact
NN	privacy	Privacy
NNS	policy	Policies
NNS	term	Terms
PRP	we	We
NN	d	d
NN	love	love
TO	to	to
VB	hear	hear
IN	from	from
PRP	you	you
JJ	creative	Creative
NNP	Commons	Commons
NNP	PO	PO
NN	box	Box
NNP	1866	1866
NNP	Mountain	Mountain
NNP	View	View
MD	can	CA
VB	94042	94042
NN	info	info
NNS	creativecommon	creativecommons
RB	org	org
RB	frequently	Frequently
VBD	ask	Asked
NNS	question	Questions
IN	except	Except
WRB	where	where
RB	otherwise	otherwise
VBN	note	noted
NN	content	content
IN	on	on
DT	this	this
NN	site	site
VBZ	be	is
VBN	license	licensed
IN	under	under
DT	a	a
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
CD	4	4
CD	0	0
JJ	international	International
NN	license	license
NNS	icon	Icons
IN	by	by
DT	the	The
NN	noun	Noun
NN	project	Project
NN	disclaimer	Disclaimer
DT	this	This
NN	deed	deed
VBZ	highlight	highlights
RB	only	only
DT	some	some
IN	of	of
DT	the	the
JJ	key	key
NNS	feature	features
CC	and	and
NNS	term	terms
IN	of	of
DT	the	the
JJ	actual	actual
NN	license	license
PRP	it	It
VBZ	be	is
RB	not	not
DT	a	a
NN	license	license
CC	and	and
VBZ	have	has
DT	no	no
JJ	legal	legal
NN	value	value
PRP	you	You
MD	should	should
RB	carefully	carefully
VB	review	review
DT	all	all
IN	of	of
DT	the	the
NNS	term	terms
CC	and	and
NNS	condition	conditions
IN	of	of
DT	the	the
JJ	actual	actual
NN	license	license
IN	before	before
VBG	use	using
DT	the	the
JJ	licensed	licensed
NN	material	material
JJ	creative	Creative
NNPS	Commons	Commons
VBZ	be	is
RB	not	not
DT	a	a
NN	law	law
NN	firm	firm
CC	and	and
VBZ	do	does
RB	not	not
VB	provide	provide
JJ	legal	legal
NNS	service	services
VBG	distribute	Distributing
