POS	lemma	word
NN	bookmark	bookmark
JJ	top	top
NN	image	image
NN	image	image
VB	go	Go
TO	to	to
NN	post45	Post45
NN	search	Search
NNS	article	articles
NNS	datum	data
NNS	set	sets
NNS	cluster	clusters
NNS	debate	debates
IN	about	About
NN	ca	CA
JJ	cultural	Cultural
NNS	analytic	Analytics
VBZ	be	is
DT	a	a
JJ	new	new
JJ	open	open
NN	access	access
NN	journal	journal
VBN	dedicate	dedicated
TO	to	to
DT	the	the
JJ	computational	computational
NN	study	study
IN	of	of
NN	culture	culture
PRP$	its	Its
NN	aim	aim
VBZ	be	is
TO	to	to
VB	promote	promote
JJ	high	high
NN	quality	quality
NN	scholarship	scholarship
WDT	that	that
VBZ	intervene	intervenes
IN	in	in
JJ	contemporary	contemporary
NNS	debate	debates
IN	about	about
DT	the	the
NN	study	study
IN	of	of
NN	culture	culture
VBG	use	using
JJ	computational	computational
CC	and	and
JJ	quantitative	quantitative
NNS	method	methods
VBD	read	Read
RBR	more	more
IN	about	about
DT	the	the
NNP	journal	journal
MD	can	CA
NN	editorial	Editorial
NN	board	Board
NNP	Andrew	Andrew
NNP	Piper	Piper
NN	editor	Editor
NNP	McGill	McGill
NNP	University	University
NNP	Laura	Laura
NNP	Mandell	Mandell
NNP	Data	Data
VBZ	review	Reviews
NN	editor	Editor
NNP	Texas	Texas
DT	a	A
NN	amp	amp
NN	m	M
NNP	Lisa	Lisa
NNP	Teichmann	Teichmann
NN	editorial	Editorial
NN	assistant	Assistant
NNP	McGill	McGill
NNP	University	University
NN	editorial	Editorial
NN	board	Board
NNP	Alan	Alan
NNP	Liu	Liu
NNP	UCSB	UCSB
NNP	Amelia	Amelia
NNP	Acker	Acker
NNP	University	University
IN	of	of
NNP	Texas	Texas
NNP	Austin	Austin
NNP	Amy	Amy
NNP	Hungerford	Hungerford
NNP	Yale	Yale
NNP	University	University
NNP	Annie	Annie
NNP	Swafford	Swafford
NNP	SUNY	SUNY
NNP	New	New
NNP	Paltz	Paltz
NNP	Ben	Ben
NNP	Schmidt	Schmidt
JJ	northeastern	Northeastern
NNP	Deb	Deb
NNP	Verhoeven	Verhoeven
NNP	University	University
IN	of	of
NNP	Technology	Technology
NNP	Sydney	Sydney
NNP	Elizabeth	Elizabeth
NNP	Maddock	Maddock
NNP	Dillon	Dillon
JJ	northeastern	Northeastern
NNP	Hoyt	Hoyt
NNP	Long	Long
NNP	University	University
IN	of	of
NNP	Chicago	Chicago
NNP	Ian	Ian
NNP	Milligan	Milligan
NNP	University	University
IN	of	of
NNP	Waterloo	Waterloo
NNP	James	James
NNP	English	English
NNP	UPenn	UPenn
NNP	Katherine	Katherine
VB	bode	Bode
JJ	australian	Australian
NNP	National	National
NNP	University	University
NNP	Lev	Lev
NNP	Manovich	Manovich
NNP	CUNY	CUNY
NNP	Mark	Mark
NNP	Algee	Algee
NNP	Hewitt	Hewitt
NNP	Stanford	Stanford
NNP	University	University
NNP	Matt	Matt
NNP	Erlin	Erlin
NNP	Washington	Washington
NNP	University	University
NNP	Matthew	Matthew
NNP	Wilkens	Wilkens
NNP	Notre	Notre
NNP	Dame	Dame
NNP	Matthew	Matthew
NNP	Jockers	Jockers
NNP	University	University
IN	of	of
NNP	Nebraska	Nebraska
NNP	Meredith	Meredith
NNP	Martin	Martin
NNP	Princeton	Princeton
NNP	University	University
NNP	Natalie	Natalie
NNP	Houston	Houston
NNP	UMASS	UMASS
NNP	Lowell	Lowell
NNP	Rachel	Rachel
NNP	Buurma	Buurma
NNP	Swarthmore	Swarthmore
NNP	Richard	Richard
NNP	Jean	Jean
RB	so	So
NNP	McGill	McGill
NNP	University	University
NNP	Richard	Richard
NNP	Rogers	Rogers
NNP	University	University
IN	of	of
NNP	Amsterdam	Amsterdam
NNP	Tanya	Tanya
NNP	Clement	Clement
NNP	University	University
IN	of	of
NNP	Texas	Texas
NNP	Austin	Austin
NNP	Ted	Ted
NNP	Underwood	Underwood
NNP	University	University
IN	of	of
NNP	Illinois	Illinois
NNP	Timothy	Timothy
NNP	Tangherlini	Tangherlini
NNP	UCLA	UCLA
NNP	Tom	Tom
NNP	McEnaney	McEnaney
NN	uc	UC
NNP	Berkeley	Berkeley
NN	submission	Submission
NNS	guideline	Guidelines
NNS	submission	Submissions
TO	to	to
MD	can	CA
MD	should	should
VB	be	be
VBN	direct	directed
TO	to	to
DT	the	the
NN	editor	Editor
NNP	Andrew	Andrew
NNP	Piper	Piper
NNP	andrew	andrew
NNP	dot	dot
NNP	piper	piper
IN	at	at
NNP	mcgill	mcgill
NNP	dot	dot
MD	can	ca
NN	submission	Submission
NNS	guideline	guidelines
VBP	be	are
VBN	locate	located
RB	here	here
NN	p45	P45
IN	about	About
JJ	ca	CA
NN	contact	Contact
PRP	we	Us
