POS	lemma	word
NNP	Article	Article
VB	download	Download
DT	the	The
NN	file	file
PRP	you	you
VBD	select	selected
MD	should	should
VB	begin	begin
VBG	download	downloading
RB	automatically	automatically
IN	if	If
PRP	it	it
VBZ	do	does
RB	not	not
VB	click	click
DT	the	the
NN	link	link
IN	below	below
NN	note	Note
IN	that	that
DT	this	this
NN	file	file
MD	may	may
VB	require	require
DT	a	a
JJ	special	special
NN	viewer	viewer
CC	or	or
NN	plugin	plugin
TO	to	to
VB	view	view
IN	if	If
DT	the	the
NN	file	file
VBZ	do	does
RB	not	not
VB	download	download
RB	automatically	automatically
VB	click	click
RB	here	here
JJ	issn	ISSN
CD	1465	1465
CD	4121	4121
NN	part	Part
IN	of	of
NN	image	image
VBP	go	Go
TO	to	to
VB	open	Open
NNS	humanities	Humanities
NN	press	Press
