POS	lemma	word
NN	introduction	Introduction
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	concept	Concepts
NNS	method	Methods
CC	and	and
NNS	tutorial	Tutorials
IN	for	for
NNS	student	Students
CC	and	and
NNS	instructor	Instructors
NN	menu	Menu
VB	skip	Skip
TO	to	to
JJ	content	content
IN	about	About
NNS	credit	Credits
NN	contact	Contact
NN	amp	amp
NN	feedback	Feedback
CD	1	1
NNS	concept	Concepts
NN	amp	amp
NNS	reading	Readings
NN	1a	1A
NN	introduction	Introduction
NN	1b	1B
NN	analysis	Analysis
IN	of	of
NN	dh	DH
NNS	project	Projects
NN	2a	2A
NNP	HTML	HTML
CC	and	and
VBN	structure	Structured
NNS	datum	Data
NN	2b	2B
NN	classification	Classification
NNS	system	Systems
NN	3a	3A
NNS	ontology	Ontologies
CC	and	and
NNP	Metadata	Metadata
NN	3b	3B
NNS	datum	Data
CC	and	and
NNS	database	Databases
NN	4a	4A
NN	database	Database
CC	and	and
NN	narrative	Narrative
NN	4b	4B
NN	visualization	Visualization
NN	5a	5A
NN	visualization	Visualization
VBD	continue	Continued
NN	5b	5B
NNS	datum	Data
NN	mining	Mining
CC	and	and
NN	text	Text
NN	analysis	Analysis
NN	6a	6A
NN	text	Text
VBG	encode	Encoding
NN	mark	Mark
RB	up	up
CC	and	and
NNP	TEI	TEI
NNP	6B	6B
JJ	distant	Distant
NN	reading	Reading
CC	and	and
JJ	cultural	Cultural
NNS	analytic	Analytics
NN	7a	7A
NN	network	Network
NN	analysis	Analysis
NN	8a	8A
NN	gis	GIS
NN	analysis	Analysis
CC	and	and
JJ	critical	Critical
NNS	issue	Issues
NN	8b	8B
NN	interface	Interface
NN	theory	Theory
CC	and	and
NN	practice	Practice
NN	9a	9A
NN	interface	Interface
CC	and	and
NN	narrative	Narrative
NN	9b	9B
VBG	model	Modelling
JJ	virtual	Virtual
NN	space	Space
NN	10a	10A
JJ	critical	Critical
NNS	issue	Issues
NN	10b	10B
NN	summary	Summary
NNS	issue	Issues
CD	2	2
NNS	tutorial	Tutorials
VBZ	exhibit	Exhibits
NNP	Omeka	Omeka
VBG	manage	Managing
NNS	datum	Data
NNS	datum	Data
NN	visualization	Visualization
VBD	tableau	Tableau
JJ	public	Public
NN	cytoscape	Cytoscape
NN	text	Text
NN	analysis	Analysis
NNS	manyeye	ManyEyes
JJ	voyant	Voyant
NN	wordsmith	WordSmith
NNS	map	Maps
NN	amp	amp
NNS	timeline	Timelines
JJ	neatline	Neatline
NNS	geocommon	GeoCommons
VBG	wireframe	Wireframing
NNP	HTML	HTML
NN	amp	amp
NNP	CSS	CSS
CD	3	3
NN	student	Student
NNS	project	Projects
JJ	final	Final
NN	project	Project
NN	description	Description
JJ	final	Final
NN	project	Project
NN	evaluation	Evaluation
NN	studio	Studio
NN	lab	Lab
NN	schedule	Schedule
NN	fall	Fall
CD	2012	2012
NN	case	Case
NN	study	Study
JJ	superficial	Superficial
NN	diversity	Diversity
IN	on	on
NNP	Abbot	Abbot
NNP	Kinney	Kinney
NNP	Blvd	Blvd
NN	case	Case
NN	study	Study
NNP	Baltimore	Baltimore
NNS	sign	Signs
NN	project	Project
NN	case	Case
VB	study	Study
DT	the	The
NNS	triumph	Triumphs
CC	and	and
NNS	pitfall	Pitfalls
IN	of	of
NNS	datum	Data
NN	visualization	Visualization
IN	as	as
NN	narrative	Narrative
CD	4	4
VBD	advance	Advanced
NNS	topic	Topics
NNS	gi	GIS
CC	and	and
JJ	digital	Digital
NN	mapping	Mapping
NN	1a	1A
NN	introduction	Introduction
NN	jdrucker	JDrucker
CD	9	9
CD	2013	2013
NNP	Digital	Digital
NNS	humanities	humanities
VBZ	be	is
NN	work	work
IN	at	at
DT	the	the
NN	intersection	intersection
IN	of	of
NNP	digital	digital
NNP	technology	technology
CC	and	and
NNS	humanities	humanities
VBZ	discipline	disciplines
DT	the	The
NN	term	term
NNS	humanities	humanities
VBD	be	was
RB	first	first
VBN	use	used
IN	in	in
DT	the	the
NN	renaissance	Renaissance
IN	by	by
JJ	italian	Italian
NNS	scholar	scholars
VBN	involve	involved
IN	in	in
DT	the	the
NN	study	study
CC	and	and
NN	recovery	recovery
IN	of	of
NNS	work	works
IN	of	of
JJ	classical	classical
NN	antiquity	antiquity
DT	the	The
NN	term	term
VBZ	emphasize	emphasizes
DT	the	the
NN	shift	shift
IN	from	from
DT	a	a
JJ	medieval	medieval
NNP	theo	theo
NNP	centric	centric
NNP	world	world
NN	view	view
TO	to	to
CD	one	one
IN	in	in
WDT	which	which
NN	man	man
NNP	sic	sic
VBZ	be	is
DT	the	the
NN	measure	measure
IN	of	of
DT	all	all
NNS	thing	things
DT	the	The
NNS	humanities	humanities
VBP	be	are
DT	the	the
NNS	discipline	disciplines
WDT	that	that
VBP	focus	focus
IN	on	on
DT	the	the
NNS	art	arts
NN	literature	literature
NN	music	music
NN	dance	dance
NN	theater	theater
NN	architecture	architecture
NN	philosophy	philosophy
CC	and	and
JJ	other	other
NNS	expression	expressions
IN	of	of
JJ	human	human
NN	culture	culture
CC	but	But
WP	what	what
VBZ	do	does
DT	the	the
JJ	adjective	adjective
NNP	digital	digital
VB	refer	refer
TO	to	to
CC	and	And
WP	what	what
VBP	be	are
DT	the	the
NNS	implication	implications
IN	of	of
DT	the	the
NN	term	term
IN	for	for
NN	work	work
VBG	be	being
VBN	do	done
IN	under	under
DT	this	this
JJ	rubric	rubric
IN	since	Since
DT	all	all
NNS	act	acts
IN	of	of
NN	digitization	digitization
VBP	be	are
NNS	act	acts
IN	of	of
NN	remediation	remediation
VBG	understand	understanding
DT	the	the
NN	identity	identity
IN	of	of
JJ	binary	binary
NN	code	code
NN	digital	digital
NN	file	file
NNS	format	formats
DT	the	the
NN	migration	migration
IN	of	of
NNP	analogue	analogue
NNPS	materials	materials
CC	and	and
DT	the	the
NN	character	character
IN	of	of
VBN	bear	born
NNP	digital	digital
NNS	material	materials
VBZ	be	is
JJ	essential	essential
TO	to	to
VBG	understand	understanding
NNP	digital	digital
NNS	environment	environments
JJ	networked	Networked
NNS	condition	conditions
IN	of	of
NN	exchange	exchange
NN	play	play
DT	another	another
NN	role	role
IN	in	in
DT	the	the
NN	development	development
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
CC	and	and
JJ	other	other
JJ	digital	digital
NNS	project	projects
NNS	standard	Standards
CC	and	and
NNS	practice	practices
VBN	establish	established
IN	by	by
NNS	community	communities
VBP	form	form
DT	another	another
JJ	crucial	crucial
NN	component	component
IN	of	of
DT	the	the
JJ	technical	technical
NN	infrastructure	infrastructure
VBZ	embody	embodies
JJ	cultural	cultural
NNS	value	values
JJ	common	Common
NNS	myth	myths
IN	about	about
DT	the	the
NNP	digital	digital
NNP	environment	environment
VBP	be	are
IN	that	that
PRP	it	it
VBZ	be	is
JJ	stable	stable
RB	even	even
JJ	archival	archival
NN	e	e
NN	g	g
JJ	permanent	permanent
CC	and	and
IN	that	that
PRP	it	it
VBZ	be	is
JJ	immaterial	immaterial
NN	e	e
NN	g	g
RB	not	not
VBN	instantiate	instantiated
IN	in	in
NN	analogue	analogue
NN	reality	reality
DT	every	Every
JJ	actual	actual
NN	engagement	engagement
IN	with	with
NNP	digital	digital
NNP	technology	technology
VBZ	demonstrate	demonstrates
DT	the	the
JJ	opposite	opposite
IN	while	While
JJ	binary	binary
NN	code	code
VBZ	underpin	underpins
DT	all	all
JJ	digital	digital
NN	activity	activity
IN	at	at
DT	the	the
NN	level	level
IN	of	of
JJ	electrical	electrical
NNS	circuit	circuits
DT	the	the
NN	operation	operation
IN	of	of
NNP	digital	digital
NNS	environment	environments
VBZ	depend	depends
IN	on	on
DT	the	the
NN	ability	ability
IN	of	of
DT	that	that
NN	code	code
VBP	encode	encode
JJ	other	other
JJ	symbolic	symbolic
NNS	system	systems
IN	in	In
JJ	other	other
NNS	word	words
RB	not	not
VBP	code	code
IN	in	in
PRP	itself	itself
IN	as	as
CD	1	1
NNS	s	s
CC	and	and
CD	0	0
NNS	s	s
CC	but	but
NN	code	code
IN	in	in
PRP$	its	its
NN	capacity	capacity
TO	to	to
VB	encode	encode
NNS	instruction	instructions
CC	and	and
NN	information	information
VBZ	be	is
WP	what	what
VBZ	make	makes
NN	computation	computation
RB	so	so
JJ	powerful	powerful
NN	computation	Computation
VBZ	be	is
RB	infinitely	infinitely
RBR	more	more
JJ	powerful	powerful
IN	that	that
NN	calculation	calculation
WDT	which	which
VBZ	be	is
JJ	simple	simple
NNS	mathematics	mathematics
DT	no	no
NN	matter	matter
WRB	how	how
JJ	complex	complex
CC	or	or
NN	sophisticate	sophisticate
NN	computation	Computation
VBZ	involve	involves
DT	the	the
NN	manipulation	manipulation
IN	of	of
NNS	symbol	symbols
IN	through	through
PRP$	they	their
NN	representation	representation
IN	in	in
JJ	binary	binary
NN	code	code
DT	the	The
NNS	possibility	possibilities
VBP	be	are
JJ	infinite	infinite
DT	the	The
NNS	benefit	benefits
IN	of	of
VBG	be	being
JJ	able	able
TO	to	to
VB	encode	encode
NN	information	information
NN	knowledge	knowledge
NNS	artifact	artifacts
DT	a	an
JJ	other	other
NNS	material	materials
IN	in	in
NNP	digital	digital
NN	format	format
VBZ	be	is
RB	always	always
IN	in	in
NN	tension	tension
IN	with	with
DT	the	the
NNS	liability	liabilities
DT	the	the
NN	loss	loss
IN	of	of
NN	information	information
IN	from	from
DT	a	an
NN	analogue	analogue
NN	object	object
CC	or	or
IN	in	in
DT	the	the
NN	case	case
IN	of	of
DT	a	a
VBN	bear	born
NNP	digital	digital
NN	artifact	artifact
PRP$	its	its
NN	fragility	fragility
TO	to	to
NN	migration	migration
CC	and	and
NN	upgrade	upgrade
NNS	activity	Activities
DT	a	a
NN	assessment	Assessment
NN	instrument	instrument
VB	please	please
VB	fill	fill
RP	out	out
NNS	term	terms
PRP	you	you
VBP	know	know
CC	and	and
VBP	indicate	indicate
DT	those	those
JJ	unfamiliar	unfamiliar
TO	to	to
PRP	you	you
PRP	you	You
VBP	do	do
RB	not	NOT
VB	have	have
TO	to	to
VB	sign	sign
DT	these	these
PRP	you	You
VBP	ll	ll
VB	see	see
DT	the	the
JJ	same	same
NN	sheet	sheet
IN	at	at
DT	the	the
NN	end	end
IN	of	of
DT	the	the
NN	quarter	quarter
NN	b	b
NN	class	Class
NN	structure	structure
NNS	assignment	assignments
NNS	goal	goals
NNS	outcome	outcomes
NNS	topic	Topics
NN	syllabus	syllabus
JJ	brief	Brief
NN	history	history
NN	overview	overview
VBG	count	counting
VBG	sort	sorting
VBG	encode	encoding
VBG	classify	classifying
VBG	structure	structuring
JJ	repository	repository
NN	building	building
NN	analysis	analysis
NN	mining	mining
VBP	display	display
NN	remediation	remediation
NN	modelling	modelling
NN	c	c
RB	here	Here
VBZ	be	is
DT	a	a
NN	list	list
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
NNS	project	projects
IN	of	of
JJ	various	various
NNS	kind	kinds
WDT	which	which
PRP	we	we
MD	will	will
VB	use	use
IN	as	as
JJ	common	common
NNS	point	points
IN	of	of
NN	reference	reference
IN	throughout	throughout
DT	the	the
NN	course	course
CD	1	1
NN	brain	Brain
NNS	pickings	Pickings
VBP	http	http
NN	www	www
NNS	brainpicking	brainpickings
RB	org	org
NN	index	index
NNP	php	php
CD	2011	2011
NNP	08	08
CD	12	12
NNP	digital	digital
NNS	humanities	humanities
CD	7	7
JJ	important	important
NN	digitization	digitization
NNS	project	projects
NNS	project	Projects
NN	republic	Republic
IN	of	of
NNS	letter	Letters
NNP	London	London
NNP	Darwin	Darwin
NNP	s	s
NNP	Library	Library
NNP	Newton	Newton
NNP	Salem	Salem
NNP	NYPL	NYPL
NNP	Quixote	Quixote
CD	2	2
NNP	Walt	Walt
NNP	Whitman	Whitman
NNP	Archive	Archive
NNP	http	http
NNP	www	www
NNP	whitmanarchive	whitmanarchive
NNP	org	org
CD	3	3
NNP	Roman	Roman
NNP	Forum	Forum
NNP	Project	Project
NNP	http	http
NNP	dlib	dlib
NN	etc	etc
NNP	ucla	ucla
NNP	edu	edu
NNP	projects	projects
NNP	Forum	Forum
CD	4	4
NNS	woman	Women
NNS	writer	Writers
NN	project	Project
NN	http	http
NN	www	www
NNP	wwp	wwp
NNP	brown	brown
NNP	edu	edu
CD	5	5
NN	encyclopedia	Encyclopedia
IN	of	of
NNP	Chicago	Chicago
NNP	http	http
NNP	www	www
NN	encyclopedia	encyclopedia
NNP	chicagohistory	chicagohistory
NNP	org	org
VB	see	See
RB	also	also
JJ	http	http
NNPS	commons	commons
NN	gc	gc
NNP	cuny	cuny
NNP	edu	edu
NNP	wiki	wiki
NNP	index	index
NNP	php	php
NNP	Sample_Projects	Sample_Projects
NNP	http	http
NNP	digitalhumanitiesnow	digitalhumanitiesnow
NNP	org	org
NN	category	category
VBD	feature	featured
NN	page	page
CD	10	10
NN	d	d
DT	some	Some
NNS	concept	concepts
NN	site	site
IN	with	with
WDT	which	which
TO	to	to
VB	be	be
JJ	familiar	familiar
NN	turing	Turing
