POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	centernet	centerNet
DT	a	An
JJ	international	international
NN	network	network
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
NNS	center	centers
NN	menu	Menu
JJ	main	Main
NN	menu	menu
NN	home	Home
IN	about	About
NNS	center	Centers
VBP	contact	Contact
NNS	initiative	Initiatives
VB	join	Join
NNP	centerNet	centerNet
NNP	News	News
IN	about	About
NNP	centerNet	centerNet
NNP	centerNet	centerNet
VBZ	be	is
DT	a	an
JJ	international	international
NN	network	network
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
NNS	center	centers
VBN	form	formed
IN	for	for
JJ	cooperative	cooperative
CC	and	and
JJ	collaborative	collaborative
NN	action	action
TO	to	to
VB	benefit	benefit
NNP	digital	digital
NNS	humanities	humanities
CC	and	and
VBD	ally	allied
NNS	field	fields
IN	in	in
JJ	general	general
CC	and	and
VBZ	center	centers
RB	as	as
NNS	humanities	humanities
NN	cyberinfrastructure	cyberinfrastructure
IN	in	in
JJ	particular	particular
VBN	anchor	Anchored
IN	by	by
PRP$	its	its
JJ	new	new
NN	publication	publication
NNP	DHCommons	DHCommons
NNP	centerNet	centerNet
VBZ	enable	enables
JJ	individual	individual
NN	dh	DH
NNS	center	Centers
TO	to	to
NN	network	network
RB	internationally	internationally
VBG	share	sharing
CC	and	and
VBG	build	building
IN	on	on
NNS	project	projects
NNS	tool	tools
NN	staff	staff
CC	and	and
NN	expertise	expertise
IN	through	Through
NNS	initiative	initiatives
JJ	such	such
IN	as	as
NN	day	Day
NNS	s	s
IN	of	of
NN	dh	DH
CC	and	and
NNS	resource	Resources
IN	for	for
VBG	start	Starting
CC	and	and
VBG	sustain	Sustaining
NN	dh	DH
NNS	center	Centers
NN	centernet	centerNet
VBZ	provide	provides
DT	a	a
JJ	virtual	virtual
NN	dh	DH
NN	center	center
IN	for	for
VBN	isolate	isolated
NN	dh	DH
NNS	project	projects
CC	and	and
NN	platform	platform
IN	for	for
VBG	educate	educating
DT	the	the
JJR	broader	broader
JJ	scholarly	scholarly
NN	community	community
IN	about	about
NNP	Digital	Digital
NNS	humanities	Humanities
VBD	read	Read
RBR	more	more
JJ	centernet	centerNet
NN	news	News
NN	cfp	CFP
VBG	call	Calling
IN	for	for
NNS	proposal	Proposals
TO	to	to
NN	host	Host
NN	day	Day
IN	of	of
NN	dh	DH
IN	in	in
CD	2017	2017
CC	and	and
CD	2018	2018
VBN	submit	Submitted
IN	by	by
NN	kdalziel2	kdalziel2
NN	unl	unl
NN	edu	edu
IN	on	on
NN	mon	Mon
NN	05	05
CD	23	23
CD	2016	2016
CD	10	10
CD	47	47
DT	a	A
NN	day	Day
IN	in	in
DT	the	the
NN	life	Life
IN	of	of
DT	the	the
NNP	Digital	Digital
NNS	humanities	Humanities
NN	day	Day
IN	of	of
NN	dh	DH
VBZ	be	is
DT	a	an
JJ	open	open
NN	community	community
NN	initiative	initiative
VBN	sponsor	sponsored
IN	by	by
NN	centernet	centerNet
IN	that	that
DT	each	each
NN	year	year
VBZ	bring	brings
RB	together	together
NNS	scholar	scholars
JJ	interested	interested
IN	in	in
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
IN	from	from
IN	around	around
DT	the	the
NN	world	world
TO	to	to
VB	document	document
WP	what	what
PRP	they	they
VBP	do	do
IN	on	on
CD	one	one
NN	day	day
DT	the	The
NN	goal	goal
VBZ	be	is
TO	to	to
VB	create	create
DT	a	a
NN	website	website
WDT	that	that
VBZ	weave	weaves
RB	together	together
DT	a	a
NN	picture	picture
IN	of	of
DT	the	the
NNS	participant	participants
NNS	activity	activities
IN	on	on
DT	the	the
NN	day	day
CC	and	and
WDT	which	which
VBZ	answer	answers
DT	the	the
NN	question	question
RB	just	Just
WP	what	what
VBP	do	do
JJ	digital	digital
NNS	humanist	humanists
RB	really	really
VBP	do	do
NNS	participant	Participants
VBP	document	document
PRP$	they	their
NN	day	day
IN	through	through
NNS	photograph	photographs
CC	and	and
VB	text	text
DT	all	all
IN	of	of
WDT	which	which
VBZ	be	is
VBN	publish	published
IN	on	on
DT	a	a
NN	community	community
NN	online	online
NN	platform	platform
VBG	form	forming
DT	a	a
NN	record	record
IN	of	of
DT	the	the
NN	day	day
VB	read	Read
JJR	more	more
IN	about	about
NN	cfp	CFP
VBG	call	Calling
IN	for	for
NNS	proposal	Proposals
TO	to	to
NN	host	Host
NN	day	Day
IN	of	of
NN	dh	DH
IN	in	in
CD	2017	2017
CC	and	and
CD	2018	2018
NN	news	News
IN	from	from
NN	centernet	centerNet
NNS	center	Centers
VBP	dariah	DARIAH
IN	de	DE
NNP	Grand	Grand
NN	tour	Tour
NN	reproduzierbare	Reproduzierbare
NN	forschung	Forschung
NN	und	und
VBZ	erweiterte	Erweitertes
NN	publizieren	Publizieren
NNP	mit	mit
NNP	Jupyter	Jupyter
NNS	notebook	Notebooks
VBD	post	Posted
NNP	Tuesday	Tuesday
NNP	April	April
CD	10	10
CD	2018	2018
NNP	05	05
CD	21	21
IN	by	by
NN	textgrid	Textgrid
NN	digitale	Digitale
NN	methoden	Methoden
NN	entwickeln	entwickeln
NN	sich	sich
NNP	zunehmend	zunehmend
NNP	zur	zur
NNP	allt	allt
NNP	glichen	glichen
NNP	Praxis	Praxis
IN	in	in
NNP	den	den
NNP	Geisteswissenschaften	Geisteswissenschaften
NNP	Von	Von
NNP	der	der
NNP	Erstellung	Erstellung
NNP	einer	einer
NNP	Sammlung	Sammlung
NNP	ber	ber
NNP	Bildanalysen	Bildanalysen
VB	text	Text
JJ	annotierung	Annotierung
NN	bis	bis
NN	hin	hin
NN	zu	zu
NN	netzwerk	Netzwerk
NN	analysen	Analysen
NN	f	f
NN	r	r
VB	die	die
NNP	Ideengeschichte	Ideengeschichte
NNP	keiner	keiner
NNP	dieser	dieser
NNP	Bereiche	Bereiche
NNP	wird	wird
NNP	heutzutage	heutzutage
NNP	noch	noch
NNP	ohne	ohne
NNP	Computer	Computer
NNP	angegangen	angegangen
NNP	Durch	Durch
NNP	diese	diese
NNP	wachsende	wachsende
NNP	Bedeutung	Bedeutung
NNP	treten	treten
NNP	Themen	Themen
VB	die	die
NN	urspr	urspr
NN	nglich	nglich
IN	in	in
NNP	der	der
NN	software	Software
VBG	entwicklung	Entwicklung
NN	angesiedelt	angesiedelt
VBD	read	Read
JJ	full	full
NN	post	post
JJ	external	external
NN	link	link
WRB	when	When
NNS	pig	Pigs
VBP	fly	Fly
JJ	improbable	Improbable
NNS	perspective	Perspectives
IN	on	on
JJ	mediated	Mediated
NN	realism	Realism
NN	part	Part
CD	ii	II
VBD	post	Posted
NNP	Monday	Monday
NNP	April	April
CD	9	9
CD	2018	2018
CD	15	15
CD	54	54
IN	by	by
NNS	media	Media
NNS	art	Arts
NN	pr	Pr
NN	opening	Opening
NN	reception	Reception
NNP	April	April
CD	30	30
CD	5	5
NN	7pmgallery	7pmGallery
NNS	hour	Hours
MD	may	May
CD	1	1
CD	4	4
CD	10am	10am
JJ	5pm	5pm
NNS	close	closes
IN	at	at
CD	2pm	2pm
IN	on	on
NNP	May	May
CD	4	4
NN	location	Location
NNP	SCA	SCA
NNP	Gallery	Gallery
NN	room	Room
CD	120	120
CC	and	and
NNP	SCA	SCA
NNP	Stage	Stage
CD	4	4
NNP	USC	USC
NNP	School	School
IN	of	of
JJ	cinematic	Cinematic
NN	arts900	Arts900
NNP	West	West
NNP	34th	34th
NNP	Street	Street
NNP	Los	Los
NNP	Angeles	Angeles
MD	can	CA
CD	90089	90089
CD	2211	2211
NNP	Facebook	Facebook
NNP	Event	Event
DT	the	The
NN	post	post
WRB	when	When
NNS	pig	Pigs
VBP	fly	Fly
JJ	improbable	Improbable
NNS	perspective	Perspectives
IN	on	on
JJ	mediated	Mediated
NN	realism	Realism
NN	part	Part
CD	ii	II
VBD	appear	appeared
NN	read	Read
JJ	full	full
NN	post	post
JJ	external	external
NN	link	link
NN	erster	Erster
NN	internationaler	internationaler
NN	modellathon	Modellathon
NN	3d	3D
NN	rekonstruktion	Rekonstruktion
NN	ergebnisse	Ergebnisse
VBD	post	Posted
NNP	Monday	Monday
NNP	April	April
CD	9	9
CD	2018	2018
CD	12	12
CD	37	37
IN	by	by
NN	textgrid	Textgrid
VB	die	Die
FW	arbeitsgruppe	Arbeitsgruppe
FW	digitale	Digitale
NN	rekonstruktion	Rekonstruktion
NN	agdr	AGDR
NNP	des	des
NNP	Verbands	Verbands
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	im	im
NN	deutschsprachigen	deutschsprachigen
NN	raum	Raum
NN	dhd	DHd
NN	hat	hat
NN	im	im
NN	rahmen	Rahmen
NNP	des	des
NNP	Kongresses	Kongresses
NNP	Kritik	Kritik
NNP	der	der
NNP	Digitalen	Digitalen
NNP	Vernunft	Vernunft
NNP	im	im
NN	m	M
NN	rz	rz
CD	2018	2018
IN	in	in
NNP	K	K
NN	ln	ln
NN	den	den
NN	ersten	ersten
NN	internationalen	internationalen
NN	modellathon	Modellathon
NN	veranstaltet	veranstaltet
IN	in	In
NN	dieser	dieser
NN	spielart	Spielart
NNP	des	des
NNP	Hackathons	Hackathons
NNP	haben	haben
NNP	sich	sich
NNP	Studierende	Studierende
NNP	eine	eine
NNP	Woche	Woche
NNP	lang	lang
NNP	mit	mit
NNP	der	der
NNP	digitale	digitale
NNP	Rekonstruktionsaufgabe	Rekonstruktionsaufgabe
NNP	Vermitteln	Vermitteln
NN	sie	Sie
NN	den	den
NNP	Teilnehmern	Teilnehmern
NNP	der	der
VBD	read	Read
JJ	full	full
NN	post	post
JJ	external	external
NN	link	link
NN	web	Web
NN	programmierung	Programmierung
NN	ux	UX
NN	ui	UI
NN	design	Design
NN	und	und
NNP	Usability	Usability
NNP	Berlin	Berlin
NNP	E	E
CD	13	13
NN	tv	TV
NN	l	L
CD	50	50
VBD	post	Posted
NNP	Monday	Monday
NNP	April	April
CD	9	9
CD	2018	2018
NN	09	09
NN	04	04
IN	by	by
NN	textgrid	Textgrid
VBP	die	Die
NN	bbaw	BBAW
NN	sucht	sucht
