POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
DT	this	This
NN	service	service
VBZ	be	is
RBR	more	more
VBN	advance	advanced
IN	with	with
NN	javascript	JavaScript
JJ	available	available
VBP	learn	learn
RBR	more	more
IN	at	at
NNP	http	http
NNP	activatejavascript	activatejavascript
NNP	org	org
NNP	SpringerLink	SpringerLink
VB	search	Search
NN	home	Home
NN	contact	Contact
PRP	we	us
VBP	log	Log
IN	in	in
NN	image	image
NNS	computer	Computers
CC	and	and
DT	the	the
NNS	humanities	Humanities
NNS	computer	Computers
CC	and	and
DT	the	the
NNS	humanities	Humanities
NNP	September	September
CD	1976	1976
NN	volume	Volume
CD	10	10
NN	issue	Issue
CD	5	5
NN	pp	pp
CD	265	265
CD	274	274
VBP	cite	Cite
IN	as	as
JJ	computational	Computational
NNS	linguistics	linguistics
CC	and	and
DT	the	the
JJ	humanist	humanist
NNS	author	Authors
NNS	author	Authors
CC	and	and
NNS	affiliation	affiliations
NNP	William	William
NNP	Benzon	Benzon
NNP	David	David
NNP	G	G
NNP	Hays	Hays
NNP	Article	Article
CD	1	1
NNS	share	Shares
CD	52	52
NNS	download	Downloads
CD	2	2
NNS	citation	Citations
VBZ	keyword	Keywords
JJ	computational	Computational
JJ	linguistic	Linguistic
DT	these	These
NNS	keyword	keywords
VBD	be	were
VBN	add	added
IN	by	by
NN	machine	machine
CC	and	and
RB	not	not
IN	by	by
DT	the	the
NNS	author	authors
DT	this	This
NN	process	process
VBZ	be	is
JJ	experimental	experimental
CC	and	and
DT	the	the
NNS	keyword	keywords
MD	may	may
VB	be	be
VBN	update	updated
IN	as	as
DT	the	the
NNP	learning	learning
NN	algorithm	algorithm
VBZ	improve	improves
DT	this	This
VBZ	be	is
DT	a	a
NN	preview	preview
IN	of	of
NN	subscription	subscription
NN	content	content
NN	log	log
IN	in	in
TO	to	to
VB	check	check
NN	access	access
NN	preview	Preview
JJ	unable	Unable
TO	to	to
VB	display	display
NN	preview	preview
NN	download	Download
NN	preview	preview
NN	pdf	PDF
JJ	unable	Unable
TO	to	to
VB	display	display
NN	preview	preview
NN	download	Download
NN	preview	preview
NN	pdf	PDF
NN	bibliography	Bibliography
NNP	Anderson	Anderson
NNP	John	John
NNP	R	R
NNP	Computer	Computer
NN	simulation	simulation
IN	of	of
NN	language	language
NN	acquisition	acquisition
DT	a	A
JJ	first	first
NN	report	report
IN	in	In
NNP	Solso	Solso
NNP	ed	ed
NN	information	Information
NN	processing	Processing
CC	and	and
NN	cognition	Cognition
DT	the	The
NNP	Loyola	Loyola
NNP	Symposium	Symposium
NNP	New	New
NNP	York	York
NNP	John	John
NNP	Wiley	Wiley
CC	and	and
NNP	Sons	Sons
CD	1975	1975
NN	pp	pp
CD	295	295
CD	349	349
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Arbib	Arbib
NNP	Michael	Michael
DT	a	A
JJ	artificial	Artificial
NN	intelligence	intelligence
CC	and	and
NN	brain	brain
NN	theory	theory
NNS	unity	Unities
CC	and	and
NNS	diversity	diversities
NN	computer	Computer
CC	and	and
NN	information	Information
NNP	Science	Science
NNP	Department	Department
NNP	University	University
IN	of	of
NNP	Massachusetts	Massachusetts
NNP	Technical	Technical
NNP	Report	Report
NNP	75C	75C
CD	8	8
NNP	September	September
CD	1975	1975
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Bates	Bates
NNP	Madeleine	Madeleine
DT	the	The
NN	use	use
IN	of	of
NN	syntax	syntax
IN	in	in
DT	a	a
NN	speech	speech
NN	understanding	understanding
NN	system	system
JJ	ieee	IEEE
NNS	transaction	Transactions
IN	on	on
NNS	acoustic	Acoustics
NN	speech	Speech
CC	and	and
NN	signal	Signal
NN	processing	Processing
CD	23	23
CD	1	1
NNP	February	February
CD	1975 112 117	1975 112 117
NN	crossrefgoogle	CrossRefGoogle
NN	scholar	Scholar
NNP	Bates	Bates
NNP	Madeleine	Madeleine
NNP	Syntax	Syntax
IN	in	in
NNP	automatic	automatic
NN	speech	speech
NN	understanding	understanding
NN	ajcl	AJCL
CD	45	45
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Bechtel	Bechtel
NNP	Robert	Robert
CC	and	and
NNP	Stuart	Stuart
NNP	C	C
NNP	Shapiro	Shapiro
DT	a	A
NN	logic	logic
IN	for	for
JJ	semantic	semantic
NNS	network	networks
NN	computer	Computer
NNP	Science	Science
NNP	Department	Department
NNP	Indiana	Indiana
NNP	University	University
JJ	technical	Technical
NN	report	Report
DT	no	No
CD	47	47
NNP	March	March
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Becker	Becker
NNP	Richard	Richard
NNP	W	W
CC	and	and
NNP	Fausto	Fausto
NNP	Poza	Poza
NNP	Acoustic	Acoustic
NN	research	research
IN	in	in
NN	speech	speech
NN	understanding	understanding
NN	ieee	IEEE
NNS	transaction	Transactions
IN	on	on
NNS	acoustic	Acoustics
NN	speech	Speech
CC	and	and
NN	signal	Signal
NN	processing	Processing
CD	23 1975 416 426	23 1975 416 426
NN	crossrefgoogle	CrossRefGoogle
NN	scholar	Scholar
NNP	Benzon	Benzon
NNP	William	William
JJ	cognitive	Cognitive
NNS	network	networks
CC	and	and
JJ	literary	literary
NNS	semantics	semantics
JJ	modern	Modern
NN	language	Language
VBZ	note	Notes
DT	the	The
NN	centennial	Centennial
NN	issue	Issue
NN	summer	Summer
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Collins	Collins
NNP	Allan	Allan
NN	m	M
CC	and	and
NNP	Elizabeth	Elizabeth
NN	f	F
VBZ	loftus	Loftus
DT	a	A
NN	spreading	spreading
NN	activation	activation
NN	theory	theory
IN	of	of
JJ	semantic	semantic
NN	processing	processing
JJ	psychological	Psychological
NN	review	Review
NN	82 1975 407 428	82 1975 407 428
NN	crossrefgoogle	CrossRefGoogle
NN	scholar	Scholar
NN	cullingford	Cullingford
NN	r	R
NN	e	E
DT	the	The
NN	application	application
IN	of	of
NN	script	script
VBN	base	based
NN	world	world
NN	knowledge	knowledge
IN	in	in
DT	a	an
VBN	integrate	integrated
NN	story	story
NN	understanding	understanding
NN	system	system
NN	abstract	Abstract
NN	inajcl	inAJCL
CD	48	48
CD	1976	1976
CD	31	31
NNS	preprint	Preprints
IN	of	of
NN	iccl	ICCL
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Erman	Erman
NNP	Lee	Lee
NNP	D	D
NNP	Richard	Richard
NNP	D	D
NNP	Fennell	Fennell
NNP	Victor	Victor
NNP	R	R
JJR	lesser	Lesser
CC	and	and
NNP	D	D
NNP	Raj	Raj
NNP	Reddy	Reddy
NNP	System	System
NNP	organization	organization
IN	for	for
NN	speech	speech
NN	understanding	understanding
NNS	implication	Implications
IN	of	of
NN	network	network
CC	and	and
JJ	multiprocessor	multiprocessor
NN	computer	computer
NN	architecture	architecture
NN	ieee	IEEE
NNS	transaction	Transactions
IN	on	on
NNS	computer	Computers
CD	25	25
NNP	April	April
CD	1976 414 421	1976 414 421
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Frederiksen	Frederiksen
NNP	Carl	Carl
NN	h	H
VBG	represent	Representing
JJ	logical	logical
CC	and	and
JJ	semantic	semantic
NN	structure	structure
IN	of	of
NN	knowledge	knowledge
VBN	acquire	acquired
IN	from	from
NN	discourse	discourse
JJ	cognitive	Cognitive
NN	psychology	Psychology
CD	7	7
NN	1975 371 485	1975 371 485
NN	crossrefgoogle	CrossRefGoogle
NN	scholar	Scholar
NNP	Friedman	Friedman
NNP	Joyce	Joyce
IN	with	with
NNP	Thomas	Thomas
NNP	H	H
NNP	Bredt	Bredt
NNP	Robert	Robert
NNP	W	W
NNP	Doran	Doran
NNP	Bary	Bary
NNP	W	W
NNP	Pollack	Pollack
CC	and	and
NNP	Theodore	Theodore
NNP	S	S
NNP	Martner	Martner
DT	a	A
NN	computer	Computer
NN	model	Model
IN	of	of
JJ	transformational	Transformational
NN	grammar	Grammar
NNP	New	New
NNP	York	York
NNP	American	American
NNP	Elsevier	Elsevier
CD	1971	1971
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Goldman	Goldman
NNP	Neil	Neil
NN	m	M
NN	sentence	Sentence
VBG	paraphrase	paraphrasing
IN	from	from
DT	a	a
JJ	conceptual	conceptual
NN	base	base
NNS	communication	Communications
IN	of	of
DT	the	the
NN	acm	ACM
CD	18	18
CD	1975	1975
CD	96	96
NN	crossrefgoogle	CrossRefGoogle
NN	scholar	Scholar
NNP	Gregg	Gregg
NNP	Lee	Lee
NNP	W	W
NN	knowledge	Knowledge
CC	and	and
NN	cognition	Cognition
NN	potomac	Potomac
NNP	MD	MD
NNP	Lawrence	Lawrence
NNP	Erlbaum	Erlbaum
NNPS	Associates	Associates
CD	1974	1974
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Grishman	Grishman
NNP	Ralph	Ralph
DT	a	A
NN	survey	survey
IN	of	of
NN	syntactic	syntactic
NN	analysis	analysis
NNS	procedure	procedures
IN	for	for
JJ	natural	natural
NNS	language	languages
VBP	ajcl	AJCL
CD	47	47
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Hays	Hays
NNP	David	David
NNP	G	G
JJ	cognitive	Cognitive
NNS	structure	Structures
NN	manuscript	Manuscript
CD	1975	1975
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Hays	Hays
NNP	David	David
NNP	G	G
IN	on	On
NN	alienation	alienation
DT	a	An
NN	essay	essay
IN	in	in
DT	the	the
NNS	psycholinguistic	psycholinguistics
IN	of	of
NN	science	science
NN	inalienation	InAlienation
NNP	ed	ed
NNP	Felix	Felix
NNP	Geyer	Geyer
IN	in	in
NNP	press	press
NNP	Leiden	Leiden
NNP	H	H
NNP	E	E
NNP	Stenfert	Stenfert
NNP	Kroese	Kroese
NNP	B	B
NNP	V	V
CD	1976	1976
NNP	Google	Google
NNP	Scholar	Scholar
NNP	Hendrix	Hendrix
NNP	Gary	Gary
NNP	G	G
JJ	semantic	Semantic
NN	processing	processing
IN	for	for
