POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
NN	preview	Preview
NN	issue	Issue
CD	2018	2018
CD	12	12
CD	1	1
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	3	3
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
DT	a	A
NN	pedagogy	Pedagogy
IN	for	for
NN	computer	Computer
VBN	assist	Assisted
JJ	literary	Literary
NN	analysis	Analysis
VBG	introduce	Introducing
NNP	GALGO	GALGO
NNP	Golden	Golden
NNP	Age	Age
NN	literature	Literature
JJ	glossary	Glossary
NN	online	Online
NNP	Nuria	Nuria
NNP	Alonso	Alonso
NNP	Garc	Garc
DT	a	a
JJ	lt	lt
NN	nalonsog_at_providence_dot_edu	nalonsog_at_providence_dot_edu
NN	gt	gt
NNP	Providence	Providence
NNP	College	College
NNP	Alison	Alison
NNP	Caplan	Caplan
JJ	lt	lt
NN	acaplan_at_providence_dot_edu	acaplan_at_providence_dot_edu
NN	gt	gt
NNP	Providence	Providence
NNP	College	College
NNP	Brad	Brad
NNP	Mering	Mering
JJ	lt	lt
NN	brad_dot_mering_at_gmail_dot_com	brad_dot_mering_at_gmail_dot_com
NN	gt	gt
NN	mervideo	Mervideo
NN	abstract	Abstract
DT	this	This
NN	paper	paper
VBZ	describe	describes
DT	a	a
JJ	digital	digital
NN	teaching	teaching
NN	application	application
WDT	that	that
VBZ	approach	approaches
DT	the	the
NN	study	study
IN	of	of
NN	language	language
CC	and	and
JJ	literary	literary
NNS	work	works
IN	from	from
DT	a	a
JJ	social	social
JJ	semiotic	semiotic
NN	perspective	perspective
CC	and	and
VBZ	represent	represents
DT	a	an
JJ	innovative	innovative
JJ	pedagogical	pedagogical
NN	model	model
IN	for	for
NN	world	world
NN	language	language
CC	and	and
NN	literature	literature
NNS	class	classes
DT	the	The
JJ	golden	Golden
NN	age	Age
NN	literature	Literature
JJ	glossary	Glossary
NN	online	Online
VBN	know	known
IN	by	by
DT	the	the
NN	acronym	acronym
NN	galgo	GALGO
VBZ	consist	consists
IN	of	of
DT	a	an
JJ	online	online
NN	glossary	glossary
IN	of	of
JJ	select	select
NNS	keyword	keywords
IN	from	from
JJ	canonical	canonical
NNS	text	texts
IN	of	of
JJ	golden	Golden
NN	age	Age
JJ	spanish	Spanish
NN	literature	literature
WP$	whose	whose
JJ	multiple	multiple
NNS	connotation	connotations
VBP	illuminate	illuminate
JJ	important	important
JJ	linguistic	linguistic
CC	and	and
JJ	social	social
NNS	concept	concepts
IN	of	of
DT	the	the
JJ	16th	16th
CC	and	and
JJ	17th	17th
NNS	century	centuries
NN	galgo	GALGO
VBZ	incorporate	incorporates
JJ	british	British
JJ	cultural	cultural
NN	historian	historian
NNP	Raymond	Raymond
NNP	Williams	Williams
NN	methodology	methodology
IN	in	in
PRP$	he	his
NNS	keyword	Keywords
DT	a	A
NN	vocabulary	Vocabulary
IN	of	of
NN	culture	Culture
CC	and	and
NN	society	Society
RB	namely	namely
VBG	identify	identifying
NN	problem	problem
JJ	laden	laden
NNS	word	words
CC	or	or
NNS	keyword	keywords
VBG	chart	charting
PRP$	they	their
JJ	distinct	distinct
NNS	usage	usages
IN	across	across
NNS	text	texts
CC	and	and
VBG	reflect	reflecting
RB	critically	critically
IN	on	on
NNS	cluster	clusters
IN	of	of
VBN	associate	associated
NNS	word	words
NNP	GALGO	GALGO
VBZ	seek	seeks
TO	to	to
VB	instantiate	instantiate
NN	language	language
IN	as	as
JJ	social	social
JJ	semiotic	semiotic
IN	by	by
VBG	link	linking
DT	the	the
JJ	semantic	semantic
NNS	configuration	configurations
IN	of	of
DT	a	a
JJ	literary	literary
NN	work	work
RB	simultaneously	simultaneously
TO	to	to
DT	the	the
JJ	cultural	cultural
NN	environment	environment
DT	the	the
JJ	linguistic	linguistic
NN	system	system
CC	and	and
DT	the	the
JJ	social	social
NN	system	system
VBG	apply	Applying
DT	the	the
JJ	conceptual	conceptual
NN	design	design
IN	of	of
NN	m	M
DT	a	A
NN	k	K
NN	halliday	Halliday
NNS	s	s
JJ	social	social
JJ	semiotic	semiotic
NN	model	model
NN	galgo	GALGO
NNS	s	s
JJ	interpretive	interpretive
NN	apparatus	apparatus
VBZ	provide	provides
DT	the	the
NN	field	field
IN	of	of
NN	discourse	discourse
CC	or	or
NN	context	context
IN	of	of
NN	situation	situation
IN	for	for
DT	the	the
NN	text	text
IN	in	in
WDT	which	which
DT	a	a
JJ	specific	specific
NN	keyword	keyword
VBZ	appear	appears
DT	the	The
NN	field	field
IN	of	of
NN	discourse	discourse
VBZ	present	presents
NNS	cluster	clusters
NN	word	word
NNS	grouping	groupings
IN	of	of
JJ	semiotic	semiotic
NN	affinity	affinity
WDT	that	that
VBP	describe	describe
DT	the	the
JJ	social	social
NN	action	action
WDT	that	that
VBZ	be	is
VBG	take	taking
NN	place	place
IN	in	in
DT	the	the
NN	text	text
NN	galgo	GALGO
RB	also	also
VBZ	perform	performs
DT	a	an
NN	interpretation	interpretation
IN	of	of
DT	the	the
NN	tenor	tenor
IN	of	of
NN	discourse	discourse
VBG	highlight	highlighting
JJ	sociological	sociological
NNS	variable	variables
VBN	connect	connected
TO	to	to
NN	class	class
NN	status	status
NN	gender	gender
NN	role	role
CC	and	and
JJ	racial	racial
NN	category	category
WDT	that	that
VB	refine	refine
DT	a	a
JJ	keyword	keyword
NNS	s	s
VBG	mean	meaning
IN	from	from
DT	the	the
NN	perspective	perspective
IN	of	of
JJ	interpersonal	interpersonal
NNS	relationship	relationships
RB	finally	Finally
NNP	GALGO	GALGO
VBZ	add	adds
NN	commentary	commentary
IN	on	on
JJ	discursive	discursive
