POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
NN	preview	Preview
NN	issue	Issue
CD	2018	2018
CD	12	12
CD	1	1
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	3	3
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
DT	a	A
JJ	long	Long
JJ	belated	Belated
JJ	welcome	Welcome
VBG	accept	Accepting
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	method	Methods
IN	into	into
JJ	non	Non
NN	dh	DH
NNS	classroom	Classrooms
NNP	Kara	Kara
NNP	Kennedy	Kennedy
JJ	lt	lt
NN	dunescholar_at_gmail_dot_com	dunescholar_at_gmail_dot_com
NN	gt	gt
NN	university	University
IN	of	of
NNP	Canterbury	Canterbury
NN	abstract	Abstract
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	dh	DH
NNS	method	methods
VBN	incorporate	incorporated
IN	into	into
JJ	traditional	traditional
JJ	non	non
NN	dh	DH
NNS	humanities	humanities
NNS	classroom	classrooms
VBP	present	present
DT	a	a
JJ	fruitful	fruitful
NN	opportunity	opportunity
TO	to	to
VB	help	help
JJ	undergraduate	undergraduate
NNS	student	students
VBP	learn	learn
JJ	digital	digital
NN	literacy	literacy
NNS	skill	skills
RB	as	as
RB	well	well
IN	as	as
JJ	new	new
NNS	way	ways
IN	of	of
VBG	study	studying
DT	the	the
NNS	humanities	humanities
IN	in	In
NN	light	light
IN	of	of
DT	the	the
NN	trend	trend
IN	of	of
VBG	increase	increasing
NNS	number	numbers
IN	of	of
NNS	woman	women
VBG	enter	entering
JJR	higher	higher
NN	education	education
CC	and	and
VBG	choose	choosing
NNS	humanities	humanities
CC	and	and
NNS	art	arts
NNS	degree	degrees
NN	dh	DH
MD	can	can
RB	also	also
VB	help	help
NNS	woman	women
WP	who	who
RB	potentially	potentially
VBP	face	face
NN	gender	gender
NNS	bias	biases
VBN	relate	related
TO	to	to
NNP	digital	digital
NNP	technology	technology
VB	gain	gain
NN	competence	competence
CC	and	and
NN	confidence	confidence
IN	with	with
PRP	it	it
IN	through	through
PRP$	they	their
NNS	humanities	humanities
NNS	course	courses
VBG	have	Having
JJR	more	more
NNS	student	students
VBN	introduce	introduced
TO	to	to
VB	dh	DH
IN	as	as
DT	a	a
JJ	regular	regular
NN	part	part
IN	of	of
NN	study	study
MD	may	may
VB	increase	increase
NN	diversity	diversity
IN	in	in
DT	the	the
NN	dh	DH
NN	community	community
WRB	when	when
PRP	they	they
PRP	themselves	themselves
VBP	become	become
NNS	teacher	teachers
CC	and	and
NNS	researcher	researchers
NNS	barrier	Barriers
VBP	exist	exist
IN	from	from
NN	reluctance	reluctance
TO	to	to
VB	change	change
TO	to	to
DT	a	a
VBG	rise	rising
JJ	contingent	contingent
NN	labor	labor
NN	force	force
RB	therefore	Therefore
DT	this	this
NN	article	article
VBZ	offer	offers
DT	a	a
NN	selection	selection
IN	of	of
JJ	accessible	accessible
NN	dh	DH
NNS	method	methods
WDT	that	that
MD	can	can
VB	be	be
VBN	use	used
TO	to	to
RB	positively	positively
VB	shape	shape
NNS	humanities	humanities
NN	pedagogy	pedagogy
CD	1	1
IN	as	As
DT	a	a
NN	graduate	graduate
NN	student	student
IN	in	in
JJ	english	English
NN	literature	Literature
PRP	I	I
VBD	be	was
CD	one	one
IN	of	of
DT	the	the
JJ	lucky	lucky
NNS	one	ones
PRP$	my	my
JJ	first	first
NN	teaching	teaching
NN	assistant	assistant
NN	experience	experience
VBD	come	came
IN	in	in
DT	a	a
JJ	new	new
JJ	english	English
NN	course	course
WDT	that	that
VBD	include	included
DT	a	a
NN	component	component
JJ	related	related
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	dh	DH
DT	a	a
JJ	public	public
NN	blog	blog
IN	as	as
NN	part	part
IN	of	of
PRP$	its	its
NN	assessment	assessment
PRP	I	I
VBD	have	had
RB	never	never
VBN	encounter	encountered
NN	dh	DH
IN	in	in
PRP$	my	my
NNS	humanities	humanities
NN	degree	degree
NNS	program	programs
IN	at	at
JJ	previous	previous
NNS	university	universities
CC	but	but
PRP	I	I
RB	soon	soon
VBD	find	found
PRP	myself	myself
VBG	investigate	investigating
JJ	other	other
NNS	way	ways
IN	of	of
VBG	integrate	integrating
NN	dh	DH
IN	into	into
JJ	traditional	traditional
JJ	undergraduate	undergraduate
NNS	course	courses
TO	to	to
RBR	better	better
VB	prepare	prepare
NNS	student	students
IN	with	with
NNP	digital	digital
NN	literacy	literacy
NNS	skill	skills
IN	for	for
DT	the	the
JJ	21st	21st
NN	century	century
NN	information	information
NN	society	society
CC	and	and
VBP	show	show
PRP	they	them
JJ	new	new
NNS	way	ways
IN	of	of
VBG	study	studying
PRP$	they	their
JJ	favorite	favorite
NNS	subject	subjects
PRP$	my	My
NN	research	research
VBZ	have	has
VBN	lead	led
PRP	I	me
TO	to	to
DT	the	the
NN	conclusion	conclusion
IN	that	that
VBG	incorporate	incorporating
NN	dh	DH
NNS	method	methods
IN	into	into
JJ	non	non
NN	dh	DH
NNS	classroom	classrooms
VBZ	be	is
JJR	more	more
IN	than	than
RB	pedagogically	pedagogically
JJ	important	important
PRP	it	it
VBZ	be	is
DT	a	an
JJ	ethical	ethical
NN	duty	duty
CC	and	and
DT	a	a
JJ	feminist	feminist
JJ	imperative	imperative
NNS	humanities	Humanities
NNS	student	students
VBP	need	need
NNP	digital	digital
NN	literacy	literacy
NNS	skill	skills
VBG	include	including
DT	the	the
NNS	woman	women
WP	who	who
VBP	make	make
RP	up	up
DT	the	the
NN	majority	majority
IN	of	of
JJ	such	such
NNS	student	students
CC	and	and
