POS	lemma	word
NN	logo	Logo
NN	home	Home
NN	page	Page
RB	only	Only
JJ	cultural	Cultural
NNS	analytic	Analytics
NN	lab	Lab
PRP	we	We
VBP	use	use
NNS	datum	data
NN	science	science
TO	to	to
VB	analyse	analyse
NNS	pattern	patterns
IN	in	in
JJ	big	big
JJ	cultural	cultural
NNS	datum	data
DT	the	The
NN	lab	lab
VBZ	be	is
VBN	direct	directed
IN	by	by
NNP	Lev	Lev
NNP	Manovich	Manovich
DT	a	a
NN	pioneer	pioneer
IN	in	in
DT	the	the
NN	field	field
IN	of	of
JJ	cultural	cultural
NNS	analytic	analytics
NN	logo	Logo
CC	and	and
NN	side	Side
NN	nav	Nav
JJ	cultural	Cultural
NNS	analytic	Analytics
NN	lab	Lab
NN	news	News
IN	about	About
NNS	project	Projects
NNS	publication	Publications
NNS	people	People
VBG	mail	Mailing
NN	list	List
NN	twitter	Twitter
NN	flickr	Flickr
VBP	rss	RSS
NN	news	News
DT	the	The
NNS	post	posts
IN	from	from
CD	2018	2018
CD	2016	2016
VBP	be	are
IN	on	on
PRP$	we	our
NN	archive	archive
NN	site	site
NN	www	www
NNS	softwarestudy	softwarestudies
NN	com	com
VB	browse	Browse
NN	news	News
NN	archive	Archive
NNP	January	January
CD	2018	2018
NNP	November	November
CD	2017	2017
NNP	September	September
CD	2017	2017
MD	may	May
CD	2017	2017
NNP	March	March
CD	2017	2017
NNP	February	February
CD	2017	2017
NNP	October	October
CD	2016	2016
NNP	July	July
CD	2016	2016
MD	may	May
CD	2016	2016
NNP	April	April
CD	2016	2016
NNP	August	August
CD	2014	2014
NNP	January	January
CD	2013	2013
NNP	February	February
CD	2012	2012
NNP	November	November
CD	2010	2010
CD	16	16
NNP	April	April
CD	2016	2016
NNP	bookmark	bookmark
CD	7832806987413539050	7832806987413539050
DT	a	A
NN	view	View
IN	from	from
IN	above	Above
JJ	exploratory	Exploratory
NNS	visualization	Visualizations
IN	of	of
NNP	MoMA	MoMA
NNP	Photography	Photography
NN	collection	Collection
NN	image	image
NNP	Tweet	Tweet
NN	image	image
JJ	radial	Radial
NN	visualization	visualization
IN	of	of
CD	18	18
CD	941	941
NNS	photograph	photographs
IN	in	in
DT	the	the
NNP	MoMA	MoMA
NNP	photography	photography
NN	collection	collection
NNS	date	Dates
CD	1837	1837
CD	2012	2012
DT	the	The
NN	distance	distance
IN	of	of
DT	a	a
NN	image	image
NN	h	h
IN	from	from
DT	the	the
NN	center	center
VBZ	be	is
VBN	determine	determined
IN	by	by
PRP$	its	its
NN	year	year
IN	of	of
NN	creation	creation
DT	the	the
JJR	newer	newer
DT	the	the
NN	photograph	photograph
DT	the	the
RBR	farther	farther
PRP	it	it
VBZ	be	is
IN	from	from
DT	the	the
NN	center	center
DT	the	The
NN	degree	degree
IN	of	of
DT	a	a
NN	photograph	photograph
NNS	s	s
NN	placement	placement
IN	in	in
DT	the	the
NN	circle	circle
VBZ	be	is
VBN	determine	determined
IN	by	by
PRP$	its	its
JJ	average	average
NN	brightness	brightness
PRP	it	it
VBZ	increase	increases
JJ	counterclockwise	counterclockwise
IN	from	from
CD	90	90
NNS	degree	degrees
NN	image	image
NN	visualization	Visualization
IN	of	of
CD	18	18
CD	941	941
NNS	photograph	photographs
IN	in	in
DT	the	the
NNP	MoMA	MoMA
NNP	photography	photography
NN	collection	collection
NNS	date	Dates
CD	1837	1837
CD	2012	2012
NNS	image	Images
VBP	be	are
VBN	sort	sorted
IN	by	by
NN	year	year
IN	of	of
NN	creation	creation
