POS	lemma	word
VB	search	Search
IN	for	for
NNP	Register	Register
NN	log	Log
IN	in	In
NN	image	image
NN	image	image
DT	a	An
NN	online	online
NN	community	community
IN	for	for
NNP	MLA	MLA
NNS	member	members
NN	image	image
NN	mla	MLA
NNP	Commons	Commons
NNP	News	News
NN	feed	Feed
NNS	member	Members
NNS	group	Groups
CC	and	and
NNS	forum	Forums
NNS	site	Sites
CC	and	and
NNS	blog	Blogs
NN	core	CORE
JJ	repository	Repository
NN	help	Help
NN	mla	MLA
JJ	online	Online
NNS	publication	Publications
NN	mla	mla
NN	org	org
NN	hc	HC
NNS	society	Societies
NN	hc	HC
NN	ajs	AJS
VBZ	aseee	ASEEES
NNP	CAA	CAA
NNP	Register	Register
NNP	Login	Login
NNP	News	News
NN	feed	Feed
NNS	member	Members
NNS	group	Groups
CC	and	and
NNS	forum	Forums
NNS	site	Sites
CC	and	and
NNS	blog	Blogs
NN	core	CORE
JJ	repository	Repository
NN	help	Help
NN	mla	MLA
JJ	online	Online
NNS	publication	Publications
NN	mla	mla
NN	org	org
NN	hc	HC
NNS	society	Societies
NN	hc	HC
NN	ajs	AJS
NNS	aseee	ASEEES
JJ	caa	CAA
NN	image	image
NN	mla	MLA
NNP	Commons	Commons
NN	logo	logo
JJ	welcome	Welcome
TO	to	to
NNP	MLA	MLA
NNP	Commons	Commons
DT	the	the
JJ	scholarly	scholarly
NN	network	network
IN	for	for
NNP	MLA	MLA
NNS	member	members
VBP	discover	Discover
DT	the	the
JJS	latest	latest
JJ	open	open
NN	access	access
NN	scholarship	scholarship
CC	and	and
NN	teaching	teaching
NNS	material	materials
VB	join	join
NN	language	language
CC	and	and
NN	literature	literature
NN	discussion	discussion
NNS	group	groups
VBP	build	build
DT	a	a
NN	wordpress	WordPress
NN	web	Web
NN	site	site
IN	for	for
DT	a	a
NN	class	class
CC	or	or
NN	conference	conference
CC	or	or
TO	to	to
NN	showcase	showcase
PRP$	you	your
JJ	own	own
NN	work	work
CC	and	and
VB	grow	grow
PRP$	you	your
NN	readership	readership
IN	by	by
VBG	upload	uploading
NNS	material	materials
TO	to	to
NN	core	CORE
PRP$	we	our
JJ	open	open
NN	access	access
NN	repository	repository
WDT	what	What
MD	would	Would
PRP	you	You
VB	like	Like
TO	to	to
VB	do	Do
VB	create	Create
CC	or	or
VB	edit	edit
PRP$	you	your
NN	profile	profile
VB	join	Join
DT	a	a
JJ	special	special
NN	interest	interest
NN	group	group
VB	create	Create
DT	a	a
NN	web	Web
NN	site	site
CC	or	or
NN	blog	blog
NN	upload	Upload
PRP$	you	your
NN	work	work
TO	to	to
PRP$	we	our
JJ	repository	repository
NN	view	View
NN	member	member
NN	activity	activity
VBP	discover	Discover
JJ	open	Open
NN	access	Access
NN	scholarship	scholarship
VB	get	Get
VB	help	help
NN	image	image
VBP	rss	RSS
NN	news	News
IN	from	from
DT	the	the
NNP	MLA	MLA
CD	2018	2018
NNP	MLA	MLA
NNS	election	Elections
CD	2018	2018
NN	ratification	Ratification
NN	ballot	Ballot
VBZ	await	Awaits
NNS	member	Members
NN	attention	Attention
VBP	contribute	Contribute
TO	to	to
DT	a	an
NN	mla	MLA
VBZ	approach	Approaches
NN	volume	Volume
IN	on	on
NN	teaching	Teaching
NN	homer	Homer
NNS	s	s
NN	odyssey	Odyssey
NN	mla	MLA
NNS	member	Members
VBN	name	Named
NNS	fellow	Fellows
IN	of	of
DT	the	the
NNP	American	American
NNP	Academy	Academy
IN	of	of
NNS	art	Arts
CC	and	and
NNS	science	Sciences
NN	mla	MLA
NNS	member	Members
VBP	receive	Receive
CD	2018	2018
JJ	national	National
NN	endowment	Endowment
IN	for	for
DT	the	the
NNS	humanities	Humanities
NNS	grant	Grants
CD	2017	2017
JJ	top	Top
CD	ten	Ten
NN	mla	MLA
NNS	member	members
RBS	most	most
VBN	download	downloaded
NNS	work	works
IN	from	from
NN	core	CORE
JJ	last	last
NN	year	year
CD	1	1
NNP	Geraldine	Geraldine
