POS	lemma	word
NNS	section	Sections
NN	home	Home
NN	search	Search
VB	skip	Skip
TO	to	to
NN	content	content
DT	the	The
NNP	New	New
NNP	York	York
NNP	Times	Times
NNP	Opinionator	Opinionator
DT	the	The
NNP	Digital	Digital
NNS	humanities	Humanities
CC	and	and
DT	the	the
NN	transcending	Transcending
IN	of	of
NN	mortality	Mortality
NN	search	Search
VBP	subscribe	Subscribe
RB	now	Now
VB	log	Log
IN	in	In
CD	0	0
NNS	setting	Settings
JJ	close	Close
NN	search	search
NN	site	Site
NN	search	Search
NN	navigation	Navigation
NN	search	Search
NNS	nytime	NYTimes
NN	com	com
JJ	clear	Clear
DT	this	this
NN	text	text
NN	input	input
VBP	go	Go
VBG	load	Loading
VB	see	See
IN	next	next
NNS	article	articles
VBP	see	See
JJ	previous	previous
NNS	article	articles
NN	site	Site
NN	navigation	Navigation
NN	site	Site
JJ	mobile	Mobile
NN	navigation	Navigation
VBN	support	Supported
IN	by	by
NN	image	image
NN	image	image
NN	opinionator	Opinionator
NN	opinionator	Opinionator
DT	a	A
NN	gathering	Gathering
IN	of	of
NN	opinion	Opinion
IN	from	From
IN	around	Around
DT	the	the
NN	web	Web
NN	search	Search
NNP	Stanley	Stanley
NN	fish	Fish
DT	the	The
NNP	Digital	Digital
NNS	humanities	Humanities
CC	and	and
DT	the	the
NN	transcending	Transcending
IN	of	of
NN	mortality	Mortality
IN	by	By
NNP	Stanley	Stanley
NN	fish	Fish
NNP	January	January
CD	9	9
CD	2012	2012
CD	9	9
CD	00	00
NN	pm	pm
NNP	January	January
CD	9	9
CD	2012	2012
CD	9	9
CD	00	00
NN	pm	pm
NN	image	image
NNP	Stanley	Stanley
NN	fish	Fish
NNP	Stanley	Stanley
NN	fish	Fish
IN	on	on
NN	education	education
NN	law	law
CC	and	and
NN	society	society
DT	this	This
VBZ	be	is
DT	a	a
NN	blog	blog
EX	there	There
PRP	I	I
VBP	have	ve
VBD	say	said
PRP	it	it
PRP	I	I
VBP	have	have
VBN	be	been
VBG	resist	resisting
VBG	say	saying
PRP	it	it
PRP	I	I
VBP	have	have
RB	always	always
VBN	refer	referred
TO	to	to
DT	this	this
NN	space	space
IN	as	as
DT	a	a
NN	column	column
RB	not	not
RB	only	only
IN	because	because
NN	blog	blog
VBZ	be	is
DT	a	an
JJ	ugly	ugly
NN	word	word
IN	as	as
VBP	be	are
JJ	clog	clog
NN	smog	smog
CC	and	and
NN	slog	slog
CC	but	but
IN	because	because
NNS	blog	blogs
VBP	be	are
JJ	provisional	provisional
JJ	ephemeral	ephemeral
JJ	interactive	interactive
JJ	communal	communal
JJ	available	available
TO	to	to
VB	challenge	challenge
NN	interruption	interruption
CC	and	and
NN	interpolation	interpolation
CC	and	and
RB	not	not
VBN	mean	meant
TO	to	to
JJ	last	last
IN	whereas	whereas
IN	in	in
DT	a	a
JJ	professional	professional
NN	life	life
RB	now	now
VBG	go	going
IN	into	into
PRP$	its	its
JJ	50th	50th
NN	year	year
PRP	I	I
VBP	have	have
VBN	be	been
VBG	build	building
NNS	argument	arguments
WDT	that	that
VBP	be	are
VBN	intend	intended
TO	to	to
VB	be	be
JJ	decisive	decisive
JJ	comprehensive	comprehensive
JJ	monumental	monumental
JJ	definitive	definitive
CC	and	and
RBS	most	most
JJ	important	important
DT	all	all
NN	mine	mine
IN	in	In
VBG	change	Changing
NNS	place	Places
CC	and	and
JJ	small	Small
NN	world	World
DT	the	the
NN	novelist	novelist
NNP	David	David
NNP	Lodge	Lodge
NNS	fashion	fashions
DT	a	a
JJ	comical	comical
JJ	satirical	satirical
NN	portrait	portrait
IN	of	of
DT	a	a
JJ	literary	literary
NN	critic	critic
VBN	name	named
NNP	Morris	Morris
NNP	Zapp	Zapp
WP$	whose	whose
NN	ambition	ambition
IN	as	as
PRP$	he	his
JJ	last	last
NN	name	name
VBZ	suggest	suggests
VBZ	be	is
TO	to	to
VB	write	write
IN	about	about
DT	a	a
NN	topic	topic
IN	with	with
JJ	such	such
NN	force	force
CC	and	and
NN	completeness	completeness
IN	that	that
DT	no	no
JJ	other	other
NN	critic	critic
MD	will	will
VB	be	be
JJ	able	able
TO	to	to
VB	say	say
DT	a	a
NN	word	word
IN	about	about
PRP	it	it
DT	the	The
NN	job	job
MD	will	will
VB	have	have
VBN	be	been
VBN	do	done
RB	forever	forever
DT	that	That
VBZ	have	has
RB	always	always
VBN	be	been
PRP$	my	my
NN	aim	aim
CC	and	and
DT	the	the
NN	content	content
IN	of	of
DT	that	that
NN	aim	aim
DT	a	a
NN	desire	desire
IN	for	for
JJ	pre	pre
NN	eminence	eminence
NN	authority	authority
CC	and	and
JJ	disciplinary	disciplinary
NN	power	power
VBZ	be	is
WP	what	what
NNS	blog	blogs
CC	and	and
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
VBP	stand	stand
IN	against	against
DT	the	The
NN	point	point
VBZ	be	is
VBN	make	made
RB	concisely	concisely
IN	by	by
NNP	Kathleen	Kathleen
NNP	Fitzpatrick	Fitzpatrick
IN	in	in
PRP$	she	her
JJ	new	new
NN	book	book
VBD	plan	Planned
NN	obsolescence	Obsolescence
NN	publishing	Publishing
NN	technology	Technology
CC	and	and
DT	the	the
NN	future	Future
IN	of	of
DT	the	the
NNP	Academy	Academy
DT	a	a
NN	blog	blog
NNS	privilege	privileges
NN	immediacy	immediacy
DT	the	the
JJS	newest	newest
NNS	post	posts
VBP	appear	appear
RB	first	first
IN	on	on
DT	the	the
NN	screen	screen
CC	and	and
JJR	older	older
NNS	post	posts
RB	quickly	quickly
VBP	lose	lose
NN	currency	currency
DT	this	This
NN	emphasis	emphasis
IN	on	on
DT	the	the
JJ	present	present
NNS	work	works
IN	at	at
NN	cross	cross
NNS	purpose	purposes
IN	with	with
JJ	much	much
JJ	long	long
NN	form	form
NN	scholarship	scholarship
WDT	which	which
VBZ	need	needs
NN	stability	stability
CC	and	and
NN	longevity	longevity
IN	in	in
NN	order	order
TO	to	to
VB	make	make
PRP$	its	its
NNS	point	points
IN	as	As
NNP	Fitzpatrick	Fitzpatrick
RB	well	well
VBZ	see	sees
JJ	long	long
NN	form	form
NN	scholarship	scholarship
NNS	book	books
CC	and	and
NNS	article	articles
VBN	submit	submitted
TO	to	to
VBN	learn	learned
NNS	journal	journals
CC	and	and
NNP	university	university
NNS	press	presses
VBZ	need	needs
JJR	more	more
IN	than	than
IN	that	that
PRP	it	It
VBZ	need	needs
DT	the	the
JJ	interdependent	interdependent
NNS	notion	notions
IN	of	of
NN	author	author
NN	text	text
CC	and	and
NN	originality	originality
IN	in	In
DT	the	the
JJ	traditional	traditional
NN	model	model
IN	of	of
NN	scholarship	scholarship
DT	a	a
VBN	credential	credentialed
NN	author	author
NN	someone	someone
IN	with	with
DT	a	a
NN	ph	Ph
NN	d	D
CC	or	or
VBG	work	working
IN	toward	toward
CD	one	one
VBZ	get	gets
DT	a	an
NN	idea	idea
IN	that	that
NNS	s	s
DT	the	the
JJ	original	original
NN	part	part
CC	and	and
VBZ	apply	applies
PRP	it	it
TO	to	to
DT	a	a
NN	text	text
CC	or	or
DT	a	a
NN	set	set
IN	of	of
NNS	problem	problems
CC	and	and
VBZ	produce	produces
DT	all	all
IN	by	by
PRP	himself	himself
DT	a	a
JJ	new	new
NN	text	text
WDT	that	that
VBZ	be	is
VBN	offer	offered
TO	to	to
NNS	reader	readers
IN	with	with
DT	the	the
NN	promise	promise
IN	that	that
IN	if	if
PRP	they	they
VBP	follow	follow
DT	that	that
VBZ	be	is
VB	submit	submit
TO	to	to
PRP	it	it
PRP	they	they
MD	will	will
VB	gain	gain
DT	a	an
NN	increase	increase
IN	in	in
NN	understanding	understanding
CC	and	and
NN	knowledge	knowledge
NN	fitzpatrick	Fitzpatrick
NNS	comment	comments
PRP	it	It
VBZ	be	is
RB	not	not
RB	enough	enough
IN	that	that
DT	the	the
NN	text	text
VB	be	be
VBN	finish	finished
PRP	it	it
RB	also	also
VBZ	have	has
TO	to	to
VB	be	be
JJ	new	new
VBG	spring	springing
RB	entirely	entirely
IN	from	from
DT	the	the
NN	head	head
IN	of	of
DT	the	the
NN	author	author
CC	and	and
RB	always	always
VBG	distinguish	distinguishing
PRP	itself	itself
IN	from	from
DT	the	the
NN	writing	writing
IN	of	of
JJ	other	other
NNS	author	authors
NN	fitzpatrick	Fitzpatrick
VBZ	contend	contends
RB	first	first
DT	that	that
NN	authorship	authorship
VBZ	have	has
RB	never	never
VBN	be	been
RB	thus	thus
VBN	isolate	isolated
CD	one	one
RB	always	always
VBZ	write	writes
IN	against	against
DT	the	the
NN	background	background
IN	of	of
CC	and	and
IN	in	in
NN	conversation	conversation
IN	with	with
JJ	innumerable	innumerable
NNS	predecessor	predecessors
CC	and	and
NNS	contemporary	contemporaries
WP	who	who
VBP	be	are
IN	in	in
NN	effect	effect
CD	one	one
VBZ	be	s
NNS	collaborator	collaborators
CC	and	and
JJ	second	second
IN	that	that
DT	the	the
NN	myth	myth
IN	of	of
DT	the	the
NN	stand	stand
RB	alone	alone
JJ	masterful	masterful
NN	author	author
VBZ	be	is
VBN	expose	exposed
IN	for	for
DT	the	the
NN	fiction	fiction
PRP	it	it
VBZ	be	is
IN	by	by
DT	the	the
JJ	new	new
NNS	form	forms
IN	of	of
NN	communication	communication
NNS	blog	blogs
NNS	link	links
NN	hypertext	hypertext
NNP	re	re
VBZ	mix	mixes
NN	mash	mash
NNS	up	ups
JJ	multi	multi
NNS	modality	modalities
CC	and	and
RB	much	much
RBR	more	more
WDT	that	that
VBP	have	have
VBN	emerge	emerged
IN	with	with
DT	the	the
NN	development	development
IN	of	of
NNP	digital	digital
NNP	technology	technology
DT	the	The
NN	effect	effect
IN	of	of
DT	these	these
NNS	technology	technologies
VBZ	be	is
TO	to	to
VB	transform	transform
DT	a	a
RB	hitherto	hitherto
JJ	linear	linear
NN	experience	experience
DT	a	a
NNP	lone	lone
NNP	reader	reader
VBG	face	facing
DT	a	a
JJ	stable	stable
NN	text	text
VBN	provide	provided
IN	by	by
DT	a	an
NN	author	author
WP	who	who
VBZ	dictate	dictates
DT	the	the
NN	shape	shape
IN	of	of
NN	reading	reading
IN	by	by
VBG	dole	doling
RP	out	out
NN	information	information
IN	in	in
DT	a	a
NN	sequence	sequence
PRP	he	he
VBZ	control	controls
IN	into	into
DT	a	a
JJ	multi	multi
JJ	directional	directional
NN	experience	experience
IN	in	in
WDT	which	which
NNS	voice	voices
CC	and	and
NNS	image	images
VBP	enter	enter
NN	interact	interact
CC	and	and
VBP	proliferate	proliferate
IN	in	in
NNS	way	ways
WDT	that	that
VBP	decenter	decenter
DT	the	the
NN	authority	authority
IN	of	of
DT	the	the
NN	author	author
WP	who	who
VBZ	become	becomes
RB	just	just
DT	another	another
NN	participant	participant
RB	again	Again
RB	fitzpatrick	Fitzpatrick
PRP	we	we
VBP	need	need
TO	to	to
VB	think	think
JJR	less	less
IN	about	about
VBN	complete	completed
NNS	product	products
CC	and	and
JJR	more	more
