POS	lemma	word
NN	bookmark	bookmark
NN	top	top
WP	what	What
VBZ	be	Is
NN	text	Text
NN	mining	Mining
NNP	Marti	Marti
NNP	Hearst	Hearst
NNP	SIMS	SIMS
NN	uc	UC
NNP	Berkeley	Berkeley
NNP	hearst	hearst
NNP	sims	sims
NNP	berkeley	berkeley
NNP	edu	edu
NNP	October	October
CD	17	17
CD	2003	2003
PRP	I	I
VBD	write	wrote
DT	this	this
NN	essay	essay
IN	for	for
NNS	people	people
WP	who	who
VBP	be	are
JJ	curious	curious
IN	about	about
DT	the	the
NN	topic	topic
IN	of	of
NN	text	text
NN	mining	mining
IN	after	after
VBG	have	having
VBN	read	read
DT	the	the
NNP	New	New
NNP	York	York
NNP	Times	Times
NNP	article	article
IN	by	by
NNP	Lisa	Lisa
NNP	Guernsey	Guernsey
CD	10	10
CD	16	16
CD	2003	2003
CC	or	or
VBN	hear	heard
PRP$	my	my
JJ	future	Future
JJ	tense	Tense
NN	interview	interview
IN	with	with
NNP	Jon	Jon
NNP	Gordon	Gordon
CD	10	10
CD	20	20
CD	2003	2003
WP	what	What
VBZ	be	is
NN	text	text
NN	mining	mining
WP	what	What
VBP	be	are
PRP$	its	its
JJ	potential	potential
NNS	application	applications
CC	and	and
NNS	limitation	limitations
VBP	text	Text
NN	mining	Mining
VBZ	be	is
DT	the	the
NN	discovery	discovery
IN	by	by
NN	computer	computer
IN	of	of
JJ	new	new
RB	previously	previously
JJ	unknown	unknown
NN	information	information
IN	by	by
RB	automatically	automatically
VBG	extract	extracting
NN	information	information
IN	from	from
JJ	different	different
VBN	write	written
NNS	resource	resources
DT	a	A
JJ	key	key
NN	element	element
VBZ	be	is
DT	the	the
VBG	link	linking
RB	together	together
IN	of	of
DT	the	the
VBN	extract	extracted
NN	information	information
RB	together	together
TO	to	to
VB	form	form
JJ	new	new
NNS	fact	facts
CC	or	or
JJ	new	new
NNS	hypothesis	hypotheses
TO	to	to
VB	be	be
VBN	explore	explored
RB	further	further
IN	by	by
JJR	more	more
JJ	conventional	conventional
NNS	means	means
IN	of	of
NN	experimentation	experimentation
NN	text	Text
NN	mining	mining
VBZ	be	is
JJ	different	different
IN	from	from
WP	what	what
PRP	we	we
NNP	re	re
JJ	familiar	familiar
IN	with	with
IN	in	in
NN	web	web
NN	search	search
IN	in	In
NN	search	search
DT	the	the
NN	user	user
VBZ	be	is
RB	typically	typically
VBG	look	looking
IN	for	for
NN	something	something
WDT	that	that
VBZ	be	is
RB	already	already
VBN	know	known
CC	and	and
VBZ	have	has
VBN	be	been
VBN	write	written
IN	by	by
NN	someone	someone
RB	else	else
DT	the	The
NN	problem	problem
VBZ	be	is
VBG	push	pushing
RP	aside	aside
PDT	all	all
DT	the	the
NN	material	material
WDT	that	that
RB	currently	currently
VBP	isn	isn
NN	t	t
JJ	relevant	relevant
