POS	lemma	word
NNS	woman	Women
NNS	man	Men
NNS	kid	Kids
NNS	accessory	Accessories
NN	wiki15	Wiki15
CD	0	0
NNS	item	items
JJ	usd	USD
NN	aud	AUD
NN	cad	CAD
NN	chf	CHF
NN	cny	CNY
NN	dkk	DKK
NNP	EUR	EUR
NNP	GBP	GBP
NNP	HKD	HKD
NNP	JPY	JPY
NNP	NOK	NOK
NNP	NZD	NZD
VB	rub	RUB
NN	sek	SEK
NN	sgd	SGD
NN	twd	TWD
NN	image	image
NN	wikipedia	Wikipedia
NN	store	Store
NNS	woman	Women
NNS	man	Men
NNS	kid	Kids
NNS	accessory	Accessories
NN	wiki15	Wiki15
CD	0	0
NNS	item	items
JJ	usd	USD
NN	aud	AUD
NN	cad	CAD
NN	chf	CHF
NN	cny	CNY
NN	dkk	DKK
NNP	EUR	EUR
NNP	GBP	GBP
NNP	HKD	HKD
NNP	JPY	JPY
NNP	NOK	NOK
NNP	NZD	NZD
VB	rub	RUB
NN	sek	SEK
NN	sgd	SGD
NN	twd	TWD
IN	for	For
DT	the	the
JJ	future	Future
NNS	wikipedian	Wikipedians
VB	thank	Thank
DT	a	a
NN	volunteer	volunteer
PRP	we	We
VBP	use	use
DT	the	the
NNS	proceeds	proceeds
IN	from	from
DT	the	the
NN	store	store
TO	to	to
VB	send	send
VB	thank	thank
PRP	you	you
NNS	gift	gifts
TO	to	to
DT	the	the
NNS	volunteer	volunteers
WP	who	who
VBP	make	make
NN	wikipedia	Wikipedia
JJ	possible	possible
NN	wikipediastore	wikipediastore
NN	image	image
NN	wikipedia	Wikipedia
NN	store	store
IN	on	on
NN	instagram	Instagram
IN	about	About
PRP	we	us
NN	wikipedia	Wikipedia
NNS	volunteer	volunteers
VBP	be	are
JJ	special	special
PRP	they	They
VBP	hail	hail
IN	from	from
DT	all	all
IN	across	across
DT	the	the
NN	globe	globe
VBG	represent	representing
DT	every	every
NN	professional	professional
CC	and	and
JJ	personal	personal
NN	experience	experience
CD	one	one
MD	can	can
VB	imagine	imagine
PRP	they	They
VBP	donate	donate
NNS	ton	tons
IN	of	of
NNS	hour	hours
IN	per	per
NN	year	year
TO	to	to
VBG	write	writing
CC	and	and
NN	editing	editing
NN	wikipedia	Wikipedia
IN	without	Without
PRP	they	them
PRP	we	we
MD	would	would
RB	not	not
VB	exist	exist
PRP	we	We
MD	can	can
NN	t	t
VB	thank	thank
PRP	they	them
RB	enough	enough
CC	but	but
PRP	we	we
NNP	re	re
VBG	try	trying
IN	that	That
NNS	s	s
WRB	why	why
PRP	we	we
VBD	create	created
DT	the	the
NN	merchandise	Merchandise
NN	giveaway	Giveaway
NN	program	Program
IN	amongst	amongst
JJ	other	other
NNS	project	projects
IN	through	Through
PRP	it	it
DT	any	any
NNP	Wikipedia	Wikipedia
NN	user	user
MD	can	can
VB	nominate	nominate
DT	a	a
NN	wikipedia	Wikipedia
NN	contributor	contributor
TO	to	to
VB	receive	receive
DT	a	a
JJ	free	free
NN	gift	gift
IN	in	in
DT	the	the
NN	mail	mail
PRP	we	We
VBD	have	had
DT	a	a
JJ	great	great
NN	time	time
VBG	find	finding
JJ	creative	creative
CC	and	and
JJ	sustainable	sustainable
NN	merchandise	merchandise
IN	for	for
DT	this	this
NN	program	program
WRB	when	When
NNS	people	people
VBD	start	started
VBG	ask	asking
IN	if	if
PRP	they	they
MD	could	could
VB	buy	buy
PRP$	we	our
NNS	shirt	shirts
NNS	bag	bags
CC	and	and
NNS	pen	pens
PRP	we	we
VBD	think	thought
WRB	why	why
RB	not	not
WP	what	What
VBZ	go	goes
RB	around	around
VBZ	come	comes
IN	around	around
PRP	we	We
VBP	invite	invite
PRP	you	you
TO	to	to
VB	support	support
DT	the	the
NN	community	community
IN	with	with
PRP$	you	your
NN	purchase	purchase
VB	thank	Thank
PRP	you	you
IN	for	for
VBG	be	being
DT	a	a
NN	part	part
IN	of	of
PRP	it	it
VB	join	Join
PRP$	we	our
NN	mailing	Mailing
NN	list	List
VB	please	Please
VB	enter	enter
DT	a	a
JJ	valid	valid
NN	email	email
NN	address	address
NN	wiki	Wiki
NN	instagram	Instagram
NN	twitter	Twitter
NNP	Facebook	Facebook
VB	help	Help
NN	faq	FAQ
NN	payment	Payment
NNS	method	Methods
NNS	return	Returns
NN	amp	amp
NNS	exchange	Exchanges
NN	problem	Problem
IN	with	With
NN	order	Order
NN	contact	Contact
PRP	we	We
NN	feedback	Feedback
NN	shipping	Shipping
VB	email	Email
PRP	we	Us
JJ	legal	Legal
NNS	term	Terms
IN	of	of
NN	service	Service
NN	privacy	Privacy
NN	policy	Policy
DT	all	All
NN	content	content
VBZ	be	is
JJ	available	available
IN	under	under
DT	the	the
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
JJ	sharealike	ShareAlike
CD	3	3
CD	0	0
NN	license	License
IN	unless	unless
RB	otherwise	otherwise
VBN	note	noted
NN	copyright	Copyright
CD	2018	2018
NNP	Wikipedia	Wikipedia
NNP	Store	Store
NNP	Wikipedia	Wikipedia
VBZ	be	is
DT	a	a
VBN	register	registered
NN	trademark	trademark
IN	of	of
DT	the	the
NNP	Wikimedia	Wikimedia
NNP	Foundation	Foundation
VB	see	See
DT	the	the
NN	wikimedia	Wikimedia
NN	trademark	Trademark
NN	policy	Policy
IN	for	for
JJR	more	more
NNS	detail	details
NNP	WikiMedia	WikiMedia
NNP	Foundation	Foundation
