POS	lemma	word
VB	search	Search
DT	this	this
NN	site	site
JJ	cultural	Cultural
NNS	analytic	Analytics
JJ	2017menu	2017Menu
NN	home	Home
NN	schedule	Schedule
NNS	participant	Participants
NNS	logistics	Logistics
NN	video	Video
JJ	cultural	Cultural
NNS	analytic	Analytics
CD	2017	2017
NN	home	Home
NN	schedule	Schedule
NNS	participant	Participants
NNS	logistics	Logistics
NN	video	Video
RBR	more	More
NN	home	Home
NN	schedule	Schedule
NNS	participant	Participants
NNS	logistics	Logistics
NN	video	Video
MD	can	CA
CD	2017	2017
NNP	University	University
IN	of	of
NNP	Notre	Notre
NNP	Dame	Dame
CD	26	26
CD	27	27
MD	may	May
CD	2017	2017
IN	about	About
JJ	cultural	Cultural
NNS	analytic	Analytics
CD	2017	2017
VBD	be	was
DT	a	a
CD	two	two
NN	day	day
NN	symposium	symposium
MD	may	May
CD	26	26
CD	27	27
CD	2017	2017
VBN	devote	devoted
TO	to	to
JJ	new	new
NN	research	research
IN	in	in
DT	the	the
NNS	field	fields
IN	of	of
JJ	computational	computational
CC	and	and
NNS	datum	data
JJ	intensive	intensive
JJ	cultural	cultural
NNS	study	studies
VBG	combine	Combining
NNS	method	methods
CC	and	and
NNS	insight	insights
IN	from	from
NN	computer	computer
NN	science	science
CC	and	and
DT	the	the
JJ	quantitative	quantitative
NNP	social	social
NNPS	sciences	sciences
IN	with	with
NNS	question	questions
JJ	central	central
TO	to	to
DT	the	the
JJ	interpretive	interpretive
NNS	humanities	humanities
DT	the	the
NN	event	event
VBD	explore	explored
DT	some	some
IN	of	of
DT	the	the
RBS	most	most
JJ	compelling	compelling
JJ	contemporary	contemporary
JJ	interdisciplinary	interdisciplinary
NN	work	work
IN	in	in
DT	a	a
JJ	rigorous	rigorous
JJ	collegial	collegial
NN	environment	environment
DT	the	The
NN	symposium	symposium
VBZ	be	is
RB	now	now
IN	over	over
CC	but	but
PRP	you	you
MD	can	can
VB	see	see
DT	a	a
NN	list	list
IN	of	of
NNS	talk	talks
CC	and	and
NNS	video	videos
IN	on	on
DT	the	the
NN	schedule	Schedule
NN	page	page
CC	and	and
VB	read	read
JJR	more	more
IN	about	about
DT	the	the
NNS	presenter	presenters
IN	on	on
DT	the	the
NNS	participant	Participants
NN	page	page
PRP	you	You
MD	can	can
RB	also	also
VB	download	download
DT	a	a
NN	poster	poster
TO	to	to
VB	commemorate	commemorate
DT	the	the
NN	event	event
NN	image	image
NNS	sponsor	Sponsors
VBP	institute	Institute
IN	for	for
NN	scholarship	Scholarship
IN	in	in
DT	the	the
JJ	liberal	Liberal
NNS	art	Arts
VBP	neh	NEH
NN	office	Office
IN	of	of
NNP	Digital	Digital
NNS	humanities	Humanities
IN	via	via
DT	a	a
NN	grant	grant
TO	to	to
DT	the	the
JJ	textual	Textual
NNS	geography	Geographies
NN	project	Project
NN	department	Department
IN	of	of
NNP	English	English
NN	department	Department
IN	of	of
NN	computer	Computer
NN	science	Science
CC	and	and
NN	engineering	Engineering
NN	office	Office
IN	of	of
NNP	Digital	Digital
NNP	Learning	Learning
NNP	Hesburgh	Hesburgh
NNS	library	Libraries
NN	center	Center
IN	for	for
NNP	Digital	Digital
NN	scholarship	Scholarship
VBN	make	Made
IN	with	with
DT	the	the
JJ	new	new
NNP	Google	Google
NNS	site	Sites
DT	a	an
JJ	effortless	effortless
NN	way	way
TO	to	to
VB	create	create
JJ	beautiful	beautiful
NNS	site	sites
VBP	report	Report
NN	abuse	abuse
