POS	lemma	word
NN	image	image
NN	digging	Digging
IN	into	Into
NNS	datum	Data
NN	web	Web
NN	site	Site
NN	search	Search
NNP	Wednesday	Wednesday
MD	may	May
CD	16	16
CD	2012	2012
NN	home	Home
NN	award	Award
NNS	recipient	Recipients
CD	2009	2009
NN	site	Site
NN	navigation	Navigation
NN	image	image
NN	image	image
NN	home	Home
NN	image	image
NN	image	image
NN	image	image
NNS	repository	Repositories
NN	image	image
NN	image	image
NN	image	image
VBD	do	DiD
NNS	logo	Logos
NN	image	image
NN	image	image
NN	image	image
NN	award	Award
NNS	recipient	Recipients
CD	2009	2009
NN	image	image
NN	image	image
NN	image	image
NN	digging	Digging
IN	into	into
NN	image	Image
NNS	datum	Data
NN	image	image
NN	image	image
NN	image	image
NN	digging	Digging
IN	into	into
DT	the	the
NN	enlightenment	Enlightenment
NN	image	image
NN	image	image
NN	image	image
VBG	mine	Mining
DT	a	a
NN	year	Year
IN	of	of
NN	speech	Speech
NN	image	image
NN	image	image
NN	image	image
JJ	structural	Structural
NN	analysis	Analysis
IN	of	of
JJ	large	Large
NNS	amount	Amounts
IN	of	of
NN	music	Music
NN	image	image
NN	image	image
NN	image	image
VBG	harvest	Harvesting
NN	speech	Speech
NNS	dataset	Datasets
IN	for	for
JJ	linguistic	Linguistic
NN	research	Research
NN	image	image
NN	image	image
NN	image	image
VBG	use	Using
NN	zotero	Zotero
CC	and	and
NN	tapor	TAPoR
IN	on	on
DT	the	the
JJ	old	Old
NNP	Bailey	Bailey
NN	image	image
NN	image	image
NN	image	image
IN	towards	Towards
JJ	dynamic	Dynamic
NN	variorum	Variorum
NNS	edition	Editions
NN	image	image
NN	image	image
NN	image	image
NNS	railroad	Railroads
CC	and	and
DT	the	the
NN	making	Making
IN	of	of
JJ	modern	Modern
NNP	America	America
NN	image	image
NN	image	image
NN	image	image
NN	conference	Conference
IN	for	for
CD	2009	2009
NNS	awardee	Awardees
NN	image	image
NN	image	image
NN	image	image
NN	award	Award
NNS	recipient	Recipients
CD	2011	2011
NN	bookmark	bookmark
CD	610	610
NNS	awardee	Awardees
IN	of	of
CD	2009	2009
NN	digging	Digging
IN	into	into
NNS	datum	Data
NN	challenge	Challenge
NN	image	image
VBP	minimize	Minimize
NNS	congratulation	Congratulations
TO	to	to
DT	the	the
CD	2009	2009
NN	digging	Digging
IN	into	into
NNS	datum	Data
NN	challenge	Challenge
NNS	awardee	Awardees
CC	and	and
DT	a	a
JJ	big	big
VB	thank	thank
PRP	you	you
TO	to	to
PDT	all	all
DT	the	the
NNS	team	teams
WDT	that	that
VBD	compete	competed
CC	and	and
DT	the	the
JJ	many	many
NNS	library	libraries
CC	and	and
NNS	archive	archives
WDT	that	that
VBD	make	made
PRP$	they	their
NNS	collection	collections
JJ	available	available
TO	to	to
DT	the	the
NNS	researcher	researchers
JJ	important	Important
NN	note	note
DT	each	Each
VBD	do	DiD
NN	project	project
VBZ	be	is
VBN	compose	composed
IN	of	of
DT	a	an
JJ	international	international
NN	team	team
IN	of	of
NNS	scholar	scholars
CC	and	and
