POS	lemma	word
RB	back	Back
TO	to	to
JJ	top	top
NN	blog	BLOG
NNP	BLAKE	BLAKE
DT	a	AN
JJ	illustrated	ILLUSTRATED
JJ	quarterly	QUARTERLY
JJ	current	Current
NN	issue	Issue
NN	archive	Archive
DT	the	THE
JJ	complete	COMPLETE
NN	poetry	POETRY
CC	and	AND
NN	prose	PROSE
IN	of	OF
NNP	WILLIAM	WILLIAM
NNP	BLAKE	BLAKE
NNP	ED	ED
NNP	ERDMAN	ERDMAN
WDT	what	What
NNS	s	s
JJ	new	New
IN	about	About
NNP	Blake	Blake
NNPS	Resources	Resources
IN	for	for
JJ	further	Further
NN	research	Research
IN	about	About
DT	the	the
NN	archive	Archive
NN	copyright	Copyright
CC	and	and
NNS	permission	Permissions
VBP	contact	Contact
DT	the	the
NN	archive	Archive
JJ	related	Related
NNS	site	Sites
VBP	subscribe	Subscribe
VB	subscribe	Subscribe
TO	to	to
DT	the	The
NNP	William	William
NNP	Blake	Blake
NNP	Archive	Archive
NN	newsletter	Newsletter
NN	copyright	Copyright
CD	2017	2017
DT	the	The
NNP	William	William
NNP	Blake	Blake
NNP	Archive	Archive
VB	follow	Follow
NNP	BlakeArchive	BlakeArchive
