POS	lemma	word
NN	image	image
NN	textmining	textmining
NN	biz	biz
NN	text	Text
NN	mining	Mining
NN	research	Research
IN	in	in
NNP	Montpellier	Montpellier
NNP	France	France
NN	contact	Contact
NN	image	image
NN	image	image
NN	umr	UMR
NN	tetis	TETIS
NN	agroparistech	AgroParisTech
NN	cirad	Cirad
NN	irstea	Irstea
CD	500	500
NN	rue	rue
NN	j	J
NN	f	F
NN	breton	Breton
CD	34093	34093
NNP	Montpellier	Montpellier
NNP	Cedex	Cedex
CD	5	5
NNP	France	France
NN	image	image
NN	image	image
NN	image	image
NN	lirmm	LIRMM
NNS	cnr	CNRS
NN	univ	Univ
NN	montpellier	Montpellier
CD	860	860
NNP	rue	rue
IN	de	de
NNP	St	St
NN	priest	Priest
CD	34095	34095
NNP	Montpellier	Montpellier
NNP	Cedex	Cedex
CD	5	5
NNP	France	France
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NNS	location	Locations
IN	of	of
NNS	visitor	visitors
TO	to	to
DT	this	this
NN	page	page
NN	presentation	Presentation
NN	text	Text
NN	mining	mining
VBZ	refer	refers
TO	to	to
DT	the	the
NN	process	process
IN	of	of
VBG	derive	deriving
JJ	high	high
NN	quality	quality
NN	information	information
IN	from	from
NN	text	text
JJ	typical	Typical
NN	text	text
NN	mining	mining
NNS	task	tasks
VBP	include	include
NN	text	text
NN	categorization	categorization
NN	text	text
NN	clustering	clustering
NN	concept	concept
NN	entity	entity
NN	extraction	extraction
NN	production	production
IN	of	of
JJ	granular	granular
NNS	taxonomy	taxonomies
NN	sentiment	sentiment
NN	analysis	analysis
NN	document	document
NN	summarization	summarization
CC	and	and
NN	entity	entity
NN	relation	relation
NN	modeling	modeling
PRP	i	i
NN	e	e
VBG	learn	learning
NNS	relation	relations
IN	between	between
VBN	name	named
NNS	entity	entities
VBG	textmine	textmining
NN	biz	biz
VBZ	enumerate	enumerates
DT	some	some
NN	research	research
NNS	scientist	scientists
IN	in	in
NNP	Montpellier	Montpellier
NNP	TETIS	TETIS
CC	and	and
NNP	LIRMM	LIRMM
NNS	lab	labs
VBG	work	working
IN	in	in
NN	text	text
NN	mining	mining
NN	domain	domain
DT	a	A
JJ	joint	joint
NN	group	group
IN	with	with
CC	both	both
NNS	laboratory	laboratories
MD	will	will
VB	be	be
VBN	propose	proposed
RB	soon	soon
VB	see	see
JJ	advanced	ADVanced
NNS	analytic	Analytics
IN	for	for
NNS	datum	data
NN	science	SciencE
NNP	Advanse	Advanse
NN	contact	contact
NNP	Pascal	Pascal
NNP	Poncelet	Poncelet
CC	and	and
NNP	Sandra	Sandra
NNP	Bringay	Bringay
NN	staff	Staff
NNP	Mathieu	Mathieu
NNP	Roche	Roche
NNP	Research	Research
NN	scientist	scientist
NN	tetis	TETIS
NN	cirad	Cirad
NN	maguelonne	Maguelonne
NN	teisseire	Teisseire
NN	research	Research
NN	scientist	scientist
NN	tetis	TETIS
NN	irstea	Irstea
NNP	Pascal	Pascal
NNP	Poncelet	Poncelet
NNP	Professor	Professor
NNP	LIRMM	LIRMM
NNP	Univ	Univ
NNP	Montpellier	Montpellier
NNP	Sandra	Sandra
NNP	Bringay	Bringay
JJ	associate	Associate
NN	professor	Professor
NN	lirmm	LIRMM
NN	univ	Univ
NNP	Paul	Paul
NN	val	Val
NN	ry	ry
NN	news	News
NN	text	Text
NN	mining	Mining
CC	and	and
NN	agriculture	Agriculture
NN	description	Description
IN	of	of
NN	agronlp	AgroNLP
NNS	project	projects
JJ	natural	Natural
NN	language	Language
NN	processing	Processing
VBD	apply	applied
TO	to	to
JJ	agricultural	AGRicultural
NN	domain	dOmain
NN	birthday	BIRTHDAY
NN	project	project
JJ	big	BIg
NNS	datum	Data
IN	for	for
NN	agriculture	Agriculture
CC	and	and
NN	biodiversity	biodiversitY
DT	a	A
NN	research	research
NN	project	project
IN	in	in
NN	collaboration	collaboration
IN	with	with
NNP	Peru	Peru
NNP	SONGES	SONGES
NN	project	project
VBZ	have	has
VBN	be	been
VBN	accept	accepted
CD	2016	2016
CD	2018	2018
NN	project	Project
VBN	support	supported
IN	by	by
NNP	Languedoc	Languedoc
NNP	Roussillon	Roussillon
CC	and	and
NNP	European	European
NNP	Union	Union
NNP	FEDER	FEDER
VBZ	88milsm	88milSMS
DT	a	A
NN	corpus	corpus
IN	of	of
JJ	authentic	authentic
NN	text	text
NNS	message	messages
NNS	sm	SMS
IN	in	in
JJ	french	French
VBZ	be	is
JJ	available	available
NN	biotex	BioTex
DT	a	A
NN	term	term
NN	extraction	extraction
NN	software	software
VBZ	be	is
JJ	available	available
NN	contact	Contact
NNP	Juan	Juan
NNP	Antonio	Antonio
NNP	Lossio	Lossio
NNP	Ventura	Ventura
NN	web	Web
NN	design	design
IN	by	by
JJ	free	Free
NNS	template	Templates
JJ	online	Online
NN	http	http
NN	www	www
NN	textmining	textmining
NN	biz	biz
CD	2015	2015
