POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	home	Home
IN	about	About
DT	the	the
NN	project	Project
IN	about	About
DT	the	the
NN	project	Project
NN	history	History
NN	project	Project
NNS	personnel	Personnel
NNS	acknowledgment	Acknowledgments
NN	image	Image
VBZ	count	Counts
IN	by	by
NN	country	Country
NNS	term	Terms
IN	of	of
NN	use	Use
NN	contact	Contact
PRP	we	Us
JJ	additional	Additional
NNS	resource	Resources
JJ	additional	Additional
NNS	resource	Resources
VBG	result	Resulting
NN	scholarship	Scholarship
NN	ssda	SSDA
IN	in	in
DT	the	the
NN	news	News
JJ	useful	Useful
NNS	link	Links
NN	teaching	Teaching
NNS	tool	Tools
NNS	conference	Conferences
CC	and	and
NNS	workshop	Workshops
NNP	University	University
IN	of	of
NNP	Florida	Florida
NN	talk	talk
NN	dr	Dr
NNP	Jane	Jane
NNP	Landers	Landers
NNP	Orienta	Orienta
NN	o	o
VBZ	oficina	Oficinas
TO	na	na
NN	para	Para
NN	ba	ba
NNP	Digital	Digital
NNS	humanities	Humanities
CC	and	and
DT	the	the
NN	history	History
IN	of	of
NN	slavery	Slavery
NNP	Vanderbilt	Vanderbilt
NNP	Conference	Conference
NNP	Brazil	Brazil
NNP	Brazil	Brazil
NNP	Project	Project
NNS	description	Descriptions
NNP	Rio	Rio
IN	de	de
NNP	Janeiro	Janeiro
NNP	Para	Para
NN	ba	ba
JJ	ecclesiastical	Ecclesiastical
CC	and	and
JJ	secular	Secular
NN	para	Para
NN	ba	ba
JJ	criminal	Criminal
CC	and	and
JJ	notarial	Notarial
NNP	Minas	Minas
NNP	Gerais	Gerais
NNP	Project	Project
NNS	team	Teams
CC	and	and
NNS	acknowledgment	Acknowledgments
NNS	document	Documents
NNP	Rio	Rio
IN	de	de
NNP	Janeiro	Janeiro
NNP	Para	Para
NN	ba	ba
NNS	transcription	Transcriptions
CC	and	and
NN	volume	Volume
NNS	description	Descriptions
JJ	additional	Additional
NNS	resource	Resources
NNS	media	Media
NN	gallery	Gallery
NN	church	Church
NNS	history	Histories
NN	scholarship	Scholarship
NN	bibliography	Bibliography
NNS	link	Links
NNP	Colombia	Colombia
NNP	Colombia	Colombia
NNP	Project	Project
NN	description	Description
NNP	Choc	Choc
NNP	La	La
NNP	Guajira	Guajira
NNP	C	C
NNP	rdoba	rdoba
NNP	Project	Project
NNS	team	Teams
CC	and	and
NNS	acknowledgment	Acknowledgments
NNS	document	Documents
NNP	El	El
NNP	Choc	Choc
NNP	La	La
NNP	Guajira	Guajira
NNS	transcription	Transcriptions
CC	and	and
NN	volume	Volume
NNS	description	Descriptions
JJ	additional	Additional
NNS	resource	Resources
NNS	media	Media
NN	gallery	Gallery
NN	church	Church
NNS	history	Histories
NN	bibliography	Bibliography
NNS	link	Links
NNP	Cuba	Cuba
NNP	Cuba	Cuba
NNP	Project	Project
NN	description	Description
NNP	Havana	Havana
NNP	Matanzas	Matanzas
NNP	Ecclesiastical	Ecclesiastical
NNP	Matanzas	Matanzas
NNP	Secular	Secular
CD	seven	Seven
JJ	original	Original
NNS	villa	Villas
NN	project	Project
NNS	team	Teams
CC	and	and
NNS	acknowledgment	Acknowledgments
NNS	document	Documents
NNP	Havana	Havana
NNP	Matanzas	Matanzas
NNS	transcription	Transcriptions
CC	and	and
NN	volume	Volume
NNS	description	Descriptions
JJ	additional	Additional
NNS	resource	Resources
NNS	media	Media
NN	gallery	Gallery
NN	church	Church
NNS	history	Histories
NN	bibliography	Bibliography
NNS	link	Links
JJ	spanish	Spanish
NNP	Florida	Florida
NNP	Spanish	Spanish
NNP	Florida	Florida
NN	project	Project
NN	description	Description
NN	project	Project
NNS	team	Teams
CC	and	and
NNS	acknowledgment	Acknowledgments
NNS	document	Documents
NNS	transcription	Transcriptions
CC	and	and
NN	volume	Volume
NNS	description	Descriptions
JJ	additional	Additional
NNS	resource	Resources
NNS	media	Media
NN	gallery	Gallery
NN	church	Church
NNS	history	Histories
NN	bibliography	Bibliography
NNS	link	Links
NNP	Angola	Angola
NNP	Angola	Angola
NNP	Benin	Benin
NNP	Benin	Benin
NNP	Cape	Cape
NNP	Verde	Verde
NNP	Cape	Cape
NNP	Verde	Verde
NN	slave	Slave
NNS	society	Societies
NNP	Digital	Digital
NNP	Archive	Archive
NN	image	image
NN	slave	Slave
NNS	society	Societies
JJ	digital	Digital
NN	archive	Archive
DT	the	The
NN	slave	Slave
NNS	society	Societies
NNP	Digital	Digital
NNP	Archive	Archive
RB	formerly	formerly
JJ	ecclesiastical	Ecclesiastical
CC	and	and
JJ	secular	Secular
NNS	source	Sources
IN	for	for
NN	slave	Slave
NNS	society	Societies
VBN	direct	directed
IN	by	by
NNP	Jane	Jane
NNP	Landers	Landers
CC	and	and
VBN	host	hosted
IN	at	at
NNP	Vanderbilt	Vanderbilt
NNP	University	University
VBZ	preserve	preserves
VBN	endanger	endangered
JJ	ecclesiastical	ecclesiastical
CC	and	and
JJ	secular	secular
NNS	document	documents
VBN	relate	related
TO	to	to
NNS	african	Africans
CC	and	and
JJ	african	African
VBD	descend	descended
NNS	people	peoples
IN	in	in
NN	slave	slave
NNS	society	societies
DT	this	This
JJ	digital	Digital
NN	archive	Archive
RB	currently	currently
VBZ	hold	holds
CD	500	500
CD	000	000
JJ	unique	unique
NNS	image	images
VBG	date	dating
IN	from	from
DT	the	the
JJ	16th	16th
TO	to	to
DT	the	the
JJ	20th	20th
NNS	century	centuries
CC	and	and
NNS	document	documents
DT	the	the
NN	history	history
IN	of	of
IN	between	between
CD	6	6
CC	and	and
CD	8	8
CD	million	million
NNS	individual	individuals
PRP	they	They
VBP	be	are
DT	the	the
RBS	most	most
JJ	extensive	extensive
NN	serial	serial
NNS	record	records
IN	for	for
DT	the	the
NN	history	history
IN	of	of
NNS	african	Africans
IN	in	in
DT	the	the
NNP	Atlantic	Atlantic
NNP	World	World
CC	and	and
RB	also	also
VBP	include	include
JJ	valuable	valuable
NN	information	information
IN	on	on
DT	the	the
JJ	indigenous	indigenous
JJ	european	European
CC	and	and
JJ	asian	Asian
NNS	population	populations
WP	who	who
VBD	live	lived
IN	alongside	alongside
PRP	they	them
IN	on	On
DT	this	this
NN	website	website
PRP	you	you
MD	will	will
VB	find	find
NNS	area	areas
VBN	dedicate	dedicated
TO	to	to
DT	each	each
JJ	geographic	geographic
NN	entity	entity
NNP	Angola	Angola
NNP	Benin	Benin
NNP	Brazil	Brazil
NNP	Cape	Cape
NNP	Verde	Verde
NNP	Colombia	Colombia
NNP	Cuba	Cuba
CC	and	and
NNP	Spanish	Spanish
NNP	Florida	Florida
CC	and	and
JJ	additional	additional
NNS	resource	resources
TO	to	to
VB	assist	assist
IN	in	in
PRP$	you	your
NN	research	research
PRP	we	We
VBP	welcome	welcome
NN	feedback	feedback
CC	and	and
VB	encourage	encourage
NNS	researcher	researchers
TO	to	to
VB	share	share
DT	any	any
NN	work	work
IN	that	that
PRP	they	they
VBP	develop	develop
VBG	use	using
DT	the	the
NN	slave	Slave
NNS	society	Societies
JJ	digital	Digital
NN	archive	Archive
NN	image	image
JJ	british	British
NN	library	Library
VBN	endanger	Endangered
NNS	archive	Archives
NN	image	image
VBZ	act	acts
NN	logo	logo
NN	image	image
NNP	mellon	mellon
NN	image	image
NN	nehlogo	nehlogo
NN	image	image
NNP	tubman	tubman
NN	image	image
NN	hsari	hsari
NN	image	image
NN	staugustine	staugustine
NN	image	image
NN	labhoi	labhoi
NN	image	image
NN	librarylogo	librarylogo
VB	connect	Connect
IN	with	with
NNP	Vanderbilt	Vanderbilt
NNP	Facebook	Facebook
NNP	Twitter	Twitter
NNP	Pinterest	Pinterest
NNP	Instagram	Instagram
NNP	YouTube	YouTube
NNP	Flickr	Flickr
NNP	Tumblr	Tumblr
NNP	RSS	RSS
VB	feed	Feed
PRP$	you	Your
NNP	Vanderbilt	Vanderbilt
NNS	alumnus	Alumni
JJ	current	Current
NNS	student	Students
NN	faculty	Faculty
NN	amp	amp
NN	staff	Staff
JJ	international	International
NNS	student	Students
NNS	media	Media
NNS	parent	Parents
NN	amp	amp
NN	family	Family
JJ	prospective	Prospective
NNS	student	Students
NNS	researcher	Researchers
NNS	sport	Sports
NNS	fan	Fans
NNS	visitor	Visitors
NN	amp	amp
NNS	neighbor	Neighbors
JJ	popular	Popular
RB	now	Now
NN	commencement	Commencement
NNS	rite	Rites
IN	of	of
NN	spring	Spring
DT	the	THE
NN	party	PARTY
VB	find	Find
DT	a	a
NN	job	Job
NN	contact	Contact
PRP	we	Us
NN	slave	Slave
NNS	society	Societies
JJ	digital	Digital
NN	archive	Archive
NNP	Vanderbilt	Vanderbilt
NNP	University	University
NN	college	College
IN	of	of
NNS	art	Arts
CC	and	and
NNP	Science	Science
NNP	Department	Department
IN	of	of
NN	history	History
NN	pmb	PMB
CD	351802	351802
CD	2301	2301
NNP	Vanderbilt	Vanderbilt
NN	place	Place
NNP	Nashville	Nashville
NNP	Tennessee	Tennessee
CD	37235	37235
CD	1802	1802
NNP	Vanderbilt	Vanderbilt
NNP	University	University
DT	all	All
NNS	rights	rights
VBN	reserve	reserved
NN	site	Site
NN	development	Development
NNP	University	University
NN	web	Web
NNS	communication	Communications
NNP	Vanderbilt	Vanderbilt
NNP	University	University
VBZ	be	is
VBN	commit	committed
TO	to	to
NNS	principle	principles
IN	of	of
JJ	equal	equal
NN	opportunity	opportunity
CC	and	and
JJ	affirmative	affirmative
NN	action	action
NNP	Vanderbilt	Vanderbilt
NNP	Vanderbilt	Vanderbilt
NNP	University	University
NNP	V	V
NNP	Oak	Oak
NN	leaf	Leaf
NN	design	Design
NN	star	Star
NN	v	V
NN	design	Design
CC	and	and
VB	anchor	Anchor
RP	down	Down
VBP	be	are
NNS	trademark	trademarks
IN	of	of
DT	the	The
NNP	Vanderbilt	Vanderbilt
NNP	University	University
