POS	lemma	word
NN	project	Project
NNP	Gutenberg	Gutenberg
VBZ	be	s
DT	the	The
NN	professor	Professor
IN	by	by
NNP	AKA	AKA
NNP	Charlotte	Charlotte
NNP	Bronte	Bronte
NNP	Currer	Currer
NNP	Bell	Bell
DT	this	This
NN	ebook	eBook
VBZ	be	is
IN	for	for
DT	the	the
NN	use	use
IN	of	of
NN	anyone	anyone
RB	anywhere	anywhere
IN	at	at
DT	no	no
NN	cost	cost
CC	and	and
IN	with	with
RB	almost	almost
DT	no	no
NNS	restriction	restrictions
RB	whatsoever	whatsoever
PRP	you	You
MD	may	may
VB	copy	copy
PRP	it	it
VB	give	give
PRP	it	it
RB	away	away
CC	or	or
NNP	re	re
VBP	use	use
PRP	it	it
IN	under	under
DT	the	the
NNS	term	terms
IN	of	of
DT	the	the
NN	project	Project
NNP	Gutenberg	Gutenberg
NN	license	License
VBD	include	included
IN	with	with
DT	this	this
NN	ebook	eBook
CC	or	or
NN	online	online
IN	at	at
NNP	www	www
NNP	gutenberg	gutenberg
NNP	org	org
NNP	Title	Title
DT	the	The
NN	professor	Professor
NN	author	Author
NNP	AKA	AKA
NNP	Charlotte	Charlotte
NNP	Bronte	Bronte
NNP	Currer	Currer
NNP	Bell	Bell
NNP	Release	Release
NN	date	Date
NNP	August	August
CD	6	6
CD	2008	2008
NNP	EBook	EBook
CD	1028	1028
JJ	last	Last
VBN	update	Updated
NNP	November	November
CD	1	1
CD	2016	2016
NN	language	Language
JJ	english	English
NN	character	Character
NN	set	set
VBG	encode	encoding
NN	utf	UTF
CD	8	8
NN	start	START
IN	of	OF
DT	this	THIS
NN	project	PROJECT
NNP	GUTENBERG	GUTENBERG
NNP	EBOOK	EBOOK
DT	the	THE
NN	professor	PROFESSOR
VBN	produce	Produced
IN	by	by
DT	a	An
JJ	anonymous	Anonymous
NN	volunteer	Volunteer
CC	and	and
NNP	David	David
NNP	Widger	Widger
DT	the	THE
NN	professor	PROFESSOR
IN	by	by
NNP	AKA	AKA
NNP	Charlotte	Charlotte
NNP	Bronte	Bronte
NNP	Currer	Currer
NNP	Bell	Bell
NNS	contents	CONTENTS
NN	preface	PREFACE
NN	t	T
NN	h	H
NN	e	E
NN	p	P
NN	r	R
NN	o	O
NN	f	F
NN	e	E
NNS	s	S
NNS	s	S
NN	o	O
NN	r	R
NN	chapter	CHAPTER
PRP	I	I
JJ	introductory	INTRODUCTORY
NN	chapter	CHAPTER
CD	ii	II
NN	chapter	CHAPTER
CD	iii	III
NN	chapter	CHAPTER
CD	iv	IV
NN	chapter	CHAPTER
NN	v	V
NN	chapter	CHAPTER
NNP	VI	VI
NNP	CHAPTER	CHAPTER
NNP	VII	VII
NNP	CHAPTER	CHAPTER
NNP	VIII	VIII
NNP	CHAPTER	CHAPTER
CD	ix	IX
NN	chapter	CHAPTER
NN	x	X
NN	chapter	CHAPTER
NN	xi	XI
NN	chapter	CHAPTER
NNP	XII	XII
NNP	CHAPTER	CHAPTER
NNP	XIII	XIII
NNP	CHAPTER	CHAPTER
NNP	XIV	XIV
NNP	CHAPTER	CHAPTER
NNP	XV	XV
NNP	CHAPTER	CHAPTER
NNP	XVI	XVI
NNP	CHAPTER	CHAPTER
NNP	XVII	XVII
NNP	CHAPTER	CHAPTER
NNP	XVIII	XVIII
NNP	CHAPTER	CHAPTER
NNP	XIX	XIX
NNP	CHAPTER	CHAPTER
NNP	XX	XX
NNP	CHAPTER	CHAPTER
NNP	XXI	XXI
NNP	CHAPTER	CHAPTER
NNP	XXII	XXII
NNP	CHAPTER	CHAPTER
NNP	XXIII	XXIII
NNP	CHAPTER	CHAPTER
NNP	XXIV	XXIV
NNP	CHAPTER	CHAPTER
NNP	XXV	XXV
NN	preface	PREFACE
DT	this	This
JJ	little	little
NN	book	book
VBD	be	was
VBN	write	written
IN	before	before
CC	either	either
NNP	Jane	Jane
NNP	Eyre	Eyre
CC	or	or
NNP	Shirley	Shirley
CC	and	and
RB	yet	yet
DT	no	no
NN	indulgence	indulgence
MD	can	can
VB	be	be
VBN	solicit	solicited
IN	for	for
PRP	it	it
IN	on	on
DT	the	the
NN	plea	plea
IN	of	of
DT	a	a
JJ	first	first
NN	attempt	attempt
DT	a	A
JJ	first	first
NN	attempt	attempt
PRP	it	it
RB	certainly	certainly
VBD	be	was
RB	not	not
IN	as	as
DT	the	the
NN	pen	pen
WDT	which	which
VBD	write	wrote
PRP	it	it
VBD	have	had
VBN	be	been
RB	previously	previously
VBN	wear	worn
DT	a	a
JJ	good	good
NN	deal	deal
IN	in	in
DT	a	a
NN	practice	practice
IN	of	of
DT	some	some
NNS	year	years
PRP	I	I
VBD	have	had
RB	not	not
RB	indeed	indeed
VBN	publish	published
NN	anything	anything
IN	before	before
PRP	I	I
VBD	commence	commenced
DT	the	The
NN	professor	Professor
CC	but	but
IN	in	in
JJ	many	many
DT	a	a
JJ	crude	crude
NN	effort	effort
VBD	destroy	destroyed
RB	almost	almost
RB	as	as
RB	soon	soon
IN	as	as
VBN	compose	composed
PRP	I	I
VBD	have	had
VBN	get	got
IN	over	over
DT	any	any
JJ	such	such
NN	taste	taste
IN	as	as
PRP	I	I
MD	might	might
RB	once	once
VB	have	have
VBN	have	had
IN	for	for
JJ	ornamented	ornamented
CC	and	and
JJ	redundant	redundant
NN	composition	composition
CC	and	and
VB	come	come
TO	to	to
VB	prefer	prefer
WP	what	what
VBD	be	was
JJ	plain	plain
CC	and	and
JJ	homely	homely
IN	at	At
DT	the	the
JJ	same	same
NN	time	time
PRP	I	I
VBD	have	had
VBN	adopt	adopted
DT	a	a
NN	set	set
IN	of	of
NNS	principle	principles
IN	on	on
DT	the	the
NN	subject	subject
IN	of	of
NN	incident	incident
NN	amp	amp
NN	c	c
JJ	such	such
IN	as	as
MD	would	would
VB	be	be
RB	generally	generally
VBN	approve	approved
IN	in	in
NN	theory	theory
CC	but	but
DT	the	the
NN	result	result
IN	of	of
WDT	which	which
WRB	when	when
VBN	carry	carried
RP	out	out
IN	into	into
NN	practice	practice
RB	often	often
VBZ	procure	procures
IN	for	for
DT	a	an
NN	author	author
RBR	more	more
JJ	surprise	surprise
IN	than	than
NN	pleasure	pleasure
NN	i	I
VBD	say	said
TO	to	to
PRP	myself	myself
IN	that	that
PRP$	my	my
NN	hero	hero
MD	should	should
VB	work	work
PRP$	he	his
NN	way	way
IN	through	through
NN	life	life
IN	as	as
PRP	I	I
VBD	have	had
VBN	see	seen
JJ	real	real
NN	living	living
NNS	man	men
VBP	work	work
PRP	theirs	theirs
IN	that	that
PRP	he	he
MD	should	should
RB	never	never
VB	get	get
DT	a	a
NNP	shilling	shilling
PRP	he	he
VBD	have	had
RB	not	not
VBN	earn	earned
IN	that	that
DT	no	no
JJ	sudden	sudden
NNS	turn	turns
MD	should	should
VB	lift	lift
PRP	he	him
IN	in	in
DT	a	a
NN	moment	moment
TO	to	to
NN	wealth	wealth
CC	and	and
JJ	high	high
NN	station	station
WDT	that	that
WDT	whatever	whatever
JJ	small	small
NN	competency	competency
PRP	he	he
MD	might	might
VB	gain	gain
MD	should	should
VB	be	be
VBN	win	won
IN	by	by
DT	the	the
NN	sweat	sweat
IN	of	of
PRP$	he	his
NN	brow	brow
IN	that	that
IN	before	before
PRP	he	he
MD	could	could
VB	find	find
RB	so	so
RB	much	much
IN	as	as
DT	a	an
NNP	arbour	arbour
TO	to	to
VB	sit	sit
RP	down	down
IN	in	in
PRP	he	he
MD	should	should
VB	master	master
IN	at	at
JJS	least	least
PDT	half	half
DT	the	the
NN	ascent	ascent
IN	of	of
DT	the	the
NNP	Hill	Hill
IN	of	of
NN	difficulty	Difficulty
IN	that	that
PRP	he	he
MD	should	should
RB	not	not
RB	even	even
VB	marry	marry
DT	a	a
JJ	beautiful	beautiful
NN	girl	girl
CC	or	or
DT	a	a
NN	lady	lady
IN	of	of
NN	rank	rank
IN	as	As
NNP	Adam	Adam
NNP	s	s
NNP	son	son
PRP	he	he
MD	should	should
VB	share	share
NNP	Adam	Adam
NNP	s	s
NN	doom	doom
CC	and	and
NN	drain	drain
IN	throughout	throughout
NN	life	life
DT	a	a
JJ	mixed	mixed
CC	and	and
