POS	lemma	word
NN	lecture	LECTURE
IN	on	ON
DT	the	THE
NNS	time	TIMES
VBP	_	_
VBN	read	Read
IN	at	at
DT	the	the
JJ	masonic	Masonic
NNP	Temple	Temple
NNP	Boston	Boston
NNP	December	December
CD	2	2
CD	1841	1841
IN	_	_
DT	the	The
NNS	time	times
IN	as	as
PRP	we	we
VBP	say	say
CC	or	or
DT	the	the
JJ	present	present
NNS	aspect	aspects
IN	of	of
PRP$	we	our
JJ	social	social
NN	state	state
JJ	theral	theral
NN	science	Science
NNP	Agriculture	Agriculture
NNP	Art	Art
NNP	Trade	Trade
NNS	letter	Letters
VBP	have	have
PRP$	they	their
NN	root	root
IN	in	in
DT	a	an
JJ	invisible	invisible
JJ	spiritual	spiritual
NN	reality	reality
TO	to	To
VB	appear	appear
IN	in	in
DT	these	these
NNS	aspect	aspects
PRP	they	they
MD	must	must
RB	first	first
VB	exist	exist
CC	or	or
VB	have	have
DT	some	some
JJ	necessary	necessary
NN	foundation	foundation
IN	beside	Beside
PDT	all	all
DT	the	the
JJ	small	small
NNS	reason	reasons
PRP	we	we
VBP	assign	assign
EX	there	there
VBZ	be	is
DT	a	a
JJ	great	great
NN	reason	reason
IN	for	for
DT	the	the
NN	existence	existence
IN	of	of
DT	every	every
JJ	extant	extant
NN	fact	fact
DT	a	a
NN	reason	reason
WDT	which	which
VBZ	lie	lies
NNP	grand	grand
CC	and	and
JJ	immovable	immovable
RB	often	often
JJ	unsuspected	unsuspected
IN	behind	behind
PRP	it	it
IN	in	in
NN	silence	silence
DT	the	The
NNS	time	Times
VBP	be	are
DT	the	the
VB	masquerade	masquerade
IN	of	of
DT	the	the
NNS	eternity	eternities
JJ	trivial	trivial
TO	to	to
DT	the	the
JJ	dull	dull
NNS	token	tokens
IN	of	of
JJ	noble	noble
CC	and	and
NNP	majestic	majestic
NNS	agent	agents
TO	to	to
DT	the	the
JJ	wise	wise
DT	the	the
NN	receptacle	receptacle
IN	in	in
WDT	which	which
DT	the	the
JJ	past	Past
VBZ	leave	leaves
PRP$	its	its
NN	history	history
DT	the	the
NN	quarry	quarry
IN	out	out
IN	of	of
WDT	which	which
DT	the	the
NN	genius	genius
IN	of	of
TO	to	to
NN	day	day
VBZ	be	is
VBG	build	building
RP	up	up
DT	the	the
NN	future	Future
DT	the	The
NNS	time	Times
DT	the	the
NNS	nation	nations
NNS	manners	manners
NNS	institution	institutions
NNS	opinion	opinions
NNS	vote	votes
VBP	be	are
TO	to	to
VB	be	be
VBN	study	studied
IN	as	as
NNS	omen	omens
IN	as	as
JJ	sacred	sacred
NNS	leaf	leaves
VBP	whereon	whereon
DT	a	a
JJ	weighty	weighty
NN	sense	sense
VBZ	be	is
VBN	inscribe	inscribed
IN	if	if
PRP	we	we
VBP	have	have
DT	the	the
NN	wit	wit
CC	and	and
DT	the	the
NN	love	love
TO	to	to
VB	search	search
PRP	it	it
RP	out	out
NN	nature	Nature
PRP	itself	itself
VBZ	seem	seems
TO	to	to
VB	propound	propound
TO	to	to
PRP	we	us
DT	this	this
NN	topic	topic
CC	and	and
TO	to	to
VB	invite	invite
PRP	we	us
TO	to	to
VB	explore	explore
DT	the	the
NN	meaning	meaning
IN	of	of
DT	the	the
JJ	conspicuous	conspicuous
NNS	fact	facts
IN	of	of
DT	the	the
NN	day	day
NN	everything	Everything
WDT	that	that
VBZ	be	is
JJ	popular	popular
PRP	it	it
VBZ	have	has
VBN	be	been
VBD	say	said
VBZ	deserve	deserves
DT	the	the
NN	attention	attention
IN	of	of
DT	the	the
NN	philosopher	philosopher
CC	and	and
DT	this	this
IN	for	for
DT	the	the
JJ	obvious	obvious
NN	reason	reason
IN	that	that
IN	although	although
PRP	it	it
MD	may	may
RB	not	not
VB	be	be
IN	of	of
DT	any	any
JJ	worth	worth
IN	in	in
PRP	itself	itself
RB	yet	yet
PRP	it	it
VBZ	characterize	characterizes
DT	the	the
NNS	people	people
RB	here	Here
VBZ	be	is
RB	very	very
JJ	good	good
NN	matter	matter
TO	to	to
VB	be	be
VBN	handle	handled
IN	if	if
PRP	we	we
VBP	be	are
JJ	skilful	skilful
DT	a	an
NN	abundance	abundance
IN	of	of
JJ	important	important
JJ	practical	practical
NNS	question	questions
WDT	which	which
PRP	it	it
VBZ	behove	behoves
PRP	we	us
TO	to	to
VB	understand	understand
VB	let	Let
PRP	we	us
VB	examine	examine
DT	the	the
NNS	pretension	pretensions
IN	of	of
DT	the	the
VBG	attack	attacking
CC	and	and
VBG	defend	defending
NNS	party	parties
RB	here	Here
VBZ	be	is
DT	this	this
JJ	great	great
NN	fact	fact
IN	of	of
NN	conservatism	Conservatism
VBN	entrench	entrenched
IN	in	in
PRP$	its	its
JJ	immense	immense
NNS	redoubt	redoubts
IN	with	with
NN	himmaleh	Himmaleh
IN	for	for
PRP$	its	its
NN	front	front
CC	and	and
NN	atlas	Atlas
IN	for	for
PRP$	its	its
NN	flank	flank
CC	and	and
NNS	ande	Andes
IN	for	for
PRP$	its	its
JJ	rear	rear
CC	and	and
DT	the	the
NNP	Atlantic	Atlantic
CC	and	and
NNP	Pacific	Pacific
NNS	sea	seas
IN	for	for
PRP$	its	its
NNS	ditch	ditches
CC	and	and
NNS	trench	trenches
WDT	which	which
VBZ	have	has
VBN	plant	planted
PRP$	its	its
NNS	cross	crosses
CC	and	and
NNS	crescent	crescents
CC	and	and
NNS	star	stars
CC	and	and
NNS	stripe	stripes
CC	and	and
JJ	various	various
NNS	sign	signs
CC	and	and
NNS	badge	badges
IN	of	of
NN	possession	possession
IN	over	over
DT	every	every
NN	rood	rood
IN	of	of
DT	the	the
NN	planet	planet
CC	and	and
VBZ	say	says
PRP	I	I
MD	will	will
VB	hold	hold
JJ	fast	fast
CC	and	and
TO	to	to
WP	whom	whom
PRP	I	I
MD	will	will
MD	will	will
PRP	I	I
VB	give	give
CC	and	and
WP	whom	whom
PRP	I	I
MD	will	will
MD	will	will
PRP	I	I
VB	exclude	exclude
CC	and	and
VB	starve	starve
RB	so	so
VBZ	say	says
NN	conservatism	Conservatism
CC	and	and
PDT	all	all
DT	the	the
NNS	child	children
IN	of	of
NNS	man	men
VBP	attack	attack
DT	the	the
NN	colossus	colossus
IN	in	in
PRP$	they	their
NN	youth	youth
CC	and	and
DT	all	all
CC	or	or
DT	all	all
CC	but	but
DT	a	a
JJ	few	few
NN	bow	bow
IN	before	before
PRP	it	it
WRB	when	when
PRP	they	they
VBP	be	are
JJ	old	old
DT	a	A
NN	necessity	necessity
RB	not	not
RB	yet	yet
VBD	command	commanded
DT	a	a
JJ	negative	negative
VBN	impose	imposed
IN	on	on
DT	the	the
NN	will	will
IN	of	of
NN	man	man
IN	by	by
PRP$	he	his
NN	condition	condition
DT	a	a
NN	deficiency	deficiency
IN	in	in
PRP$	he	his
NN	force	force
VBZ	be	is
DT	the	the
NN	foundation	foundation
IN	on	on
WDT	which	which
PRP	it	it
VBZ	rest	rests
VB	let	Let
DT	this	this
NN	side	side
VB	be	be
RB	fairly	fairly
VBN	state	stated
RB	meantime	Meantime
IN	on	on
DT	the	the
JJ	other	other
NN	part	part
VBZ	arise	arises
NN	reform	Reform
CC	and	and
VBZ	offer	offers
DT	the	the
NN	sentiment	sentiment
IN	of	of
NN	love	Love
IN	as	as
DT	a	an
NN	overmatch	overmatch
TO	to	to
DT	this	this
NN	material	material
MD	might	might
PRP	I	I
VB	wish	wish
TO	to	to
VB	consider	consider
RB	well	well
DT	this	this
JJ	affirmative	affirmative
NN	side	side
WDT	which	which
VBZ	have	has
DT	a	a
JJR	loftier	loftier
NN	port	port
CC	and	and
NN	reason	reason
IN	than	than
RB	heretofore	heretofore
WDT	which	which
NNS	encroach	encroaches
IN	on	on
DT	the	the
JJ	other	other
DT	every	every
NN	day	day
VBZ	put	puts
PRP	it	it
IN	out	out
IN	of	of
VBP	countenance	countenance
IN	out	out
IN	of	of
NN	reason	reason
CC	and	and
IN	out	out
IN	of	of
NN	temper	temper
CC	and	and
VBZ	leave	leaves
PRP	it	it
NN	nothing	nothing
CC	but	but
NN	silence	silence
CC	and	and
NN	possession	possession
DT	the	The
NN	fact	fact
IN	of	of
NN	aristocracy	aristocracy
IN	with	with
PRP$	its	its
CD	two	two
NNS	weapon	weapons
IN	of	of
NN	wealth	wealth
CC	and	and
NNS	manners	manners
VBZ	be	is
IN	as	as
VBG	command	commanding
DT	a	a
NN	feature	feature
IN	of	of
DT	the	the
JJ	nineteenth	nineteenth
NN	century	century
CC	and	and
DT	the	the
NNP	American	American
NNP	republic	republic
IN	as	as
IN	of	of
JJ	old	old
NNP	Rome	Rome
CC	or	or
NNP	modern	modern
NNP	England	England
DT	the	The
NN	reason	reason
CC	and	and
NN	influence	influence
IN	of	of
NN	wealth	wealth
DT	the	the
NN	aspect	aspect
IN	of	of
NN	philosophy	philosophy
CC	and	and
NN	religion	religion
CC	and	and
DT	the	the
NNS	tendency	tendencies
WDT	which	which
VBP	have	have
VBN	acquire	acquired
DT	the	the
NN	name	name
IN	of	of
NN	transcendentalism	Transcendentalism
IN	in	in
JJ	old	Old
CC	and	and
JJ	new	New
NNP	England	England
DT	the	the
NN	aspect	aspect
IN	of	of
NN	poetry	poetry
IN	as	as
DT	the	the
NN	exponent	exponent
CC	and	and
NN	interpretation	interpretation
IN	of	of
DT	these	these
NNS	thing	things
DT	the	the
NNP	fuller	fuller
NN	development	development
CC	and	and
DT	the	the
JJR	freer	freer
NN	play	play
IN	of	of
NN	character	Character
IN	as	as
DT	a	a
JJ	social	social
CC	and	and
JJ	political	political
NN	agent	agent
DT	these	these
CC	and	and
JJ	other	other
JJ	related	related
NNS	topic	topics
MD	will	will
IN	in	in
NN	turn	turn
VBN	come	come
TO	to	to
VB	be	be
VBN	consider	considered
CC	but	But
DT	the	the
NN	subject	subject
IN	of	of
DT	the	the
NNS	time	Times
VBZ	be	is
RB	not	not
DT	a	an
JJ	abstract	abstract
NN	question	question
PRP	we	We
VBP	talk	talk
IN	of	of
DT	the	the
NN	world	world
CC	but	but
PRP	we	we
VBP	mean	mean
DT	a	a
JJ	few	few
NNS	man	men
CC	and	and
NNS	woman	women
IN	if	If
PRP	you	you
VBP	speak	speak
IN	of	of
DT	the	the
NN	age	age
PRP	you	you
VB	mean	mean
PRP$	you	your
JJ	own	own
NN	platoon	platoon
IN	of	of
NNS	people	people
IN	as	as
