POS	lemma	word
DT	the	THE
JJ	transcendentalist	TRANSCENDENTALIST
NN	_	_
DT	a	A
NN	lecture	Lecture
VBD	read	read
IN	at	at
DT	the	the
JJ	masonic	Masonic
NNP	Temple	Temple
NNP	Boston	Boston
NNP	January	January
CD	1842	1842
NNP	_	_
DT	the	The
JJ	first	first
NN	thing	thing
PRP	we	we
VBP	have	have
TO	to	to
VB	say	say
VBG	respect	respecting
WP	what	what
VBP	be	are
VBN	call	called
NNP	_	_
JJ	new	new
NNS	view	views
VBP	_	_
RB	here	here
IN	in	in
NNP	New	New
NNP	England	England
IN	at	at
DT	the	the
JJ	present	present
NN	time	time
VBZ	be	is
IN	that	that
PRP	they	they
VBP	be	are
RB	not	not
JJ	new	new
CC	but	but
DT	the	the
RB	very	very
JJS	oldest	oldest
IN	of	of
NNS	thought	thoughts
VBN	cast	cast
IN	into	into
DT	the	the
NNP	mould	mould
IN	of	of
DT	these	these
JJ	new	new
NNS	time	times
DT	the	The
NN	light	light
VBZ	be	is
RB	always	always
JJ	identical	identical
IN	in	in
PRP$	its	its
NN	composition	composition
CC	but	but
PRP	it	it
VBZ	fall	falls
IN	on	on
DT	a	a
JJ	great	great
NN	variety	variety
IN	of	of
NNS	object	objects
CC	and	and
IN	by	by
RB	so	so
VBG	fall	falling
VBZ	be	is
JJ	first	first
VBD	reveal	revealed
TO	to	to
PRP	we	us
RB	not	not
IN	in	in
PRP$	its	its
JJ	own	own
NN	form	form
IN	for	for
PRP	it	it
VBZ	be	is
JJ	formless	formless
CC	but	but
IN	in	in
JJ	theirs	theirs
IN	in	in
IN	like	like
NN	manner	manner
VBD	think	thought
RB	only	only
VBZ	appear	appears
IN	in	in
DT	the	the
NNS	object	objects
PRP	it	it
VBZ	classify	classifies
WP	what	What
VBZ	be	is
RB	popularly	popularly
VBN	call	called
NN	transcendentalism	Transcendentalism
IN	among	among
PRP	we	us
VBZ	be	is
NN	idealism	Idealism
NN	idealism	Idealism
IN	as	as
PRP	it	it
VBZ	appear	appears
IN	in	in
CD	1842	1842
IN	as	As
NNS	thinker	thinkers
NN	mankind	mankind
VBP	have	have
RB	ever	ever
VBN	divide	divided
IN	into	into
CD	two	two
NNS	sect	sects
NNS	materialist	Materialists
CC	and	and
NNS	idealist	Idealists
DT	the	the
JJ	first	first
NN	class	class
NN	founding	founding
IN	on	on
NN	experience	experience
DT	the	the
JJ	second	second
IN	on	on
NN	consciousness	consciousness
DT	the	the
JJ	first	first
NN	class	class
VBG	begin	beginning
TO	to	to
VB	think	think
IN	from	from
DT	the	the
NNS	datum	data
IN	of	of
DT	the	the
NNS	sens	senses
DT	the	the
JJ	second	second
NN	class	class
VBP	perceive	perceive
IN	that	that
DT	the	the
NNS	sens	senses
VBP	be	are
RB	not	not
JJ	final	final
CC	and	and
VBP	say	say
DT	the	the
NNS	sens	senses
VBP	give	give
PRP	we	us
NNS	representation	representations
IN	of	of
NNS	thing	things
CC	but	but
WP	what	what
VBP	be	are
DT	the	the
NNS	thing	things
PRP	themselves	themselves
PRP	they	they
MD	can	can
RB	not	not
VB	tell	tell
DT	the	The
NN	materialist	materialist
VBZ	insist	insists
IN	on	on
NNS	fact	facts
IN	on	on
NN	history	history
IN	on	on
DT	the	the
NN	force	force
IN	of	of
NNS	circumstance	circumstances
CC	and	and
DT	the	the
NN	animal	animal
VBZ	want	wants
IN	of	of
NN	man	man
DT	the	the
NN	idealist	idealist
IN	on	on
DT	the	the
NN	power	power
IN	of	of
NN	thought	Thought
CC	and	and
IN	of	of
NN	will	Will
IN	on	on
NN	inspiration	inspiration
IN	on	on
NN	miracle	miracle
IN	on	on
JJ	individual	individual
NN	culture	culture
DT	these	These
CD	two	two
NNS	mode	modes
