POS	lemma	word
NNP	1885	1885
DT	the	THE
NNS	adventure	ADVENTURES
IN	of	OF
NNP	HUCKLEBERRY	HUCKLEBERRY
NNP	FINN	FINN
IN	by	by
NNP	Mark	Mark
NNP	Twain	Twain
NNP	NOTICE	NOTICE
NNS	person	Persons
VBG	attempt	attempting
TO	to	to
VB	find	find
DT	a	a
NN	motive	motive
IN	in	in
DT	this	this
NN	narrative	narrative
MD	will	will
VB	be	be
VBN	prosecute	prosecuted
NNS	person	persons
VBG	attempt	attempting
TO	to	to
VB	find	find
DT	a	a
JJ	moral	moral
IN	in	in
PRP	it	it
MD	will	will
VB	be	be
VBN	banish	banished
NNS	person	persons
VBG	attempt	attempting
TO	to	to
VB	find	find
DT	a	a
NN	plot	plot
IN	in	in
PRP	it	it
MD	will	will
VB	be	be
VBN	shoot	shot
IN	by	By
NN	order	Order
IN	of	of
DT	the	the
NN	author	Author
IN	per	Per
NN	g	G
NN	g	G
NN	chief	Chief
NN	ordnance	Ordnance
JJ	explanatory	EXPLANATORY
IN	in	In
DT	this	this
NN	book	book
DT	a	a
NN	number	number
IN	of	of
NNS	dialect	dialects
VBP	be	are
VBN	use	used
TO	to	to
NN	wit	wit
DT	the	the
NNP	Missouri	Missouri
NNP	negro	negro
NN	dialect	dialect
DT	the	the
JJ	extremest	extremest
NN	form	form
IN	of	of
DT	the	the
NNS	backwoods	backwoods
RB	south	South
JJ	western	Western
NN	dialect	dialect
DT	the	the
JJ	ordinary	ordinary
NNP	Pike	Pike
NNP	County	County
NN	dialect	dialect
CC	and	and
CD	four	four
VBN	modify	modified
NNS	variety	varieties
IN	of	of
DT	this	this
JJ	last	last
DT	the	The
NNS	shading	shadings
VBP	have	have
RB	not	not
VBN	be	been
VBN	do	done
IN	in	in
DT	a	a
NN	hap	hap
NN	hazard	hazard
NN	fashion	fashion
CC	or	or
IN	by	by
NN	guess	guess
NN	work	work
CC	but	but
RB	painstakingly	painstakingly
CC	and	and
IN	with	with
DT	the	the
JJ	trustworthy	trustworthy
NN	guidance	guidance
CC	and	and
NN	support	support
IN	of	of
JJ	personal	personal
NN	familiarity	familiarity
IN	with	with
DT	these	these
JJ	several	several
NNS	form	forms
IN	of	of
NN	speech	speech
PRP	I	I
VBP	make	make
DT	this	this
NN	explanation	explanation
IN	for	for
DT	the	the
NN	reason	reason
WDT	that	that
IN	without	without
PRP	it	it
JJ	many	many
NNS	reader	readers
MD	would	would
VB	suppose	suppose
IN	that	that
PDT	all	all
DT	these	these
NNS	character	characters
VBD	be	were
VBG	try	trying
TO	to	to
VB	talk	talk
RB	alike	alike
CC	and	and
RB	not	not
VBG	succeed	succeeding
DT	the	The
NN	author	Author
NN	chapter	CHAPTER
CD	one	ONE
PRP	you	You
VBP	don	don
NN	t	t
VB	know	know
IN	about	about
PRP	I	me
IN	without	without
PRP	you	you
VBP	have	have
VBN	read	read
DT	a	a
NN	book	book
IN	by	by
DT	the	the
NN	name	name
IN	of	of
DT	the	The
NNS	adventure	Adventures
IN	of	of
NNP	Tom	Tom
NNP	Sawyer	Sawyer
CC	but	but
DT	that	that
NN	ain	ain
NN	t	t
DT	no	no
NN	matter	matter
WDT	that	That
NN	book	book
VBD	be	was
VBN	make	made
IN	by	by
NN	mr	Mr
NN	mark	Mark
NN	twain	Twain
CC	and	and
PRP	he	he
VBD	tell	told
DT	the	the
NN	truth	truth
RB	mainly	mainly
EX	there	There
VBD	be	was
NNS	thing	things
WDT	which	which
PRP	he	he
VBD	stretch	stretched
CC	but	but
RB	mainly	mainly
PRP	he	he
VBD	tell	told
DT	the	the
NN	truth	truth
WDT	that	That
VBZ	be	is
NN	nothing	nothing
PRP	I	I
RB	never	never
VBN	see	seen
NN	anybody	anybody
CC	but	but
VBD	lie	lied
CD	one	one
NN	time	time
CC	or	or
DT	another	another
IN	without	without
PRP	it	it
VBD	be	was
NNP	Aunt	Aunt
NNP	Polly	Polly
CC	or	or
DT	the	the
