POS	lemma	word
DT	the	The
NN	project	Project
NNP	Gutenberg	Gutenberg
NNP	EBook	EBook
IN	of	of
NN	sense	Sense
CC	and	and
NN	sensibility	Sensibility
IN	by	by
NNP	Jane	Jane
NNP	Austen	Austen
DT	this	This
NN	ebook	eBook
VBZ	be	is
IN	for	for
DT	the	the
NN	use	use
IN	of	of
NN	anyone	anyone
RB	anywhere	anywhere
IN	at	at
DT	no	no
NN	cost	cost
CC	and	and
IN	with	with
RB	almost	almost
DT	no	no
NNS	restriction	restrictions
RB	whatsoever	whatsoever
PRP	you	You
MD	may	may
VB	copy	copy
PRP	it	it
VB	give	give
PRP	it	it
RB	away	away
CC	or	or
NNP	re	re
VBP	use	use
PRP	it	it
IN	under	under
DT	the	the
NNS	term	terms
IN	of	of
DT	the	the
NN	project	Project
NNP	Gutenberg	Gutenberg
NN	license	License
VBD	include	included
IN	with	with
DT	this	this
NN	ebook	eBook
CC	or	or
NN	online	online
IN	at	at
NNP	www	www
NNP	gutenberg	gutenberg
NNP	org	org
NNP	Title	Title
NN	sense	Sense
CC	and	and
NN	sensibility	Sensibility
NN	author	Author
NNP	Jane	Jane
NNP	Austen	Austen
NN	commentator	Commentator
NNP	Austin	Austin
NNP	Dobson	Dobson
NNP	Illustrator	Illustrator
NNP	Hugh	Hugh
NNP	Thomson	Thomson
NN	release	Release
NN	date	Date
NNP	June	June
CD	15	15
CD	2007	2007
NNP	EBook	EBook
CD	21839	21839
JJ	last	Last
VBN	update	updated
NNP	February	February
CD	11	11
CD	2015	2015
NN	language	Language
JJ	english	English
NN	start	START
IN	of	OF
DT	this	THIS
NN	project	PROJECT
NNP	GUTENBERG	GUTENBERG
NNP	EBOOK	EBOOK
NN	sense	SENSE
CC	and	AND
NN	sensibility	SENSIBILITY
VBN	produce	Produced
IN	by	by
NNP	Fritz	Fritz
NNP	Ohrenschall	Ohrenschall
CC	and	and
NNP	Sankar	Sankar
NNP	Viswanathan	Viswanathan
DT	this	This
NN	book	book
VBD	be	was
VBN	produce	produced
IN	from	from
VBN	scan	scanned
NNS	image	images
IN	of	of
JJ	public	public
NN	domain	domain
NN	material	material
IN	from	from
DT	the	the
NNP	Google	Google
NN	print	Print
NN	project	project
NN	transcriber	Transcriber
NNS	s	s
VBP	note	Note
DT	the	The
NN	table	Table
IN	of	of
NNS	contents	Contents
VBZ	be	is
RB	not	not
NN	part	part
IN	of	of
DT	the	the
JJ	original	original
NN	book	book
DT	the	The
NN	illustration	illustration
IN	on	on
NN	page	page
CD	290	290
VBZ	be	is
VBG	miss	missing
IN	from	from
DT	the	the
NN	book	book
DT	the	The
NN	introduction	Introduction
VBZ	end	ends
RB	abruptly	abruptly
VBZ	seem	Seems
JJ	incomplete	incomplete
NN	illustration	Illustration
NN	_	_
NN	mr	Mr
NNP	Dashwood	Dashwood
VBD	introduce	introduced
PRP	he	him
NN	_	_
NN	p	P
CD	219	219
NN	sense	SENSE
NN	amp	amp
NN	sensibility	SENSIBILITY
IN	by	BY
NNP	JANE	JANE
NNP	AUSTEN	AUSTEN
IN	with	WITH
DT	a	AN
NN	introduction	INTRODUCTION
IN	by	BY
NNP	AUSTIN	AUSTIN
NNP	DOBSON	DOBSON
NNP	ILLUSTRATED	ILLUSTRATED
IN	by	BY
NNP	HUGH	HUGH
