POS	lemma	word
DT	the	THE
JJ	young	YOUNG
JJ	american	AMERICAN
NN	_	_
DT	a	A
NN	lecture	Lecture
VBD	read	read
IN	before	before
DT	the	the
NNP	Mercantile	Mercantile
NNP	Library	Library
NNP	Association	Association
NNP	Boston	Boston
NNP	February	February
CD	7	7
CD	1844	1844
NNP	_	_
NNS	gentleman	GENTLEMEN
PRP	it	It
VBZ	be	is
JJ	remarkable	remarkable
IN	that	that
PRP$	we	our
NNS	people	people
VBP	have	have
PRP$	they	their
JJ	intellectual	intellectual
NN	cne	cne
NN	country	country
CC	and	and
PRP$	they	their
NNS	duty	duties
IN	from	from
DT	another	another
DT	this	This
JJ	false	false
NN	state	state
IN	of	of
NNS	thing	things
VBZ	be	is
RB	newly	newly
IN	in	in
DT	a	a
NN	way	way
TO	to	to
VB	be	be
VBN	correct	corrected
NNP	America	America
VBZ	be	is
VBG	begin	beginning
TO	to	to
VB	assert	assert
PRP	itself	itself
TO	to	to
DT	the	the
NNS	sens	senses
CC	and	and
TO	to	to
DT	the	the
NN	imagination	imagination
IN	of	of
PRP$	she	her
NNS	child	children
CC	and	and
NNP	Europe	Europe
VBZ	be	is
VBG	recede	receding
IN	in	in
DT	the	the
JJ	same	same
NN	degree	degree
DT	this	This
PRP$	they	their
NN	reaction	reaction
IN	on	on
NN	education	education
VBZ	give	gives
DT	a	a
JJ	new	new
NN	importance	importance
TO	to	to
DT	the	the
JJ	internal	internal
NNS	improvement	improvements
CC	and	and
TO	to	to
DT	the	the
NNS	politics	politics
IN	of	of
DT	the	the
NN	country	country
WP	who	Who
VBZ	have	has
RB	not	not
VBN	be	been
VBN	stimulate	stimulated
TO	to	to
NN	reflection	reflection
IN	by	by
DT	the	the
NNS	facility	facilities
RB	now	now
IN	in	in
NN	progress	progress
IN	of	of
NN	construction	construction
IN	for	for
NN	travel	travel
CC	and	and
DT	the	the
NN	transportation	transportation
IN	of	of
NNS	goods	goods
IN	in	in
DT	the	the
NNP	United	United
NNPS	States	States
DT	this	This
NN	rage	rage
IN	for	for
NN	road	road
NN	building	building
VBZ	be	is
JJ	beneficent	beneficent
IN	for	for
NNP	America	America
WRB	where	where
JJ	vast	vast
NN	distance	distance
VBZ	be	is
RB	so	so
JJ	main	main
DT	a	a
NN	consideration	consideration
IN	in	in
PRP$	we	our
JJ	domestic	domestic
NNS	politics	politics
CC	and	and
NN	trade	trade
RB	inasmuch	inasmuch
IN	as	as
DT	the	the
JJ	great	great
JJ	political	political
NN	promise	promise
IN	of	of
DT	the	the
NN	invention	invention
VBZ	be	is
TO	to	to
VB	hold	hold
DT	the	the
NN	union	Union
NN	staunch	staunch
WP$	whose	whose
NNS	day	days
VBD	seem	seemed
RB	already	already
VBN	number	numbered
IN	by	by
DT	the	the
JJ	mere	mere
NN	inconvenience	inconvenience
IN	of	of
VBG	transport	transporting
NNS	representative	representatives
NNS	judge	judges
CC	and	and
NNS	officer	officers
IN	across	across
JJ	such	such
JJ	tedious	tedious
NNS	distance	distances
IN	of	of
NN	land	land
CC	and	and
NN	water	water
RB	not	Not
RB	only	only
VBZ	be	is
NN	distance	distance
VBN	annihilate	annihilated
CC	but	but
WRB	when	when
RB	as	as
RB	now	now
DT	the	the
NN	locomotive	locomotive
CC	and	and
DT	the	the
NNP	steamboat	steamboat
IN	like	like
JJ	enormous	enormous
NNS	shuttle	shuttles
VBP	shoot	shoot
DT	every	every
NN	day	day
IN	across	across
DT	the	the
CD	thousand	thousand
JJ	various	various
NNS	thread	threads
IN	of	of
JJ	national	national
NN	descent	descent
CC	and	and
NN	employment	employment
CC	and	and
VBP	bind	bind
PRP	they	them
RB	fast	fast
IN	in	in
CD	one	one
NN	web	web
DT	a	an
JJ	hourly	hourly
NN	assimilation	assimilation
VBZ	go	goes
RB	forward	forward
CC	and	and
EX	there	there
VBZ	be	is
DT	no	no
NN	danger	danger
IN	that	that
JJ	local	local
NNS	peculiarity	peculiarities
CC	and	and
NNS	hostility	hostilities
MD	should	should
VB	be	be
VBN	preserve	preserved
CD	1	1
CC	but	But
PRP	I	I
VBP	hasten	hasten
TO	to	to
VB	speak	speak
IN	of	of
DT	the	the
NN	utility	utility
IN	of	of
DT	these	these
NNS	improvement	improvements
IN	in	in
VBG	create	creating
DT	a	an
JJ	american	American
NN	sentiment	sentiment
DT	a	An
JJ	unlooked	unlooked
IN	for	for
NN	consequence	consequence
IN	of	of
DT	the	the
NN	railroad	railroad
VBZ	be	is
DT	the	the
VBN	increase	increased
NN	acquaintance	acquaintance
PRP	it	it
VBZ	have	has
VBN	give	given
DT	the	the
JJ	american	American
NNS	people	people
IN	with	with
DT	the	the
JJ	boundless	boundless
NNS	resource	resources
IN	of	of
PRP$	they	their
JJ	own	own
NN	soil	soil
IN	if	If
DT	this	this
NN	invention	invention
VBZ	have	has
VBN	reduce	reduced
NNP	England	England
TO	to	to
DT	a	a
JJ	third	third
IN	of	of
PRP$	its	its
NN	size	size
IN	by	by
VBG	bring	bringing
NNS	people	people
RB	so	so
RB	much	much
IN	nearer	nearer
IN	in	in
DT	this	this
NN	country	country
PRP	it	it
VBZ	have	has
VBN	give	given
DT	a	a
JJ	new	new
NN	celerity	celerity
TO	to	to
VB	_	_
NN	time	time
NN	_	_
CC	or	or
VBN	anticipate	anticipated
IN	by	by
CD	fifty	fifty
NNS	year	years
DT	the	the
NN	planting	planting
IN	of	of
NNS	tract	tracts
IN	of	of
NN	land	land
DT	the	the
NN	choice	choice
IN	of	of
NN	water	water
NNS	privilege	privileges
DT	the	the
NN	working	working
IN	of	of
NNS	mine	mines
CC	and	and
JJ	other	other
JJ	natural	natural
NNS	advantage	advantages
NN	railroad	Railroad
NN	iron	iron
VBZ	be	is
DT	a	a
NN	magician	magician
NNS	s	s
NN	rod	rod
IN	in	in
PRP$	its	its
NN	power	power
TO	to	to
VB	evoke	evoke
DT	the	the
VBG	sleep	sleeping
NNS	energy	energies
IN	of	of
NN	land	land
CC	and	and
NN	water	water
DT	the	The
NN	railroad	railroad
VBZ	be	is
CC	but	but
CD	one	one
NN	arrow	arrow
IN	in	in
PRP$	we	our
NN	quiver	quiver
IN	though	though
PRP	it	it
VBZ	have	has
JJ	great	great
NN	value	value
IN	as	as
DT	a	a
NN	sort	sort
IN	of	of
NN	yard	yard
NN	stick	stick
CC	and	and
NN	surveyor	surveyor
NNS	s	s
VBP	line	line
DT	the	The
JJ	bountiful	bountiful
NN	continent	continent
VBZ	be	is
JJ	ours	ours
NN	state	state
IN	on	on
NN	state	state
CC	and	and
NN	territory	territory
IN	on	on
NN	territory	territory
TO	to	to
DT	the	the
NNS	wave	waves
IN	of	of
DT	the	the
NNP	Pacific	Pacific
NNP	sea	sea
PRP$	we	Our
NN	garden	garden
VBZ	be	is
DT	the	the
JJ	immeasurable	immeasurable
NN	earth	earth
DT	the	The
NN	heaven	heaven
NNS	s	s
JJ	blue	blue
NNS	pillar	pillars
VBP	be	are
NNP	Medea	Medea
NNP	s	s
NNP	house	house
DT	the	The
NN	task	task
IN	of	of
VBG	survey	surveying
NN	planting	planting
CC	and	and
NN	building	building
IN	upon	upon
DT	this	this
JJ	immense	immense
NN	tract	tract
VBZ	require	requires
DT	a	an
NN	education	education
CC	and	and
DT	a	a
NN	sentiment	sentiment
JJ	commensurate	commensurate
RB	thereto	thereto
DT	a	A
NN	consciousness	consciousness
IN	of	of
DT	this	this
NN	fact	fact
VBZ	be	is
VBG	begin	beginning
TO	to	to
VB	take	take
DT	the	the
NN	place	place
IN	of	of
DT	the	the
RB	purely	purely
VBG	trade	trading
NN	spirit	spirit
CC	and	and
NN	education	education
WDT	which	which
VBD	spring	sprang
RP	up	up
IN	whilst	whilst
PDT	all	all
DT	the	the
NN	population	population
VBD	live	lived
IN	on	on
DT	the	the
NN	fringe	fringe
IN	of	of
NN	sea	sea
NN	coast	coast
CC	and	And
RB	even	even
IN	on	on
DT	the	the
NN	coast	coast
JJ	prudent	prudent
NNS	man	men
VBP	have	have
VBN	begin	begun
TO	to	to
VB	see	see
IN	that	that
DT	every	every
NNP	American	American
MD	should	should
VB	be	be
VBN	educate	educated
IN	with	with
DT	a	a
NN	view	view
TO	to	to
DT	the	the
NNS	value	values
IN	of	of
NN	land	land
DT	the	The
NNS	art	arts
IN	of	of
NN	engineering	engineering
CC	and	and
IN	of	of
NN	architecture	architecture
VBP	be	are
VBN	study	studied
JJ	scientific	scientific
NN	agriculture	agriculture
VBZ	be	is
DT	a	an
NN	object	object
IN	of	of
VBG	grow	growing
NN	attention	attention
DT	the	the
NN	mineral	mineral
NNS	riches	riches
VBP	be	are
VBN	explore	explored
JJ	limestone	limestone
NN	coal	coal
NN	slate	slate
CC	and	and
NN	iron	iron
