POS	lemma	word
JJ	american	American
NN	literature	literature
IN	from	From
NNP	Wikiquote	Wikiquote
NN	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
JJ	american	American
NN	literature	literature
VBZ	be	is
NN	literature	literature
VBN	write	written
CC	or	or
VBN	produce	produced
IN	in	in
DT	the	the
NNP	United	United
NNPS	States	States
NN	image	image
NN	stub	Stub
NN	icon	icon
DT	this	This
NN	theme	theme
NN	article	article
VBZ	be	is
DT	a	a
NN	stub	stub
PRP	you	You
MD	can	can
VB	help	help
VB	wikiquote	Wikiquote
IN	by	by
VBG	expand	expanding
PRP	it	it
VBZ	quote	Quotes
VB	edit	edit
RB	here	Here
VBZ	be	is
CD	one	one
IN	of	of
DT	the	the
JJ	fundamental	fundamental
NNS	defect	defects
IN	of	of
JJ	american	American
NN	fiction	fiction
RB	perhaps	perhaps
DT	the	the
CD	one	one
NN	character	character
WDT	that	that
VBZ	set	sets
PRP	it	it
RP	off	off
RB	sharply	sharply
IN	from	from
DT	all	all
JJ	other	other
JJ	known	known
NNS	kind	kinds
IN	of	of
JJ	contemporary	contemporary
NN	fiction	fiction
PRP	it	It
RB	habitually	habitually
VBZ	exhibit	exhibits
RB	not	not
DT	a	a
NN	man	man
IN	of	of
JJ	delicate	delicate
NN	organization	organization
IN	in	in
NN	revolt	revolt
IN	against	against
DT	the	the
JJ	inexplicable	inexplicable
NN	tragedy	tragedy
IN	of	of
NN	existence	existence
CC	but	but
DT	a	a
NN	man	man
IN	of	of
JJ	low	low
NNS	sensibility	sensibilities
CC	and	and
JJ	elemental	elemental
NNS	desire	desires
VBG	yield	yielding
PRP	himself	himself
RB	gladly	gladly
TO	to	to
PRP$	he	his
NN	environment	environment
CC	and	and
RB	so	so
VBG	achieve	achieving
WP	what	what
IN	under	under
DT	a	a
JJ	third	third
NN	rate	rate
NN	civilization	civilization
VBZ	pass	passes
IN	for	for
NN	success	success
TO	to	To
VB	get	get
IN	on	on
DT	this	this
VBZ	be	is
DT	the	the
NN	aim	aim
TO	to	To
VB	weigh	weigh
CC	and	and
VB	reflect	reflect
TO	to	to
VB	doubt	doubt
CC	and	and
VB	rebel	rebel
DT	this	this
VBZ	be	is
DT	the	the
NN	thing	thing
TO	to	to
VB	be	be
VBN	avoid	avoided
NN	h	H
NN	l	L
NNP	Mencken	Mencken
DT	the	The
NNP	National	National
NNS	letter	Letters
NNS	prejudice	Prejudices
JJ	second	Second
NNP	Series	Series
NNP	New	New
NNP	York	York
CD	1920	1920
NN	pp	pp
CD	39	39
CD	40	40
DT	a	A
JJ	superior	superior
NN	man	man
NNS	s	s
NN	struggle	struggle
IN	in	in
DT	the	the
NN	world	world
VBZ	be	is
RB	not	not
IN	with	with
NNP	exterior	exterior
NNS	lion	lions
NNS	trust	trusts
VBZ	margrave	margraves
NN	policemen	policemen
NNS	rival	rivals
IN	in	in
NN	love	love
JJ	german	German
NNS	spy	spies
NNS	radical	radicals
CC	and	and
NNS	tornado	tornadoes
CC	but	but
IN	with	with
DT	the	the
JJ	obscure	obscure
JJ	atavistic	atavistic
NNS	impulse	impulses
IN	within	within
PRP	he	him
DT	the	the
NNS	impulse	impulses
NNS	weakness	weaknesses
CC	and	and
NNS	limitation	limitations
WDT	that	that
NN	war	war
IN	with	with
PRP$	he	his
NN	notion	notion
IN	of	of
WP	what	what
NN	life	life
MD	should	should
VB	be	be
DT	the	The
NN	hero	hero
IN	of	of
DT	the	the
JJ	inferior	inferior
NN	i	i
NN	e	e
DT	the	the
RB	typically	typically
JJ	american	American
JJ	novel	novel
VBZ	engage	engages
IN	in	in
DT	no	no
JJ	such	such
JJ	doomed	doomed
CC	and	and
JJ	fateful	fateful
NN	combat	combat
PRP$	he	His
NN	conflict	conflict
VBZ	be	is
RB	not	not
IN	with	with
DT	the	the
JJ	inexplicable	inexplicable
NNS	ukase	ukases
IN	of	of
NN	destiny	destiny
DT	the	the
NNS	limitation	limitations
IN	of	of
PRP$	he	his
JJ	own	own
NN	strength	strength
DT	the	the
JJ	dead	dead
NN	hand	hand
IN	upon	upon
PRP	he	him
CC	but	but
RB	simply	simply
IN	with	with
DT	the	the
JJ	superficial	superficial
NNS	desire	desires
IN	of	of
PRP$	he	his
JJ	elemental	elemental
NN	fellow	fellow
NNS	man	men
PRP	he	He
RB	thus	thus
VBZ	have	has
DT	a	a
JJ	fair	fair
NN	chance	chance
IN	of	of
VBG	win	winning
CC	and	and
IN	in	in
JJ	bad	bad
NN	fiction	fiction
WDT	that	that
NN	chance	chance
VBZ	be	is
RB	always	always
VBN	convert	converted
IN	into	into
DT	a	a
NN	certainty	certainty
IN	so	So
PRP	he	he
VBZ	marry	marries
DT	the	the
NN	daughter	daughter
IN	of	of
DT	the	the
NN	owner	owner
IN	of	of
DT	the	the
NN	factory	factory
CC	and	and
RB	eventually	eventually
VBZ	gobble	gobbles
DT	the	the
NN	factory	factory
PRP	itself	itself
PRP$	he	His
NN	success	success
VBZ	give	gives
VBZ	thrill	thrills
TO	to	to
NNS	person	persons
WP	who	who
MD	can	can
VB	imagine	imagine
DT	no	no
JJR	higher	higher
NN	aspiration	aspiration
PRP	he	He
VBZ	embody	embodies
PRP$	they	their
NN	optimism	optimism
IN	as	as
DT	the	the
JJ	other	other
NN	hero	hero
VBZ	embody	embodies
DT	the	the
NN	pessimism	pessimism
IN	of	of
JJR	more	more
JJ	introspective	introspective
CC	and	and
JJ	idealistic	idealistic
NNS	man	men
PRP	he	He
VBZ	be	is
DT	the	the
NN	protagonist	protagonist
IN	of	of
DT	that	that
JJ	great	great
NN	majority	majority
WDT	which	which
VBZ	be	is
RB	so	so
JJ	inferior	inferior
IN	that	that
PRP	it	it
VBZ	be	is
RB	quite	quite
JJ	unconscious	unconscious
IN	of	of
PRP$	its	its
NN	inferiority	inferiority
NN	h	H
NN	l	L
NNP	Mencken	Mencken
DT	the	The
NNP	National	National
NNS	letter	Letters
NNS	prejudice	Prejudices
JJ	second	Second
NNP	Series	Series
NNP	New	New
NNP	York	York
CD	1920	1920
NN	p	p
CD	43	43
VBP	see	See
RB	also	also
VB	edit	edit
NN	literature	Literature
NNP	United	United
NNP	States	States
NNP	External	External
NNP	links	links
VB	edit	edit
NN	image	image
NN	wikipedia	Wikipedia
NN	wikipedia	Wikipedia
VBZ	have	has
DT	a	an
NN	article	article
IN	about	about
JJ	american	American
NN	literature	literature
NN	image	image
VBN	retrieve	Retrieved
IN	from	from
FW	https	https
FW	en	en
FW	wikiquote	wikiquote
NN	org	org
NN	w	w
NN	index	index
NNP	php	php
NNP	title	title
NNP	American_literature	American_literature
NN	amp	amp
NN	oldid	oldid
CD	2151163	2151163
NNS	category	Categories
NN	theme	Theme
NNS	stub	stubs
NN	literature	Literature
NNP	United	United
NNPS	States	States
NNP	Navigation	Navigation
NN	menu	menu
JJ	personal	Personal
NNS	tool	tools
RB	not	Not
VBN	log	logged
IN	in	in
NN	talk	Talk
NNS	contribution	Contributions
VBP	create	Create
NN	account	account
NN	log	Log
IN	in	in
NNS	namespace	Namespaces
NN	page	Page
NN	discussion	Discussion
NNS	variant	Variants
NNS	view	Views
VBP	read	Read
VB	edit	Edit
NN	view	View
NN	history	history
JJR	more	More
NN	search	Search
NN	navigation	Navigation
JJ	main	Main
NN	page	Page
NN	community	Community
JJ	portal	portal
NN	village	Village
NN	pump	pump
JJ	recent	Recent
NNS	change	changes
JJ	random	Random
NN	page	page
NN	help	Help
VB	donate	Donate
NN	contact	Contact
NN	wikiquote	Wikiquote
NN	wikiquote	Wikiquote
NNS	link	links
NNS	people	People
JJ	literary	Literary
NNS	work	works
NNS	proverb	Proverbs
NNS	film	Films
NN	tv	TV
VBZ	show	shows
NNS	theme	Themes
NNS	category	Categories
VBP	print	Print
NN	export	export
VB	create	Create
DT	a	a
NN	book	book
NN	download	Download
IN	as	as
NN	pdf	PDF
JJ	printable	Printable
NN	version	version
IN	in	In
JJ	other	other
NNS	project	projects
NN	wikimedia	Wikimedia
NNP	Commons	Commons
NNP	Wikibooks	Wikibooks
NNP	Wikipedia	Wikipedia
NNS	tool	Tools
WDT	what	What
NNS	link	links
RB	here	here
JJ	related	Related
NNS	change	changes
VBP	upload	Upload
NN	file	file
JJ	special	Special
NNS	page	pages
JJ	permanent	Permanent
NN	link	link
NN	page	Page
NN	information	information
NNP	Wikidata	Wikidata
NN	item	item
VB	cite	Cite
DT	this	this
NN	page	page
IN	in	In
JJ	other	other
NNS	language	languages
VBP	add	Add
NNS	link	links
DT	this	This
NN	page	page
VBD	be	was
JJ	last	last
VBN	edit	edited
IN	on	on
CD	24	24
NNP	July	July
CD	2016	2016
IN	at	at
CD	18	18
CD	22	22
NN	text	Text
VBZ	be	is
JJ	available	available
IN	under	under
DT	the	the
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
JJ	sharealike	ShareAlike
NN	license	License
JJ	additional	additional
NNS	term	terms
MD	may	may
VB	apply	apply
IN	by	By
VBG	use	using
DT	this	this
NN	site	site
PRP	you	you
VBP	agree	agree
TO	to	to
DT	the	the
NNS	term	Terms
IN	of	of
NN	use	Use
CC	and	and
NN	privacy	Privacy
NN	policy	Policy
NN	privacy	Privacy
NN	policy	policy
IN	about	About
JJ	wikiquote	Wikiquote
NNS	disclaimer	Disclaimers
NNS	developer	Developers
NN	cookie	Cookie
NN	statement	statement
JJ	mobile	Mobile
NN	view	view
NN	image	image
NN	wikimedia	Wikimedia
NN	foundation	Foundation
NN	image	image
VBN	power	Powered
IN	by	by
NNP	MediaWiki	MediaWiki
