POS	lemma	word
CD	1911	1911
NNP	Encyclop	Encyclop
NNP	dia	dia
NNP	Britannica	Britannica
NNP	American	American
NN	literature	Literature
IN	from	From
NN	wikisource	Wikisource
NN	lt	lt
CD	1911	1911
NNP	Encyclop	Encyclop
NNP	dia	dia
NNP	Britannica	Britannica
VB	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
JJ	american	American
NN	law	Law
CD	1911	1911
NNP	Encyclop	Encyclop
NNP	dia	dia
NNP	Britannica	Britannica
NN	volume	Volume
CD	1	1
JJ	american	American
NN	literature	Literature
IN	by	by
NNP	George	George
NNP	Edward	Edward
NNP	Woodberry	Woodberry
NNP	American	American
NNP	War	War
IN	of	of
NNP	Independence	Independence
NNP	See	See
RB	also	also
JJ	american	American
NN	literature	literature
IN	on	on
NNP	Wikipedia	Wikipedia
CC	and	and
PRP$	we	our
CD	1911	1911
NNP	Encyclop	Encyclop
NNP	dia	dia
NNP	Britannica	Britannica
NN	disclaimer	disclaimer
CD	17760951911	17760951911
NNP	Encyclop	Encyclop
NNP	dia	dia
NNP	Britannica	Britannica
NN	volume	Volume
CD	1	1
JJ	american	American
NN	literature	Literature
JJ	american	AMERICAN
NN	literature	LITERATURE
DT	the	The
JJS	earliest	earliest
NNS	book	books
WDT	which	which
VBP	be	are
RB	commonly	commonly
VBN	describe	described
IN	as	as
DT	the	the
NNS	beginning	beginnings
IN	of	of
JJ	american	American
NN	literature	literature
VBD	be	were
VBN	write	written
IN	by	by
NNS	man	men
VBN	bear	born
CC	and	and
VBN	breed	bred
IN	in	in
NNP	England	England
PRP	they	they
VBD	be	were
VBN	publish	published
EX	there	there
PRP	they	they
VBD	be	were
IN	in	in
NN	fact	fact
DT	a	an
VB	begin	Begin
NNS	ning	nings
JJ	undivided	undivided
NN	part	part
IN	of	of
JJ	english	English
NN	literature	literature
VBG	belong	belonging
TO	to	to
DT	the	the
NN	province	province
IN	of	of
NN	exploration	exploration
CC	and	and
JJ	geographical	geographical
NN	description	description
CC	and	and
RB	entirely	entirely
JJ	similar	similar
IN	in	in
NN	matter	matter
CC	and	and
NN	style	style
TO	to	to
JJ	other	other
NNS	work	works
IN	of	of
NNS	voyager	voyagers
CC	and	and
NNS	colonizer	colonizers
WDT	that	that
VBP	illustrate	illustrate
DT	the	the
NN	expansion	expansion
IN	of	of
NNP	England	England
PRP	they	They
VBP	contain	contain
DT	the	the
NNS	material	materials
IN	of	of
NN	history	history
IN	in	in
DT	a	a
NN	form	form
IN	of	of
JJ	good	good
JJ	elizabethan	Elizabethan
NN	narrative	narrative
RB	always	always
JJ	vigorous	vigorous
IN	in	in
NN	language	language
RB	often	often
JJ	vivid	vivid
CC	and	and
JJ	picturesque	picturesque
NNP	John	John
NNP	Smith	Smith
CD	1579	1579
CD	1631	1631
VBD	write	wrote
DT	the	the
JJ	first	first
IN	of	of
DT	these	these
DT	a	A
JJ	true	True
NN	relation	Relation
IN	of	of
JJ	such	such
NNS	occurrence	Occurrences
CC	and	and
NNS	accident	Accidents
IN	of	of
NN	note	Note
IN	as	as
VBP	have	hath
VBN	happen	happened
IN	in	in
NNP	Virginia	Virginia
CD	1608	1608
CC	and	and
PRP	he	he
RB	later	later
VBD	add	added
JJ	other	other
NNS	account	accounts
IN	of	of
DT	the	the
NN	country	country
TO	to	to
DT	the	the
NNP	north	north
NNP	William	William
NNP	Strachey	Strachey
DT	a	a
JJ	virginian	Virginian
NN	official	official
IN	of	of
WP	whom	whom
RB	little	little
VBZ	be	is
VBN	know	known
RB	biographically	biographically
VBN	describe	described
CD	1610	1610
DT	the	the
NN	shipwreck	shipwreck
IN	of	of
NNP	Sir	Sir
NNP	Thomas	Thomas
NNP	Gates	Gates
IN	on	on
DT	the	the
NNS	bermuda	Bermudas
WDT	which	which
VBZ	be	is
VBN	believe	believed
TO	to	to
VB	have	have
VBN	yield	yielded
NNP	Shakespeare	Shakespeare
NNS	suggestion	suggestions
IN	for	for
DT	the	The
NN	tempest	Tempest
NNP	Colonel	Colonel
NNP	Henry	Henry
NNP	Norwood	Norwood
NNP	d	d
CD	1689	1689
RB	hitherto	hitherto
JJ	unidentified	unidentified
IN	of	of
NN	leckhampton	Leckhampton
NN	gloucestershire	Gloucestershire
DT	a	a
NN	person	person
JJ	eminent	eminent
IN	for	for
NN	loyalty	loyalty
IN	in	in
DT	the	the
NN	reign	reign
IN	of	of
NNP	Charles	Charles
NNP	I	I
CC	and	and
VBN	distinguish	distinguished
IN	in	in
DT	the	the
JJ	civil	civil
NNS	war	wars
RB	later	later
NN	governor	governor
IN	of	of
NNP	Tangiers	Tangiers
CC	and	and
DT	a	a
NN	member	member
IN	of	of
NNP	parliament	parliament
IN	for	for
NNP	Gloucester	Gloucester
VBD	write	wrote
DT	a	an
NN	account	account
IN	of	of
PRP$	he	his
NN	voyage	voyage
TO	to	to
NNP	Virginia	Virginia
IN	as	as
DT	a	an
NN	adventurer	adventurer
IN	in	in
CD	1649	1649
DT	these	These
VBP	be	are
JJ	characteristic	characteristic
NNS	work	works
IN	of	of
DT	the	the
JJS	earliest	earliest
NN	period	period
CC	and	and
VBP	illustrate	illustrate
RB	variously	variously
DT	the	the
NN	literature	literature
IN	of	of
NN	exploration	exploration
WDT	which	which
VBZ	exist	exists
IN	in	in
JJ	numerous	numerous
NNS	example	examples
CC	and	and
VBZ	be	is
VBN	preserve	preserved
IN	for	for
JJ	historical	historical
NNS	reason	reasons
DT	the	The
NN	settlement	settlement
IN	of	of
DT	the	the
NNS	colony	colonies
VBD	be	was
IN	in	in
JJ	general	general
VBN	attend	attended
IN	by	by
JJ	such	such
NNS	narrative	narratives
IN	of	of
NN	adventure	adventure
CC	or	or
IN	by	by
NNS	account	accounts
IN	of	of
DT	the	the
NN	state	state
IN	of	of
DT	the	the
NN	country	country
