POS	lemma	word
DT	the	The
NNP	Englishcollection	Englishcollection
VBN	list	Listed
NNS	site	sites
JJ	open	Open
NN	search	search
NN	search	Search
NNS	humanities	Humanities
JJ	audio	audio
NN	amp	amp
NN	video	video
CC	or	or
CC	and	and
NN	phrase	phrase
NN	search	Search
NN	history	History
NN	literature	Literature
NN	image	image
NNP	facebook	facebook
VB	join	Join
PRP	we	us
IN	on	on
NNP	Facebook	Facebook
JJ	welcome	Welcome
JJ	british	British
NN	history	history
JJ	british	British
JJ	irish	Irish
NN	literature	literature
JJ	british	British
NN	government	government
JJ	british	British
NNS	region	regions
JJ	british	British
NNS	media	media
DT	the	The
JJ	british	British
NN	empire	Empire
PRP	we	US
NN	history	history
PRP	we	US
NN	literature	literature
PRP	we	US
NN	government	government
PRP	we	US
NNS	region	regions
PRP	we	US
NNS	media	media
VB	ask	Ask
NNS	question	questions
VB	contact	Contact
PRP$	we	Our
NN	shop	shop
VB	get	Get
PRP$	we	our
JJ	free	free
NN	search	search
NN	box	box
PRP	we	US
NN	literature	Literature
NN	image	image
CD	1400	1400
NN	image	image
CD	1600	1600
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NNS	resource	Resources
NN	image	image
NNS	resource	Resources
NN	format	Format
NN	time	Time
NN	annenbergcpb	AnnenbergCPB
NNS	voice	Voices
CC	and	and
NNS	vision	Visions
DT	a	a
NN	tv	tv
NN	series	series
IN	about	about
JJ	american	American
NN	literature	literature
NN	press	Press
DT	the	the
NNS	icon	icons
TO	to	to
DT	the	the
JJ	right	right
NN	log	log
IN	in	in
CC	and	and
VB	watch	watch
IN	for	for
JJ	free	free
NNS	media	Media
NN	player	Player
NN	video	Video
CD	13	13
NN	x	X
CD	1	1
NN	hour	hour
NN	annenbergcpb	AnnenbergCPB
JJ	american	American
NNS	passage	Passages
DT	a	a
NN	tv	tv
NN	series	series
IN	about	about
JJ	american	American
NN	literature	literature
NN	press	Press
DT	the	the
NNS	icon	icons
TO	to	to
DT	the	the
JJ	right	right
NN	log	log
IN	in	in
CC	and	and
VB	watch	watch
IN	for	for
JJ	free	free
NNS	media	Media
NN	player	Player
NN	video	Video
CD	16	16
NN	x	X
CD	29	29
NN	min	min
NNP	Orson	Orson
NNP	Welles	Welles
NNP	Mercury	Mercury
NNP	Theatre	Theatre
NN	mp3	mp3
CD	30	30
NN	x	X
CD	1	1
NN	hour	hour
DT	the	The
NN	underdog	Underdog
RB	org	org
VB	download	download
CD	5	5
NNS	hour	hours
IN	of	of
