POS	lemma	word
CD	1850	1850
RB	twice	TWICE
VBD	tell	TOLD
NNS	tale	TALES
DT	the	THE
NNP	GREAT	GREAT
NNP	STONE	STONE
NN	face	FACE
IN	by	by
NNP	Nathaniel	Nathaniel
NNP	Hawthorne	Hawthorne
CD	one	ONE
NN	afternoon	AFTERNOON
WRB	when	When
DT	the	the
NN	sun	sun
VBD	be	was
VBG	go	going
RP	down	down
DT	a	a
NN	mother	mother
CC	and	and
PRP$	she	her
JJ	little	little
NN	boy	boy
VBD	sit	sat
IN	at	at
DT	the	the
NN	door	door
IN	of	of
PRP$	they	their
NN	cottage	cottage
VBG	talk	talking
IN	about	about
DT	the	the
NNP	Great	Great
NNP	Stone	Stone
VBP	face	Face
PRP	they	They
VBD	have	had
CC	but	but
TO	to	to
VB	lift	lift
PRP$	they	their
NNS	eye	eyes
CC	and	and
EX	there	there
PRP	it	it
VBD	be	was
RB	plainly	plainly
TO	to	to
VB	be	be
VBN	see	seen
IN	though	though
NNS	mile	miles
RB	away	away
IN	with	with
DT	the	the
NN	sunshine	sunshine
VBG	brighten	brightening
DT	all	all
PRP$	its	its
NNS	feature	features
CC	and	And
WP	what	what
VBD	be	was
DT	the	the
NNP	Great	Great
NNP	Stone	Stone
VBP	face	Face
JJ	embosomed	Embosomed
IN	amongst	amongst
DT	a	a
NN	family	family
IN	of	of
JJ	lofty	lofty
NNS	mountain	mountains
EX	there	there
VBD	be	was
DT	a	a
NNP	valley	valley
RB	so	so
JJ	spacious	spacious
IN	that	that
PRP	it	it
VBD	contain	contained
JJ	many	many
CD	thousand	thousand
NNS	inhabitant	inhabitants
DT	some	Some
IN	of	of
DT	these	these
JJ	good	good
NNS	people	people
VBP	dwell	dwelt
IN	in	in
NN	log	log
NNS	hut	huts
IN	with	with
DT	the	the
JJ	black	black
NN	forest	forest
DT	all	all
IN	around	around
PRP	they	them
IN	on	on
DT	the	the
JJ	steep	steep
CC	and	and
JJ	difficult	difficult
NN	hill	hill
NNS	side	sides
NNS	other	Others
VBD	have	had
PRP$	they	their
NNS	home	homes
IN	in	in
JJ	comfortable	comfortable
NN	farm	farm
NNS	house	houses
CC	and	and
VBD	cultivate	cultivated
DT	the	the
JJ	rich	rich
NN	soil	soil
IN	on	on
DT	the	the
JJ	gentle	gentle
NNS	slope	slopes
CC	or	or
NN	level	level
NNS	surface	surfaces
IN	of	of
DT	the	the
NNP	valley	valley
NNS	other	Others
RB	again	again
VBD	be	were
VBN	congregate	congregated
IN	into	into
JJ	populous	populous
NNS	village	villages
WRB	where	where
DT	some	some
JJ	wild	wild
NNP	highland	highland
NNP	rivulet	rivulet
VBG	tumble	tumbling
RP	down	down
IN	from	from
PRP$	its	its
NN	birthplace	birthplace
IN	in	in
DT	the	the
JJ	upper	upper
NN	mountain	mountain
NN	region	region
VBD	have	had
VBN	be	been
VBN	catch	caught
CC	and	and
VBN	tame	tamed
IN	by	by
JJ	human	human
JJ	cunning	cunning
CC	and	and
VBN	compel	compelled
TO	to	to
VB	turn	turn
DT	the	the
NN	machinery	machinery
IN	of	of
NN	cotton	cotton
NNS	factory	factories
DT	the	The
NNS	inhabitant	inhabitants
IN	of	of
DT	this	this
NN	valley	valley
IN	in	in
JJ	short	short
VBD	be	were
JJ	numerous	numerous
CC	and	and
IN	of	of
JJ	many	many
NNS	mode	modes
IN	of	of
NN	life	life
CC	but	But
DT	all	all
IN	of	of
PRP	they	them
JJ	grown	grown
NNS	people	people
CC	and	and
NNS	child	children
VBD	have	had
DT	a	a
NN	kind	kind
IN	of	of
NN	familiarity	familiarity
IN	with	with
DT	the	the
NNP	Great	Great
NNP	Stone	Stone
NNP	Face	Face
IN	although	although
DT	some	some
VBD	possess	possessed
DT	the	the
NN	gift	gift
IN	of	of
VBG	distinguish	distinguishing
DT	this	this
JJ	grand	grand
JJ	natural	natural
NN	phenomenon	phenomenon
RBR	more	more
RB	perfectly	perfectly
IN	than	than
JJ	many	many
IN	of	of
PRP$	they	their
NNS	neighbor	neighbors
DT	the	The
NNP	Great	Great
NNP	Stone	Stone
NNP	Face	Face
RB	then	then
VBD	be	was
DT	a	a
NN	work	work
IN	of	of
NN	nature	Nature
IN	in	in
PRP$	she	her
