POS	lemma	word
NN	web	Web
NN	ndl	NDL
NNS	authority	Authorities
JJ	japanese	Japanese
NN	help	Help
NN	online	Online
NNS	service	Services
IN	at	at
DT	the	the
NNP	NDL	NDL
PRP	you	You
MD	can	can
VB	search	search
NNP	NDL	NDL
JJ	bibliographic	bibliographic
NNS	record	records
IN	for	for
DT	the	the
VBG	follow	following
NNS	heading	headings
JJ	subject	Subject
NN	search	Search
DT	all	All
NN	name	Name
JJ	topical	Topical
NN	name	Name
NN	ndc9	NDC9
CD	10	10
NN	ndc9	NDC9
NN	ndc10	NDC10
NN	ndlc	NDLC
VB	search	Search
DT	all	All
NN	name	Name
JJ	topical	Topical
NN	name	Name
NN	id	ID
CD	00560164	00560164
NN	type	Type
IN	of	of
NN	authority	Authority
JJ	topical	Topical
NNS	term	Terms
VBG	head	Heading
NN	transliteration	Transliteration
IN	of	of
VBG	head	Heading
JJ	amerikabungaku	Amerikabungaku
JJ	variant	Variant
NNS	s	s
JJ	american	American
NN	literature	literature
JJR	broader	Broader
NN	term	Term
NNS	s	s
JJR	narrower	Narrower
NN	term	Term
NNS	s	s
JJ	related	Related
NN	term	Term
NNS	s	s
NN	classification	Classification
NN	number	Number
NNS	s	s
CD	930	930
CD	29	29
NN	ndc10	NDC10
CD	930	930
CD	29	29
NN	ndc9	NDC9
NN	ks183	KS183
NN	ndlc	NDLC
JJ	related	Related
NNS	link	Links
NN	sh85004336	sh85004336
NN	lcsh	LCSH
JJ	related	Related
NNS	link	Links
NNS	source	Sources
CD	00017400	00017400
NN	bsh4	BSH4
NNS	source	Sources
NN	date	Date
VBN	create	Created
CD	1980	1980
NNP	06	06
CD	20	20
JJ	last	Last
VBN	update	Updated
CD	2017	2017
NN	05	05
NN	11t11	11T11
CD	19	19
NN	05	05
JJ	external	External
NN	link	Link
NN	wikipedia	Wikipedia
VB	search	Search
DT	the	the
JJ	japanese	Japanese
NN	wikipedia	Wikipedia
NN	wikipedia	Wikipedia
NN	notice	Notice
RB	sometimes	Sometimes
NNP	Wikipedia	Wikipedia
MD	will	will
VB	return	return
JJ	incorrect	incorrect
NNS	match	matches
JJ	other	Other
NNS	format	formats
NN	rdf	RDF
NN	xml	XML
NN	rdf	RDF
NN	xml	XML
NN	format	format
NNP	RDF	RDF
NNP	Turtle	Turtle
NNP	RDF	RDF
NNP	Turtle	Turtle
NN	format	format
NN	json	JSON
NN	ld	LD
NN	json	JSON
NN	ld	LD
NN	format	format
JJ	national	National
NNP	Diet	Diet
NNP	Library	Library
NNP	Home	Home
NNP	NDL	NDL
VB	search	Search
NN	web	Web
NN	ndl	NDL
NNS	authority	Authorities
IN	about	About
NN	web	Web
NN	ndl	NDL
NNS	authority	Authorities
VBP	contact	Contact
PRP	we	Us
JJ	copyright	Copyright
JJ	national	National
NNP	Diet	Diet
NN	library	Library
DT	all	All
NNS	rights	Rights
VBN	reserve	Reserved
