POS	lemma	word
NNP	Paul	Paul
NNP	Revere	Revere
VBZ	be	s
NN	ride	Ride
NNP	Henry	Henry
NNP	Wadsworth	Wadsworth
NNP	Longfellow	Longfellow
VB	listen	Listen
PRP$	my	my
NNS	child	children
CC	and	and
PRP	you	you
MD	shall	shall
VB	hear	hear
IN	of	Of
DT	the	the
NN	midnight	midnight
NN	ride	ride
IN	of	of
NNP	Paul	Paul
NNP	Revere	Revere
IN	on	On
DT	the	the
NN	eighteenth	eighteenth
IN	of	of
NNP	April	April
IN	in	in
CD	seventy	Seventy
CD	five	five
RB	hardly	Hardly
DT	a	a
NN	man	man
VBZ	be	is
RB	now	now
JJ	alive	alive
WP	who	Who
VBZ	remember	remembers
IN	that	that
JJ	famous	famous
NN	day	day
CC	and	and
NN	year	year
PRP	he	He
VBD	say	said
TO	to	to
PRP$	he	his
NN	friend	friend
IN	if	If
DT	the	the
JJ	british	British
NN	march	march
IN	by	By
NN	land	land
CC	or	or
NN	sea	sea
IN	from	from
DT	the	the
NN	town	town
TO	to	to
NN	night	night
NNP	Hang	Hang
DT	a	a
NNP	lantern	lantern
RB	aloft	aloft
IN	in	in
DT	the	the
NN	belfry	belfry
NN	arch	arch
IN	of	Of
DT	the	the
NNP	North	North
NNP	Church	Church
NNP	tower	tower
IN	as	as
DT	a	a
NN	signal	signal
NN	light	light
CD	one	One
IN	if	if
IN	by	by
NN	land	land
CC	and	and
CD	two	two
IN	if	if
IN	by	by
NN	sea	sea
CC	and	And
PRP	I	I
IN	on	on
DT	the	the
JJ	opposite	opposite
NN	shore	shore
MD	will	will
VB	be	be
JJ	ready	Ready
TO	to	to
VB	ride	ride
CC	and	and
VB	spread	spread
DT	the	the
NN	alarm	alarm
IN	through	Through
DT	every	every
NNP	Middlesex	Middlesex
NNP	village	village
CC	and	and
NNP	farm	farm
IN	for	For
DT	the	the
NN	country	country
NN	folk	folk
TO	to	to
VB	be	be
RB	up	up
CC	and	and
TO	to	to
VB	arm	arm
RB	then	Then
PRP	he	he
VBD	say	said
JJ	good	Good
NN	night	night
CC	and	and
IN	with	with
VBN	muffle	muffled
NN	oar	oar
RB	silently	Silently
VBD	row	rowed
TO	to	to
DT	the	the
NNP	Charlestown	Charlestown
NN	shore	shore
RB	just	Just
IN	as	as
DT	the	the
NN	moon	moon
VBD	rise	rose
IN	over	over
DT	the	the
