POS	lemma	word
CD	1889	1889
NNP	BILLY	BILLY
NNP	BUDD	BUDD
IN	by	by
NNP	Herman	Herman
NNP	Melville	Melville
NNP	CHAPTER	CHAPTER
CD	1	1
IN	in	IN
DT	the	THE
NN	time	time
IN	before	before
NNS	steamship	steamships
CC	or	or
RB	then	then
RBR	more	more
RB	frequently	frequently
IN	than	than
RB	now	now
DT	a	a
NN	stroller	stroller
IN	along	along
DT	the	the
VBZ	dock	docks
IN	of	of
DT	any	any
JJ	considerable	considerable
NN	sea	sea
NN	port	port
MD	would	would
RB	occasionally	occasionally
VB	have	have
PRP$	he	his
NN	attention	attention
VBN	arrest	arrested
IN	by	by
DT	a	a
NN	group	group
IN	of	of
JJ	bronzed	bronzed
NNS	mariner	mariners
NN	man	man
IN	of	of
NN	war	war
NNS	s	s
NNS	man	men
CC	or	or
NN	merchant	merchant
NNS	sailor	sailors
IN	in	in
NN	holiday	holiday
NN	attire	attire
RB	ashore	ashore
IN	on	on
NN	liberty	liberty
IN	in	In
JJ	certain	certain
NNS	instance	instances
PRP	they	they
MD	would	would
VB	flank	flank
CC	or	or
VB	like	like
DT	a	a
NN	body	body
NN	guard	guard
RB	quite	quite
VBP	surround	surround
DT	some	some
JJ	superior	superior
NN	figure	figure
IN	of	of
PRP$	they	their
JJ	own	own
NN	class	class
VBG	move	moving
RP	along	along
IN	with	with
PRP	they	them
IN	like	like
NNP	Aldebaran	Aldebaran
IN	among	among
DT	the	the
JJR	lesser	lesser
NNS	light	lights
IN	of	of
PRP$	he	his
NN	constellation	constellation
IN	that	That
NN	signal	signal
NN	object	object
VBD	be	was
DT	the	the
JJ	handsome	Handsome
NN	sailor	Sailor
IN	of	of
DT	the	the
JJR	less	less
JJ	prosaic	prosaic
NN	time	time
RB	alike	alike
IN	of	of
DT	the	the
JJ	military	military
CC	and	and
NN	merchant	merchant
NNS	navy	navies
IN	with	With
DT	no	no
JJ	perceptible	perceptible
NN	trace	trace
IN	of	of
DT	the	the
JJ	vainglorious	vainglorious
IN	about	about
PRP	he	him
RB	rather	rather
IN	with	with
DT	the	the
JJ	off	off
NN	hand	hand
NN	unaffectedness	unaffectedness
IN	of	of
JJ	natural	natural
NN	regality	regality
PRP	he	he
VBD	seem	seemed
TO	to	to
VB	accept	accept
DT	the	the
JJ	spontaneous	spontaneous
NN	homage	homage
IN	of	of
PRP$	he	his
NNS	shipmate	shipmates
DT	a	A
RB	somewhat	somewhat
JJ	remarkable	remarkable
NN	instance	instance
VBZ	recur	recurs
TO	to	to
PRP	I	me
IN	in	In
NNP	Liverpool	Liverpool
RB	now	now
PDT	half	half
DT	a	a
NN	century	century
IN	ago	ago
PRP	I	I
VBD	see	saw
IN	under	under
DT	the	the
NN	shadow	shadow
IN	of	of
DT	the	the
JJ	great	great
JJ	dingy	dingy
NN	street	street
NN	wall	wall
IN	of	of
NNP	Prince	Prince
NNP	s	s
NN	dock	Dock
DT	a	an
NN	obstruction	obstruction
RB	long	long
IN	since	since
VBN	remove	removed
DT	a	a
JJ	common	common
NN	sailor	sailor
RB	so	so
RB	intensely	intensely
JJ	black	black
IN	that	that
PRP	he	he
MD	must	must
NNS	need	needs
VBP	have	have
VBN	be	been
