POS	lemma	word
JJ	american	American
NN	literature	literature
IN	from	From
NNP	Wikipedia	Wikipedia
DT	the	the
JJ	free	free
NN	encyclopedia	encyclopedia
NN	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
IN	for	For
JJ	other	other
NNS	use	uses
VBP	see	see
JJ	american	American
NN	literature	literature
NN	disambiguation	disambiguation
DT	this	This
NN	article	article
VBZ	be	is
NN	part	part
IN	of	of
DT	a	a
NN	series	series
IN	on	on
DT	the	the
NN	culture	Culture
IN	of	of
DT	the	the
NNP	United	United
NNPS	States	States
IN	of	of
NNP	America	America
NN	image	image
JJR	greater	Greater
NN	coat	coat
IN	of	of
NNS	arm	arms
IN	of	of
DT	the	the
NNP	United	United
NNPS	States	States
NNP	svg	svg
NNP	Society	Society
NN	history	History
NN	language	Language
NNS	people	People
NN	race	Race
CC	and	and
NN	ethnicity	ethnicity
NN	religion	Religion
NNS	art	Arts
CC	and	and
NN	literature	literature
NN	architecture	Architecture
NN	art	Art
NN	dance	Dance
NN	fashion	Fashion
NN	literature	Literature
NNS	comic	Comics
NN	poetry	Poetry
NN	music	Music
NN	sculpture	Sculpture
NN	theater	Theater
JJ	other	Other
NN	cuisine	Cuisine
NNS	festival	Festivals
NN	folklore	Folklore
NNS	media	Media
NNS	newspaper	Newspapers
NN	radio	Radio
NN	cinema	Cinema
NN	tv	TV
NN	mythology	Mythology
NN	sport	Sport
NNS	symbol	Symbols
NN	flag	Flag
JJ	great	Great
NN	seal	Seal
NNS	monument	Monuments
NN	motto	Motto
NN	anthem	Anthem
NN	bird	Bird
NN	world	World
NN	heritage	Heritage
NNS	site	Sites
NN	image	image
NN	flag	Flag
IN	of	of
NNP	America	America
CD	19	19
CD	10	10
NNP	svg	svg
NNP	United	United
NNPS	States	States
NNP	portal	portal
NNP	v	v
NN	t	t
NN	e	e
JJ	american	American
NN	literature	literature
VBZ	be	is
NN	literature	literature
VBN	write	written
CC	or	or
VBN	produce	produced
IN	in	in
DT	the	the
NNP	United	United
NNPS	States	States
CC	and	and
PRP$	its	its
VBG	precede	preceding
NNS	colony	colonies
IN	for	for
JJ	specific	specific
NNS	discussion	discussions
IN	of	of
NN	poetry	poetry
CC	and	and
NN	theater	theater
VBP	see	see
NN	poetry	Poetry
IN	of	of
DT	the	the
NNP	United	United
NNPS	States	States
CC	and	and
NNP	Theater	Theater
IN	in	in
DT	the	the
NNP	United	United
NNPS	States	States
IN	before	Before
DT	the	the
NN	founding	founding
IN	of	of
DT	the	the
NNP	United	United
NNPS	States	States
DT	the	the
JJ	british	British
NNS	colony	colonies
IN	on	on
DT	the	the
NNP	eastern	eastern
NNP	coast	coast
IN	of	of
DT	the	the
JJ	present	present
NN	day	day
NNP	United	United
NNPS	States	States
VBD	be	were
RB	heavily	heavily
VBN	influence	influenced
IN	by	by
NNP	English	English
NN	literature	literature
DT	the	The
JJ	american	American
JJ	literary	literary
NN	tradition	tradition
RB	thus	thus
VBD	begin	began
IN	as	as
NN	part	part
IN	of	of
DT	the	the
JJR	broader	broader
NN	tradition	tradition
IN	of	of
JJ	english	English
NN	literature	literature
DT	the	The
JJ	revolutionary	revolutionary
NN	period	period
VBZ	be	is
JJ	notable	notable
IN	for	for
DT	the	the
JJ	political	political
NNS	writings	writings
IN	of	of
NNP	Benjamin	Benjamin
NNP	Franklin	Franklin
CC	and	and
NNP	Thomas	Thomas
NNP	Paine	Paine
NNP	Thomas	Thomas
NNP	Jefferson	Jefferson
NNP	s	s
NNP	United	United
NNPS	States	States
NNP	Declaration	Declaration
IN	of	of
NNP	Independence	Independence
VBD	solidify	solidified
PRP$	he	his
NN	status	status
IN	as	as
DT	a	a
JJ	key	key
JJ	american	American
NN	writer	writer
PRP	it	It
VBD	be	was
IN	in	in
DT	the	the
JJ	late	late
JJ	18th	18th
CC	and	and
JJ	early	early
JJ	19th	19th
NNS	century	centuries
IN	that	that
DT	the	the
NN	nation	nation
NNS	s	s
JJ	first	first
NNS	novel	novels
VBD	be	were
VBN	publish	published
DT	a	An
JJ	early	early
NN	example	example
VBZ	be	is
NNP	William	William
NNP	Hill	Hill
NNP	Brown	Brown
VBZ	be	s
DT	the	The
NN	power	Power
IN	of	of
NN	sympathy	Sympathy
VBN	publish	published
IN	in	in
CD	1791	1791
JJ	brown	Brown
NNS	s	s
JJ	novel	novel
VBZ	depict	depicts
DT	a	a
JJ	tragic	tragic
NN	love	love
NN	story	story
IN	between	between
NNS	sibling	siblings
WP	who	who
VBP	fall	fall
IN	in	in
NN	love	love
IN	without	without
VBG	know	knowing
PRP	they	they
VBP	be	are
VBN	relate	related
IN	with	With
DT	a	an
VBG	increase	increasing
NN	desire	desire
TO	to	to
VB	produce	produce
RB	uniquely	uniquely
JJ	american	American
NN	literature	literature
CC	and	and
NN	culture	culture
DT	a	a
NN	number	number
IN	of	of
JJ	key	key
JJ	new	new
JJ	literary	literary
NNS	figure	figures
VBD	emerge	emerged
RB	perhaps	perhaps
RBS	most	most
RB	prominently	prominently
NNP	Washington	Washington
NNP	Irving	Irving
CC	and	and
NNP	Edgar	Edgar
NNP	Allan	Allan
NNP	Poe	Poe
IN	in	In
CD	1836	1836
NNP	Ralph	Ralph
NNP	Waldo	Waldo
NNP	Emerson	Emerson
VBD	start	started
DT	a	an
JJ	influential	influential
NN	movement	movement
VBN	know	known
IN	as	as
NN	transcendentalism	Transcendentalism
VBN	inspire	Inspired
IN	by	by
DT	that	that
NN	movement	movement
NNP	Henry	Henry
NNP	David	David
NNP	Thoreau	Thoreau
VBD	write	wrote
NNP	Walden	Walden
WDT	which	which
VBZ	celebrate	celebrates
NN	individualism	individualism
CC	and	and
NN	nature	nature
CC	and	and
VBZ	urge	urges
NN	resistance	resistance
TO	to	to
DT	the	the
NNS	dictate	dictates
IN	of	of
VBN	organize	organized
NN	society	society
DT	the	The
JJ	political	political
NN	conflict	conflict
VBG	surround	surrounding
NN	abolitionism	abolitionism
VBD	inspire	inspired
DT	the	the
NNS	writings	writings
IN	of	of
NNP	William	William
NNP	Lloyd	Lloyd
NNP	Garrison	Garrison
CC	and	and
NNP	Harriet	Harriet
NNP	Beecher	Beecher
NNP	Stowe	Stowe
IN	in	in
PRP$	she	her
JJ	famous	famous
JJ	novel	novel
NN	uncle	Uncle
NNP	Tom	Tom
NNP	s	s
NNP	Cabin	Cabin
DT	these	These
NNS	effort	efforts
VBD	be	were
VBN	support	supported
IN	by	by
DT	the	the
NN	continuation	continuation
IN	of	of
DT	the	the
NN	slave	slave
NNS	narrative	narratives
JJ	such	such
IN	as	as
NNP	Frederick	Frederick
NNP	Douglass	Douglass
VBZ	be	s
NN	narrative	Narrative
IN	of	of
DT	the	the
NN	life	Life
IN	of	of
NNP	Frederick	Frederick
NNP	Douglass	Douglass
DT	a	an
JJ	american	American
NN	slave	Slave
IN	in	In
DT	the	the
JJ	mid	mid
JJ	nineteenth	nineteenth
NN	century	century
NNP	Nathaniel	Nathaniel
NNP	Hawthorne	Hawthorne
VBD	publish	published
PRP$	he	his
NN	masterpiece	masterpiece
DT	the	The
JJ	scarlet	Scarlet
NN	letter	Letter
DT	a	a
JJ	novel	novel
IN	about	about
JJ	adultery	adultery
NNP	Hawthorne	Hawthorne
NNP	influenced	influenced
NNP	Herman	Herman
NNP	Melville	Melville
WP	who	who
VBZ	be	is
JJ	notable	notable
IN	for	for
DT	the	the
NNS	book	books
NNP	Moby	Moby
NNP	Dick	Dick
CC	and	and
NNP	Billy	Billy
NNP	Budd	Budd
NNP	America	America
NNP	s	s
JJS	greatest	greatest
NNS	poet	poets
IN	of	of
DT	the	the
JJ	nineteenth	nineteenth
NN	century	century
VBD	be	were
NNP	Walt	Walt
NNP	Whitman	Whitman
CC	and	and
NNP	Emily	Emily
NNP	Dickinson	Dickinson
NNP	Mark	Mark
NNP	Twain	Twain
DT	the	the
NN	pen	pen
NN	name	name
VBN	use	used
IN	by	by
NNP	Samuel	Samuel
NNP	Langhorne	Langhorne
NNP	Clemens	Clemens
VBD	be	was
DT	the	the
JJ	first	first
JJ	major	major
JJ	american	American
NN	writer	writer
TO	to	to
VB	be	be
VBN	bear	born
RB	away	away
IN	from	from
DT	the	the
NNP	East	East
NNP	Coast	Coast
NNP	Henry	Henry
NNP	James	James
VBD	put	put
JJ	american	American
NN	literature	literature
IN	on	on
DT	the	the
JJ	international	international
NN	map	map
IN	with	with
NNS	novel	novels
IN	like	like
DT	the	The
NN	portrait	Portrait
IN	of	of
DT	a	a
NN	lady	Lady
IN	at	At
DT	the	the
NN	turn	turn
IN	of	of
DT	the	the
NNP	twentieth	twentieth
NNP	century	century
DT	a	a
JJ	strong	strong
NN	naturalist	naturalist
NN	movement	movement
VBD	emerge	emerged
IN	that	that
VBN	comprise	comprised
NNS	writer	writers
JJ	such	such
IN	as	as
NNP	Edith	Edith
NNP	Wharton	Wharton
NNP	Stephen	Stephen
NNP	Crane	Crane
NNP	Theodore	Theodore
NNP	Dreiser	Dreiser
CC	and	and
NNP	Jack	Jack
NNP	London	London
NNP	American	American
NNP	writers	writers
VBD	express	expressed
NN	disillusionment	disillusionment
VBG	follow	following
NN	ww	WW
PRP	I	I
DT	the	The
NNS	story	stories
CC	and	and
NNS	novel	novels
IN	of	of
NN	f	F
NNP	Scott	Scott
NNP	Fitzgerald	Fitzgerald
VB	capture	capture
DT	the	the
NN	mood	mood
IN	of	of
DT	the	the
CD	1920s	1920s
CC	and	and
NNP	John	John
NNP	Dos	Dos
NNP	Passos	Passos
VBD	write	wrote
RB	too	too
IN	about	about
DT	the	the
NN	war	war
NNP	Ernest	Ernest
NNP	Hemingway	Hemingway
VBD	become	became
JJ	famous	famous
IN	with	with
DT	the	The
NN	sun	Sun
RB	also	Also
VBZ	rise	Rises
CC	and	and
DT	a	A
NN	farewell	Farewell
TO	to	to
NNS	arm	Arms
IN	in	in
CD	1954	1954
PRP	he	he
VBD	win	won
DT	the	the
NNP	Nobel	Nobel
NNP	Prize	Prize
IN	in	in
NN	literature	Literature
NNP	William	William
NNP	Faulkner	Faulkner
VBD	become	became
CD	one	one
IN	of	of
DT	the	the
JJS	greatest	greatest
JJ	american	American
NNS	writer	writers
IN	with	with
NNS	novel	novels
IN	like	like
DT	the	The
NN	sound	Sound
CC	and	and
DT	the	the
NN	fury	Fury
JJ	american	American
NN	poetry	poetry
VBD	reach	reached
DT	a	a
NN	peak	peak
IN	after	after
NNP	World	World
NNP	War	War
PRP	I	I
IN	with	with
JJ	such	such
NNS	writer	writers
IN	as	as
NNP	Wallace	Wallace
NNP	Stevens	Stevens
NN	t	T
NNS	s	S
NNP	Eliot	Eliot
NNP	Robert	Robert
NNP	Frost	Frost
NNP	Ezra	Ezra
NN	pound	Pound
CC	and	and
NN	e	E
NN	e	E
NNP	Cummings	Cummings
NNP	American	American
NN	drama	drama
VBD	attain	attained
JJ	international	international
NN	status	status
IN	at	at
DT	the	the
NN	time	time
IN	with	with
DT	the	the
NNS	work	works
IN	of	of
NNP	Eugene	Eugene
NN	o	O
NNP	Neill	Neill
WP	who	who
VBD	win	won
CD	four	four
NNP	Pulitzer	Pulitzer
NNPS	Prizes	Prizes
CC	and	and
DT	the	the
NNP	Nobel	Nobel
NNP	Prize	Prize
IN	in	In
DT	the	the
JJ	mid	mid
NNP	twentieth	twentieth
NNP	century	century
NNP	American	American
NN	drama	drama
VBD	be	was
VBN	dominate	dominated
IN	by	by
DT	the	the
NN	work	work
IN	of	of
NNP	playwrights	playwrights
NNP	Tennessee	Tennessee
NNP	Williams	Williams
CC	and	and
NNP	Arthur	Arthur
NNP	Miller	Miller
RB	as	as
RB	well	well
IN	as	as
IN	by	by
DT	the	the
NN	maturation	maturation
IN	of	of
DT	the	the
JJ	american	American
JJ	musical	musical
NN	depression	Depression
NN	era	era
NNS	writer	writers
VBD	include	included
NNP	John	John
NNP	Steinbeck	Steinbeck
JJ	notable	notable
IN	for	for
PRP$	he	his
JJ	novel	novel
DT	the	The
NNS	grape	Grapes
IN	of	of
NN	wrath	Wrath
NNP	Henry	Henry
NNP	Miller	Miller
VBD	assume	assumed
DT	a	a
JJ	distinct	distinct
NN	place	place
IN	in	in
JJ	american	American
NN	literature	Literature
IN	in	in
DT	the	the
NNS	1930	1930s
WRB	when	when
PRP$	he	his
NN	semi	semi
JJ	autobiographical	autobiographical
NNS	novel	novels
VBD	be	were
VBN	ban	banned
IN	from	from
DT	the	the
NNP	US	US
IN	from	From
DT	the	the
NN	end	end
IN	of	of
NNP	World	World
NNP	War	War
NNP	II	II
IN	until	until
DT	the	the
JJ	early	early
CD	1970s	1970s
JJ	many	many
JJ	popular	popular
NNS	work	works
IN	in	in
JJ	modern	modern
JJ	american	American
NN	literature	literature
VBD	be	were
VBN	produce	produced
IN	like	like
NNP	Harper	Harper
NNP	Lee	Lee
VBZ	be	s
TO	to	To
VB	kill	Kill
DT	a	a
NNP	Mockingbird	Mockingbird
NNP	America	America
NNP	s	s
NN	involvement	involvement
IN	in	in
NNP	World	World
NNP	War	War
NNP	II	II
VBD	influence	influenced
NNS	work	works
JJ	such	such
IN	as	as
NNP	Norman	Norman
NNP	Mailer	Mailer
VBZ	be	s
DT	the	The
JJ	naked	Naked
CC	and	and
DT	the	the
JJ	dead	Dead
CD	1948	1948
NNP	Joseph	Joseph
NNP	Heller	Heller
NNP	s	s
VB	catch	Catch
CD	22	22
CD	1961	1961
CC	and	and
NNP	Kurt	Kurt
NNP	Vonnegut	Vonnegut
NNP	Jr	Jr
NNP	s	s
NNP	Slaughterhouse	Slaughterhouse
CD	five	Five
CD	1969	1969
DT	the	The
JJ	main	main
JJ	literary	literary
NN	movement	movement
IN	since	since
DT	the	the
NNS	1970	1970s
VBZ	have	has
VBN	be	been
NN	postmodernism	postmodernism
CC	and	and
IN	since	since
DT	the	the
JJ	late	late
