POS	lemma	word
CD	1853	1853
DT	a	A
NN	plea	PLEA
IN	for	FOR
NN	captain	CAPTAIN
NNP	JOHN	JOHN
NNP	BROWN	BROWN
IN	by	by
NNP	Henry	Henry
NNP	David	David
NNP	Thoreau	Thoreau
NNP	I	I
NNP	TRUST	TRUST
IN	that	that
PRP	you	you
MD	will	will
NN	pardon	pardon
PRP	I	me
IN	for	for
VBG	be	being
RB	here	here
PRP	I	I
VBP	do	do
RB	not	not
VB	wish	wish
TO	to	to
VB	force	force
PRP$	my	my
NNS	thought	thoughts
IN	upon	upon
PRP	you	you
CC	but	but
PRP	I	I
VBP	feel	feel
JJ	forced	forced
PRP	myself	myself
RB	little	Little
IN	as	as
PRP	I	I
VBP	know	know
IN	of	of
NNP	Captain	Captain
NNP	Brown	Brown
PRP	I	I
MD	would	would
VB	fain	fain
VB	do	do
PRP$	my	my
NN	part	part
TO	to	to
VB	correct	correct
DT	the	the
NN	tone	tone
CC	and	and
DT	the	the
NNS	statement	statements
IN	of	of
DT	the	the
NNS	newspaper	newspapers
CC	and	and
IN	of	of
PRP$	my	my
NNS	countryman	countrymen
RB	generally	generally
VBG	respect	respecting
PRP$	he	his
NN	character	character
CC	and	and
NNS	action	actions
PRP	it	It
VBZ	cost	costs
PRP	we	us
NN	nothing	nothing
TO	to	to
VB	be	be
RB	just	just
PRP	we	We
MD	can	can
IN	at	at
JJS	least	least
VB	express	express
PRP$	we	our
NN	sympathy	sympathy
IN	with	with
CC	and	and
NN	admiration	admiration
IN	of	of
PRP	he	him
CC	and	and
PRP$	he	his
NNS	companion	companions
CC	and	and
DT	that	that
VBZ	be	is
WP	what	what
PRP	I	I
RB	now	now
VBP	propose	propose
TO	to	to
VB	do	do
RB	first	First
IN	as	as
TO	to	to
PRP$	he	his
NN	history	history
PRP	I	I
MD	will	will
VB	endeavor	endeavor
TO	to	to
VB	omit	omit
RB	as	as
JJ	much	much
IN	as	as
JJ	possible	possible
WP	what	what
PRP	you	you
VBP	have	have
RB	already	already
VB	read	read
PRP	I	I
MD	need	need
RB	not	not
VB	describe	describe
PRP$	he	his
NN	person	person
TO	to	to
PRP	you	you
IN	for	for
RB	probably	probably
JJS	most	most
IN	of	of
PRP	you	you
VBP	have	have
VBN	see	seen
CC	and	and
MD	will	will
RB	not	not
RB	soon	soon
VB	forget	forget
PRP	he	him
PRP	I	I
VBP	be	am
VBN	tell	told
IN	that	that
PRP$	he	his
NN	grandfather	grandfather
NNP	John	John
NNP	Brown	Brown
VBD	be	was
DT	a	an
NN	officer	officer
IN	in	in
DT	the	the
NN	revolution	Revolution
IN	that	that
PRP	he	he
PRP	himself	himself
VBD	be	was
VBN	bear	born
IN	in	in
NNP	Connecticut	Connecticut
IN	about	about
DT	the	the
NN	beginning	beginning
IN	of	of
DT	this	this
NN	century	century
CC	but	but
JJ	early	early
VBD	go	went
IN	with	with
PRP$	he	his
NN	father	father
TO	to	to
NNP	Ohio	Ohio
PRP	I	I
VBD	hear	heard
PRP	he	him
VB	say	say
IN	that	that
PRP$	he	his
NN	father	father
VBD	be	was
DT	a	a
NN	contractor	contractor
WP	who	who
VBD	furnish	furnished
NN	beef	beef
TO	to	to
DT	the	the
NNP	army	army
RB	there	there
IN	in	in
DT	the	the
NN	war	War
IN	of	of
CD	1812	1812
IN	that	that
PRP	he	he
VBD	accompany	accompanied
