POS	lemma	word
CD	1854	1854
NN	slavery	SLAVERY
IN	in	IN
NNP	MASSACHUSETTS	MASSACHUSETTS
IN	by	by
NNP	Henry	Henry
NNP	David	David
NNP	Thoreau	Thoreau
PRP	I	I
RB	lately	LATELY
VBD	attend	ATTENDED
DT	a	a
NN	meeting	meeting
IN	of	of
DT	the	the
NNS	citizen	citizens
IN	of	of
NNP	Concord	Concord
VBG	expect	expecting
IN	as	as
CD	one	one
IN	among	among
JJ	many	many
TO	to	to
VB	speak	speak
IN	on	on
DT	the	the
NN	subject	subject
IN	of	of
NN	slavery	slavery
IN	in	in
NNP	Massachusetts	Massachusetts
CC	but	but
PRP	I	I
VBD	be	was
JJ	surprised	surprised
CC	and	and
JJ	disappointed	disappointed
TO	to	to
VB	find	find
IN	that	that
WP	what	what
VBD	have	had
VBN	call	called
PRP$	my	my
NNS	townsman	townsmen
RB	together	together
VBD	be	was
DT	the	the
NN	destiny	destiny
IN	of	of
NNP	Nebraska	Nebraska
CC	and	and
RB	not	not
IN	of	of
NNP	Massachusetts	Massachusetts
CC	and	and
IN	that	that
WP	what	what
PRP	I	I
VBD	have	had
TO	to	to
VB	say	say
MD	would	would
VB	be	be
RB	entirely	entirely
IN	out	out
IN	of	of
NN	order	order
PRP	I	I
VBD	have	had
VBN	think	thought
IN	that	that
DT	the	the
NNP	house	house
VBD	be	was
IN	on	on
NN	fire	fire
CC	and	and
RB	not	not
DT	the	the
NNP	prairie	prairie
CC	but	but
IN	though	though
JJ	several	several
IN	of	of
DT	the	the
NNS	citizen	citizens
IN	of	of
NNP	Massachusetts	Massachusetts
VBP	be	are
RB	now	now
IN	in	in
NN	prison	prison
IN	for	for
VBG	attempt	attempting
TO	to	to
VB	rescue	rescue
DT	a	a
NN	slave	slave
IN	from	from
PRP$	she	her
JJ	own	own
NNS	clutch	clutches
RB	not	not
CD	one	one
IN	of	of
DT	the	the
NNS	speaker	speakers
IN	at	at
DT	that	that
NN	meeting	meeting
VBD	express	expressed
NN	regret	regret
IN	for	for
PRP	it	it
RB	not	not
CD	one	one
RB	even	even
VBN	refer	referred
TO	to	to
PRP	it	it
PRP	it	It
VBD	be	was
RB	only	only
DT	the	the
NN	disposition	disposition
IN	of	of
DT	some	some
JJ	wild	wild
NNS	land	lands
DT	a	a
CD	thousand	thousand
NNS	mile	miles
IN	off	off
WDT	which	which
VBD	appear	appeared
TO	to	to
VB	concern	concern
PRP	they	them
DT	the	The
NNS	inhabitant	inhabitants
IN	of	of
NNP	Concord	Concord
VBP	be	are
RB	not	not
VBN	prepare	prepared
TO	to	to
VB	stand	stand
IN	by	by
CD	one	one
IN	of	of
PRP$	they	their
JJ	own	own
NNS	bridge	bridges
CC	but	but
NN	talk	talk
RB	only	only
IN	of	of
VBG	take	taking
RP	up	up
DT	a	a
NN	position	position
IN	on	on
DT	the	the
NNPS	highlands	highlands
IN	beyond	beyond
DT	the	the
NNP	Yellowstone	Yellowstone
NNP	River	River
PRP$	we	Our
NNS	buttrick	Buttricks
CC	and	and
NNS	davise	Davises
CC	and	and
NNS	hosmer	Hosmers
VBP	be	are
VBG	retreat	retreating
RB	thither	thither
CC	and	and
PRP	I	I
VBP	fear	fear
IN	that	that
PRP	they	they
MD	will	will
VB	leave	leave
DT	no	no
NNP	Lexington	Lexington
NN	common	Common
IN	between	between
PRP	they	them
CC	and	and
DT	the	the
NN	enemy	enemy
EX	there	There
VBZ	be	is
RB	not	not
CD	one	one
NN	slave	slave
IN	in	in
NNP	Nebraska	Nebraska
EX	there	there
VBP	be	are
RB	perhaps	perhaps
DT	a	a
CD	million	million
NNS	slave	slaves
IN	in	in
NNP	Massachusetts	Massachusetts
PRP	they	They
WP	who	who
VBP	have	have
VBN	be	been
VBN	breed	bred
IN	in	in
DT	the	the
NN	school	school
IN	of	of
NNS	politics	politics
VBP	fail	fail
RB	now	now
CC	and	and
RB	always	always
TO	to	to
