POS	lemma	word
NNP	Internet	Internet
NN	wiretap	Wiretap
NN	edition	Edition
IN	of	of
DT	the	THE
JJ	great	GREAT
NN	revolution	REVOLUTION
IN	in	IN
NNP	PITCAIRN	PITCAIRN
IN	by	by
NNP	MARK	MARK
NNP	TWAIN	TWAIN
IN	from	From
DT	the	The
NNS	writings	Writings
IN	of	of
NNP	Mark	Mark
NNP	Twain	Twain
NN	volume	Volume
NN	xx	XX
NN	copyright	Copyright
CD	1903	1903
NNP	Samuel	Samuel
NNP	Clemens	Clemens
DT	this	This
NN	text	text
VBZ	be	is
VBN	place	placed
IN	in	in
DT	the	the
JJ	public	Public
NN	domain	Domain
MD	may	May
CD	1993	1993
VB	let	LET
PRP	I	me
VB	refresh	refresh
DT	the	the
NN	reader	reader
NNS	s	s
NN	memory	memory
DT	a	a
JJ	little	little
RB	nearly	Nearly
DT	a	a
CD	hundred	hundred
NNS	year	years
IN	ago	ago
DT	the	the
NN	crew	crew
IN	of	of
DT	the	the
JJ	british	British
NN	ship	ship
NN	bounty	Bounty
VBD	mutiny	mutinied
VBN	set	set
DT	the	the
NN	captain	captain
CC	and	and
PRP$	he	his
NNS	officer	officers
VBP	adrift	adrift
IN	upon	upon
DT	the	the
JJ	open	open
NN	sea	sea
VBD	take	took
NN	possession	possession
IN	of	of
DT	the	the
NN	ship	ship
CC	and	and
VBN	sail	sailed
RB	southward	southward
PRP	they	They
VBD	procure	procured
NNS	wife	wives
IN	for	for
PRP	themselves	themselves
IN	among	among
DT	the	the
NNS	native	natives
IN	of	of
NNP	Tahiti	Tahiti
RB	then	then
VBD	proceed	proceeded
TO	to	to
DT	a	a
JJ	lonely	lonely
JJ	little	little
NN	rock	rock
IN	in	in
NNP	mid	mid
NNP	Pacific	Pacific
VBD	call	called
NNP	Pitcairn	Pitcairn
NNP	s	s
NNP	Island	Island
VBD	wreck	wrecked
DT	the	the
NN	vessel	vessel
VBD	strip	stripped
PRP$	she	her
IN	of	of
NN	everything	everything
WDT	that	that
MD	might	might
VB	be	be
JJ	useful	useful
TO	to	to
DT	a	a
JJ	new	new
NN	colony	colony
CC	and	and
VBD	establish	established
PRP	they	them
VBZ	selve	selves
IN	on	on
NN	shore	shore
NN	pitcairn	Pitcairn
NNS	s	s
VBZ	be	is
RB	so	so
RB	far	far
VBN	remove	removed
IN	from	from
DT	the	the
NN	track	track
IN	of	of
NNP	com	com
NNP	merce	merce
IN	that	that
PRP	it	it
VBD	be	was
JJ	many	many
NNS	year	years
IN	before	before
DT	another	another
NN	vessel	vessel
VBD	touch	touched
EX	there	there
PRP	it	It
VBD	have	had
RB	always	always
VBN	be	been
VBN	consider	considered
DT	a	an
NNP	un	un
VBD	inhabit	inhabited
NN	island	island
RB	so	so
WRB	when	when
DT	a	a
NN	ship	ship
VBD	do	did
IN	at	at
JJ	last	last
NN	drop	drop
PRP$	its	its
NNP	anchor	anchor
RB	there	there
IN	in	in
CD	1808	1808
DT	the	the
NN	captain	captain
VBD	be	was
RB	greatly	greatly
VBN	surprise	surprised
TO	to	to
VB	find	find
DT	the	the
NN	place	place
VBD	people	peopled
IN	although	Although
DT	the	the
NNS	mutineer	mutineers
VBD	have	had
VBN	fight	fought
IN	among	among
PRP	themselves	themselves
CC	and	and
RB	gradually	gradually
VBN	kill	killed
DT	each	each
JJ	other	other
IN	off	off
IN	until	until
RB	only	only
CD	two	two
CC	or	or
CD	three	three
IN	of	of
DT	the	the
JJ	original	original
NN	stock	stock
VBD	remain	remained
DT	these	these
NNS	tragedy	tragedies
VBD	have	had
RB	not	not
VBN	occur	occurred
VB	be	be
NN	fore	fore
DT	a	a
NN	number	number
IN	of	of
NNS	child	children
VBD	have	had
VBN	be	been
VBN	bear	born
RB	so	so
IN	in	in
CD	1808	1808
DT	the	the
NN	island	island
VBD	have	had
DT	a	a
NN	population	population
IN	of	of
CD	twenty	twenty
CD	seven	seven
NNS	person	persons
NNP	John	John
NNP	Adams	Adams
DT	the	the
JJ	chief	chief
NN	mutineer	mutineer
RB	still	still
VBD	survive	survived
CC	and	and
VBD	be	was
TO	to	to
VB	live	live
JJ	many	many
NNS	year	years
RB	yet	yet
IN	as	as
NN	governor	governor
CC	and	and
NN	patriarch	patriarch
IN	of	of
DT	the	the
NN	flock	flock
IN	from	From
VBG	be	being
NN	mutineer	mutineer
CC	and	and
NN	homicide	homicide
PRP	he	he
