POS	lemma	word
NN	image	image
NNP	boston	boston
NNP	com	com
NN	image	image
NN	news	News
NN	image	image
PRP$	you	your
NN	connection	connection
TO	to	to
DT	the	The
NNP	Boston	Boston
NNP	Globe	Globe
NN	image	image
NN	image	image
NN	image	image
NN	news	News
NN	image	image
DT	a	A
NN	amp	amp
NN	e	E
NN	image	image
NN	business	Business
NN	image	image
NNS	sport	Sports
NN	image	image
NN	travel	Travel
NN	image	image
PRP$	you	Your
NN	life	Life
NN	image	image
NNS	car	Cars
NN	image	image
NNS	job	Jobs
NN	image	image
NNS	personal	Personals
NN	image	image
JJ	real	Real
NN	estate	estate
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	today	Today
NNS	s	s
NNP	Globe	Globe
JJS	latest	Latest
NN	news	News
JJ	local	Local
NN	nation	Nation
NN	world	World
NN	necn	NECN
NN	education	Education
NNS	obituary	Obituaries
JJ	special	Special
NNS	section	sections
VBP	traffic	Traffic
NN	weather	Weather
NN	image	image
NN	image	image
NN	image	image
NN	home	Home
NN	gt	gt
NN	news	News
NN	gt	gt
NNP	Boston	Boston
NNP	Globe	Globe
NN	gt	gt
NN	editorial	Editorial
NN	opinion	Opinion
NN	gt	gt
NN	op	Op
NNP	ed	ed
NN	image	image
DT	the	The
NNP	Boston	Boston
NNP	Globe	Globe
NNP	HAROLD	HAROLD
NNP	BLOOM	BLOOM
VBG	dumb	Dumbing
RP	down	down
JJ	american	American
NNS	reader	readers
IN	by	By
NNP	Harold	Harold
NNP	Bloom	Bloom
CD	9	9
CD	24	24
CD	2003	2003
DT	the	THE
NN	decision	DECISION
TO	to	to
VB	give	give
DT	the	the
NNP	National	National
NNP	Book	Book
NNP	Foundation	Foundation
NNP	s	s
JJ	annual	annual
NN	award	award
IN	for	for
JJ	distinguished	distinguished
NN	contribution	contribution
TO	to	to
NNP	Stephen	Stephen
NNP	King	King
VBZ	be	is
JJ	extraordinary	extraordinary
DT	another	another
JJ	low	low
IN	in	in
DT	the	the
JJ	shocking	shocking
NN	process	process
IN	of	of
VBG	dumb	dumbing
RP	down	down
PRP$	we	our
JJ	cultural	cultural
NN	life	life
PRP	I	I
VBP	have	ve
VBN	describe	described
NN	king	King
IN	in	in
DT	the	the
NN	past	past
IN	as	as
DT	a	a
NN	writer	writer
IN	of	of
NN	penny	penny
NNS	dreadful	dreadfuls
CC	but	but
RB	perhaps	perhaps
RB	even	even
DT	that	that
VBZ	be	is
RB	too	too
RB	kind	kind
PRP	he	He
VBZ	share	shares
NN	nothing	nothing
IN	with	with
NNP	Edgar	Edgar
NNP	Allan	Allan
