POS	lemma	word
VB	skip	skip
NNP	navigation	navigation
NNP	Library	Library
IN	of	of
NNP	Congress	Congress
NNP	National	National
NNP	Book	Book
NNP	Festival	Festival
NN	image	image
NN	library	Library
IN	of	of
NNP	Congress	Congress
VB	ask	Ask
DT	a	a
NN	librarian	Librarian
NNP	Digital	Digital
NNS	collection	Collections
NN	library	Library
NNS	catalog	Catalogs
VB	search	Search
VB	go	GO
DT	the	The
NN	library	Library
IN	of	of
NNP	Congress	Congress
NN	gt	gt
NNP	National	National
NNP	Book	Book
NNP	Festival	Festival
NN	gt	gt
NNS	author	Authors
NN	gt	gt
NNP	Giannina	Giannina
NNP	Braschi	Braschi
NN	image	image
NNP	National	National
NNP	Book	Book
NNP	Festival	Festival
NNP	National	National
NNP	Book	Book
NNP	Festival	Festival
NN	image	Image
NN	book	Book
NN	festival	Festival
NN	home	Home
NN	festival	Festival
NN	information	Information
NNS	author	Authors
NNS	faq	FAQs
NNS	sponsor	Sponsors
NN	background	Background
VBP	support	Support
DT	the	the
NN	festival	Festival
NN	contact	Contact
PRP	we	Us
JJR	more	More
JJ	national	National
NN	book	Book
NN	festival	Festival
NNS	resource	Resources
NN	book	Book
NN	festival	Festival
NN	blog	Blog
NNS	kid	Kids
NN	amp	amp
NNS	teacher	Teachers
VBP	guide	Guide
JJ	related	Related
NNS	resource	Resources
IN	at	at
DT	the	the
NN	library	Library
NN	book	Book
NN	festival	Festival
NNS	video	Videos
NN	book	Book
NN	festival	Festival
NNS	podcast	Podcasts
NNS	book	Books
IN	from	from
DT	the	the
NN	library	Library
NN	shop	Shop
VBD	read	Read
NNP	gov	gov
VB	support	Support
DT	the	The
NN	festival	Festival
VB	donate	DONATE
RB	now	NOW
VBP	bookmark	bookmark
NNP	skip_menu	skip_menu
NNP	Giannina	Giannina
NNP	Braschi	Braschi
NNP	Giannina	Giannina
NNP	Braschi	Braschi
VBZ	have	has
VBN	be	been
VBN	call	called
CD	one	one
IN	of	of
DT	the	the
RBS	most	most
JJ	revolutionary	revolutionary
NNS	voice	voices
IN	in	in
NNP	Latin	Latin
NNP	America	America
NN	today	today
IN	by	by
DT	the	the
NN	pen	PEN
NN	organization	organization
PRP$	she	Her
JJ	first	first
VBN	publish	published
NN	work	work
VBD	be	was
DT	a	a
NN	book	book
IN	of	of
NN	poetry	poetry
NNP	Asalto	Asalto
NNP	al	al
NNP	tiempo	tiempo
VBN	write	written
IN	in	in
JJ	spanish	Spanish
NN	prose	prose
CC	and	and
VBN	publish	published
IN	in	in
NNP	Barcelona	Barcelona
IN	in	in
CD	1980	1980
IN	since	Since
RB	then	then
PRP	she	she
VBZ	have	has
VBN	have	had
JJ	critical	critical
NNS	essay	essays
DT	a	a
NN	novella	novella
CC	and	and
JJR	more	more
NN	poetry	poetry
VBN	publish	published
IN	in	in
JJ	spanish	Spanish
IN	in	In
CD	1994	1994
DT	the	the
JJ	first	first
NNP	English	English
NN	translation	translation
IN	of	of
PRP$	she	her
VBN	collect	collected
NNS	work	works
VBD	be	was
VBN	publish	published
IN	in	in
DT	the	the
NN	poetry	poetry
NN	trilogy	trilogy
NN	empire	Empire
IN	of	of
NNS	dream	Dreams
PRP	she	She
RB	then	then
VBD	go	went
IN	on	on
TO	to	to
VB	write	write
NNP	Yo	Yo
NNP	Yo	Yo
NNP	Boing	Boing
VBN	write	written
IN	in	in
JJ	spanglish	Spanglish
PRP$	she	Her
JJ	new	new
NN	book	book
VBZ	be	is
NNP	United	United
NNPS	States	States
IN	of	of
NNP	Banana	Banana
NNP	Amazon	Amazon
VBG	cross	Crossing
NNP	Braschi	Braschi
VBZ	be	is
DT	a	a
JJ	national	National
NN	endowment	Endowment
IN	for	for
DT	the	the
NNS	art	Arts
JJ	fellow	fellow
JJ	previous	Previous
JJ	national	National
NN	book	Book
NN	festival	Festival
NNS	appearance	Appearances
CD	2012	2012
NN	book	Book
NN	festival	Festival
NN	webcast	Webcast
NN	image	image
NNP	Giannina	Giannina
NNP	Braschi	Braschi
VB	connect	Connect
IN	with	with
DT	the	the
NN	library	Library
DT	all	All
NNS	way	ways
TO	to	to
VB	connect	connect
VB	find	Find
PRP	we	Us
IN	on	On
NN	image	image
NN	pinterest	Pinterest
NN	image	image
NNP	Facebook	Facebook
NN	image	image
NN	twitter	Twitter
NN	image	image
NNP	YouTube	YouTube
NN	image	image
NN	flickr	Flickr
VBP	subscribe	Subscribe
NN	amp	amp
NN	comment	Comment
VBP	rss	RSS
NN	amp	amp
NN	e	E
NN	mail	Mail
NNS	blog	Blogs
VBP	download	Download
NN	amp	amp
NN	play	Play
NNS	app	Apps
NNS	podcast	Podcasts
NNS	webcast	Webcasts
NNP	iTunesU	iTunesU
NNP	external	external
NN	link	link
NNS	question	Questions
VBP	ask	Ask
DT	a	a
NN	librarian	Librarian
NN	contact	Contact
PRP	we	Us
IN	about	About
NN	press	Press
NNS	job	Jobs
VBP	donate	Donate
NN	inspector	Inspector
JJ	general	General
JJ	legal	Legal
NN	accessibility	Accessibility
JJ	external	External
NN	link	Link
NN	disclaimer	Disclaimer
NNP	USA	USA
NNP	gov	gov
NN	speech	Speech
VBD	enable	Enabled
