POS	lemma	word
NNP	NYTimes	NYTimes
NNP	com	com
RB	no	no
RB	longer	longer
VBZ	support	supports
NN	internet	Internet
NNP	Explorer	Explorer
CD	9	9
CC	or	or
JJR	earlier	earlier
UH	please	Please
VB	upgrade	upgrade
PRP$	you	your
NN	browser	browser
VB	learn	LEARN
JJR	more	MORE
NNS	section	Sections
NN	home	Home
NN	search	Search
VB	skip	Skip
TO	to	to
JJ	content	content
VB	skip	Skip
TO	to	to
NNP	navigation	navigation
NNP	View	View
NNP	mobile	mobile
NN	version	version
DT	the	The
NNP	New	New
NNP	York	York
NNP	Times	Times
NNP	Sunday	Sunday
VB	book	Book
NN	review	Review
NN	peace	Peace
CC	and	and
NN	war	War
NN	search	Search
VBP	subscribe	Subscribe
RB	now	Now
VB	log	Log
IN	in	In
CD	0	0
NNS	setting	Settings
JJ	close	Close
NN	search	search
NN	site	Site
NN	search	Search
NN	navigation	Navigation
NN	search	Search
NNS	nytime	NYTimes
NN	com	com
JJ	clear	Clear
DT	this	this
NN	text	text
NN	input	input
VBP	go	Go
VBG	load	Loading
VB	see	See
IN	next	next
NNS	article	articles
VBP	see	See
JJ	previous	previous
NNS	article	articles
NN	site	Site
NN	navigation	Navigation
NN	site	Site
JJ	mobile	Mobile
NN	navigation	Navigation
NN	advertisement	Advertisement
VBN	support	Supported
IN	by	by
NNP	Sunday	Sunday
NNP	Book	Book
NNP	Review	Review
NNP	Peace	Peace
CC	and	and
NNP	War	War
IN	by	By
NNP	SAM	SAM
NNP	TANENHAUSAUG	TANENHAUSAUG
CD	19	19
CD	2010	2010
VBP	continue	Continue
VBG	read	reading
DT	the	the
JJ	main	main
NN	story	story
NN	share	Share
DT	this	This
NN	page	Page
VBP	continue	Continue
VBG	read	reading
DT	the	the
JJ	main	main
NN	story	story
NNP	Jonathan	Jonathan
NNP	Franzen	Franzen
NNP	s	s
NNP	new	new
JJ	novel	novel
NN	freedom	Freedom
IN	like	like
PRP$	he	his
JJ	previous	previous
CD	one	one
DT	the	The
NNS	correction	Corrections
VBZ	be	is
DT	a	a
NN	masterpiece	masterpiece
IN	of	of
JJ	american	American
NN	fiction	fiction
DT	the	The
CD	two	two
NNS	book	books
VBP	have	have
RB	much	much
IN	in	in
JJ	common	common
RB	once	Once
RB	again	again
NNP	Franzen	Franzen
VBZ	have	has
VBN	fashion	fashioned
DT	a	a
JJ	capacious	capacious
CC	but	but
RB	intricately	intricately
VBN	order	ordered
NN	narrative	narrative
IN	that	that
IN	in	in
PRP$	its	its
NNP	majestic	majestic
NN	sweep	sweep
VBZ	seem	seems
TO	to	to
VB	gather	gather
RP	up	up
DT	every	every
JJ	fresh	fresh
NN	datum	datum
IN	of	of
PRP$	we	our
JJ	shared	shared
JJ	millennial	millennial
NN	life	life
NN	franzen	Franzen
VBZ	know	knows
IN	that	that
NN	college	college
NNS	freshman	freshmen
VBP	be	are
NN	today	today
VBN	call	called
JJ	first	first
NNS	year	years
IN	like	like
NN	tender	tender
VBZ	shoot	shoots
IN	in	in
DT	a	an
VBN	overplant	overplanted
NN	garden	garden
IN	that	that
DT	a	a
JJ	high	high
VBN	mind	minded
NN	mom	mom
RB	however	however
JJ	ruthless	ruthless
IN	in	in
PRP$	she	her
NNS	judgment	judgments
IN	of	of
PRP$	she	her
NNS	neighbor	neighbors
JJ	ethical	ethical
NNS	lapse	lapses
MD	will	will
VB	condemn	condemn
PRP	they	them
IN	with	with
DT	no	no
NN	epithet	epithet
JJR	harsher	harsher
IN	than	than
JJ	weird	weird
IN	that	that
JJ	reckless	reckless
NNS	driver	drivers
WP	who	who
NN	barrel	barrel
IN	across	across
NNS	lane	lanes
VBP	be	are
RB	almost	almost
RB	always	always
JJ	youngish	youngish
NNS	man	men
IN	for	for
WP	whom	whom
DT	the	the
NN	use	use
IN	of	of
NNS	blinkers	blinkers
VBD	be	was
RB	apparently	apparently
DT	a	an
NN	affront	affront
TO	to	to
PRP$	they	their
NN	masculinity	masculinity
DT	these	These
VBP	be	are
RB	not	not
JJ	gratuitous	gratuitous
NNS	observation	observations
PRP	they	They
VBP	grow	grow
RB	organically	organically
IN	from	from
DT	the	the
NNS	theme	themes
WDT	that	that
VBP	animate	animate
NN	freedom	Freedom
NN	beginning	beginning
IN	with	with
DT	the	the
NN	title	title
DT	a	a
NN	word	word
WDT	that	that
VBZ	have	has
VBN	be	been
JJ	elevated	elevated
IN	throughout	throughout
JJ	american	American
NN	history	history
TO	to	to
IN	near	near
