POS	lemma	word
NNP	NYTimes	NYTimes
NNP	com	com
RB	no	no
RB	longer	longer
VBZ	support	supports
NN	internet	Internet
NNP	Explorer	Explorer
CD	9	9
CC	or	or
JJR	earlier	earlier
UH	please	Please
VB	upgrade	upgrade
PRP$	you	your
NN	browser	browser
VB	learn	LEARN
JJR	more	MORE
NNS	section	Sections
NN	home	Home
NN	search	Search
VB	skip	Skip
TO	to	to
JJ	content	content
VB	skip	Skip
TO	to	to
NNP	navigation	navigation
NNP	View	View
NNP	mobile	mobile
NN	version	version
DT	the	The
NNP	New	New
NNP	York	York
NNP	Times	Times
NNPS	Archives	Archives
NNS	book	BOOKS
IN	of	OF
DT	the	THE
NNS	time	TIMES
VBG	seek	Seeking
NN	salvation	Salvation
IN	on	On
DT	the	the
NN	silver	Silver
NN	screen	Screen
NN	search	Search
VBP	subscribe	Subscribe
RB	now	Now
VB	log	Log
IN	in	In
CD	0	0
NNS	setting	Settings
JJ	close	Close
NN	search	search
NN	site	Site
NN	search	Search
NN	navigation	Navigation
NN	search	Search
NNS	nytime	NYTimes
NN	com	com
JJ	clear	Clear
DT	this	this
NN	text	text
NN	input	input
VBP	go	Go
NNP	https	https
NNP	nyti	nyti
NN	ms	ms
NN	297dcq9	297DCQ9
VBG	load	Loading
VB	see	See
IN	next	next
NNS	article	articles
VBP	see	See
JJ	previous	previous
NNS	article	articles
NN	site	Site
NN	navigation	Navigation
NN	site	Site
JJ	mobile	Mobile
NN	navigation	Navigation
NN	advertisement	Advertisement
NNS	archive	Archives
CD	1996	1996
NNS	book	BOOKS
IN	of	OF
DT	the	THE
NNS	time	TIMES
VBG	seek	Seeking
NN	salvation	Salvation
IN	on	On
DT	the	the
NN	silver	Silver
NN	screen	Screen
IN	by	By
NNP	MICHIKO	MICHIKO
NNP	KAKUTANI	KAKUTANI
VBP	continue	Continue
VBG	read	reading
DT	the	the
JJ	main	main
NN	story	story
NN	share	Share
DT	this	This
NN	page	Page
VBP	continue	Continue
VBG	read	reading
DT	the	the
JJ	main	main
NN	story	story
NN	image	image
DT	the	The
NN	article	article
IN	as	as
PRP	it	it
RB	originally	originally
VBD	appear	appeared
NN	view	View
NN	page	page
IN	in	in
