POS	lemma	word
NN	home	Home
JJ	literary	Literary
NNS	movement	Movements
VBP	timeline	Timeline
JJ	american	American
NNS	author	Authors
JJ	american	American
NN	literature	Literature
NNS	site	Sites
NNS	bibliography	Bibliographies
NN	site	Site
NNS	update	Updates
DT	the	The
JJ	early	Early
JJ	american	American
JJ	novel	Novel
JJ	introductory	Introductory
NNS	note	Notes
NN	image	image
NN	text	Text
RB	only	only
NN	version	version
NNS	source	Sources
NNP	Columbia	Columbia
NN	history	History
IN	of	of
DT	the	the
JJ	american	American
JJ	novel	Novel
NNP	Alexander	Alexander
NNP	Cowie	Cowie
DT	the	The
NN	rise	Rise
IN	of	of
DT	the	the
JJ	american	American
JJ	novel	Novel
NNP	Cathy	Cathy
NNP	Davidson	Davidson
NNP	Revolution	Revolution
CC	and	and
DT	the	the
NN	word	Word
DT	the	The
NN	rise	Rise
IN	of	of
DT	the	the
NN	novel	Novel
IN	in	in
NNP	America	America
VBP	see	See
RB	also	also
NNP	Ian	Ian
NN	watt	Watt
DT	the	The
NN	rise	Rise
IN	of	of
DT	the	the
JJ	novel	Novel
NNP	Michael	Michael
NNP	McKeon	McKeon
DT	the	The
NN	theory	Theory
IN	of	of
DT	the	the
NN	novel	Novel
DT	a	A
JJ	historical	Historical
NN	approach	Approach
CC	and	and
NNP	Margaret	Margaret
NNP	Doody	Doody
DT	the	The
JJ	true	True
NN	story	Story
IN	of	of
DT	the	the
JJ	novel	Novel
VBP	see	See
RB	also	also
DT	the	the
JJ	secondary	secondary
NN	bibliography	bibliography
IN	on	on
NN	sentimentalism	sentimentalism
NN	sensibility	sensibility
CC	and	and
JJ	domestic	domestic
NN	fiction	fiction
CC	and	and
DT	the	the
NN	page	page
IN	on	on
JJ	domestic	domestic
NN	fiction	fiction
NNS	reason	Reasons
IN	for	for
NN	absence	absence
IN	of	of
JJ	cultural	cultural
NNS	voice	voices
IN	in	in
JJ	early	early
JJ	american	American
JJ	novel	novel
CD	1	1
DT	no	No
JJ	authentic	authentic
JJ	american	American
NN	language	language
JJ	available	available
IN	for	for
JJ	literary	literary
NNS	purpose	purposes
CD	2	2
NN	lack	Lack
IN	of	of
JJ	cultural	cultural
NN	support	support
IN	for	for
JJ	american	American
JJ	creative	creative
NNS	effort	efforts
CD	3	3
JJ	american	American
NN	culture	culture
VBD	tend	tended
TO	to	to
VB	be	be
JJ	parochial	parochial
CC	and	and
RB	generally	generally
JJ	distrustful	distrustful
IN	of	of
DT	any	any
