POS	lemma	word
NN	rt	RT
NN	todayshow	TODAYshow
VBZ	be	Is
PRP	it	it
NNP	Michael	Michael
NNP	Skakel	Skakel
NNP	s	s
NN	position	position
IN	that	that
PRP$	he	his
NN	brother	brother
VBN	commit	committed
DT	this	this
NN	crime	crime
NN	savannahguthrie	savannahguthrie
VBZ	ask	asks
NNP	Michael	Michael
NNP	Skakel	Skakel
NNP	s	s
NNP	attorney	attorney
NNP	abo	abo
NN	rt	RT
NN	todayshow	TODAYshow
VBD	gratify	Gratified
JJ	elated	elated
CC	and	and
RB	very	very
JJ	thankful	thankful
NNP	Michael	Michael
NNP	Skakel	Skakel
NNP	s	s
NNP	attorney	attorney
NNP	Michael	Michael
NNP	Fitzpatrick	Fitzpatrick
VBZ	tell	tells
NN	savannahguthrie	savannahguthrie
IN	of	of
NNP	Skakel	Skakel
NNP	s	s
NNP	re	re
VB	remember	Remember
NNP	Alabama	Alabama
IN	in	In
NNP	tweet	tweet
NNP	Pres	Pres
NNP	Trump	Trump
VBZ	tell	tells
NNP	West	West
NNPS	Virginians	Virginians
TO	to	to
RB	not	not
VB	vote	vote
IN	for	for
FW	ex	ex
NN	coal	coal
NN	boss	boss
CC	and	and
FW	ex	ex
VB	convict	convict
NNP	Blanke	Blanke
NNP	https	https
NN	t	t
NNP	co	co
NNS	a29duy0tf	A29duY0TfS
NN	opinion	Opinion
NNP	Trump	Trump
NNP	s	s
JJ	unilateral	unilateral
NN	power	power
TO	to	to
VB	withdraw	withdraw
IN	from	from
NNS	treaty	treaties
VBZ	come	comes
IN	from	from
NNP	Congress	Congress
NNPS	https	https
NN	t	t
NNP	co	co
NN	pnxxui6iml	PNxxuI6IML
NN	nbcnewsthink	NBCNewsTHINK
VBZ	pre	Pres
NNP	Trump	Trump
VBZ	say	says
PRP$	he	his
NNP	CIA	CIA
NN	director	director
NN	nominee	nominee
WP	who	who
NNS	source	sources
VBZ	say	says
VBZ	have	has
VBN	consider	considered
VBG	withdraw	withdrawing
VBZ	have	has
VBN	come	come
IN	under	under
NN	fire	fire
NNP	becaus	becaus
NNP	https	https
NN	t	t
NNP	co	co
NNP	AumbwRv1Y4	AumbwRv1Y4
NNP	British	British
NNP	Foreign	Foreign
NNP	Secretary	Secretary
NNP	Boris	Boris
NNP	Johnson	Johnson
VBZ	travel	travels
TO	to	to
NNP	Washington	Washington
IN	in	in
DT	a	a
JJ	last	last
NN	ditch	ditch
NN	bid	bid
TO	to	to
VB	persuade	persuade
NN	president	President
NNP	Trump	Trump
RB	not	not
NN	t	t
NNS	http	https
NN	t	t
NNP	co	co
NNP	Vu4Kzfvecr	Vu4Kzfvecr
NNP	President	President
NNP	Trump	Trump
VBZ	come	comes
RP	out	out
IN	against	against
NNP	Blankenship	Blankenship
IN	in	in
NN	morning	morning
NNP	tweet	tweet
NNP	urging	urging
NNS	voter	voters
TO	to	to
VB	vote	vote
IN	for	for
NNP	Jenkins	Jenkins
CC	or	or
NNP	Morrisey	Morrisey
IN	in	in
NN	th	th
NNS	http	https
NN	t	t
NNP	co	co
NN	twibsnj7u1	TWibSnJ7u1
WRB	when	When
DT	the	the
NNP	Senate	Senate
VBZ	reconvene	reconvenes
DT	this	this
NN	week	week
CD	one	one
IN	of	of
DT	the	the
JJ	first	first
NNS	item	items
IN	of	of
NN	business	business
MD	will	will
VB	be	be
DT	the	the
