POS	lemma	word
JJ	american	American
NN	literature	Literature
IN	from	From
NNS	wikibook	Wikibooks
JJ	open	open
NNS	book	books
IN	for	for
DT	a	an
JJ	open	open
NN	world	world
NN	image	image
JJ	unreviewed	Unreviewed
NNS	change	changes
VBP	be	are
VBN	display	displayed
IN	on	on
DT	this	this
NN	page	page
DT	the	The
JJS	latest	latest
VBN	review	reviewed
NN	version	version
VBD	be	was
VBN	check	checked
IN	on	on
CD	31	31
NNP	July	July
CD	2017	2017
EX	there	There
VBP	be	are
NN	template	template
NN	file	file
NNS	change	changes
VBG	await	awaiting
NN	review	review
NN	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
DT	this	This
NN	project	project
VBZ	discuss	discusses
DT	the	the
JJ	entire	entire
NN	field	field
IN	of	of
JJ	american	American
NN	literature	Literature
NN	meaning	meaning
NN	literature	literature
VBN	produce	produced
IN	in	in
DT	the	the
NNP	United	United
NNPS	States	States
CC	or	or
VBN	write	written
IN	by	by
NNS	author	authors
WP$	whose	whose
JJ	primary	primary
NN	residence	residence
CC	or	or
NN	background	background
VBZ	be	is
IN	from	from
DT	the	the
NNP	United	United
NNPS	States	States
VBG	start	starting
IN	with	with
DT	the	the
JJS	earliest	earliest
NNS	explorer	explorers
CC	and	and
NNS	settler	settlers
CC	and	and
VBG	end	ending
IN	at	at
DT	the	the
JJ	present	present
NN	time	time
DT	a	A
NN	synthesis	synthesis
IN	of	of
JJ	chronological	chronological
NN	perspective	perspective
CC	and	and
JJ	literary	literary
NNS	school	schools
VBZ	be	is
VBN	attempt	attempted
IN	within	within
DT	this	this
NN	text	text
JJ	welcome	Welcome
NN	edit	edit
DT	this	This
NN	wikibook	Wikibook
VBZ	be	is
VBN	write	written
IN	with	with
DT	the	the
VBG	begin	beginning
NN	college	college
NN	student	student
IN	in	in
NN	mind	mind
DT	the	The
NN	virtue	virtue
IN	of	of
DT	this	this
NN	format	format
IN	for	for
VBG	present	presenting
JJ	american	American
NN	literature	Literature
VBZ	be	is
IN	that	that
PRP	it	it
VBZ	be	is
JJR	thinner	thinner
IN	than	than
JJ	typical	typical
NNS	anthology	anthologies
IN	of	of
DT	the	the
NN	subject	subject
IN	because	because
PRP	it	it
VBZ	do	does
RB	not	not
VB	have	have
TO	to	to
VB	include	include
JJ	entire	entire
JJ	original	original
NNS	text	texts
CC	but	but
RB	instead	instead
MD	can	can
VB	link	link
TO	to	to
PRP	they	them
CC	nor	Nor
VBZ	be	is
DT	this	this
NN	wikibook	Wikibook
VBD	obligate	obligated
TO	to	to
VB	provide	provide
NNS	synopsis	synopses
IN	of	of
JJ	major	major
NNS	author	authors
NN	wikipedia	Wikipedia
RB	already	already
VBZ	have	has
DT	these	these
DT	this	This
NN	wikibook	Wikibook
RB	therefore	therefore
VBZ	set	sets
RP	out	out
TO	to	to
VB	accomplish	accomplish
DT	the	the
JJ	third	third
NN	task	task
IN	of	of
DT	a	an
JJ	american	American
NN	literature	literature
NN	survey	survey
NN	course	course
NN	textbook	textbook
TO	to	to
VB	paint	paint
DT	the	the
NN	picture	picture
IN	of	of
DT	the	the
NNS	trend	trends
IN	in	in
DT	the	the
NNS	period	periods
IN	of	of
NN	literature	literature
CC	and	and
VB	discuss	discuss
WRB	how	how
NNS	author	authors
VBP	relate	relate
TO	to	to
CD	one	one
DT	another	another
IN	for	For
DT	the	the
JJS	earliest	earliest
IN	before	before
CD	1928	1928
NNS	work	works
IN	of	of
JJ	american	American
NN	literature	literature
NN	copyright	copyright
NNS	issue	issues
VBP	be	are
JJ	irrelevant	irrelevant
PRP	we	We
VBP	provide	provide
DT	the	the
NNS	link	links
TO	to	to
DT	the	the
NNS	work	works
IN	under	under
NN	discussion	discussion
CC	and	and
VB	urge	urge
DT	the	the
NN	student	student
TO	to	to
VB	read	read
RB	enough	enough
IN	of	of
DT	the	the
NN	work	work
TO	to	to
VB	obtain	obtain
DT	a	an
NN	appreciation	appreciation
IN	for	for
PRP$	its	its
JJ	intrinsic	intrinsic
NN	value	value
IN	for	For
JJ	later	later
NNS	period	periods
NN	copyright	copyright
NNS	issue	issues
VBP	do	do
RB	still	still
JJ	pertain	pertain
CC	and	and
DT	the	the
NN	student	student
MD	will	will
VB	have	have
TO	to	to
VB	acquire	acquire
NNS	copy	copies
IN	of	of
DT	the	the
NNS	work	works
PRP	themselves	themselves
IN	although	although
PRP	I	I
VBP	have	have
VBN	quote	quoted
JJ	brief	brief
NNS	passage	passages
TO	to	to
VB	illustrate	illustrate
DT	the	the
NNS	concept	concepts
VBN	discuss	discussed
DT	this	This
NN	book	book
VBZ	be	is
RB	still	still
DT	a	a
NN	work	work
IN	in	in
NN	progress	progress
IN	if	If
PRP	you	you
MD	would	would
VB	like	like
TO	to	to
VB	help	help
IN	with	with
PRP	it	it
VB	please	please
VB	look	look
IN	at	at
DT	the	the
VBN	suggest	suggested
NNS	guideline	guidelines
IN	on	on
DT	the	the
NN	talk	Talk
NN	page	Page
NNS	thanks	Thanks
NNS	contents	Contents
VBP	edit	edit
JJ	colonial	Colonial
NN	period	Period
CD	1620s	1620s
CD	1776	1776
NN	enlightenment	Enlightenment
NN	period	Period
CD	1760s	1760s
CD	1820s	1820s
JJ	romanticism	Romanticism
CD	1810	1810
CD	1861	1861
NN	realism	Realism
CD	1860s	1860s
CD	1890s	1890s
NN	naturalism	Naturalism
CD	1890s	1890s
CD	1950	1950
NNP	Modernism	Modernism
CD	1914	1914
CD	1945	1945
NN	post	Post
JJ	modern	Modern
NN	period	Period
CD	1940s	1940s
JJ	current	Current
NN	image	image
CD	25	25
VBD	develop	developed
NN	image	image
VBN	retrieve	Retrieved
IN	from	from
FW	https	https
FW	en	en
FW	wikibooks	wikibooks
NN	org	org
NN	w	w
NN	index	index
NNP	php	php
NNP	title	title
NNP	American_Literature	American_Literature
NN	amp	amp
NN	oldid	oldid
CD	3251436	3251436
NNS	subject	Subjects
VB	book	Book
JJ	american	American
NN	literature	Literature
JJ	subject	Subject
NN	literature	Literature
VBN	hide	Hidden
NNS	category	categories
JJ	alphabetical	Alphabetical
DT	a	A
JJ	subject	Subject
NN	literature	Literature
DT	all	all
NNS	book	books
JJ	subject	Subject
NNS	humanities	Humanities
DT	all	all
NNS	book	books
JJ	subject	Subject
NNS	book	Books
IN	by	by
JJ	subject	subject
DT	all	all
NNS	book	books
RB	partly	Partly
VBD	develop	developed
NNS	book	books
NNS	book	Books
IN	by	by
NN	completion	completion
NN	status	status
DT	all	all
NNS	book	books
NNP	Navigation	Navigation
NN	menu	menu
JJ	personal	Personal
NNS	tool	tools
RB	not	Not
VBN	log	logged
IN	in	in
NN	discussion	Discussion
IN	for	for
DT	this	this
NNP	IP	IP
NN	address	address
NNS	contribution	Contributions
VBP	create	Create
NN	account	account
NN	log	Log
IN	in	in
NNP	Namespaces	Namespaces
NNP	Book	Book
NN	discussion	Discussion
NNS	variant	Variants
NNS	view	Views
VBP	read	Read
JJS	latest	Latest
NN	draft	draft
VB	edit	Edit
NN	view	View
NN	history	history
JJR	more	More
NN	search	Search
NN	navigation	Navigation
JJ	main	Main
NN	page	Page
NN	help	Help
VB	browse	Browse
NN	cookbook	Cookbook
NN	wikijunior	Wikijunior
VBD	feature	Featured
NNS	book	books
JJ	recent	Recent
NNS	change	changes
NNS	donation	Donations
JJ	random	Random
NN	book	book
VBG	use	Using
NNP	Wikibooks	Wikibooks
NNP	Community	Community
NNP	Reading	Reading
NN	room	room
NN	community	Community
NN	portal	portal
NN	bulletin	Bulletin
NN	board	Board
NN	help	Help
IN	out	out
NNS	policy	Policies
CC	and	and
NNS	guideline	guidelines
VBP	contact	Contact
PRP	we	us
NNS	tool	Tools
WDT	what	What
NNS	link	links
RB	here	here
JJ	related	Related
NNS	change	changes
VBP	upload	Upload
NN	file	file
JJ	special	Special
NNS	page	pages
JJ	permanent	Permanent
NN	link	link
NN	page	Page
NN	information	information
NNP	Wikidata	Wikidata
NN	item	item
VB	cite	Cite
DT	this	this
NN	page	page
IN	in	In
JJ	other	other
NNS	language	languages
NNS	nederland	Nederlands
VBP	edit	Edit
NNS	link	links
JJ	sister	Sister
NNS	project	projects
NN	wikipedia	Wikipedia
NN	wikiversity	Wikiversity
JJ	wiktionary	Wiktionary
NN	wikiquote	Wikiquote
NN	wikisource	Wikisource
NN	wikinews	Wikinews
NN	wikivoyage	Wikivoyage
NNP	Commons	Commons
NNP	Wikidata	Wikidata
NN	print	Print
NN	export	export
VB	create	Create
DT	a	a
NN	collection	collection
NN	download	Download
IN	as	as
NN	pdf	PDF
JJ	printable	Printable
NN	version	version
IN	in	In
JJ	other	other
NNS	project	projects
NN	wikimedia	Wikimedia
NNP	Commons	Commons
NNP	Wikipedia	Wikipedia
NNP	Wikiquote	Wikiquote
DT	this	This
NN	page	page
VBD	be	was
JJ	last	last
VBN	edit	edited
IN	on	on
CD	31	31
NNP	July	July
CD	2017	2017
IN	at	at
CD	00	00
CD	57	57
NN	text	Text
VBZ	be	is
JJ	available	available
IN	under	under
DT	the	the
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
JJ	sharealike	ShareAlike
NN	license	License
JJ	additional	additional
NNS	term	terms
MD	may	may
VB	apply	apply
IN	by	By
VBG	use	using
DT	this	this
NN	site	site
PRP	you	you
VBP	agree	agree
TO	to	to
DT	the	the
NNS	term	Terms
IN	of	of
NN	use	Use
CC	and	and
NN	privacy	Privacy
NN	policy	Policy
NN	privacy	Privacy
NN	policy	policy
IN	about	About
NNS	wikibook	Wikibooks
NNS	disclaimer	Disclaimers
NNS	developer	Developers
NN	cookie	Cookie
NN	statement	statement
JJ	mobile	Mobile
NN	view	view
NN	image	image
NN	wikimedia	Wikimedia
NN	foundation	Foundation
NN	image	image
VBN	power	Powered
IN	by	by
NNP	MediaWiki	MediaWiki
