POS	lemma	word
NNP	Ohio	Ohio
NNP	State	State
NNP	nav	nav
NNP	bar	bar
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
DT	the	The
NNP	Ohio	Ohio
NNP	State	State
NNP	University	University
NN	help	Help
NN	buckeyelink	BuckeyeLink
NN	map	Map
VBP	find	Find
NNS	people	People
VBP	webmail	Webmail
NN	search	Search
NNP	Ohio	Ohio
NNP	State	State
DT	the	The
NNP	Ohio	Ohio
NNP	State	State
NNP	University	University
NNS	library	Libraries
NN	home	Home
VB	find	Find
VBG	borrow	Borrowing
NN	amp	amp
NN	lending	Lending
NNS	collection	Collections
NNS	people	People
NNS	resource	Resources
NNS	room	Rooms
NNS	service	Services
VBP	help	Help
NNS	tutorial	Tutorials
NN	library	Library
NN	instruction	Instruction
VB	ask	Ask
PRP	we	Us
VB	help	Help
IN	with	With
WRB	how	How
VBP	do	Do
PRP	I	I
VBG	troubleshoot	Troubleshooting
NNS	location	Locations
JJ	weekly	Weekly
NNS	hour	Hours
DT	a	A
NN	z	Z
NNS	location	Locations
VBP	map	Map
NN	news	News
NNS	event	Events
NN	science	Science
NN	cafe	Cafe
NN	calendar	Calendar
NNS	blog	Blogs
VBG	give	Giving
TO	to	to
DT	the	the
NNS	library	Libraries
NNS	project	Projects
NNS	initiative	Initiatives
NN	affordability	Affordability
VBZ	exhibit	Exhibits
NN	knowledge	Knowledge
NN	bank	Bank
NN	center	Center
JJ	open	Open
NN	access	Access
NN	monograph	Monograph
NN	initiative	Initiative
JJ	special	Special
NNS	collection	Collections
NN	copyright	Copyright
NN	osu	OSU
NNS	record	Records
NN	mgmt	Mgmt
IN	about	About
PRP	we	Us
NN	administration	Administration
NNS	committee	Committees
NNS	job	Jobs
VBP	contact	Contact
PRP	we	Us
NNS	department	Departments
NNS	location	Locations
NNS	hour	Hours
VBP	map	Map
NNS	partner	Partners
NNS	policy	Policies
NN	amp	amp
NNS	procedure	Procedures
NN	staff	Staff
NN	directory	Directory
PRP$	my	My
NN	account	Account
NN	student	Student
NNS	service	Services
NN	faculty	Faculty
NNS	service	Services
NNS	alumnus	Alumni
NN	amp	amp
NNS	friend	Friends
NNS	service	Services
PRP$	my	My
NN	library	Library
NN	account	Account
NN	pay	Pay
NNS	fine	Fines
VBP	appeal	Appeal
NNS	fine	Fines
IN	off	Off
NN	campus	Campus
NN	sign	Sign
IN	in	In
NN	search	Search
DT	this	this
NN	site	site
VB	search	Search
DT	this	this
NN	site	site
JJ	close	Close
CC	or	or
NN	esc	ESC
VB	search	Search
DT	all	all
NNS	page	pages
IN	on	on
DT	this	this
NN	website	website
NN	search	Search
NN	query	Query
NNP	Sitemap	Sitemap
VB	find	Find
VBG	borrow	Borrowing
NN	amp	amp
NN	lending	Lending
NNS	collection	Collections
NNS	people	People
NNS	resource	Resources
NNS	room	Rooms
NNS	service	Services
VBP	help	Help
NNS	tutorial	Tutorials
NN	library	Library
NN	instruction	Instruction
VB	ask	Ask
PRP	we	Us
VB	help	Help
IN	with	With
WRB	how	How
VBP	do	Do
PRP	I	I
VBG	troubleshoot	Troubleshooting
NNS	location	Locations
JJ	weekly	Weekly
NNS	hour	Hours
DT	a	A
NN	z	Z
NNS	location	Locations
VBP	map	Map
NN	news	News
NNS	event	Events
NN	science	Science
NN	cafe	Cafe
NN	calendar	Calendar
NNS	blog	Blogs
VBG	give	Giving
TO	to	to
DT	the	the
NNS	library	Libraries
NNS	project	Projects
NNS	initiative	Initiatives
NN	affordability	Affordability
VBZ	exhibit	Exhibits
NN	knowledge	Knowledge
NN	bank	Bank
NN	center	Center
JJ	open	Open
NN	access	Access
NN	monograph	Monograph
NN	initiative	Initiative
JJ	special	Special
NNS	collection	Collections
NN	copyright	Copyright
NN	osu	OSU
NNS	record	Records
NN	mgmt	Mgmt
IN	about	About
PRP	we	Us
NN	administration	Administration
NNS	committee	Committees
NNS	job	Jobs
VBP	contact	Contact
PRP	we	Us
NNS	department	Departments
NNS	location	Locations
NNS	hour	Hours
VBP	map	Map
NNS	partner	Partners
NNS	policy	Policies
NN	amp	amp
NNS	procedure	Procedures
NN	staff	Staff
NN	directory	Directory
PRP$	my	My
NN	account	Account
NN	student	Student
NNS	service	Services
NN	faculty	Faculty
NNS	service	Services
NNS	alumnus	Alumni
NN	amp	amp
NNS	friend	Friends
NNS	service	Services
PRP$	my	My
NN	library	Library
NN	account	Account
NN	pay	Pay
NNS	fine	Fines
VBP	appeal	Appeal
NNS	fine	Fines
IN	off	Off
NN	campus	Campus
NN	sign	Sign
IN	in	In
NNP	William	William
NNP	Charvat	Charvat
NN	collection	Collection
IN	of	of
JJ	american	American
NN	literature	Literature
NNS	hour	Hours
CC	and	and
NN	location	Location
NNS	service	Services
VBP	contact	Contact
PRP	we	Us
VB	visit	Visit
PRP	we	Us
VB	teach	Teach
IN	with	With
PRP	we	Us
NNS	subcollection	Subcollections
JJ	literary	Literary
NNS	manuscript	Manuscripts
NN	contact	Contact
NNP	Jolie	Jolie
NNP	Braun	Braun
NN	assistant	Assistant
NN	professor	Professor
NN	curator	Curator
IN	of	of
JJ	american	American
NN	literature	Literature
NN	119b	119B
NNP	Thompson	Thompson
NN	library	Library
CD	1858	1858
NNP	Neil	Neil
NNP	Avenue	Avenue
NNP	Columbus	Columbus
UH	oh	OH
CD	43210	43210
NN	office	Office
NNP	614 688 4980	614 688 4980
NNP	braun	braun
CD	338	338
NNP	osu	osu
NNP	edu	edu
NNP	bookmark	bookmark
NN	content	content
NNP	Nineteenth	Nineteenth
NNP	Century	Century
NNP	American	American
NN	fiction	Fiction
CC	and	and
NN	poetry	Poetry
NNS	resource	Resources
IN	in	in
DT	the	The
NNP	Charvat	Charvat
NN	collection	Collection
IN	of	of
JJ	american	American
NN	literature	Literature
NN	amp	amp
DT	the	The
JJ	rare	Rare
NNS	book	Books
CC	and	and
NNS	manuscript	Manuscripts
NN	library	Library
DT	the	The
NNP	Sarah	Sarah
NN	m	M
NN	b	B
NN	piatt	Piatt
NN	collection	Collection
NNP	Paula	Paula
NNP	Bernat	Bernat
NNP	Bennett	Bennett
NNP	s	s
NNP	research	research
NNPS	materials	materials
IN	for	for
PRP$	she	her
NN	selection	selection
IN	of	of
NNP	Sarah	Sarah
NN	m	M
NN	b	B
NN	piatt	Piatt
NNS	poem	Poems
NN	palace	Palace
NN	burner	Burner
DT	the	The
VBN	select	Selected
NN	poetry	Poetry
IN	of	of
NNP	Sarah	Sarah
NNP	Piatt	Piatt
CD	2001	2001
VB	please	Please
VB	note	note
IN	that	that
DT	this	this
NN	finding	finding
NN	aid	aid
NNS	w	ws
VBN	revise	revised
IN	in	in
CD	2018	2018
VB	consult	Consult
IN	with	with
DT	a	a
NN	curator	curator
IN	if	if
PRP	you	you
VBP	have	have
NNS	reference	references
VBG	point	pointing
TO	to	to
DT	a	an
JJR	earlier	earlier
NN	version	version
RB	later	Later
NNS	addition	additions
IN	from	from
NN	professor	Professor
NNP	Bennett	Bennett
IN	that	that
PRP	she	she
VBD	wish	wished
TO	to	to
VB	highlight	highlight
NN	finding	Finding
NN	list	List
IN	for	for
NNP	Sarah	Sarah
NNP	Piatt	Piatt
NNP	s	s
NNP	Poetry	Poetry
NNP	Dec	Dec
CD	2013	2013
NN	index	Index
TO	to	to
DT	the	the
NN	juvenilia	Juvenilia
NNP	Feb	Feb
CD	2014	2014
JJ	chronological	Chronological
NN	index	Index
TO	to	to
DT	the	the
NN	variorum	Variorum
NNP	Feb	Feb
CD	2014	2014
JJ	alphabetical	Alphabetical
NN	index	Index
TO	to	to
DT	the	the
NN	variorum	Variorum
NNP	Feb	Feb
CD	2014	2014
DT	the	The
NNP	Larry	Larry
NNP	R	R
NNP	Michaels	Michaels
NN	collection	Collection
NNS	book	Books
CC	and	and
NNS	serial	serials
VBN	donate	donated
IN	by	by
NNP	Larry	Larry
NNP	R	R
NNP	Michaels	Michaels
IN	for	for
NN	research	research
IN	on	on
NNP	Sarah	Sarah
NNP	Piatt	Piatt
MD	may	may
VB	be	be
VBN	find	found
IN	with	with
DT	a	a
JJ	keyword	keyword
NN	search	search
IN	of	of
DT	the	the
NN	catalog	catalog
IN	on	on
NN	gift	gift
IN	of	of
NNP	Larry	Larry
NNP	R	R
NNP	Michaels	Michaels
DT	the	The
NN	finding	finding
NN	aid	aid
VBZ	list	lists
PRP$	he	his
NN	collection	collection
IN	of	of
JJ	biographic	biographic
NN	research	research
NNS	note	notes
VBN	relate	related
TO	to	to
NNP	Piatt	Piatt
NNP	SPEC	SPEC
JJ	rare	RARE
NN	0222	0222
NNP	Ohio	Ohio
NN	memory	Memory
VB	see	See
DT	the	the
NNP	Ohio	Ohio
NN	memory	Memory
NN	project	Project
DT	a	A
JJ	collaborative	Collaborative
NN	project	Project
IN	of	of
DT	the	the
NNP	Ohio	Ohio
NN	history	History
NN	connection	Connection
CC	and	and
DT	the	the
NN	state	State
NN	library	Library
IN	of	of
NNP	Ohio	Ohio
IN	for	for
RBR	more	more
IN	on	on
DT	the	the
NNP	Piatt	Piatt
NN	family	Family
RB	as	as
RB	well	well
IN	as	as
JJ	other	other
NNS	resource	resources
IN	for	for
DT	the	the
NN	history	history
IN	of	of
NNP	Ohio	Ohio
DT	a	A
NNP	CD	CD
IN	of	of
VBN	select	selected
NNS	contribution	contributions
VBZ	be	is
JJ	available	available
IN	in	in
JJ	rare	Rare
NNS	book	Books
CC	and	and
NNS	manuscript	Manuscripts
CD	ps586	PS586
NN	o35	O35
CD	2002	2002
DT	the	The
NN	capital	Capital
NNP	Washington	Washington
NNP	D	D
NNP	C	C
NN	newspaper	newspaper
NNP	Donn	Donn
NNP	Piatt	Piatt
VBD	be	was
NN	editor	editor
IN	off	off
CC	and	and
IN	on	on
IN	until	until
NNS	1879	1879
CC	and	and
VBN	publish	published
DT	the	the
NN	work	work
IN	of	of
RB	newly	newly
VBN	discover	discovered
NNS	author	authors
IN	on	on
PRP$	its	its
NNS	page	pages
RB	early	Early
NNS	volume	volumes
VBN	hold	held
IN	at	at
NNP	Piatt	Piatt
NNPS	Castles	Castles
VBD	be	were
VBN	loan	loaned
TO	to	to
NNP	OSU	OSU
CC	and	and
VBD	scan	scanned
PRP	they	They
VBP	be	are
JJ	available	available
NN	online	online
IN	in	in
DT	a	a
JJ	searchable	searchable
NN	database	database
DT	some	Some
JJ	visual	visual
NN	clarity	clarity
VBZ	be	is
VBN	lose	lost
IN	in	in
DT	this	this
NN	delivery	delivery
NN	system	system
DT	the	The
JJ	original	original
NNS	scan	scans
VBP	be	are
JJ	available	available
IN	for	for
NN	consultation	consultation
IN	on	on
