POS	lemma	word
NN	image	image
NNP	National	National
NNP	Book	Book
NNP	Foundation	Foundation
NN	presenter	Presenter
IN	of	of
DT	the	the
NNP	National	National
NNP	Book	Book
NNS	award	Awards
VBP	contact	Contact
PRP	we	Us
NN	newsletter	Newsletter
NN	faq	FAQ
NNS	award	Awards
NNS	winner	Winners
NN	amp	amp
NNS	finalist	Finalists
CD	2010s	2010s
CD	2000s	2000s
NNS	1990	1990s
CD	1980s	1980s
CD	1970s	1970s
NNS	1960	1960s
CD	1950s	1950s
NNP	NBA	NBA
IN	by	by
NNP	Genre	Genre
WRB	how	How
DT	the	the
NNP	NBAs	NBAs
NN	work	Work
NN	award	Award
NNS	deadline	Deadlines
NN	amp	amp
NNS	guideline	Guidelines
JJ	online	Online
NNS	exhibition	Exhibitions
NNP	NBA	NBA
NN	fiction	Fiction
NNS	winner	Winners
NNP	NBA	NBA
NN	fiction	Fiction
NNS	finalist	Finalists
NNP	NBA	NBA
NNP	Poetry	Poetry
NNS	winner	Winners
NNP	NBA	NBA
JJ	young	Young
NNS	people	People
NNS	s	s
NNP	Lit	Lit
VBD	distinguish	Distinguished
NN	contribution	Contribution
TO	to	to
JJ	american	American
NNS	letter	Letters
JJ	literarian	Literarian
NN	award	Award
NNP	NBA	NBA
NNS	finalist	Finalists
VBG	read	Reading
JJ	teen	Teen
NN	press	Press
NN	conference	Conference
NNS	medallion	Medallions
NNS	program	Programs
VBP	eat	Eat
NN	drink	Drink
NN	amp	amp
VB	be	Be
JJ	literary	Literary
NNS	innovation	Innovations
IN	in	in
VBG	read	Reading
NNP	NBA	NBA
IN	on	On
NN	campus	Campus
CD	5	5
IN	under	Under
CD	35	35
NN	education	Education
NN	book	Book
JJ	rich	Rich
NNS	environment	Environments
JJ	bookup	BookUp
NNP	NBA	NBA
IN	on	on
NN	campus	Campus
NN	teen	Teen
NN	press	Press
NN	conference	Conference
NN	news	News
IN	about	About
NN	mission	Mission
NN	amp	amp
NN	history	History
NN	board	Board
IN	of	of
NNS	director	Directors
NN	staff	Staff
NNS	career	Careers
VBP	form	Form
CD	990	990
NN	privacy	Privacy
NN	policy	Policy
VBP	support	Support
PRP	we	Us
VB	donate	Donate
JJ	online	Online
NN	donor	Donor
NN	recognition	Recognition
NNP	National	National
NNP	Book	Book
NNS	award	Awards
CD	2016 2015 2014 2013	2016 2015 2014 2013
NN	gt	gt
NN	2012 2011 2010	2012 2011 2010
JJR	more	More
NN	information	Information
NN	gt	gt
VBP	watch	Watch
DT	the	the
CD	2012	2012
NNP	NBA	NBA
NNS	finalist	Finalists
VBP	read	Read
IN	from	from
PRP$	they	their
NN	work	work
NN	gt	gt
CD	2012	2012
NNP	NBA	NBA
NN	entry	Entry
NNS	rule	Rules
CC	and	and
NNS	guideline	Guidelines
NN	gt	gt
CD	2012	2012
NNS	judge	Judges
NNS	bio	Bios
NN	gt	gt
NNP	NBA	NBA
NNS	winner	Winners
IN	by	by
NN	genre	Genre
NNS	stats	Stats
IN	in	In
CD	2012	2012
CD	1	1
CD	285	285
NNS	book	books
VBD	be	were
VBN	submit	submitted
IN	for	for
DT	the	the
NNS	award	Awards
NN	fiction	Fiction
CD	311	311
NN	nonfiction	Nonfiction
CD	479	479
NN	poetry	Poetry
CD	181	181
JJ	young	Young
NNS	people	People
NNS	s	s
VBD	light	Lit
CD	314	314
JJ	important	Important
NNS	date	Dates
VBD	wed	Wed
NNP	October	October
CD	10	10
CD	2012	2012
NN	announcement	Announcement
IN	of	of
CD	20	20
NN	finalist	Finalist
NNS	book	books
NNP	MSNBC	MSNBC
NNP	s	s
NN	morning	Morning
NNP	Joe	Joe
VBN	host	hosted
IN	by	by
NNP	Joe	Joe
NNP	Scarborough	Scarborough
NNP	Mika	Mika
NNP	Brzezinski	Brzezinski
CC	and	and
NNP	Willie	Willie
NNP	Geist	Geist
IN	between	Between
CD	6	6
CD	9	9
DT	a	a
NN	m	m
NN	tue	Tue
NNP	November	November
