POS	lemma	word
VB	help	Help
VB	search	Search
NNS	result	results
VB	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
NN	search	Search
NNS	result	Results
CD	1	1
CD	20	20
IN	of	of
CD	6	6
CD	555	555
NN	content	Content
NNS	page	pages
NNS	multimedia	Multimedia
NNS	translation	Translations
NN	everything	Everything
VBD	advance	Advanced
NN	search	Search
NNS	category	categories
VBP	view	View
JJ	other	other
NNS	tool	tools
VBP	help	Help
NNS	phrase	Phrases
IN	in	in
JJ	double	double
NNS	quote	quotes
IN	for	For
NN	example	example
NNP	holly	holly
NNP	dolly	dolly
VBZ	return	returns
RB	very	very
JJ	few	few
NNS	result	results
IN	as	as
VBN	oppose	opposed
TO	to	to
NNP	holly	holly
NNP	dolly	dolly
NN	exclusion	Exclusion
NNS	term	Terms
MD	can	can
VB	be	be
VBN	exclude	excluded
IN	with	with
IN	for	for
NN	example	example
NNS	window	windows
NN	system	system
NN	note	note
EX	there	there
VBZ	be	is
DT	no	no
NN	space	space
IN	between	between
CC	and	and
DT	the	the
VBN	exclude	excluded
NN	term	term
NN	wildcard	Wildcard
NN	search	search
NNS	wildcard	Wildcards
NNS	symbol	symbols
VBG	represent	representing
JJ	unknown	unknown
NN	text	text
MD	can	can
VB	be	be
VBN	prefix	prefixed
CC	and	and
VBN	suffix	suffixed
IN	for	for
NN	example	example
DT	the	the
NN	search	search
NNP	stan	stan
MD	will	will
VB	produce	produce
NNS	result	results
IN	like	like
NNP	Kazakhstan	Kazakhstan
CC	and	and
NNP	Afghanistan	Afghanistan
IN	for	For
JJR	more	more
NNS	detail	details
VBG	include	including
JJ	fuzzy	fuzzy
NN	search	search
NN	boolean	Boolean
NNS	operator	operators
CC	and	and
NNS	keyword	keywords
VBP	intitle	intitle
NN	incategory	incategory
CC	and	and
NN	prefix	prefix
VBP	see	see
NN	search	Search
NN	help	Help
IN	on	on
NNP	English	English
NNP	Wikipedia	Wikipedia
VB	browse	Browse
NN	category	Category
NN	overview	overview
NN	root	Root
NN	category	Category
NN	tree	tree
VB	browse	Browse
IN	by	by
NN	topic	topic
NN	nature	Nature
NN	society	Society
NN	science	Science
VB	browse	Browse
IN	by	by
NN	type	type
NNS	image	Images
JJ	sound	Sound
NN	video	Video
NNS	index	Indices
NNS	gallery	Galleries
NNS	category	Categories
JJ	new	New
NNS	file	files
VB	search	Search
NNP	Google	Google
NN	image	image
VB	search	search
DT	all	all
NN	wikimedia	Wikimedia
NN	wikiwix	Wikiwix
JJ	random	Random
NN	file	File
NN	gallery	Gallery
NN	category	Category
VB	create	Create
DT	the	the
NN	page	page
NNP	Digital	Digital
NNS	humanities	humanities
IN	on	on
DT	this	this
NN	wiki	wiki
NN	image	image
NN	file	File
NNP	Digital	Digital
NNS	humanities	humanities
NN	pdf	pdf
JJ	descriptiondigital	DescriptionDigital
NNS	humanities	humanities
NN	pdf	pdf
NNP	digital	digital
NNS	humanities	humanities
NN	project	project
