POS	lemma	word
NN	introduction	Introduction
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	concept	Concepts
NNS	method	Methods
CC	and	and
NNS	tutorial	Tutorials
IN	for	for
NNS	student	Students
CC	and	and
NNS	instructor	Instructors
NN	menu	Menu
VB	skip	Skip
TO	to	to
JJ	content	content
IN	about	About
NNS	credit	Credits
NN	contact	Contact
NN	amp	amp
NN	feedback	Feedback
CD	1	1
NNS	concept	Concepts
NN	amp	amp
NNS	reading	Readings
NN	1a	1A
NN	introduction	Introduction
NN	1b	1B
NN	analysis	Analysis
IN	of	of
NN	dh	DH
NNS	project	Projects
NN	2a	2A
NNP	HTML	HTML
CC	and	and
VBN	structure	Structured
NNS	datum	Data
NN	2b	2B
NN	classification	Classification
NNS	system	Systems
NN	3a	3A
NNS	ontology	Ontologies
CC	and	and
NNP	Metadata	Metadata
NN	3b	3B
NNS	datum	Data
CC	and	and
NNS	database	Databases
NN	4a	4A
NN	database	Database
CC	and	and
NN	narrative	Narrative
NN	4b	4B
NN	visualization	Visualization
NN	5a	5A
NN	visualization	Visualization
VBD	continue	Continued
NN	5b	5B
NNS	datum	Data
NN	mining	Mining
CC	and	and
NN	text	Text
NN	analysis	Analysis
NN	6a	6A
NN	text	Text
VBG	encode	Encoding
NN	mark	Mark
RB	up	up
CC	and	and
NNP	TEI	TEI
NNP	6B	6B
JJ	distant	Distant
NN	reading	Reading
CC	and	and
JJ	cultural	Cultural
NNS	analytic	Analytics
NN	7a	7A
NN	network	Network
NN	analysis	Analysis
NN	8a	8A
NN	gis	GIS
NN	analysis	Analysis
CC	and	and
JJ	critical	Critical
NNS	issue	Issues
NN	8b	8B
NN	interface	Interface
NN	theory	Theory
CC	and	and
NN	practice	Practice
NN	9a	9A
NN	interface	Interface
CC	and	and
NN	narrative	Narrative
NN	9b	9B
VBG	model	Modelling
JJ	virtual	Virtual
NN	space	Space
NN	10a	10A
JJ	critical	Critical
NNS	issue	Issues
NN	10b	10B
NN	summary	Summary
NNS	issue	Issues
CD	2	2
NNS	tutorial	Tutorials
VBZ	exhibit	Exhibits
NNP	Omeka	Omeka
VBG	manage	Managing
NNS	datum	Data
NNS	datum	Data
NN	visualization	Visualization
VBD	tableau	Tableau
JJ	public	Public
NN	cytoscape	Cytoscape
NN	text	Text
NN	analysis	Analysis
NNS	manyeye	ManyEyes
JJ	voyant	Voyant
NN	wordsmith	WordSmith
NNS	map	Maps
NN	amp	amp
NNS	timeline	Timelines
JJ	neatline	Neatline
NNS	geocommon	GeoCommons
VBG	wireframe	Wireframing
NNP	HTML	HTML
NN	amp	amp
NNP	CSS	CSS
CD	3	3
NN	student	Student
NNS	project	Projects
JJ	final	Final
NN	project	Project
NN	description	Description
JJ	final	Final
NN	project	Project
NN	evaluation	Evaluation
NN	studio	Studio
NN	lab	Lab
NN	schedule	Schedule
NN	fall	Fall
CD	2012	2012
NN	case	Case
NN	study	Study
JJ	superficial	Superficial
NN	diversity	Diversity
IN	on	on
NNP	Abbot	Abbot
NNP	Kinney	Kinney
NNP	Blvd	Blvd
NN	case	Case
NN	study	Study
NNP	Baltimore	Baltimore
NNS	sign	Signs
NN	project	Project
NN	case	Case
VB	study	Study
DT	the	The
NNS	triumph	Triumphs
CC	and	and
NNS	pitfall	Pitfalls
IN	of	of
NNS	datum	Data
NN	visualization	Visualization
IN	as	as
NN	narrative	Narrative
CD	4	4
VBD	advance	Advanced
NNS	topic	Topics
NNS	gi	GIS
CC	and	and
JJ	digital	Digital
NN	mapping	Mapping
IN	about	About
VBN	base	Based
IN	on	on
DT	the	the
NN	introduction	Introduction
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
NN	dh101	DH101
NN	course	course
IN	at	at
NNP	UCLA	UCLA
VBD	teach	taught
IN	by	by
NNP	Johanna	Johanna
NNP	Drucker	Drucker
IN	with	with
NNP	David	David
NNP	Kim	Kim
IN	in	in
CD	2011	2011
CC	and	and
CD	2012	2012
DT	this	this
NN	online	online
NN	coursebook	coursebook
CC	and	and
JJ	related	related
NN	collection	collection
IN	of	of
NNS	resource	resources
VBZ	be	is
VBN	mean	meant
TO	to	to
VB	provide	provide
JJ	introductory	introductory
NNS	material	materials
TO	to	to
NNP	digital	digital
VBZ	approach	approaches
JJ	relevant	relevant
TO	to	to
DT	a	a
JJ	wide	wide
NN	range	range
IN	of	of
NNS	discipline	disciplines
DT	the	The
NNS	lesson	lessons
CC	and	and
NNS	tutorial	tutorials
VBP	assume	assume
DT	no	no
JJ	prior	prior
NN	knowledge	knowledge
CC	or	or
NN	experience	experience
CC	and	and
VBP	be	are
VBN	mean	meant
TO	to	to
VB	introduce	introduce
JJ	fundamental	fundamental
NNS	skill	skills
CC	and	and
JJ	critical	critical
NNS	issue	issues
IN	in	in
NNP	digital	digital
NNS	humanities	humanities
NNS	concept	Concepts
NN	amp	amp
NNS	reading	Readings
NN	section	section
VBZ	resemble	resembles
DT	a	a
NN	dh101	DH101
NN	syllabus	syllabus
DT	each	each
NN	topic	topic
VBZ	be	is
VBN	present	presented
IN	as	as
DT	a	a
NN	lesson	lesson
NN	plan	plan
NNS	concept	Concepts
VBP	be	are
VBN	discuss	discussed
RB	broadly	broadly
IN	in	in
NN	order	order
TO	to	to
VB	make	make
NNS	connection	connections
IN	between	between
JJ	critical	critical
NNS	idea	ideas
NNS	hand	hands
IN	on	on
NNS	activity	activities
NNS	reading	readings
CC	and	and
JJ	relevant	relevant
NNS	example	examples
DT	these	These
NN	lesson	lesson
VBZ	plan	plans
VBP	contain	contain
NNS	lot	lots
IN	of	of
JJ	individual	individual
NNS	exercise	exercises
TO	to	to
VB	be	be
VBN	do	done
IN	in	in
NN	class	class
WDT	that	that
VBP	allow	allow
DT	the	the
NNS	student	students
TO	to	to
VB	become	become
JJ	familiar	familiar
IN	with	with
DT	the	the
JJS	most	most
JJ	basic	basic
NNS	aspect	aspects
IN	of	of
NNP	digital	digital
NN	production	production
NNP	html	html
NNP	css	css
NNP	design	design
NNP	mockup	mockup
NNP	metadata	metadata
NNP	schema	schema
FW	etc	etc
DT	these	These
IN	in	in
NN	class	class
NNS	assignment	assignments
VBP	be	are
VBN	gear	geared
IN	towards	towards
VBG	foster	fostering
DT	the	the
NN	understanding	understanding
IN	of	of
DT	the	the
NNS	concept	concepts
VBN	introduce	introduced
IN	in	in
DT	the	the
NNS	lesson	lessons
VBG	see	seeing
WRB	how	how
JJ	structured	structured
NNS	datum	data
VBZ	work	works
IN	in	in
NNP	digital	digital
NNS	environment	environments
VBG	work	working
IN	with	with
NN	classification	classification
CC	and	and
JJ	descriptive	descriptive
NNS	standard	standards
VBG	learn	learning
TO	to	to
VB	read	read
NNS	website	websites
VBG	think	thinking
IN	about	about
DT	the	the
JJ	epistemological	epistemological
NNS	implication	implications
IN	of	of
NNS	datum	data
VBN	drive	driven
NN	analysis	analysis
CC	and	and
NNP	spatio	spatio
JJ	temporal	temporal
NNS	representation	representations
CC	and	and
JJS	most	most
RB	broadly	broadly
VBG	recognize	recognizing
CC	both	both
DT	the	the
VBN	hide	hidden
NN	labor	labor
CC	and	and
DT	the	the
JJ	intellectual	intellectual
JJ	subjective	subjective
NN	process	process
IN	of	of
VBG	represent	representing
NN	knowledge	knowledge
IN	in	in
JJ	digital	digital
NNS	form	forms
NNS	assignment	Assignments
RB	often	often
RB	only	only
VB	require	require
NN	text	text
NNS	editor	editors
RB	commonly	commonly
JJ	available	available
CC	or	or
JJ	free	free
NN	software	software
NN	writing	writing
CC	and	and
JJ	critical	critical
NN	engagement	engagement
CC	and	and
NN	collaboration	collaboration
DT	the	The
JJ	tutorial	Tutorial
NN	section	section
VBZ	focus	focuses
IN	on	on
NNS	tool	tools
VBN	use	used
IN	in	in
DT	the	the
NN	course	course
DT	these	These
NNS	tutorial	tutorials
VBP	be	are
VBN	mean	meant
TO	to	to
VB	serve	serve
IN	as	as
JJ	basic	basic
NNS	introduction	introductions
IN	with	with
NNS	commentary	commentaries
WDT	that	that
VBP	relate	relate
PRP$	they	their
NN	usage	usage
TO	to	to
DT	the	the
NNS	concept	concepts
VBN	cover	covered
IN	in	in
DT	the	the
VBZ	lecture	lectures
DT	the	The
NNS	exhibit	exhibits
NN	text	text
NN	analysis	analysis
NNS	datum	data
NN	visualization	visualization
VBZ	map	maps
NN	amp	amp
NNS	timeline	timelines
JJ	wireframing	wireframing
CC	and	and
NNP	html	html
VBP	be	are
VBN	require	required
JJ	individual	individual
NNS	component	components
IN	of	of
DT	the	the
JJ	final	final
NN	project	project
NNS	student	Students
VBP	become	become
JJ	familiar	familiar
IN	with	with
DT	all	all
IN	of	of
DT	these	these
NNP	digital	digital
VBZ	approach	approaches
IN	throughout	throughout
DT	the	the
NN	course	course
IN	in	in
DT	the	the
JJ	weekly	weekly
NN	lab	lab
NN	studio	studio
NNS	session	sessions
CC	but	but
PRP	they	they
VBP	be	are
RB	also	also
VBN	ask	asked
TO	to	to
VB	delve	delve
RB	further	further
IN	into	into
DT	a	a
JJ	few	few
NNS	area	areas
IN	in	in
NN	consultation	consultation
IN	with	with
DT	the	the
NN	lab	lab
NN	instructor	instructor
TO	to	to
VB	choose	choose
DT	the	the
NN	right	right
NNS	tool	tools
IN	for	for
DT	the	the
NNS	type	types
IN	of	of
NN	analysis	analysis
CC	and	and
NN	presentation	presentation
PRP	they	they
VBP	have	have
IN	in	in
NN	mind	mind
DT	the	The
NN	goal	goal
VBZ	be	is
RB	not	not
RB	only	only
DT	the	the
JJ	successful	successful
NN	implementation	implementation
IN	of	of
DT	the	the
NNS	tool	tools
CC	but	but
RB	also	also
DT	the	the
NN	recognition	recognition
IN	of	of
PRP$	they	their
NNS	possibility	possibilities
CC	and	and
NNS	limitation	limitations
IN	during	during
DT	the	the
NN	process	process
VBG	use	Using
DT	the	the
JJ	cumulative	cumulative
CC	and	and
JJ	collaborative	collaborative
JJ	final	final
NN	project	project
NN	model	model
IN	of	of
NN	dh101	DH101
DT	the	the
NN	student	Student
NNS	project	Projects
NN	section	section
VBZ	represent	represents
CD	one	one
NN	approach	approach
IN	of	of
VBG	incorporate	incorporating
DT	all	all
IN	of	of
DT	the	the
JJ	above	above
IN	for	for
DT	a	a
RBR	more	more
JJ	substantial	substantial
CC	and	and
VBN	package	packaged
JJ	undergraduate	undergraduate
NN	project	project
DT	the	The
NN	process	process
VBZ	begin	begins
IN	with	with
DT	a	a
NN	research	research
NN	topic	topic
VBN	choose	chosen
IN	by	by
DT	the	the
NN	student	student
NNS	s	s
CC	and	and
DT	the	the
NN	group	group
VBZ	develop	develops
NNS	subtopic	subtopics
CC	and	and
DT	the	the
VBN	require	required
NNS	component	components
VBG	culminate	culminating
IN	as	as
DT	the	the
JJ	scholarly	scholarly
NN	resource	resource
NN	site	site
WDT	that	that
VBZ	provide	provides
JJ	useful	useful
NN	introduction	introduction
IN	for	for
DT	the	the
NN	topic	topic
DT	this	This
NN	section	section
RB	also	also
VBZ	contain	contains
NNS	suggestion	suggestions
IN	for	for
NN	evaluation	evaluation
CC	and	and
VBN	expect	expected
NN	time	time
NN	labor	labor
IN	for	for
NN	completion	completion
IN	in	In
VBG	compile	compiling
DT	these	these
NNS	idea	ideas
CC	and	and
NNS	resource	resources
IN	from	from
NN	dh101	DH101
PRP	we	we
VBP	emphasize	emphasize
DT	the	the
NN	flexibility	flexibility
IN	of	of
DT	these	these
NNS	concept	concepts
CC	and	and
NNS	method	methods
IN	for	for
NN	instruction	instruction
IN	for	for
DT	any	any
NN	course	course
IN	with	with
VBG	vary	varying
NNS	level	levels
IN	of	of
NN	engagement	engagement
IN	with	with
NNP	digital	digital
NNS	tool	tools
PRP	we	We
VBP	hope	hope
TO	to	to
RB	also	also
VB	continue	continue
TO	to	to
VB	add	add
JJ	other	other
NNS	approach	approaches
IN	as	as
PRP	they	they
VBP	emerge	emerge
PRP	we	We
VB	invite	invite
NNS	suggestion	suggestions
CC	and	and
NNS	submission	submissions
IN	from	from
NNS	instructor	instructors
CC	and	and
NNS	student	students
VBG	include	including
NN	syllabi	syllabi
NNS	tutorial	tutorials
CC	and	and
NN	case	case
NNS	study	studies
DT	these	These
NNS	material	materials
VBP	be	are
VBN	author	authored
IN	if	If
PRP	you	you
VBP	use	use
PRP	they	them
VB	please	please
VB	cite	cite
PRP	they	them
IN	as	as
PRP	you	you
MD	would	would
DT	any	any
JJ	other	other
NN	publication	publication
PRP	they	They
VBP	be	are
RB	freely	freely
JJ	available	available
IN	for	for
NN	use	use
CC	but	but
IN	if	if
PRP	you	you
VBD	cut	cut
VB	paste	paste
CC	and	and
VB	incorporate	incorporate
PRP	they	them
IN	into	into
PRP$	you	your
JJ	own	own
NNS	lesson	lessons
VB	be	be
JJ	sure	sure
TO	to	to
VB	include	include
DT	a	a
NN	link	link
CC	and	and
NN	citation	citation
IN	of	of
DT	this	this
NN	resource	resource
IN	if	If
PRP	you	you
MD	would	would
VB	like	like
TO	to	to
VB	change	change
JJ	correct	correct
CC	or	or
VB	add	add
TO	to	to
NN	anything	anything
