POS	lemma	word
VBG	dhresourcesforprojectbuild	dhresourcesforprojectbuilding
NN	log	log
NN	inhelp	inhelp
VB	get	Get
DT	a	a
JJ	free	free
NN	wiki	wiki
VB	try	Try
PRP$	we	our
JJ	free	free
NN	business	business
NN	product	product
NNP	Wiki	Wiki
NNP	Pages	Pages
NN	amp	amp
VBZ	file	Files
NN	view	View
VB	edit	Edit
TO	to	To
VB	edit	edit
DT	this	this
NN	page	page
NN	request	request
NN	access	access
TO	to	to
DT	the	the
NN	workspace	workspace
RB	already	Already
VBP	have	have
DT	a	an
NN	account	account
NN	log	Log
IN	in	in
NNS	guide	Guides
CC	and	and
NNS	introduction	Introductions
VBD	redirect	redirected
IN	from	from
NNS	guide	Guides
NN	page	Page
NN	history	history
JJ	last	last
VBN	edit	edited
IN	by	by
NNP	Alan	Alan
NNP	Liu	Liu
CD	1	1
NN	week	week
CD	5	5
NNS	day	days
IN	ago	ago
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	project	projects
NN	collage	collage
NN	dh	DH
NN	toychest	Toychest
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	resource	Resources
IN	for	for
NN	project	Project
NN	building	Building
NNS	guide	Guides
TO	to	to
VB	dh	DH
VBN	curate	curated
IN	by	by
NNP	Alan	Alan
NNP	Liu	Liu
NNP	DH	DH
NNP	Toychest	Toychest
VBD	start	started
CD	2013	2013
JJ	last	last
NNP	update	update
CD	2017	2017
NNS	guide	Guides
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	tutorial	Tutorials
NNS	tool	Tools
NNS	example	Examples
NNS	datum	Data
NNS	collection	Collections
NN	amp	amp
VBZ	dataset	Datasets
NNS	guide	Guides
CC	and	and
NNS	introduction	Introductions
TO	to	to
NN	dh	DH
NNS	guide	Guides
CC	and	and
NNS	introduction	Introductions
TO	to	to
NN	dh	DH
NNS	contents	Contents
JJ	general	General
NNS	guide	Guides
NN	amp	amp
NNS	resource	Resources
NN	orientation	Orientation
IN	on	on
DT	the	the
NN	field	Field
VBG	get	Getting
VBD	start	Started
VBG	create	Creating
CC	and	and
VBG	maintain	Maintaining
DT	a	an
JJ	online	Online
JJ	scholarly	Scholarly
NN	presence	Presence
JJ	academic	Academic
VBG	blogg	Blogging
JJ	academic	Academic
NNP	Twitter	Twitter
NN	dh	DH
NN	project	Project
VBG	make	Making
NN	digitization	Digitization
VBG	cite	Citing
NNP	Digital	Digital
NNP	Resources	Resources
NN	teaching	Teaching
NNS	guide	Guides
DT	the	The
NN	job	Job
NN	market	Market
IN	for	for
NNP	DH	DH
NNP	Graduate	Graduate
NNS	student	Students
VBG	evaluate	Evaluating
NN	dh	DH
NN	scholarship	Scholarship
IN	for	for
JJ	academic	Academic
NN	promotion	Promotion
CC	and	and
NN	tenure	Tenure
JJ	general	General
NNS	guide	Guides
NN	amp	amp
NNS	resource	Resources
NNP	CUNY	CUNY
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	Resource	Resource
NNP	Guide	Guide
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	keyword	Keywords
IN	in	in
NN	progress	progress
NN	online	online
NN	collection	collection
IN	of	of
NNS	essay	essays
IN	on	on
JJ	key	key
NNS	concept	concepts
CC	and	and
NNS	word	words
IN	in	in
NN	dh	DH
NNP	Morgan	Morgan
NNP	Paige	Paige
WDT	what	What
NNP	Digital	Digital
NNPS	Humanists	Humanists
VBP	do	Do
JJ	basic	basic
NN	introduction	introduction
TO	to	to
DT	some	some
IN	of	of
DT	the	the
JJ	major	major
NN	dh	DH
NNS	activity	activities
VBN	organize	organized
IN	by	by
NN	project	project
NN	type	type
CD	2013	2013
NNP	Miriam	Miriam
NNP	Posner	Posner
WRB	how	How
VBD	do	Did
PRP	they	They
VBP	make	Make
IN	that	That
CD	2013	2013
NNS	tutorial	Tutorials
CC	and	and
NNS	introduction	Introductions
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
CD	2014	2014
NNP	Andrew	Andrew
NNP	Robichaud	Robichaud
CC	and	and
NNP	Cameron	Cameron
NNP	Blevins	Blevins
NNS	humanities	Humanities
CD	3	3
CD	0	0
NN	tooling	Tooling
RP	up	Up
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
CD	2011	2011
NNP	Simpson	Simpson
NNP	Center	Center
IN	for	for
DT	the	the
NNS	humanities	Humanities
NNP	U	U
NNP	Washington	Washington
NNPS	Resources	Resources
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	UCLA	UCLA
NNP	Center	Center
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NN	intro	Intro
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	expansive	expansive
NNS	resource	resources
VBN	base	based
IN	on	on
NNP	Johanna	Johanna
NNP	Drucker	Drucker
CC	and	and
NNP	David	David
NNP	Kim	Kim
NNP	s	s
NNP	DH	DH
CD	101	101
NN	course	course
IN	at	at
NNP	UCLA	UCLA
VBZ	include	includes
NNS	concept	concepts
NN	amp	amp
NNS	reading	readings
NNS	tutorial	tutorials
NNS	exercise	exercises
NN	student	student
NNS	project	projects
CC	and	and
VBD	advance	advanced
NNS	topic	topics
JJ	tadirah	TaDiRAH
VB	see	see
RB	also	also
RB	about	about
JJ	tadirah	TaDiRAH
NN	taxonomy	taxonomy
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
NNS	activity	activities
NNS	object	objects
CC	and	and
NNS	technique	techniques
NN	orientation	Orientation
IN	on	on
DT	the	the
NN	field	Field
VBD	select	selected
DT	a	A
NN	companion	Companion
TO	to	to
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	ed	ed
NNP	Susan	Susan
NNP	Schreibman	Schreibman
NNP	Ray	Ray
NNP	Siemens	Siemens
CC	and	and
NNP	John	John
NNP	Unsworth	Unsworth
NNP	Blackwell	Blackwell
CD	2004	2004
JJ	full	full
NN	text	text
NN	online	online
DT	a	A
NN	companion	Companion
TO	to	to
NNP	Digital	Digital
NNP	Literary	Literary
NNS	study	Studies
NNP	ed	ed
NNP	Ray	Ray
NNP	Siemens	Siemens
CC	and	and
NNP	Susan	Susan
NNP	Schreibman	Schreibman
NNP	Blackwell	Blackwell
CD	2007	2007
JJ	full	full
NN	text	text
NN	online	online
NNS	debate	Debates
IN	in	in
DT	the	the
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	ed	ed
NNP	Matthew	Matthew
NNP	K	K
NNP	Gold	Gold
NNP	U	U
NNP	Minnesota	Minnesota
NNP	Press	Press
CD	2012	2012
JJ	full	full
