POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
JJ	top	Top
NN	menu	menu
IN	about	About
NN	news	News
NN	contact	Contact
NN	steering	Steering
NN	committee	committee
NN	editorial	Editorial
NN	board	board
NNS	translator	Translators
NN	export	Export
CC	and	and
NN	api	API
NN	documentation	documentation
NN	rdf	RDF
NN	assignment	Assignment
IN	in	in
DT	a	a
NN	box	box
NN	logo	Logo
CC	and	and
NNS	graphic	graphics
NNS	tool	Tools
JJ	new	New
NN	amp	amp
VBN	update	Updated
IN	by	by
NN	category	Category
IN	by	by
NNS	tag	Tags
VBP	view	View
DT	all	all
VBP	contribute	Contribute
NNP	Metadata	Metadata
NNS	guideline	guidelines
NNS	user	Users
NN	log	Log
IN	in	in
NN	sign	Sign
IN	up	up
NN	image	image
NN	dirt	DiRT
NN	directory	Directory
NN	dirt	DiRT
NN	directory	Directory
VB	welcome	Welcome
DT	the	The
NN	dirt	DiRT
NN	directory	Directory
VBZ	be	is
DT	a	a
NN	registry	registry
IN	of	of
NNP	digital	digital
NNP	research	research
NNS	tool	tools
IN	for	for
JJ	scholarly	scholarly
NN	use	use
NN	dirt	DiRT
VBZ	make	makes
PRP	it	it
JJ	easy	easy
IN	for	for
NNP	digital	digital
NNPS	humanists	humanists
CC	and	and
NNS	other	others
VBG	conduct	conducting
NNP	digital	digital
NNP	research	research
TO	to	to
VB	find	find
CC	and	and
VB	compare	compare
NNS	resource	resources
VBG	range	ranging
IN	from	from
JJ	content	content
NN	management	management
NNS	system	systems
TO	to	to
NN	music	music
NN	ocr	OCR
JJ	statistical	statistical
NN	analysis	analysis
NNS	package	packages
TO	to	to
JJ	mindmapping	mindmapping
NN	software	software
PRP	I	I
VBP	need	need
DT	a	a
JJ	digital	digital
NN	research	research
NN	tool	tool
TO	to	to
VB	analyze	Analyze
NNS	datum	data
VB	interpret	Interpret
NNS	datum	data
VB	annotate	Annotate
NN	model	Model
NNS	datum	data
NN	archive	Archive
NNS	datum	data
VBP	analyze	Analyze
NNS	network	networks
IN	between	between
PRP$	my	my
NNS	datum	data
VBP	capture	Capture
NN	information	information
VBP	organize	Organize
NNS	datum	data
VB	clean	Clean
RP	up	up
NNS	datum	data
VBP	preserve	Preserve
NNS	datum	data
VBP	collaborate	Collaborate
NN	program	Program
NN	comment	Comment
VB	publish	Publish
VBP	communicate	Communicate
NN	record	Record
NN	audio	audio
NN	video	video
VBP	analyze	Analyze
DT	the	the
NN	content	content
IN	of	of
PRP$	my	my
NNS	datum	data
VBP	analyze	Analyze
NNS	relationship	relationships
IN	between	between
NNS	piece	pieces
IN	of	of
NNS	datum	data
VBP	contextualize	Contextualize
NNS	datum	data
NN	share	Share
VBP	convert	Convert
NNS	file	files
VBP	analyze	Analyze
DT	the	the
JJ	geographical	geographical
NN	aspect	aspect
IN	of	of
PRP$	my	my
NNS	datum	data
VBP	create	Create
NN	store	Store
NNS	datum	data
VBP	crowdsource	Crowdsource
NNS	datum	data
NN	enrichment	enrichment
NN	analysis	analysis
VBP	analyze	Analyze
DT	the	the
NN	structure	structure
IN	of	of
PRP$	my	my
NNS	datum	data
NN	design	Design
VBP	analyze	Analyze
DT	the	the
NNS	stylistic	stylistics
IN	of	of
PRP$	my	my
NNS	datum	data
VBP	find	Find
NN	information	information
JJ	theorize	Theorize
VBP	disseminate	Disseminate
NNS	datum	data
VBP	transcribe	Transcribe
JJ	audio	audio
NN	video	video
CC	or	or
NNS	manuscript	manuscripts
VBP	add	Add
NN	markup	markup
TO	to	to
DT	a	an
NN	object	object
VB	translate	Translate
VB	enrich	Enrich
NNP	metadata	metadata
IN	about	about
DT	a	an
NN	object	object
VBP	visualize	Visualize
NNS	datum	data
VB	collect	Collect
NN	information	information
VB	build	Build
DT	a	a
NN	website	website
VB	add	Add
NNS	identifier	identifiers
TO	to	to
NNS	datum	data
VB	write	Write
PRP	I	I
VBP	want	want
TO	to	to
VB	work	work
IN	with	with
DT	this	this
NN	kind	kind
IN	of	of
NNS	datum	data
VBP	choose	Choose
NNS	address	Addresses
NNS	analytic	Analytics
CC	and	and
JJ	spatial	spatial
NN	animation	Animation
NNS	annotation	Annotations
JJ	ansi	ANSI
NN	text	text
NNS	file	files
JJ	archaeological	Archaeological
NNS	datum	data
JJ	archaeological	Archaeological
NNS	survey	surveys
NNS	archive	Archives
NNS	article	Articles
NNS	artifact	Artifacts
NN	artwork	Artwork
NN	audio	Audio
NN	audio	Audio
NNS	recording	recordings
JJ	audio	audio
JJ	visual	visual
JJS	best	Best
NNS	quote	Quotes
IN	on	On
DT	the	The
NN	web	Web
JJ	bibliographic	Bibliographic
NNS	listing	Listings
NNS	bibliographiclisting	BibliographicListings
NNP	Biographical	Biographical
NNP	data	data
JJ	biological	Biological
NNS	collection	Collections
JJ	biometric	Biometric
NN	research	Research
NN	birthday	birthday
NN	song	song
NNS	blog	Blogs
NNP	Blu	Blu
NNP	ray	ray
NNP	Drive	Drive
NNS	citation	Citations
VBP	code	Code
NNS	collection	Collections
NN	computer	Computer
NNS	computer	Computers
NNS	connection	Connections
VBN	control	Controlled
NNS	vocabularly	Vocabularlies
NN	corpora	Corpora
NN	creation	Creation
JJ	qualitative	Qualitative
NN	research	Research
NNS	design	Designs
JJ	curricula	Curricula
NN	curriculum	Curriculum
NNP	Vitae	Vitae
NNP	Data	Data
NNP	Data	Data
NN	collection	Collection
NNS	datum	Data
NN	visualization	visualization
NNS	diagram	diagrams
JJ	digital	Digital
NNS	archive	Archives
JJ	digital	Digital
NNS	collection	Collections
NNS	digitalhumanity	DigitalHumanities
NNS	dissertation	Dissertations
NNS	document	Documents
JJ	easy	Easy
TO	to	to
VB	use	use
JJ	online	online
NN	software	software
IN	for	for
VBG	visualize	visualizing
NNS	network	networks
NNS	ebook	ebooks
NNS	event	Events
NN	excavation	Excavation
NNS	datum	data
VBP	file	File
NNS	file	Files
NNS	folder	Folders
JJ	geospatial	Geospatial
NNS	datum	Data
NN	gis	GIS
NNS	datum	data
JJ	great	great
JJ	happy	happy
NN	birthday	birthday
NN	song	song
JJ	historical	Historical
NN	twitter	Twitter
NNS	datum	Data
NNP	HTML	HTML
NNP	HTML	HTML
CC	and	and
JJ	other	other
NN	text	text
NNS	file	files
NNP	HTML	HTML
VBZ	file	files
JJ	hyperspectral	Hyperspectral
NNS	image	Images
NNS	image	Images
NNS	image	Images
NN	3d	3D
NN	infrastructure	Infrastructure
NN	interaction	Interaction
NN	language	Language
NN	lexicon	Lexicon
VBG	link	Linking
NNS	link	Links
NN	literature	Literature
NN	manuscript	Manuscript
NNS	manuscript	Manuscripts
VBZ	map	Maps
NNP	Metadata	Metadata
NNS	metric	Metrics
NN	ms	MS
NN	word	Word
NN	docx	docx
NNS	file	files
NNS	multimedia	Multimedia
NNS	multimedia	Multimedia
NNS	document	Documents
JJ	multimodal	Multimodal
JJ	multiple	Multiple
NN	docx	DOCX
NNS	file	files
CC	and	and
NN	txt	TXT
JJ	multispectral	Multispectral
NNS	image	Images
NN	museum	Museum
NNS	object	objects
NN	music	Music
NN	n	N
NNS	gram	Grams
VBN	name	Named
NNS	entity	Entities
JJ	natural	Natural
NN	lanaguage	Lanaguage
NN	processing	Processing
JJ	natural	Natural
NN	language	Language
NN	processing	Processing
VBG	neuromarket	Neuromarketing
JJ	online	Online
NN	music	Music
NNS	ontology	Ontologies
VBG	operate	Operating
NNS	system	Systems
NNS	parameter	Parameters
NNS	part	Parts
IN	of	of
NN	speech	Speech
NN	pdf	PDF
VBN	personalize	Personalized
NNS	datum	data
NNS	person	Persons
NNS	photograph	Photographs
NNS	place	Places
NNS	poll	Polls
JJ	powerpoint	Powerpoint
NNS	project	Projects
JJ	qualitative	Qualitative
NN	modeling	Modeling
VBD	quantify	Quantified
NN	self	self
JJ	raw	Raw
NN	text	text
NNS	relationship	Relationships
NN	research	Research
NN	research	Research
NNS	datum	data
NN	research	Research
NN	process	Process
NN	research	Research
VBZ	result	Results
NN	research	Research
NN	analysis	Analysis
VBG	record	Recording
NNS	observation	Observations
JJ	researchprocess	ResearchProcess
NNS	researchresult	ResearchResults
JJ	reserach	Reserach
NNS	observation	Observations
NNS	scoring	Scorings
NN	sentence	Sentence
NN	parser	Parser
NN	sentiment	Sentiment
NN	analysis	Analysis
NN	sheet	Sheet
NN	music	Music
JJ	social	social
NNS	media	media
NN	software	Software
NN	sound	Sound
JJ	spatial	Spatial
NNS	model	Models
NN	speech	Speech
NN	spokenlanguage	SpokenLanguage
NNS	survey	surveys
VBP	text	Text
NN	text	Text
NN	bearing	Bearing
NNS	object	Objects
VBP	text	text
NNS	file	files
VB	text	Text
NNS	file	files
CC	and	and
NN	ms	MS
NN	word	Word
NN	docx	docx
VBZ	file	files
NN	text	Text
NNS	file	files
CC	and	and
NN	ms	MS
NN	word	Word
NNS	file	files
VBZ	textbearingobject	TextBearingObjects
JJ	textual	textual
NN	tokenization	Tokenization
NNS	tool	Tools
NN	transcription	Transcription
NNS	transcription	Transcriptions
NN	translation	Translation
NN	twitter	Twitter
NN	txt	TXT
NN	video	Video
NN	visualization	Visualization
NN	voice	Voice
NNP	Voice	Voice
NNP	data	data
NNPS	Websites	Websites
NNPS	Websites	Websites
JJS	best	Best
NNS	game	Games
IN	on	On
DT	the	The
NN	web	Web
NNP	HTML	HTML
CC	and	and
JJ	other	other
NN	text	text
NNS	file	files
NNS	article	Articles
NNS	website	Websites
JJS	best	Best
NNS	quote	Quotes
IN	on	On
DT	the	The
NN	web	Web
NNP	HTML	HTML
CC	and	and
JJ	other	other
NN	text	text
NNS	file	files
NNS	article	Articles
JJ	websitesbest	WebsitesBest
NNS	quote	Quotes
IN	on	On
DT	the	The
NN	webhtml	WebHTML
CC	and	and
JJ	other	other
NN	text	text
NNS	filesarticle	filesArticles
NN	word	Word
NN	docx	DOCX
NNS	file	files
NNS	workflow	Workflows
NN	xml	XML
NN	xml	XML
CC	and	and
JJ	other	other
NN	text	text
NNS	file	files
NN	xml	XML
NNS	datum	Data
NN	xml	XML
VBZ	file	files
VB	leave	Leave
DT	this	this
NN	field	field
JJ	blank	blank
