POS	lemma	word
NN	image	image
NNP	Emeraldinsight	Emeraldinsight
NNP	Home	Home
NNP	Register	Register
VB	help	Help
VB	search	Search
VBG	download	Downloading
TO	to	to
DT	a	a
NN	citation	Citation
NN	manager	Manager
NN	registration	Registration
NN	access	Access
NN	account	Account
VBZ	feature	features
NN	cart	Cart
NN	admin	Admin
NN	blog	Blog
VBD	advance	Advanced
NN	search	Search
NN	jump	Jump
TO	to	to
NN	content	content
NN	image	image
NN	emeraldinsight	Emeraldinsight
NN	log	Log
IN	in	in
NN	register	Register
NN	help	Help
VB	cart	Cart
JJ	mobile	Mobile
NN	pairing	Pairing
NN	admin	Admin
NN	blog	Blog
JJ	emerald	Emerald
NNS	resource	Resources
IN	for	For
NNS	author	Authors
IN	for	For
NNS	librarian	Librarians
IN	for	For
NNS	engineer	Engineers
NN	research	Research
NN	zone	Zone
VBG	learn	Learning
NN	zone	Zone
NN	teaching	Teaching
NN	zone	Zone
NNS	multimedia	Multimedia
NN	zone	Zone
NN	support	Support
NNS	resource	Resources
NN	resource	Resource
NNS	area	areas
VBP	submit	Submit
NN	home	Home
NNS	journal	Journals
NN	amp	amp
NNS	book	Books
NN	case	Case
NNS	study	Studies
JJ	open	Open
NN	access	Access
IN	in	in
NNS	article	Articles
CC	and	and
NNS	chapter	Chapters
NN	case	Case
NNS	study	studies
DT	this	This
NNP	Journal	Journal
VBD	advance	Advanced
NN	search	Search
NN	home	Home
NN	browse	Browse
NNS	journal	Journals
NN	amp	amp
NNS	book	Books
NN	library	Library
UH	hi	Hi
NNP	Tech	Tech
NN	volume	Volume
CD	19	19
NN	issue	Issue
CD	3	3
VBG	move	Moving
TO	to	to
NN	xml	XML
JJ	latin	Latin
NNS	text	texts
NN	xml	XML
NN	conversion	conversion
NN	project	project
IN	at	at
DT	the	the
NN	center	Center
IN	for	for
JJ	electronic	Electronic
NNS	text	Texts
IN	in	in
DT	the	the
NNS	humanities	Humanities
VBG	move	Moving
TO	to	to
NN	xml	XML
JJ	latin	Latin
NNS	text	texts
NN	xml	XML
NN	conversion	conversion
NN	project	project
IN	at	at
DT	the	the
NN	center	Center
IN	for	for
JJ	electronic	Electronic
NNS	text	Texts
IN	in	in
DT	the	the
NNS	humanities	Humanities
NN	author	Author
NNS	s	s
NNP	Brian	Brian
NNP	Hancock	Hancock
NNP	Brian	Brian
NNP	Hancock	Hancock
VBZ	be	is
NNS	humanities	Humanities
NN	librarian	Librarian
NN	center	Center
IN	for	for
JJ	electronic	Electronic
NNS	text	Texts
IN	in	in
DT	the	the
NNS	humanities	Humanities
IN	at	at
NNP	Alexander	Alexander
NNP	Library	Library
NNP	Rutgers	Rutgers
NNP	University	University
NNS	library	Libraries
JJ	new	New
NNP	Brunswick	Brunswick
NNP	New	New
NNP	Jersey	Jersey
NNP	USA	USA
NNP	Michael	Michael
NNP	J	J
NNP	Giarlo	Giarlo
NNP	Michael	Michael
NNP	J	J
NNP	Giarlo	Giarlo
VBZ	be	is
NNS	system	Systems
NN	administrator	Administrator
JJ	scholarly	Scholarly
NN	communication	Communication
NN	center	Center
CC	both	both
IN	at	at
NNP	Alexander	Alexander
NNP	Library	Library
NNP	Rutgers	Rutgers
NNP	University	University
NNS	library	Libraries
JJ	new	New
NNP	Brunswick	Brunswick
NNP	New	New
NNP	Jersey	Jersey
NNP	USA	USA
VBP	show	Show
DT	all	all
NNS	author	authors
NN	abstract	Abstract
DT	the	The
NN	delivery	delivery
IN	of	of
NNS	document	documents
IN	on	on
DT	the	the
NN	web	Web
VBZ	have	has
VBN	move	moved
IN	beyond	beyond
DT	the	the
