POS	lemma	word
NNP	manovich	manovich
IN	about	About
NNS	book	Books
NNS	article	Articles
NNS	interview	Interviews
NNS	project	Projects
VBP	press	Press
NN	teaching	Teaching
NN	twitter	Twitter
NN	flickr	Flickr
NNP	Facebook	Facebook
NNP	Cultural	Cultural
NNS	analytic	Analytics
NN	lab	Lab
RB	back	Back
TO	to	to
NNS	book	Books
NN	image	image
NN	instagram	Instagram
CC	and	and
JJ	contemporary	Contemporary
NN	image	Image
NN	image	image
NNP	Tweet	Tweet
VB	download	Download
NN	pdf	PDF
NN	instagram	Instagram
CC	and	and
JJ	contemporary	Contemporary
NN	image	Image
VBZ	be	is
DT	a	a
JJ	new	new
NN	book	book
IN	by	by
NNP	Lev	Lev
NNP	Manovich	Manovich
DT	this	This
JJ	first	first
IN	in	in
NN	depth	depth
NN	study	study
IN	of	of
NN	instagram	Instagram
VBZ	combine	combines
NNS	method	methods
IN	from	from
NN	art	art
NN	history	history
NNS	media	media
NNS	study	studies
CC	and	and
NNS	datum	data
NN	science	science
CC	and	and
VBZ	draw	draws
IN	on	on
JJ	computational	computational
NN	analysis	analysis
IN	of	of
CD	16	16
CD	million	million
NN	instagram	Instagram
NNS	photo	photos
VBN	share	shared
IN	in	in
CD	17	17
JJ	global	global
NNS	city	cities
IN	since	since
CD	2012	2012
DT	the	The
NNS	datum	data
NN	collection	collection
CC	and	and
NN	analysis	analysis
VBD	be	were
VBN	perform	performed
IN	in	in
NNP	Manovich	Manovich
NNP	s	s
NNP	Cultural	Cultural
NNS	analytic	Analytics
NN	lab	Lab
IN	in	in
DT	the	the
NNP	Qualcomm	Qualcomm
NNP	Institute	Institute
NNP	UCSD	UCSD
NN	division	Division
IN	of	of
DT	the	the
NNP	California	California
NNP	Institute	Institute
IN	for	for
NNPS	Telecommunications	Telecommunications
CC	and	and
NNP	Information	Information
NNP	Technology	Technology
DT	the	The
CD	four	four
NNS	part	parts
IN	of	of
DT	the	the
NN	book	book
VBD	be	were
VBN	write	written
IN	between	between
CD	12	12
CD	20	20
CD	2015	2015
CC	and	and
CD	12	12
CD	26	26
CD	2016	2016
CC	and	and
VBD	post	posted
NN	online	online
IN	as	as
PRP	they	they
VBD	be	were
VBN	complete	completed
DT	the	The
JJ	final	final
NN	version	version
JJ	available	available
IN	as	as
DT	a	a
JJ	single	single
NN	pdf	PDF
NNS	combine	combines
VBN	revise	revised
NNS	version	versions
IN	of	of
DT	these	these
NNS	chapter	chapters
DT	a	an
NN	introduction	Introduction
VBN	write	written
IN	in	in
NN	08	08
CD	2017	2017
RB	essentially	essentially
PRP	it	it
VBZ	be	is
DT	a	a
JJ	new	new
NN	chapter	chapter
CC	and	and
DT	a	an
NN	appendix	Appendix
PRP	it	It
VBZ	be	is
VBN	release	released
IN	in	in
NN	09	09
CD	2017	2017
NNP	Instagram	Instagram
CC	and	and
JJ	contemporary	Contemporary
NN	image	Image
NN	book	book
JJ	final	final
NN	version	version
PRP	you	You
MD	can	can
RB	also	also
VB	download	download
CD	four	four
NNS	part	parts
IN	of	of
RB	separately	separately
DT	these	these
VBP	be	are
RBR	earlier	earlier
NNS	version	versions
NN	part	Part
CD	1	1
NN	part	Part
CD	2	2
NN	part	Part
CD	3	3
NN	part	Part
CD	4	4
DT	all	All
NN	text	text
VBZ	be	is
JJ	available	available
IN	under	under
NN	attribution	Attribution
JJ	noncommercial	NonCommercial
NNS	noderivative	NoDerivatives
CD	4	4
CD	0	0
JJ	international	International
JJ	creative	Creative
NNP	Commons	Commons
NN	license	license
NN	summary	Summary
NNS	million	Millions
IN	of	of
NNS	people	people
IN	around	around
DT	the	the
NN	world	world
NN	today	today
VBP	use	use
NNP	digital	digital
NNS	tool	tools
CC	and	and
NNS	platform	platforms
TO	to	to
VB	create	create
CC	and	and
VB	share	share
JJ	sophisticated	sophisticated
JJ	cultural	cultural
NNS	artifact	artifacts
DT	this	This
NN	book	book
VBZ	focus	focuses
IN	on	on
CD	one	one
JJ	such	such
NN	platform	platform
NN	instagram	Instagram
PRP	it	It
VBZ	place	places
NNP	Instagram	Instagram
NN	image	image
NN	culture	culture
IN	within	within
DT	a	a
JJ	rich	rich
JJ	cultural	cultural
CC	and	and
JJ	historical	historical
NN	context	context
VBG	include	including
NN	history	history
IN	of	of
NNP	photography	photography
NNP	cinema	cinema
JJ	graphic	graphic
NN	design	design
CC	and	and
JJ	social	social
NNS	media	media
JJ	contemporary	contemporary
NN	design	design
NNS	trend	trends
NN	music	music
NN	video	video
CC	and	and
NN	k	k
NN	pop	pop
IN	at	At
DT	the	the
JJ	same	same
PRP	it	it
VBZ	use	uses
RB	instagram	Instagram
IN	as	as
DT	a	a
NN	window	window
IN	into	into
DT	the	the
NNS	identity	identities
IN	of	of
JJ	first	first
RB	truly	truly
JJ	global	global
NN	generation	generation
VBN	connect	connected
IN	by	by
JJ	common	common
JJ	social	social
NNS	media	media
NNS	platform	platforms
VBG	program	programming
NNS	language	languages
CC	and	and
JJ	visual	visual
NNS	aesthetics	aesthetics
DT	the	The
NN	book	book
VBZ	demonstrate	demonstrates
WRB	how	how
JJ	humanistic	humanistic
JJ	close	close
NN	reading	reading
CC	and	and
JJ	computational	computational
NN	analysis	analysis
IN	of	of
JJ	large	large
NNS	dataset	datasets
MD	can	can
VB	work	work
RB	together	together
IN	by	by
VBG	draw	drawing
IN	on	on
DT	the	the
NN	work	work
IN	in	in
NNP	Manovich	Manovich
NNP	s	s
NNP	Cultural	Cultural
NNS	analytic	Analytics
NN	lab	Lab
IN	with	with
CD	16	16
CD	million	million
NN	instagram	Instagram
NNS	photo	photos
VBN	share	shared
IN	in	in
CD	17	17
JJ	large	large
NNS	city	cities
RB	worldwide	worldwide
IN	since	since
CD	2012	2012
NN	book	Book
CD	2017	2017
DT	all	All
NN	content	content
IN	on	on
DT	this	this
NN	web	web
NN	site	site
VBN	create	created
IN	by	by
NNP	Lev	Lev
NNP	Manovich	Manovich
VBZ	be	is
JJ	available	available
IN	under	under
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
JJ	noncommercial	NonCommercial
NN	sharealikelicense	ShareAlikelicense
NN	cc	CC
IN	by	BY
NNP	NC	NC
NNP	SA	SA
NN	software	Software
NNS	study	Studies
NN	initiative	Initiative
