POS	lemma	word
DT	the	The
NNP	University	University
IN	of	of
NNP	Chicago	Chicago
NN	search	Search
NN	site	site
DT	the	The
NNP	Neubauer	Neubauer
NNP	Collegium	Collegium
IN	for	for
NN	culture	Culture
CC	and	and
NN	society	Society
IN	about	About
PRP	we	Us
NN	leadership	Leadership
NN	faculty	Faculty
NN	research	Research
NNS	project	Projects
NN	application	Application
NN	process	Process
VBG	visit	Visiting
NNS	fellow	Fellows
NNS	exhibition	Exhibitions
NNS	event	Events
NN	news	News
VBP	make	Make
DT	a	a
NN	gift	Gift
NNS	media	Media
NN	gallery	Gallery
IN	about	About
PRP	we	Us
NN	leadership	Leadership
NN	faculty	Faculty
NN	research	Research
NNS	project	Projects
NN	application	Application
NN	process	Process
VBG	visit	Visiting
NNS	fellow	Fellows
NNS	exhibition	Exhibitions
NNS	event	Events
NN	news	News
VBP	make	Make
DT	a	a
NN	gift	Gift
NNS	media	Media
NN	gallery	Gallery
IN	in	In
DT	this	this
NN	section	Section
NN	calendar	Calendar
IN	of	of
NNS	event	Events
NNS	archive	Archives
NNP	Facebook	Facebook
NNP	Twitter	Twitter
NNP	YouTube	YouTube
NN	email	Email
JJ	cultural	Cultural
NNS	analytic	Analytics
JJ	computational	Computational
NNS	approach	Approaches
TO	to	to
DT	the	the
NN	study	Study
IN	of	of
NN	culture	Culture
NN	image	image
JJ	free	Free
CC	and	and
JJ	open	open
TO	to	to
DT	the	the
JJ	public	public
NNP	Friday	Friday
MD	may	May
CD	22	22
NNP	Saturday	Saturday
MD	may	May
CD	23	23
NNP	Neubauer	Neubauer
NNP	Collegium	Collegium
IN	for	for
NN	culture	Culture
CC	and	and
NN	society	Society
NN	room	Room
CD	103	103
CD	5701	5701
NNS	s	S
NNP	Woodlawn	Woodlawn
NNP	Avenue	Avenue
NNP	Chicago	Chicago
NNP	Illinois	Illinois
CD	60637	60637
DT	this	This
NN	event	event
VBD	bring	brought
RB	together	together
NN	faculty	faculty
CC	and	and
NN	graduate	graduate
NNS	student	students
VBG	work	working
IN	at	at
DT	the	the
NN	intersection	intersection
IN	of	of
JJ	literary	literary
NNS	study	studies
CC	and	and
VBD	apply	applied
JJ	computational	computational
NN	analysis	analysis
DT	this	This
NN	field	field
VBZ	have	has
VBN	be	been
VBG	grow	growing
IN	for	for
DT	some	some
NN	time	time
CC	but	but
EX	there	there
VBP	have	have
VBN	be	been
JJ	few	few
NNS	opportunity	opportunities
IN	for	for
DT	a	a
JJ	sustained	sustained
NN	discussion	discussion
IN	of	of
DT	the	the
JJ	methodological	methodological
NNS	challenge	challenges
CC	and	and
NNS	opportunity	opportunities
VBN	afford	afforded
IN	by	by
JJ	new	new
NNP	digital	digital
CC	and	and
NNP	data	data
VBN	drive	driven
NNS	tool	tools
CC	and	and
NNS	technique	techniques
VBG	exist	Existing
NN	work	work
IN	in	in
JJ	cultural	cultural
NNS	analytic	analytics
IN	by	by
NNP	Lev	Lev
NNP	Manovich	Manovich
CC	and	and
NNS	other	others
VBZ	provide	provides
DT	a	a
JJ	useful	useful
NN	framework	framework
TO	to	to
VB	think	think
IN	about	about
WP	what	what
DT	this	this
NN	research	research
MD	might	might
VB	be	be
IN	in	In
DT	this	this
NN	conference	conference
VBD	bring	brought
RB	together	together
NNS	scholar	scholars
WP	who	who
VBP	specialize	specialize
IN	in	in
DT	a	a
NN	range	range
IN	of	of
NNS	literature	literatures
CC	and	and
