POS	lemma	word
NN	image	image
NN	logo	logo
IN	about	ABOUT
NN	research	RESEARCH
NNS	project	PROJECTS
VBP	learn	LEARN
NNS	people	PEOPLE
VB	contact	CONTACT
NN	search	Search
NNP	Harvard	Harvard
NNP	University	University
NNS	art	Arts
NN	amp	amp
NNS	humanities	Humanities
NN	research	Research
NN	computing	Computing
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
DT	a	An
NN	afternoon	Afternoon
NN	symposium	Symposium
NNP	March	March
CD	8	8
JJ	2018event	2018Event
NN	partner	Partner
NN	event	Event
NNP	Friday	Friday
NNP	April	April
CD	6	6
CD	2	2
CD	45	45
CD	5	5
CD	30	30
NN	pm	PM
NNP	Harvard	Harvard
NNP	Hall	Hall
CD	102	102
CD	1465	1465
NNP	Massachusetts	Massachusetts
NNP	Avenue	Avenue
DT	this	This
NN	event	event
VBZ	be	is
JJ	free	free
CC	and	and
JJ	open	open
TO	to	to
DT	the	the
JJ	public	public
DT	the	The
VBG	follow	following
VBN	invite	invited
NNS	speaker	speakers
NN	image	image
IN	by	by
NNP	Cole	Cole
NNP	Crawford	Crawford
NN	image	image
CD	24	24
NN	hour	Hour
NNP	Hackathon	Hackathon
NNP	New	New
VB	search	Search
NNS	method	Methods
IN	in	in
DT	the	the
NNS	humanities	Humanities
NNP	March	March
CD	7	7
JJ	2018event	2018Event
NNP	Harvard	Harvard
NN	library	Library
VBZ	be	is
VBG	host	hosting
DT	a	a
CD	24	24
NN	hour	hour
NN	hackathon	hackathon
PRP	it	It
VBZ	be	s
JJ	free	free
CC	and	and
JJ	open	open
TO	to	to
NN	everyone	everyone
RB	not	not
RB	just	just
NNS	coder	coders
RB	so	so
VBP	mark	mark
PRP$	you	your
NNS	calendar	calendars
IN	for	for
NNP	March	March
CD	29th	29th
CC	and	and
JJ	30th	30th
NN	image	image
IN	by	by
NNP	Cole	Cole
NNP	Crawford	Crawford
NN	image	image
NN	arttechpsyche	ArtTechPsyche
CD	iv	IV
NNP	February	February
CD	20	20
JJ	2018event	2018Event
NN	partner	Partner
NN	event	Event
VBG	return	Returning
IN	for	for
DT	a	a
JJ	fourth	fourth
NN	year	year
NN	arttechpsyche	ArtTechPsyche
VBZ	celebrate	celebrates
JJ	human	human
NN	expression	expression
IN	at	at
DT	the	the
NN	intersection	intersection
IN	of	of
NN	technology	technology
CC	and	and
DT	the	the
NNS	art	arts
DT	this	This
JJ	annual	annual
NN	symposium	symposium
VBN	run	run
IN	by	by
NN	image	image
IN	by	by
NNP	Cole	Cole
NNP	Crawford	Crawford
NN	image	image
NNP	IIIF	IIIF
NNP	New	New
NNP	England	England
NNP	Meetup	Meetup
NNP	February	February
CD	20	20
JJ	2018event	2018Event
NN	research	Research
VBG	compute	Computing
DT	the	The
JJ	international	International
NN	image	Image
NN	interoperability	Interoperability
NN	framework	Framework
NN	iiif	IIIF
VBZ	be	is
DT	a	a
NN	set	set
IN	of	of
JJ	shared	shared
NN	application	application
NN	programming	programming
NN	interface	interface
NN	api	API
NNS	specification	specifications
IN	for	for
JJ	interoperable	interoperable
NN	image	image
IN	by	by
NNP	Cole	Cole
NNP	Crawford	Crawford
NN	image	image
VBG	use	Using
NN	web	Web
NNS	api	APIs
IN	with	with
NNP	Python	Python
NNP	February	February
CD	20	20
JJ	2018event	2018Event
NN	partner	Partner
NN	event	Event
NN	instruction	Instruction
JJ	comfortable	Comfortable
IN	with	with
JJ	basic	basic
NN	python	Python
CC	and	and
VBP	want	want
TO	to	to
VB	expand	expand
PRP$	you	your
NNP	digital	digital
NNP	toolkit	toolkit
JJ	interested	Interested
IN	in	in
VBG	query	querying
CC	and	and
VBG	analyze	analyzing
JJ	real	real
NN	time	time
NNS	datum	data
CC	or	or
JJ	faceted	faceted
JJ	big	big
NNS	datum	data
VBP	want	Want
NN	image	image
IN	by	by
NNP	Cole	Cole
NNP	Crawford	Crawford
NN	image	image
NNS	fundamental	Fundamentals
IN	of	of
NNP	Digital	Digital
NN	scholarship	Scholarship
NN	spring	Spring
CD	2018	2018
NNP	February	February
CD	20	20
NN	2018partner	2018Partner
NN	event	Event
NN	instruction	Instruction
NNP	March	March
CD	6	6
CD	7	7
CD	2018	2018
CD	9am	9am
JJ	2pm	2pm
NN	lamont	Lamont
NN	library	Library
NN	b	B
CD	30	30
NNS	fundamental	Fundamentals
IN	of	of
NNP	Digital	Digital
NN	scholarship	Scholarship
VBN	present	presented
IN	by	by
DT	the	the
NNP	Digital	Digital
NN	scholarship	Scholarship
NN	support	Support
NN	group	Group
VBZ	be	is
DT	a	a
CD	two	two
