POS	lemma	word
NNP	Digital	Digital
NNS	humanities	humanities
IN	from	From
NNP	Wikipedia	Wikipedia
DT	the	the
JJ	free	free
NN	encyclopedia	encyclopedia
NN	jump	Jump
TO	to	to
NNP	navigation	navigation
VB	search	search
NN	image	image
NN	example	Example
IN	of	of
DT	a	a
JJ	textual	textual
NN	analysis	analysis
NN	program	program
VBG	be	being
VBN	use	used
TO	to	to
VB	study	study
DT	a	a
JJ	novel	novel
IN	with	with
NNP	Jane	Jane
NNP	Austen	Austen
NNP	s	s
NNP	Pride	Pride
CC	and	and
NN	prejudice	Prejudice
IN	in	in
JJ	voyant	Voyant
NNS	tool	Tools
JJ	digital	Digital
NNS	humanities	humanities
VBP	dh	DH
VBZ	be	is
DT	a	an
NN	area	area
IN	of	of
JJ	scholarly	scholarly
NN	activity	activity
IN	at	at
DT	the	the
NN	intersection	intersection
IN	of	of
NN	computing	computing
CC	or	or
NNP	digital	digital
NNPS	technologies	technologies
CC	and	and
DT	the	the
NNS	discipline	disciplines
IN	of	of
DT	the	the
NNS	humanities	humanities
PRP	it	It
VBZ	include	includes
DT	the	the
JJ	systematic	systematic
NN	use	use
IN	of	of
NNP	digital	digital
NNP	resources	resources
IN	in	in
DT	the	the
NNS	humanities	humanities
RB	as	as
RB	well	well
IN	as	as
DT	the	the
NN	reflection	reflection
IN	on	on
PRP$	they	their
NN	application	application
CD	1	1
CD	2	2
NN	dh	DH
MD	can	can
VB	be	be
VBN	define	defined
IN	as	as
JJ	new	new
NNS	way	ways
IN	of	of
VBG	do	doing
NN	scholarship	scholarship
WDT	that	that
VBP	involve	involve
JJ	collaborative	collaborative
JJ	transdisciplinary	transdisciplinary
CC	and	and
RB	computationally	computationally
VBD	engage	engaged
NN	research	research
NN	teaching	teaching
CC	and	and
NN	publishing	publishing
CD	3	3
PRP	it	It
VBZ	bring	brings
NNP	digital	digital
NNS	tool	tools
CC	and	and
NNS	method	methods
TO	to	to
DT	the	the
NN	study	study
IN	of	of
DT	the	the
NNS	humanities	humanities
IN	with	with
DT	the	the
NN	recognition	recognition
IN	that	that
DT	the	the
VBN	print	printed
NN	word	word
VBZ	be	is
RB	no	no
RB	longer	longer
DT	the	the
JJ	main	main
NN	medium	medium
IN	for	for
NN	knowledge	knowledge
NN	production	production
CC	and	and
NN	distribution	distribution
CD	3	3
IN	by	By
VBG	produce	producing
CC	and	and
VBG	use	using
JJ	new	new
NNS	application	applications
CC	and	and
NNS	technique	techniques
NN	dh	DH
VBZ	make	makes
JJ	new	new
NNS	kind	kinds
IN	of	of
NN	teaching	teaching
CC	and	and
NN	research	research
JJ	possible	possible
IN	while	while
IN	at	at
DT	the	the
JJ	same	same
NN	time	time
VBG	study	studying
CC	and	and
VBG	critique	critiquing
WRB	how	how
DT	these	these
NN	impact	impact
JJ	cultural	cultural
NN	heritage	heritage
CC	and	and
JJ	digital	digital
NN	culture	culture
CD	2	2
RB	thus	Thus
DT	a	a
JJ	distinctive	distinctive
NN	feature	feature
IN	of	of
NN	dh	DH
VBZ	be	is
PRP$	its	its
NN	cultivation	cultivation
IN	of	of
DT	a	a
CD	two	two
NN	way	way
NN	relationship	relationship
IN	between	between
DT	the	the
NNS	humanities	humanities
CC	and	and
DT	the	the
NNP	digital	digital
DT	the	the
NN	field	field
CC	both	both
VBZ	employ	employs
NN	technology	technology
IN	in	in
DT	the	the
NN	pursuit	pursuit
IN	of	of
NNS	humanities	humanities
NN	research	research
CC	and	and
NNS	subject	subjects
NN	technology	technology
TO	to	to
JJ	humanistic	humanistic
VBG	question	questioning
CC	and	and
NN	interrogation	interrogation
RB	often	often
RB	simultaneously	simultaneously
NNS	contents	Contents
CD	1	1
NN	definition	Definition
CD	2	2
NN	history	History
CD	3	3
NNS	value	Values
CC	and	and
NNS	method	methods
CD	4	4
NNS	tool	Tools
CD	5	5
NNS	project	Projects
CD	5	5
CD	1	1
NNP	Digital	Digital
NNS	archive	archives
CD	5	5
CD	2	2
JJ	cultural	Cultural
NNS	analytic	analytics
CD	5	5
CD	3	3
NN	textual	Textual
NN	mining	mining
NN	analysis	analysis
CC	and	and
NN	visualization	visualization
CD	5	5
CD	4	4
NN	analysis	Analysis
IN	of	of
