POS	lemma	word
NN	image	image
NNP	English	English
NNP	Zur	Zur
NNP	Navigation	Navigation
NNP	springen	springen
NNP	Zum	Zum
NN	content	Content
NN	springen	springen
NN	kontakt	Kontakt
NN	feedback	Feedback
NN	image	image
JJ	historical	Historical
JJ	social	Social
NN	research	Research
NN	bookmark	bookmark
NN	navigation	navigation
NN	hsr	HSR
NN	home	Home
NNP	Profil	Profil
NNP	Aktuelle	Aktuelle
NNP	Ausgaben	Ausgaben
NN	f	F
NN	r	r
NN	autoren	Autoren
NN	archiv	Archiv
NN	bestellungen	Bestellungen
NNS	faq	FAQs
JJ	aktuelle	Aktuelle
NN	hefte	Hefte
CD	2011	2011
CD	2013	2013
NNP	Aktuelles	Aktuelles
NN	supplement	Supplement
CD	25	25
NN	j	J
NN	rgen	rgen
NN	w	W
VBP	falter	Falter
NNS	aktuelle	Aktuelles
NN	heft	Heft
CD	38	38
CD	1	1
NN	security	Security
CC	and	and
NN	conspiracy	Conspiracy
CD	37	37
CD	4	4
DT	the	The
NNP	conomie	conomie
NNP	des	des
NNS	convention	Conventions
CD	37	37
CD	3	3
NNP	Digital	Digital
NNS	humanities	Humanities
CD	37	37
CD	2	2
NN	elite	Elite
NN	transformation	Transformation
CD	37	37
CD	1	1
NN	elite	Elite
NNS	foundation	Foundations
VBP	suppl	Suppl
CD	24	24
JJ	contemporary	Contemporary
NN	history	History
CD	36	36
CD	4	4
NNS	convention	Conventions
CC	and	and
NNS	institution	Institutions
CD	36	36
CD	3	3
NNS	market	Markets
CC	and	and
NN	market	Market
NNS	society	Societies
CD	36	36
CD	2	2
NN	fertility	Fertility
NN	image	image
NNP	Leibniz	Leibniz
NN	logo	logo
NN	gesis	GESIS
VBZ	quicklink	Quicklinks
NNP	Seite	Seite
NNP	ausw	ausw
NNP	hlen	hlen
NNP	ALLBUS	ALLBUS
NNP	CEWS	CEWS
NNP	Datenbestandskatalog	Datenbestandskatalog
NNP	da	da
NNP	ra	ra
NNP	Eurobarometer	Eurobarometer
NNP	European	European
VBZ	value	Values
NN	study	Study
JJ	german	German
JJ	longitudinal	Longitudinal
NN	election	Election
NN	study	Study
VBZ	gle	GLES
NNP	ISSP	ISSP
NNP	MISSY	MISSY
NNP	PIAAC	PIAAC
NNP	Politbarometer	Politbarometer
NNP	Sowiport	Sowiport
NNP	SSOAR	SSOAR
NNP	ZACAT	ZACAT
NNP	Aktuelles	Aktuelles
NN	neu	Neu
NN	hsr	HSR
NN	suppl	Suppl
CD	25	25
NN	j	J
NN	rgen	rgen
NN	w	W
VBP	falter	Falter
NN	zur	Zur
NNP	Soziographie	Soziographie
NNP	des	des
NNP	Nationalsozialismus	Nationalsozialismus
NNP	Neue	Neue
NNP	HSR	HSR
NNP	erschienen	erschienen
CD	38	38
CD	1	1
NN	security	Security
CC	and	and
NN	conspiracy	Conspiracy
IN	in	in
NN	history	History
NN	hsr	HSR
CD	37	37
CD	4	4
DT	the	The
NNP	conomie	conomie
NNP	des	des
NNS	convention	Conventions
NNP	Frei	Frei
NNP	zum	zum
VB	download	Download
NN	hsr	HSR
NN	suppl	Suppl
CD	23	23
NNP	Schr	Schr
NNP	der	der
NNP	Kollektivbiographie	Kollektivbiographie
NN	hsr	HSR
CD	36	36
CD	1	1
NN	management	Management
NN	research	Research
NN	hsf	HSF
NN	vol	Vol
CD	1	1
CD	13	13
NN	kontakt	Kontakt
NN	gesis	GESIS
NN	redaktion	Redaktion
JJ	historical	Historical
JJ	social	Social
NN	research	Research
NNP	Historische	Historische
NNP	Sozialforschung	Sozialforschung
NNP	Unter	Unter
NNP	Sachsenhausen	Sachsenhausen
CD	6	6
CD	8	8
CD	50667	50667
NN	k	K
NN	ln	ln
NNP	Tel	Tel
CD	0221	0221
NN	476 94 141 0221	476 94 141 0221
CD	476	476
CD	94	94
CD	164	164
NN	e	E
NN	mail	Mail
NN	hsr	HSR
NN	vol	Vol
CD	37	37
CD	2012	2012
DT	no	No
CD	4	4
NN	focus	Focus
PRP	I	I
DT	the	The
NNP	conomie	conomie
NNP	des	des
NNS	convention	Conventions
VBP	focus	Focus
CD	ii	II
IN	towards	Towards
NN	web	Web
NN	history	History
NNP	Rainer	Rainer
NNP	Diaz	Diaz
NN	bone	Bone
NN	amp	amp
NNP	Robert	Robert
NNP	Salais	Salais
NNP	Eds	Eds
DT	the	The
NNP	conomie	conomie
NNP	des	des
NNS	convention	Conventions
JJ	transdisciplinary	Transdisciplinary
NNS	discussion	Discussions
CC	and	and
NNS	perspective	Perspectives
VBP	die	Die
NNP	conomie	conomie
NNP	des	des
NNS	convention	conventions
NNP	EC	EC
NNP	stellt	stellt
NNP	einen	einen
NNP	einflussreichen	einflussreichen
NNP	transdisziplin	transdisziplin
NNP	ren	ren
NNP	pragmatischen	pragmatischen
NNP	Forschungsansatz	Forschungsansatz
NNP	dar	dar
NN	f	f
NN	r	r
VB	die	die
NNP	historische	historische
VB	analyse	Analyse
NNP	konomischer	konomischer
NNP	Koordinationsformen	Koordinationsformen
NNP	und	und
NNP	konomischer	konomischer
NNP	Institutionen	Institutionen
NNP	Dieser	Dieser
NNP	wurde	wurde
NNP	zun	zun
NNP	chst	chst
IN	in	in
NNP	Frankreich	Frankreich
NNP	entwickelt	entwickelt
NNP	Seit	Seit
NNP	einigen	einigen
NNP	Jahren	Jahren
NNP	internationalisiert	internationalisiert
NNP	sich	sich
VB	die	die
NN	rezeption	Rezeption
JJ	historical	Historical
JJ	social	Social
NN	research	Research
NNP	Historische	Historische
NNP	Sozialforschung	Sozialforschung
NN	hat	hat
NN	seit	seit
CD	2009	2009
NNP	sowohl	sowohl
NNP	Beitr	Beitr
NNP	ge	ge
NNP	ber	ber
VB	die	die
NNP	EC	EC
NNP	als	als
NNP	auch	auch
NNP	Anwendungen	Anwendungen
NNP	der	der
NNP	EC	EC
NNP	publiziert	publiziert
IN	in	In
NNP	der	der
NNP	vorliegenden	vorliegenden
NNP	Ausgabe	Ausgabe
NNP	werden	werden
NN	nun	nun
NNP	aktuelle	aktuelle
NNP	und	und
NNP	kritische	kritische
NN	diskussionen	Diskussionen
NN	pr	pr
NN	sentiert	sentiert
VB	die	die
NNP	institutionentheoretische	institutionentheoretische
NNP	methodologische	methodologische
NNP	und	und
NNP	konzeptionelle	konzeptionelle
NNP	Probleme	Probleme
NNP	der	der
NNP	EC	EC
NNP	aufgreifen	aufgreifen
NNP	Dar	Dar
NNP	ber	ber
NNP	hinaus	hinaus
NNP	werden	werden
NNP	aber	aber
NNP	Beitr	Beitr
NNP	ge	ge
NNP	vorgelegt	vorgelegt
VB	die	die
NNP	weitere	weitere
NNP	Anwendungen	Anwendungen
NNP	der	der
NNP	EC	EC
IN	in	in
NNP	der	der
NNP	transdisziplin	transdisziplin
NNP	ren	ren
NNP	historischen	historischen
VBP	analyse	Analyse
JJ	der	der
NNP	konomie	konomie
NNP	pr	pr
NNP	sentieren	sentieren
NNP	und	und
VB	die	die
JJ	perspektiven	Perspektiven
NN	f	f
NN	r	r
VB	die	die
JJ	ausarbeitung	Ausarbeitung
NN	konzeptioneller	konzeptioneller
NN	und	und
NNP	methodologischer	methodologischer
NNP	Ans	Ans
NNP	tze	tze
NNP	der	der
NNP	EC	EC
NNP	aufzeigen	aufzeigen
NNP	Christoph	Christoph
NNP	Classen	Classen
NNP	Susanne	Susanne
NNP	Kinnebrock	Kinnebrock
NN	amp	amp
NNP	Maria	Maria
NNP	L	L
