POS	lemma	word
WP	what	What
VBZ	be	Is
NNP	Digital	Digital
NNS	humanities	Humanities
NN	nb	NB
VB	refresh	Refresh
DT	the	the
NN	page	page
TO	to	to
VB	get	get
DT	a	a
JJ	new	new
NN	definition	definition
NNS	quote	Quotes
VBD	be	were
VBN	pull	pulled
IN	from	from
NNS	participant	participants
IN	from	from
DT	the	the
NN	day	Day
IN	of	of
NN	dh	DH
IN	between	between
CD	2009	2009
CD	2014	2014
IN	as	As
IN	of	of
NNP	January	January
CD	2015	2015
DT	the	the
NN	database	database
VBZ	contain	contains
CD	817	817
NNS	row	rows
CC	and	and
RB	randomly	randomly
VBZ	select	selects
DT	a	a
NN	quote	quote
DT	each	each
NN	time	time
DT	the	the
NN	page	page
VBZ	be	is
VBN	load	loaded
IN	if	If
PRP	you	you
VBP	want	want
TO	to	to
VB	do	do
NN	something	something
JJ	cool	cool
IN	with	with
DT	the	the
NNS	datum	data
PRP	I	I
VBP	be	am
VBG	provide	providing
DT	a	a
NN	download	download
IN	for	for
DT	the	the
NNP	CSV	CSV
PRP	I	I
VBN	compile	compiled
RB	here	here
VBN	make	Made
IN	by	by
NNP	Jason	Jason
NNP	Heppler	Heppler
NNS	problem	Problems
NNS	question	Questions
CD	i	I
NN	m	m
NN	jaheppler	jaheppler
IN	on	on
NN	twitter	Twitter
