POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	bookmark	bookmark
NN	image	image
JJ	main	Main
NN	menu	menu
NN	home	Home
IN	about	About
NNS	sig	SIGs
NNS	publication	Publications
NN	conference	Conference
NNS	award	Awards
NNS	committee	Committees
NN	news	News
NNS	resource	Resources
JJ	adho	ADHO
NN	image	image
NN	adho	ADHO
NN	logo	logo
NN	membership	Membership
NNS	option	options
PRP$	we	Our
NN	mission	Mission
DT	the	The
NN	alliance	Alliance
IN	of	of
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	organization	Organizations
NN	adho	ADHO
VBZ	promote	promotes
CC	and	and
VBZ	support	supports
NNP	digital	digital
NNP	research	research
CC	and	and
VBG	teach	teaching
IN	across	across
DT	all	all
NNS	art	arts
CC	and	and
NNS	humanities	humanities
NNS	discipline	disciplines
VBG	act	acting
IN	as	as
DT	a	a
NN	community	community
VBN	base	based
JJ	advisory	advisory
NN	force	force
CC	and	and
VBG	support	supporting
NN	excellence	excellence
IN	in	in
NN	research	research
NN	publication	publication
NN	collaboration	collaboration
CC	and	and
NN	training	training
DT	the	The
VBG	follow	following
NNS	organization	organizations
VBP	be	are
JJ	current	current
NNS	member	members
IN	of	of
NNP	ADHO	ADHO
DT	the	The
NNP	European	European
NNP	Association	Association
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	EADH	EADH
NNP	Association	Association
IN	for	for
NNS	computer	Computers
CC	and	and
DT	the	the
NNS	humanities	Humanities
NN	ach	ACH
JJ	canadian	Canadian
NN	society	Society
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NN	soci	Soci
NN	t	t
NNP	canadienne	canadienne
NNP	des	des
NNP	humanit	humanit
NNP	s	s
NNP	num	num
VBZ	rique	riques
NN	csdh	CSDH
NN	schn	SCHN
NNP	centerNet	centerNet
NNP	Australasian	Australasian
NNP	Association	Association
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	aadh	aaDH
JJ	japanese	Japanese
NN	association	Association
IN	for	for
NNP	Digital	Digital
NNP	Humanites	Humanites
NNP	JADH	JADH
NNP	Humanistica	Humanistica
NNP	L	L
NNP	association	association
NNP	francophone	francophone
NNP	des	des
NNP	humanit	humanit
NNP	s	s
NNP	num	num
NNP	riques	riques
NNP	digitales	digitales
NNP	Humanistica	Humanistica
NNP	News	News
NN	implementation	Implementation
NN	committee	Committee
VBD	propose	Proposed
NNS	sig	SIGs
JJ	associate	Associate
CC	and	and
NN	affiliate	Affiliate
NN	organization	Organization
NNS	recommendation	Recommendations
IN	as	As
NN	part	part
IN	of	of
NN	adho	ADHO
NNS	s	s
JJ	official	official
NN	change	change
TO	to	to
DT	the	the
JJ	new	new
NN	structure	structure
DT	the	the
NN	implementation	Implementation
NN	committee	Committee
NN	ic	IC
VBZ	have	has
RB	already	already
VBN	suggest	suggested
DT	a	a
NN	draft	draft
NN	roadmap	roadmap
DT	the	the
NN	ic	IC
VBZ	have	has
RB	also	also
VBN	publish	published
DT	the	the
VBN	propose	Proposed
JJ	financial	Financial
NNS	scenario	Scenarios
DT	the	the
VBN	propose	Proposed
NN	governance	Governance
NNS	scenario	Scenarios
NN	version	version
CD	1	1
CD	5	5
VBD	read	Read
JJR	more	more
NN	implementation	Implementation
NN	committee	Committee
VBD	propose	Proposed
NNP	ADHO	ADHO
NNP	Committee	Committee
NNS	recommendation	Recommendations
IN	as	As
NN	part	part
IN	of	of
NN	adho	ADHO
NNS	s	s
JJ	official	official
NN	change	change
TO	to	to
DT	the	the
JJ	new	new
NN	structure	structure
DT	the	the
NN	implementation	Implementation
NN	committee	Committee
NN	ic	IC
VBZ	have	has
RB	already	already
VBN	suggest	suggested
DT	a	a
NN	draft	draft
NN	roadmap	roadmap
DT	the	the
NN	ic	IC
VBZ	have	has
RB	also	also
VBN	publish	published
DT	the	the
VBN	propose	Proposed
JJ	financial	Financial
NNS	scenario	Scenarios
DT	the	the
VBN	propose	Proposed
NN	governance	Governance
NNS	scenario	Scenarios
NN	version	version
CD	1	1
CD	5	5
CC	and	and
DT	the	the
NN	read	Read
RBR	more	more
NN	image	image
VBP	subscribe	Subscribe
TO	to	to
NNP	ADHO	ADHO
NNP	news	news
VB	follow	Follow
PRP	we	us
IN	on	on
NNP	Google	Google
NNP	Facebook	Facebook
NNP	Twitter	Twitter
NNP	YouTube	YouTube
NNP	Event	Event
NN	calendar	Calendar
NN	search	Search
NN	form	form
NN	search	Search
NN	advance	Advance
NN	issue	Issue
IN	of	of
NNP	Digital	Digital
NN	scholarship	Scholarship
IN	in	in
DT	the	the
NNS	humanities	Humanities
RB	formerly	formerly
NNP	LLC	LLC
NNP	Digital	Digital
NNS	humanities	Humanities
IN	in	in
NNP	Poland	Poland
IN	from	from
DT	the	the
NN	perspective	Perspective
IN	of	of
DT	the	the
JJ	historical	Historical
NN	linguist	Linguist
IN	of	of
DT	the	the
JJ	polish	Polish
NN	language	Language
NNS	achievement	Achievements
VBZ	need	Needs
NNS	demand	Demands
VBG	attest	Attesting
NN	similarity	similarity
VBG	support	Supporting
DT	the	the
NN	organization	organization
CC	and	and
NN	study	study
IN	of	of
NN	art	art
NN	image	image
NNS	collection	collections
IN	with	with
NN	computer	computer
NN	vision	vision
NN	rho	Rho
NNS	gram	grams
CC	and	and
NN	rho	rho
NNS	set	sets
JJ	significant	Significant
NNS	link	links
IN	in	in
DT	the	the
NN	web	web
IN	of	of
NNS	word	words
NN	advance	Advance
NN	issue	Issue
IN	of	of
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	dhq	DHQ
NN	preview	Preview
NN	author	Author
NNS	biography	Biographies
JJ	introducci	Introducci
NN	n	n
IN	de	de
NNP	los	los
NNP	editoresEditors	editoresEditors
NN	introduction	Introduction
NN	cartograf	Cartograf
IN	as	as
FW	de	de
FW	la	la
FW	sociedad	sociedad
NNS	redcartography	redCartographies
IN	of	of
DT	the	the
NN	network	Network
NN	society	Society
NNP	Laboratorios	Laboratorios
NNP	ciudadanos	ciudadanos
NN	y	y
NNS	humanidade	humanidades
JJ	digitalescitizen	digitalesCitizen
NNS	laboratory	Laboratories
CC	and	and
NNP	Digital	Digital
NNS	humanities	Humanities
NN	image	image
NN	adho	ADHO
NN	logo	logo
NN	adho	ADHO
NN	constituent	Constituent
NNS	organization	Organizations
DT	the	The
NNP	European	European
NNP	Association	Association
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	EADH	EADH
NNP	Association	Association
IN	for	for
NNS	computer	Computers
CC	and	and
DT	the	the
NNS	humanities	Humanities
NN	ach	ACH
JJ	canadian	Canadian
NN	society	Society
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
NN	soci	Soci
NN	t	t
NNP	canadienne	canadienne
NNP	des	des
NNP	humanit	humanit
NNP	s	s
NNP	num	num
VBZ	rique	riques
NN	csdh	CSDH
NN	schn	SCHN
NNP	centerNet	centerNet
NNP	Australasian	Australasian
NNP	Association	Association
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	aadh	aaDH
JJ	japanese	Japanese
NN	association	Association
IN	for	for
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	jadh	JADH
NNP	Humanistica	Humanistica
NNP	L	L
NNP	association	association
NNP	francophone	francophone
NNP	des	des
NNP	humanit	humanit
NNP	s	s
NNP	num	num
NNP	riques	riques
NNP	digitales	digitales
NNP	Humanistica	Humanistica
NN	contact	Contact
NN	contact	Contact
NN	form	form
NN	email	Email
NN	web	web
NNS	digitalhumanity	digitalhumanities
RB	org	org
NNP	Google	Google
NNP	Facebook	Facebook
NNP	Twitter	Twitter
NNP	YouTube	YouTube
NNS	event	Events
NN	calendar	Calendar
NN	image	image
JJ	creative	Creative
NNPS	Commons	Commons
NN	attribution	Attribution
NN	license	License
DT	this	This
NN	work	work
VBZ	be	is
VBN	license	licensed
IN	under	under
DT	a	a
JJ	creative	Creative
NNP	Commons	Commons
NN	attribution	Attribution
CD	3	3
CD	0	0
JJ	unported	Unported
NN	license	License
