POS	lemma	word
NNP	CLIR	CLIR
NNPS	Fellowships	Fellowships
NN	amp	amp
NNS	grant	Grants
NNP	DLF	DLF
NNP	Publications	Publications
VB	join	Join
VB	give	Give
JJ	clir	CLIR
NNS	program	Programs
NNP	Digital	Digital
NNP	Library	Library
NNP	Federation	Federation
NNP	DLF	DLF
NNP	Forum	Forum
NNP	Digital	Digital
NNP	Library	Library
IN	of	of
DT	the	the
NNP	Middle	Middle
NNP	East	East
VBG	digitize	Digitizing
JJ	hidden	Hidden
JJ	special	Special
NNS	collection	Collections
CC	and	and
NNS	archive	Archives
NNS	recording	Recordings
IN	at	at
NN	risk	Risk
NNP	Mellon	Mellon
NNS	fellowship	Fellowships
IN	for	for
NN	dissertation	Dissertation
NN	research	Research
VBG	lead	Leading
NN	change	Change
NN	institute	Institute
NN	dlf	DLF
JJ	eresearch	eResearch
NN	network	Network
JJ	postdoctoral	Postdoctoral
NNP	Fellowship	Fellowship
NN	program	Program
NN	image	image
JJ	clir	CLIR
NN	image	image
NN	clir	CLIR
NN	clir	CLIR
NN	toggle	Toggle
NN	navigation	navigation
IN	about	About
NN	president	President
NNS	s	s
NN	message	Message
NN	news	News
NN	staff	Staff
NN	governance	Governance
VBP	become	Become
DT	a	a
JJ	clir	CLIR
NN	sponsor	Sponsor
CC	or	or
NN	dlf	DLF
NN	member	Member
JJ	current	Current
NNS	sponsor	Sponsors
NNS	member	Members
CC	and	and
NNS	funder	Funders
NN	history	History
NN	clir	CLIR
NN	brandmark	Brandmark
NNS	publication	Publications
VBZ	report	Reports
NN	clir	CLIR
NNS	issue	Issues
JJ	annual	Annual
NN	report	Report
JJ	other	Other
NNS	resource	Resources
NNS	archive	Archives
VBG	order	Ordering
CC	and	and
NN	customer	Customer
NN	service	Service
NNS	initiative	Initiatives
NN	amp	amp
NNS	partnership	Partnerships
JJ	digital	Digital
NN	library	Library
NN	federation	Federation
NN	chief	Chief
NN	information	Information
NNS	officer	Officers
IN	in	in
JJ	liberal	Liberal
NNS	art	Arts
NNS	college	Colleges
VBP	clir	CLIR
NNS	affiliate	Affiliates
JJ	digital	Digital
NN	library	Library
IN	of	of
DT	the	the
NNP	Middle	Middle
NNP	East	East
VBG	lead	Leading
NN	change	Change
NNP	Institute	Institute
NNP	National	National
NNP	Digital	Digital
NN	stewardship	Stewardship
NN	residency	Residency
NN	ndsr	NDSR
NN	assessment	Assessment
NNS	fellowship	Fellowships
NN	amp	amp
NNS	grant	Grants
VBG	digitize	Digitizing
JJ	hidden	Hidden
NNS	collection	Collections
NNP	Mellon	Mellon
NNS	fellowship	Fellowships
IN	for	for
NN	dissertation	Dissertation
NN	research	Research
IN	in	in
JJ	original	Original
NNS	source	Sources
JJ	postdoctoral	Postdoctoral
NNP	Fellowship	Fellowship
NN	program	Program
NNS	recording	Recordings
IN	at	at
NN	risk	Risk
NN	rovelstad	Rovelstad
NN	scholarship	Scholarship
IN	in	in
JJ	international	International
NN	librarianship	Librarianship
VB	connect	Connect
NNS	community	Communities
NNP	Directory	Directory
NNP	Re	Re
VBG	think	Thinking
NN	blog	Blog
NN	job	Job
VB	connect	Connect
NN	image	image
JJ	clir	CLIR
NN	image	image
NN	clir	CLIR
NN	clir	CLIR
NN	toggle	Toggle
NN	navigation	navigation
IN	about	About
NN	president	President
NNS	s	s
NN	message	Message
NN	news	News
NN	staff	Staff
NN	governance	Governance
VBP	become	Become
DT	a	a
JJ	clir	CLIR
NN	sponsor	Sponsor
CC	or	or
NN	dlf	DLF
NN	member	Member
JJ	current	Current
NNS	sponsor	Sponsors
NNS	member	Members
CC	and	and
NNS	funder	Funders
NN	history	History
NN	clir	CLIR
NN	brandmark	Brandmark
NNS	publication	Publications
VBZ	report	Reports
NN	clir	CLIR
NNS	issue	Issues
JJ	annual	Annual
NN	report	Report
JJ	other	Other
NNS	resource	Resources
NNS	archive	Archives
VBG	order	Ordering
CC	and	and
NN	customer	Customer
NN	service	Service
NNS	initiative	Initiatives
NN	amp	amp
NNS	partnership	Partnerships
JJ	digital	Digital
NN	library	Library
NN	federation	Federation
NN	chief	Chief
NN	information	Information
NNS	officer	Officers
IN	in	in
JJ	liberal	Liberal
NNS	art	Arts
NNS	college	Colleges
VBP	clir	CLIR
NNS	affiliate	Affiliates
JJ	digital	Digital
NN	library	Library
IN	of	of
DT	the	the
NNP	Middle	Middle
NNP	East	East
VBG	lead	Leading
NN	change	Change
NNP	Institute	Institute
NNP	National	National
NNP	Digital	Digital
NN	stewardship	Stewardship
NN	residency	Residency
NN	ndsr	NDSR
NN	assessment	Assessment
NNS	fellowship	Fellowships
NN	amp	amp
NNS	grant	Grants
VBG	digitize	Digitizing
JJ	hidden	Hidden
NNS	collection	Collections
NNP	Mellon	Mellon
NNS	fellowship	Fellowships
IN	for	for
NN	dissertation	Dissertation
NN	research	Research
IN	in	in
JJ	original	Original
NNS	source	Sources
JJ	postdoctoral	Postdoctoral
NNP	Fellowship	Fellowship
NN	program	Program
NNS	recording	Recordings
IN	at	at
NN	risk	Risk
NN	rovelstad	Rovelstad
NN	scholarship	Scholarship
IN	in	in
JJ	international	International
NN	librarianship	Librarianship
VB	connect	Connect
NNS	community	Communities
NNP	Directory	Directory
NNP	Re	Re
VBG	think	Thinking
NN	blog	Blog
NN	job	Job
VB	connect	Connect
CD	one	One
NN	culture	Culture
RB	computationally	Computationally
JJ	intensive	Intensive
NN	research	Research
IN	in	in
DT	the	the
NNS	humanities	Humanities
CC	and	and
NNP	Social	Social
NNP	Sciences	Sciences
NNP	Home	Home
NNP	CLIR	CLIR
NNP	Publications	Publications
NNP	CLIR	CLIR
VBZ	report	Reports
CD	one	One
NN	culture	Culture
NN	computa	Computa
NN	image	image
CD	one	One
NN	culture	Culture
RB	computationally	Computationally
JJ	intensive	Intensive
NN	research	Research
IN	in	in
DT	the	the
NNS	humanities	Humanities
CC	and	and
NNP	Social	Social
NNPS	Sciences	Sciences
DT	a	A
NN	report	Report
IN	on	on
DT	the	the
NNS	experience	Experiences
IN	of	of
JJ	first	First
NNS	respondent	Respondents
TO	to	to
DT	the	the
NN	digging	Digging
IN	into	Into
NNS	datum	Data
NN	challenge	Challenge
IN	by	by
NNP	Christa	Christa
NNP	Williford	Williford
CC	and	and
NNP	Charles	Charles
NNP	Henry	Henry
NNP	Research	Research
NN	design	Design
IN	by	by
NNP	Amy	Amy
NNP	Friedlander	Friedlander
NNP	June	June
CD	2012	2012
CD	44	44
NN	pp	pp
CD	20	20
NN	isbn	ISBN
CD	978	978
CD	1	1
CD	932326	932326
CD	40	40
CD	6	6
NN	clir	CLIR
NN	pub151	pub151
NN	pdf	PDF
NN	download	Download
IN	of	of
JJ	main	Main
NN	report	Report
VBG	exclude	excluding
NN	case	case
NNS	study	studies
CD	1	1
NN	mb	MB
NN	file	file
NN	gt	gt
NN	gt	gt
JJ	full	Full
NN	text	Text
IN	of	of
JJ	main	Main
NN	report	Report
NN	gt	gt
NN	gt	gt
DT	this	This
NN	report	report
VBZ	culminate	culminates
CD	two	two
NNS	year	years
IN	of	of
NN	work	work
IN	by	by
JJ	clir	CLIR
NN	staff	staff
VBG	involve	involving
JJ	extensive	extensive
NNS	interview	interviews
CC	and	and
NN	site	site
NNS	visit	visits
IN	with	with
NNS	scholar	scholars
VBN	engage	engaged
IN	in	in
JJ	international	international
NN	research	research
NNS	collaboration	collaborations
VBG	involve	involving
JJ	computational	computational
NN	analysis	analysis
IN	of	of
JJ	large	large
NNS	datum	data
NN	corpora	corpora
DT	these	These
NNS	scholar	scholars
VBD	be	were
DT	the	the
JJ	first	first
NNS	recipient	recipients
IN	of	of
NNS	grant	grants
IN	through	through
DT	the	the
NN	digging	Digging
IN	into	into
NNS	datum	Data
NN	program	program
VBN	lead	led
IN	by	by
DT	the	the
NN	neh	NEH
WP	who	who
VBD	partner	partnered
IN	with	with
NN	jisc	JISC
IN	in	in
DT	the	the
NNP	UK	UK
NNP	SSHRC	SSHRC
IN	in	in
NNP	Canada	Canada
CC	and	and
DT	the	the
NN	nsf	NSF
TO	to	to
VB	fund	fund
DT	the	the
JJ	first	first
CD	eight	eight
NNS	initiative	initiatives
DT	the	The
NN	report	report
VBZ	introduce	introduces
DT	the	the
CD	eight	eight
NNS	project	projects
CC	and	and
VBZ	discuss	discusses
DT	the	the
NN	importance	importance
IN	of	of
DT	these	these
NNS	case	cases
IN	as	as
NNS	model	models
IN	for	for
DT	the	the
NN	future	future
IN	of	of
NN	research	research
IN	in	in
DT	the	the
NNP	academy	academy
JJ	additional	Additional
NN	information	information
IN	about	about
DT	the	the
NNS	project	projects
VBZ	be	is
VBN	provide	provided
IN	in	in
DT	the	the
JJ	individual	individual
NN	case	case
NNS	study	studies
IN	below	below
DT	this	this
JJ	additional	additional
NN	material	material
VBZ	be	is
RB	not	not
VBN	include	included
IN	in	in
DT	the	the
NN	print	print
CC	or	or
NN	pdf	PDF
NNS	version	versions
IN	of	of
DT	the	the
VBN	publish	published
NN	report	report
NN	report	Report
NNS	recommendation	Recommendations
CD	1	1
VB	expand	Expand
PRP$	we	our
NN	concept	concept
IN	of	of
NN	research	research
CD	2	2
VB	expand	Expand
PRP$	we	our
NN	concept	concept
IN	of	of
NN	research	research
NNS	datum	data
CC	and	and
VB	accept	accept
DT	the	the
NNS	challenge	challenges
IN	that	that
NNP	digital	digital
NNP	research	research
NNP	data	data
JJ	present	present
CD	3	3
VBP	embrace	Embrace
NN	interdisciplinarity	interdisciplinarity
CD	4	4
VBP	take	Take
DT	a	a
JJR	more	more
JJ	inclusive	inclusive
NN	approach	approach
TO	to	to
NN	collaboration	collaboration
CD	5	5
NN	address	Address
NNS	gap	gaps
IN	in	in
NN	training	training
CD	6	6
VB	adopt	Adopt
NNS	model	models
IN	for	for
VBG	share	sharing
NN	credit	credit
CD	7	7
VB	adopt	Adopt
NNS	model	models
IN	for	for
VBG	share	sharing
NNS	resource	resources
CD	8	8
NNP	Re	Re
VB	envision	envision
JJ	scholarly	scholarly
NN	publication	publication
CD	9	9
VBP	make	Make
JJR	greater	greater
JJ	sustained	sustained
NNS	investment	investments
IN	in	in
JJ	human	human
CC	and	and
NN	cyberinfrastructure	cyberinfrastructure
NN	case	Case
NNS	study	Studies
NN	introduction	Introduction
VBG	use	Using
NN	zotero	Zotero
CC	and	and
NN	tapor	TAPOR
IN	on	on
DT	the	the
JJ	old	Old
NNP	Bailey	Bailey
NNP	Proceedings	Proceedings
NNP	Data	Data
NN	mining	Mining
IN	with	with
JJ	criminal	Criminal
NN	intent	Intent
NN	dmci	DMCI
NN	digging	Digging
IN	into	into
DT	the	the
NN	enlightenment	Enlightenment
VBG	map	Mapping
DT	the	the
NN	republic	Republic
IN	of	of
NNS	letter	Letters
IN	towards	Towards
JJ	dynamic	Dynamic
NN	variorum	Variorum
NNS	edition	Editions
VBP	dve	DVE
VBG	mine	Mining
DT	a	a
NN	year	Year
IN	of	of
NN	speech	Speech
VBG	harvest	Harvesting
NN	speech	Speech
NNS	dataset	Datasets
IN	for	for
JJ	linguistic	Linguistic
NN	research	Research
IN	on	on
DT	the	the
NN	web	Web
JJ	structural	Structural
NN	analysis	Analysis
IN	of	of
JJ	large	Large
NNS	amount	Amounts
IN	of	of
NN	music	Music
NN	information	Information
NN	salami	SALAMI
NN	digging	Digging
IN	into	into
NN	image	Image
NNS	datum	Data
TO	to	to
VB	answer	Answer
NN	authorship	Authorship
JJ	related	Related
NNS	question	Questions
VBD	do	DID
NN	arq	ARQ
NNS	railroad	Railroads
CC	and	and
DT	the	the
NN	making	Making
IN	of	of
JJ	modern	Modern
