POS	lemma	word
VB	skip	skip
TO	to	to
JJ	primary	primary
NN	navigationskip	navigationskip
TO	to	to
JJ	content	content
NN	image	image
NN	university	University
IN	of	of
NNP	Cambridge	Cambridge
NN	study	Study
IN	at	at
NNP	Cambridge	Cambridge
IN	about	About
DT	the	the
NNP	University	University
NN	research	Research
IN	at	at
NNP	Cambridge	Cambridge
NN	search	Search
NN	site	site
NN	home	Home
NN	study	Study
IN	at	at
NNP	Cambridge	Cambridge
JJ	undergraduate	Undergraduate
NNS	course	Courses
VBG	apply	Applying
NNS	event	Events
CC	and	and
JJ	open	open
NNS	day	days
NNS	fee	Fees
CC	and	and
NN	finance	finance
NN	student	Student
NNS	blog	blogs
CC	and	and
NNS	video	videos
VBP	graduate	Graduate
WRB	why	Why
NNP	Cambridge	Cambridge
NN	course	Course
NN	directory	directory
WRB	how	How
TO	to	to
VB	apply	apply
NNS	fee	Fees
CC	and	and
NN	funding	funding
RB	frequently	Frequently
VBD	ask	asked
NNS	question	questions
JJ	international	International
NNS	student	students
VBG	continue	Continuing
NN	education	education
NN	executive	Executive
CC	and	and
JJ	professional	professional
NN	education	education
NNS	course	Courses
IN	in	in
NN	education	education
IN	about	About
DT	the	the
NNP	University	University
WRB	how	How
DT	the	the
NN	university	University
CC	and	and
NNS	college	Colleges
VBP	work	work
NN	history	History
VBG	visit	Visiting
DT	the	the
NNP	University	University
NN	term	Term
NNS	date	dates
CC	and	and
NNS	calendar	calendars
NN	map	Map
IN	for	For
NNS	media	media
NN	video	Video
CC	and	and
NN	audio	audio
VBP	find	Find
DT	a	an
JJ	expert	expert
NNS	publication	Publications
JJ	global	Global
NNP	Cambridge	Cambridge
NN	news	News
NNS	event	Events
JJ	public	Public
NN	engagement	engagement
NNS	job	Jobs
VBP	give	Give
TO	to	to
NNP	Cambridge	Cambridge
NN	research	Research
IN	at	at
NNP	Cambridge	Cambridge
VBP	give	Give
TO	to	to
NNP	Cambridge	Cambridge
IN	for	For
NN	staff	staff
IN	for	For
JJ	current	current
NNS	student	students
IN	for	For
NNS	alumnus	alumni
IN	for	For
NN	business	business
NNS	college	Colleges
NN	amp	amp
NNS	department	departments
NNS	library	Libraries
NN	amp	amp
NNS	facility	facilities
NNS	museum	Museums
NN	amp	amp
NNS	collection	collections
VBP	email	Email
NN	amp	amp
NN	phone	phone
NN	search	search
NN	log	Log
IN	in	in
NN	home	Home
NNP	Cambridge	Cambridge
NNP	Digital	Digital
NNS	humanities	Humanities
NN	image	image
NNP	Cambridge	Cambridge
NNP	Digital	Digital
NNS	humanities	Humanities
NN	department	Department
DT	a	A
NN	z	Z
NN	home	Home
NNP	CDH	CDH
NNP	CDH	CDH
NN	overview	Overview
NN	cdh	CDH
NN	team	Team
NN	cdh	CDH
NN	team	Team
NN	overview	Overview
NN	cdh	CDH
NNP	Directorate	Directorate
NNP	CDH	CDH
VBG	steer	Steering
NN	committee	Committee
NN	cdh	CDH
NN	staff	Staff
NN	cdh	CDH
NNS	method	Methods
NNS	fellow	Fellows
VBG	define	Defining
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	cdh	CDH
NNS	vacancy	Vacancies
NN	research	Research
NN	research	Research
NN	overview	Overview
NN	research	Research
NNS	theme	Themes
NN	research	Research
NNS	project	Projects
NN	research	Research
NNS	centre	Centres
CC	and	and
JJ	strategic	Strategic
NNS	initiative	Initiatives
NN	research	Research
NN	funding	Funding
JJ	scholarly	Scholarly
NN	communication	Communication
NNP	Cambridge	Cambridge
NNP	Digital	Digital
NNP	Library	Library
NN	lab	Lab
NN	lab	Lab
NN	overview	Overview
NN	project	Project
NN	concept	Concept
NN	project	Project
VB	start	Start
RP	up	up
NN	project	Project
VB	start	Start
RP	up	up
NN	overview	Overview
NNP	Digital	Digital
NNP	Imaging	Imaging
NNP	Metadata	Metadata
CC	and	and
NNS	standard	Standards
VBG	host	Hosting
CC	and	and
NN	sustainability	Sustainability
NNS	tool	Tools
CC	and	and
NN	development	Development
NN	impact	Impact
JJ	high	High
NN	performance	Performance
NN	computing	Computing
NN	project	Project
NN	implementation	Implementation
NN	project	Project
NN	sustainability	Sustainability
VBG	learn	Learning
NNP	Learning	Learning
NN	overview	Overview
VBG	learn	Learning
NNS	theme	Themes
VBG	learn	Learning
NNS	theme	Themes
NN	overview	Overview
NN	machine	Machine
VBG	read	Reading
DT	the	the
NN	archive	Archive
NN	machine	Machine
VBG	read	Reading
DT	the	the
NN	archive	Archive
NN	overview	Overview
NN	machine	Machine
VBG	read	Reading
DT	the	the
NN	archive	Archive
NNS	project	Projects
NN	overview	overview
NN	machine	Machine
VBG	read	Reading
DT	the	the
NN	archive	Archive
NNS	project	Projects
NNP	FAQ	FAQ
NNS	ethic	Ethics
IN	of	of
JJ	big	Big
NNS	datum	Data
NNS	way	Ways
IN	of	of
NN	machine	Machine
VBG	see	Seeing
JJ	scholarly	Scholarly
NN	practice	Practice
IN	in	in
DT	the	the
NNP	Digital	Digital
NN	age	Age
NN	strand	Strand
CD	1	1
VBG	do	Doing
NN	research	Research
IN	in	in
DT	the	the
NNP	Digital	Digital
NN	age	Age
NN	strand	Strand
CD	1	1
VBG	do	Doing
NN	research	Research
IN	in	in
DT	the	the
NNP	Digital	Digital
NN	age	Age
NN	overview	Overview
NN	registration	Registration
VBG	do	Doing
NN	research	research
IN	in	in
DT	the	the
NNP	digital	digital
NN	age	age
NN	strand	Strand
CD	2	2
VBD	advance	Advanced
NNP	Digital	Digital
NNS	method	Methods
NNS	workshop	Workshops
NN	strand	Strand
CD	3	3
JJ	critical	Critical
VBG	code	Coding
NN	text	Text
CC	and	and
NNS	datum	Data
NN	mining	Mining
NN	test	Test
NN	kitchen	Kitchen
DT	all	All
JJ	cdh	CDH
NN	learning	Learning
NNS	event	Events
JJ	other	Other
NN	dh	DH
NN	training	Training
NNS	event	Events
JJ	external	External
NN	training	Training
CC	and	and
NNS	resource	Resources
NN	network	Network
NN	network	Network
NN	overview	Overview
VB	join	Join
DT	the	the
NN	cdh	CDH
NN	mailing	Mailing
NN	list	List
NN	collaboration	Collaboration
NN	contact	Contact
NN	image	image
NN	cudl	CUDL
NN	support	Support
IN	for	for
NN	world	world
NN	class	class
NNS	initiative	initiatives
IN	in	in
NN	dh	DH
NN	research	research
NN	image	image
NN	3d	3D
NN	image	image
CD	1	1
JJ	technical	Technical
NN	advice	advice
IN	on	on
JJ	innovative	innovative
NN	dh	DH
NNS	method	methods
CC	and	and
NNS	tool	tools
NN	image	image
NN	digitisation	Digitisation
NN	assistance	Assistance
IN	with	with
VBG	identify	identifying
NN	digitising	digitising
CC	and	and
NN	licensing	licensing
NN	research	research
NNS	material	materials
NN	image	image
VBG	learn	Learning
NN	jpg	jpg
NN	entry	Entry
NN	level	level
CC	and	and
VBD	advance	advanced
NN	training	training
IN	through	through
DT	the	the
NN	cdh	CDH
VBG	learn	Learning
NN	curriculum	curriculum
NN	image	image
NN	research	Research
NN	research	RESEARCH
NNP	Cambridge	Cambridge
NNP	DH	DH
NNS	researcher	researchers
VBP	have	have
VBN	be	been
VBN	involve	involved
IN	in	in
IN	over	over
CD	100	100
JJ	major	major
NNS	project	projects
JJ	many	many
IN	of	of
WDT	which	which
VBP	have	have
VBN	attract	attracted
JJ	significant	significant
JJ	financial	financial
NN	support	support
IN	from	from
JJ	external	external
NNS	funder	funders
VBP	read	Read
JJR	more	more
NN	image	image
NN	lab	Lab
NN	lab	LAB
DT	the	The
NN	lab	Lab
VBZ	collaborate	collaborates
IN	with	with
NNS	researcher	researchers
IN	in	in
JJ	many	many
NNS	field	fields
CC	and	and
VBZ	provide	provides
NN	support	support
NN	guidance	guidance
CC	and	and
JJ	technical	technical
NNS	solution	solutions
VBN	tailor	tailored
TO	to	to
PRP$	they	their
NN	project	project
NNS	goal	goals
VBP	read	Read
JJR	more	more
NN	image	image
VBG	learn	Learning
VBG	learn	LEARNING
DT	the	The
NN	cdh	CDH
VBG	learn	Learning
NN	programme	programme
VBZ	help	helps
NNP	Cambridge	Cambridge
NNS	student	students
NNS	researcher	researchers
CC	and	and
NN	staff	staff
VBP	equip	equip
PRP	themselves	themselves
IN	with	with
DT	the	the
NNS	tool	tools
CC	and	and
NNS	method	methods
PRP	they	they
VBP	need	need
TO	to	to
VB	carry	carry
IN	on	on
VBG	deliver	delivering
NN	world	world
NN	class	class
NN	research	research
CC	and	and
NN	teaching	teaching
VBD	read	Read
JJR	more	more
NN	image	image
NN	network	Network
NN	network	NETWORK
PRP	we	We
VBP	be	are
DT	a	a
NN	network	network
IN	of	of
NNS	researcher	researchers
IN	at	at
NNP	Cambridge	Cambridge
WP	who	who
VBP	be	are
JJ	interested	interested
IN	in	in
WRB	how	how
DT	the	the
NN	use	use
IN	of	of
NNP	digital	digital
NNS	tool	tools
VBZ	be	is
VBG	transform	transforming
NN	scholarship	scholarship
IN	in	in
DT	the	the
NNS	humanities	humanities
CC	and	and
NNP	social	social
NNPS	sciences	sciences
VBD	read	Read
JJR	more	more
JJ	upcoming	Upcoming
NNS	event	events
NN	introduction	Introduction
TO	to	to
NNP	Omeka	Omeka
VB	build	build
CC	and	and
VB	publish	publish
DT	a	a
JJ	simple	simple
NNP	digital	digital
NNP	archive	archive
CC	or	or
NN	collection	collection
MD	may	May
VB	08	08
CD	2018	2018
NN	b3	B3
NN	institute	Institute
IN	of	of
NN	criminology	Criminology
VBG	collaborate	Collaborating
IN	with	with
DT	the	the
NN	machine	machine
NNS	opportunity	Opportunities
NNS	challenge	challenges
CC	and	and
NNS	caveat	caveats
MD	may	May
CD	15	15
CD	2018	2018
NN	b4	B4
NN	institute	Institute
IN	of	of
NN	criminology	Criminology
NNS	lens	Lenses
CC	or	or
VBZ	mirror	Mirrors
WRB	how	How
NNS	algorithm	Algorithms
VBP	affect	Affect
NNS	way	Ways
IN	of	of
VBG	see	Seeing
NN	race	Race
CC	and	and
NN	gender	Gender
MD	may	May
CD	21	21
CD	2018	2018
NN	sg2	SG2
NNP	Alison	Alison
NNP	Richard	Richard
NNP	Building	Building
NN	introduction	Introduction
TO	to	to
JJ	archival	archival
NNP	photography	photography
