POS	lemma	word
NN	sign	Sign
IN	in	in
VB	join	Join
NN	help	Help
VB	contact	Contact
NN	search	Search
NN	form	form
NN	search	Search
NN	image	image
NN	home	Home
NN	image	image
NN	home	Home
NN	menu	Menu
IN	about	About
NN	history	History
NN	leadership	Leadership
NN	membership	Membership
NN	staff	Staff
NNS	member	Members
VBP	hastac	HASTAC
NNS	hub	Hubs
NNS	acknowledgement	Acknowledgements
NNS	newsletter	Newsletters
VBP	explore	Explore
NNS	initiative	Initiatives
JJ	hastac	HASTAC
NNS	scholar	Scholars
DT	the	The
NNP	University	University
JJ	worth	Worth
VBG	fight	Fighting
IN	for	For
JJ	future	Future
NNP	ED	ED
NNP	Digital	Digital
NNS	badge	Badges
NNP	DML	DML
NNS	competition	Competitions
CD	2006	2006
CD	2017	2017
NNS	event	Events
NN	amp	amp
NNS	opportunity	Opportunities
NNS	event	Events
NNS	job	Jobs
CC	and	and
NNS	fellowship	Fellowships
VBZ	call	Calls
IN	for	for
NNS	papers	Papers
NNS	grant	Grants
CC	and	and
NN	funding	Funding
NN	hastac	HASTAC
NNS	conference	Conferences
VBG	teach	Teaching
NN	amp	amp
VBG	learn	Learning
NNS	practice	Practices
NNS	humanities	Humanities
NNS	art	Arts
NN	amp	amp
NNS	media	Media
NN	technology	Technology
NNS	network	Networks
NN	amp	amp
NNS	science	Sciences
JJ	social	Social
NN	amp	amp
JJ	political	Political
NNS	issue	Issues
JJ	educational	Educational
NN	amp	amp
JJ	cultural	Cultural
NNS	institution	Institutions
VBG	publish	Publishing
NN	amp	amp
NNS	archive	Archives
VBG	foster	Fostering
JJ	innovative	innovative
CC	and	and
JJ	open	open
NNS	method	methods
CC	and	and
NNS	tool	tools
IN	in	in
DT	the	the
NN	classroom	classroom
CC	and	and
IN	beyond	beyond
NN	view	View
DT	all	all
NN	teaching	Teaching
NN	amp	amp
VBG	learn	Learning
NNS	practice	Practices
NNS	blog	blogs
NNS	member	Members
NNS	group	Groups
NNS	organization	Organizations
NNS	collection	Collections
NN	news	News
NN	image	image
VBP	be	Are
EX	there	There
NNS	sign	Signs
IN	that	That
NNS	educator	Educators
CC	and	and
NNS	nation	Nations
VBP	be	Are
VBG	rethink	Rethinking
CD	40	40
NNS	year	Years
IN	of	of
NN	defunding	Defunding
CC	and	and
JJ	demeaning	Demeaning
JJR	higher	Higher
NN	education	Education
VBP	be	Are
EX	there	There
NNS	sign	Signs
IN	that	That
NNS	educator	Educators
CC	and	and
NNS	nation	Nations
VBP	be	Are
NN	image	image
NN	censorship	Censorship
IN	in	in
JJ	real	Real
NN	time	Time
DT	the	The
NN	case	Case
IN	of	of
NNP	Chester	Chester
NNP	Himes	Himes
DT	a	A
NN	video	Video
IN	by	by
NNP	Daniel	Daniel
NNP	Carlson	Carlson
NN	censorship	Censorship
IN	in	in
JJ	real	Real
NN	time	Time
DT	the	The
NN	case	Case
IN	of	of
NNP	Chester	Chester
NN	image	image
DT	the	The
NN	question	Question
CD	i	I
NN	m	m
VBD	ask	Asked
DT	the	the
RBS	most	Most
DT	the	The
NN	question	Question
CD	i	I
NN	m	m
VBD	ask	Asked
DT	the	the
JJS	most	Most
NN	image	image
NNP	MOOC	MOOC
NNP	Review	Review
NNP	LLG	LLG
CD	5	5
NNP	MOOC	MOOC
NNP	Review	Review
NNP	LLG	LLG
CD	5	5
VBG	expand	Expanding
DT	the	the
NN	scope	scope
CC	and	and
NN	impact	impact
IN	of	of
JJ	traditional	traditional
CC	and	and
JJ	digital	digital
NNS	humanities	humanities
IN	for	for
DT	the	the
JJ	contemporary	contemporary
NN	world	world
NN	view	View
DT	all	all
NNS	humanities	Humanities
NNS	art	Arts
NN	amp	amp
NNS	media	Media
NNS	blog	blogs
NNS	member	Members
NNS	group	Groups
NNS	organization	Organizations
NNS	collection	Collections
NN	news	News
NN	image	image
DT	a	A
NN	reflection	Reflection
IN	on	on
NNP	Digital	Digital
NN	textuality	Textuality
NNS	theory	Theories
IN	of	of
NN	p	P
NNP	Robinson	Robinson
NN	amp	amp
NN	p	P
NN	shillingsburg	Shillingsburg
DT	a	A
NN	reflection	Reflection
IN	on	on
NNP	Digital	Digital
NN	textuality	Textuality
NNS	theory	Theories
IN	of	of
NN	p	P
NN	image	image
