POS	lemma	word
NN	jump	Jump
TO	to	to
NNP	Navigation	Navigation
VB	advertise	Advertise
IN	about	About
NN	contact	Contact
VBP	subscribe	Subscribe
NN	x	X
NN	news	News
JJ	quick	Quick
VBZ	take	Takes
NNS	view	Views
NN	blog	Blog
NN	u	U
NN	career	Career
NN	advice	Advice
NNS	admission	Admissions
JJ	digital	Digital
VBG	learn	Learning
NN	diversity	Diversity
NN	search	Search
NN	news	News
NN	amp	amp
NNS	opinion	Opinions
VBP	find	Find
DT	a	A
NN	job	Job
NNS	event	Events
NNS	datum	Data
NN	amp	amp
NNS	survey	Surveys
NNS	booklet	Booklets
JJ	audio	Audio
NNS	topic	Topics
VBN	sponsor	Sponsored
NN	content	Content
NN	aaup	AAUP
NN	compensation	Compensation
NNS	datum	Data
IN	around	Around
DT	the	the
NN	web	Web
NNS	event	Events
NN	amp	amp
NNS	people	People
VBP	subscribe	Subscribe
JJ	free	Free
NN	hire	Hire
NN	faculty	Faculty
NN	amp	amp
NN	staff	Staff
NN	contact	Contact
IN	about	About
VB	advertise	Advertise
NN	news	News
NN	amp	amp
NN	opinion	Opinion
NNS	job	Jobs
NN	image	image
NN	image	image
NN	image	image
NN	image	image
NN	news	News
NNS	opinion	Opinions
NNS	datum	Data
NN	amp	amp
NNS	survey	Surveys
NNS	event	Events
JJ	parental	Parental
NN	bigotry	Bigotry
CC	and	and
NNS	admission	Admissions
NN	tour	Tour
NN	sexism	Sexism
CC	or	or
NN	humor	Humor
NN	diversity	Diversity
NN	chief	Chief
TO	to	to
NN	college	College
NN	president	President
NN	image	image
NNS	admission	Admissions
NNP	Digital	Digital
NNP	Learning	Learning
NN	diversity	Diversity
NNS	career	Careers
VBP	subscribe	Subscribe
JJ	free	Free
VB	advertise	Advertise
NN	hire	Hire
NN	faculty	Faculty
NN	amp	amp
NN	staff	Staff
VB	find	Find
DT	a	a
NN	job	Job
NN	news	News
NNS	admission	Admissions
NN	insider	Insider
NNP	Digital	Digital
NNP	Learning	Learning
NN	diversity	Diversity
VBZ	matter	Matters
NNS	view	Views
NN	career	Career
NN	advice	Advice
NN	blog	Blog
NNP	U	U
NNS	survey	Surveys
NNS	webinar	Webinars
NNS	event	Events
NN	amp	amp
NNS	people	People
NNS	job	Jobs
JJ	audio	Audio
NN	capital	Capital
NNS	campaign	Campaigns
NNS	admission	Admissions
NNS	book	Books
NN	technology	Technology
NN	community	Community
NNS	college	Colleges
NN	diversity	Diversity
NN	teaching	Teaching
NN	amp	amp
VBG	learn	Learning
JJ	global	Global
NN	audio	Audio
NNS	booklet	Booklets
RBR	more	More
NN	news	News
NNS	topic	Topics
NN	teaching	Teaching
CC	and	and
VBG	learn	Learning
NN	print	Print
DT	this	This
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
IN	as	as
NN	corporatist	Corporatist
NN	restructuring	Restructuring
JJ	controversial	Controversial
NN	article	article
VBZ	argue	argues
NNP	digital	digital
NNS	humanities	humanities
NNS	scholar	scholars
VBP	be	are
RB	intentionally	intentionally
CC	or	or
RB	not	not
VBG	lead	leading
DT	a	a
JJ	neoliberal	neoliberal
NN	takeover	takeover
IN	of	of
NNS	college	colleges
CC	and	and
NNS	university	universities
IN	by	By
NNP	Carl	Carl
NNP	Straumsheim	Straumsheim
MD	may	May
CD	6	6
CD	2016	2016
NNS	comment	Comments
NN	image	image
JJ	many	Many
NNS	humanities	humanities
NNS	scholar	scholars
VBP	have	have
VBN	praise	praised
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
IN	as	as
CD	one	one
IN	of	of
